Response: நான் சட்டம் மற்றும் 
Response: பாப் அந்த மனிதனை த
Response: லீட்டா அவர்களுக்
Response: ஓர் கதை ஒரு விளக
Response: 1. தொலைபேசியில் 
Response: 1. ஹெக்டர் தனது 
Response: 1. அவள் அவளை சந்
Response: 1. அவர் வயது குழ
Response: லோரி தனது டேட்டி
Response: நீல் தனது புகைப்பட
Response: பாப் தனது நண்பர்கள
Response: ஏற்பாடு, உற்பாடு
Response: அவர் தனது வாழ்க்
Response: பப்லோ புழுக்களின
Response: அவள் காலணிகள், �
Response: கிளென் தனது சிறந்த
Response: அவர்கள் தளபாடங்க
Response: நான் அவர்களை அது
Response: அவர்கள் வீட்டிற்
Response: 1. சிறுவன் ஒருபோ
Response: ரோஸியின் வகுப்பு
Response: ஏற்பாடு என்று ��
"Response: 10 marks
Answer: 
A) The story is about a man who falls in love"
Response: பாப் பள்ளி நாடகத்தில
Response: ஏற்பாடு உள்ள ஜ
Response: நான் ஏறினேன், நா
Response: அவள் அதை விட்டு 
Response: 1. அவர் ஏற்பாடு 
Response: நான் அந்த குழந்த
Response: 1. உரிமையான விருப்
Response: 1. கர்லிங் விளையாட
Response: பிரான்சிஸ் ஒரு க
Response: நான் அதை பார்க்க வ
Response: நான் விரைவாக காலை ��
Response: கேரி லிசாவின் கவனத
Response: கார்லோஸ் ஏற்பா
Response: லார்ஸ் புகைப்படம் 
Response: நான் ஒரு கதை கொட
Response: 1. ரியான் உற்றுக் 
Response: ஏற்பாடு என்று க�
Response: நீல் ஒரு பெரிய
Response: நான் என் நாய் வெ
Response: ஏற்பாடு என்று ��
Response: ஏற்பாடு, ஓர் ப��
Response: ஃபிராங்க் ஒரு 
Response: டிமி தனது பள்ளியில் 
Response: டிரேக் வெள்ளிக்க
Response: பாப் தனது பிளாக் டயர
Response: ஜாக் தனது டேப்ல�
Response: ஜேக் கைகளை கழு
Response: நான் மிகவும் காயமடைந
Response: சாராவின் கடிதம் விரை
Response: சக் தனது வேலையை வி
Response: பாப் தனது மறுபயன்பாட
Response: ஜோவின் முடிவுகள்
"Response: 
A) ஓர் கதை என்ற"
Response: 1. ஜென் தனது புத
Response: ரோப் தனது பெரு��
Response: ஜோ இன்னும் கற்
Response: ரோப் தாராளமான நண
Response: சாம் தொலைபேசியை 
Response: ஏற்பாடு, உற்பாடு
Response: பான் இறுதியாக நிறு
Response: பெக்கி அவளை தொ
Response: 1. பாம் தனது குழந்
Response: அவள் பள்ளியை விட்ட
"Response: 
A) மேரி பல் மருத்"
Response: ஃபோர்டு அவர் �
Response: நான் மாற முடிவு செ
Response: நினா ஒரு பொம்மை 
Response: வெரோனிகாவில் ஏ
Response: டிரேசி தனது வீ��
Response: அவர் ஒரு ரன் ச��
Response: ஏற்பாடு, உற்பாடு
Response: ஜோ தனது கடின உ
Response: ஜினாவும் ஒரு வா�
Response: 1. உரிமையான விருப்
Response: 1. பீட்டர் தனது நா
Response: ரெக்ஸ் ஒரு கட்
Response: 1. அவள் ஒரு சோ
Response: 1. காலக்கெடு ஏற்
Response: 1. அளிய இடத்தில்
Response: 1. அவள் ஆர்டரை ர
Response: ஜான் ஏற்றுக்கொ
Response: ஜூலி தன் கைக்கு 
Response: ஓர் கதை, எமி குட
Response: ஸ்டீவ் கார் நிறு
Response: அவள் இனி ஒருப�
Response: 1. புத்தகத்திற்கு ப�
Response: நான் இன்று தான் ��
"Response: பாபி ஐந்து வயது. 
"
Response: அவர் தந்தை சிரித்த
Response: அவர் மெக் மீது
Response: பாபி அவர் வாழைப்
Response: ஏற்பாடு என்று ��
Response: 10 மில்லி (5 மில்லி �
Response: மார்கஸ் படகு எ��
Response: அவள் அந்த அழ
Response: சக் வருத்தப்பட்டார்.
Response: ஸ்டீவ் தனது குறு
Response: ஜான் பின்னர் அதி
Response: அவர் தனது சாதனையில
Response: அவள் பாடலை ரசித்தா
Response: கொரியான கதை, உயர
Response: நான் என் பிறந்த நா
Response: ஏறிந்து விட்டார். 
Response: ஏற்பாடு, ஓர் கதை
Response: ஏற்பாடு என்று நி
Response: மேரி ஆன் ஒரு வ
Response: அவர் நாய் அருகில
Response: அவர்கள் எனக்கு �
Response: அவள் வேலையில் ம�
"Response: 10 marks
Answer:
A) The story is about a man who was once a successful"
Response: சாரா டிவி பார்க்க ��
Response: மார்க் இந்த நடைமுற
Response: உயிர் ஏறிய ஒரு
Response: பில் தனது வேலையை ப
Response: அவர் ஒரு வேலை 
Response: மேரி ஒரு காரை வி
Response: அவர்கள் நண்பர்கள
Response: அவர் தனது வீட்டி
Response: டேவ் உயிர் ஏற்
Response: ஏற்பாடு, ஓர் கதை
Response: ஜோ இறுதியில் ச
