language;xstorycloze
afr_Latn;"Beskou die volgende verhaal:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opsie A:  {sentence_quiz1} 
Opsie B: {sentence_quiz2} 
Watter einde van die verhaal is die waarskynlikste? 
Kies tussen opsies A en B. 
Antwoord:  {cot}"
arb_Arab;"انظر الى القصة التالية:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
الخيار أ:  {sentence_quiz1} 
الخيار (ب): {sentence_quiz2} 
أي نهاية للقصة هي الأكثر احتمالاً؟ 
اختر بين الخيارين أ و ب 
الجواب:  {cot}"
ban_Latn;"Indayang cingak crita ring sor puniki:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Pilihan A:  {sentence_quiz1} 
Pilihan B: {sentence_quiz2} 
Puput sane encen sane pinih becik? 
Pilih antara pilihan A miwah B. 
Bali: Pasaur danene sapuniki:  {cot}"
bel_Cyrl;"Разгледзім наступную гісторыю:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Варыянт А:  {sentence_quiz1} 
Варыянт Б: {sentence_quiz2} 
Якая з канцоў гісторыі найбольш верагодная? 
Выберыце паміж варыянтамі А і В. 
Адказ:  {cot}"
ben_Beng;"নিম্নলিখিত গল্পটি বিবেচনা করুন:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
বিকল্প A:  {sentence_quiz1} 
বিকল্প বিঃ {sentence_quiz2} 
কোন গল্পের শেষটা সবচেয়ে বেশি সম্ভব? 
বিকল্প A এবং B এর মধ্যে বেছে নিন। 
উত্তর:  {cot}"
bod_Tibt;"རྒྱུད་འདི་ལ་དཔྱད་པ།  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
གདམ་ཁ་དང་པོ།  {sentence_quiz1} 
གདམ་ཁ་ B: {sentence_quiz2} 
རྒྱུད་ཀྱི་མཐའ་གང་ལ་འཇུག་པ་ཆེ་ཤོས་ཡིན་ནམ་ 
A དང་ B གཉིས་ནས་གཅིག་འདེམས་དགོས། 
ལན་སློག  {cot}"
bos_Latn;"Razmotri sledeću priču:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opcija A:  {sentence_quiz1} 
Opcija B: {sentence_quiz2} 
Koji je kraj priče najvjerovatniji? 
Izaberite između opcija A i B. 
Odgovor:  {cot}"
bul_Cyrl;"Да разгледаме следната история:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Опция А:  {sentence_quiz1} 
Опция Б: {sentence_quiz2} 
Кой край на историята е най-вероятен? 
Избирай между варианти А и Б. 
Отговор:  {cot}"
ces_Latn;"Uvažujme o následujícím příběhu:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Možnost A:  {sentence_quiz1} 
Možnost B: {sentence_quiz2} 
Který konec příběhu je nejpravděpodobnější? 
Vyber si mezi možnostmi A a B. 
Odpověď:  {cot}"
cat_Latn;"Considera la següent història:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opció A:  {sentence_quiz1} 
Opció B: {sentence_quiz2} 
Quin final de la història és més probable? 
Escollir entre les opcions A i B. 
Resposta:  {cot}"
dan_Latn;"Tænk på følgende beretning:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Alternativ A:  {sentence_quiz1} 
Alternativ B: {sentence_quiz2} 
Hvilken slutning er mest sandsynlig? 
Vælg mellem A og B. 
Svar:  {cot}"
deu_Latn;"Betrachten wir folgende Geschichte:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Option A:  {sentence_quiz1} 
Option B: {sentence_quiz2} 
Welches Ende der Geschichte ist am wahrscheinlisten? 
Wählen Sie zwischen Option A und B. 
Antwort:  {cot}"
eng_Latn;"Consider the following story:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Option A:  {sentence_quiz1} 
Option B: {sentence_quiz2} 
Which ending to the story is most likely? 
Choose between options A and B. 
Answer:  {cot}"
ell_Grek;"Εξετάστε την ακόλουθη ιστορία:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Επιλογή Α:  {sentence_quiz1} 
Επιλογή Β: {sentence_quiz2} 
Ποιο τέλος της ιστορίας είναι πιο πιθανό; 
Διάλεξε ανάμεσα στις επιλογές Α και Β. 
Απάντηση:  {cot}"
est_Latn;"Vaadake järgmist lugu:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Valimine A:  {sentence_quiz1} 
Valimine B: {sentence_quiz2} 
Milline lugu lõpp on kõige tõenäolisem? 
Vali A ja B variandi vahel. 
Vastus:  {cot}"
fin_Latn;"Ajattele seuraavaa tarinaa:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Vaihtoehto A:  {sentence_quiz1} 
Vaihtoehto B: {sentence_quiz2} 
Mikä tarinan loppu on todennäköisin? 
Valitse vaihtoehdon A ja B välillä. 
Vastaa:  {cot}"
fra_Latn;"Considérez le récit suivant:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Option A:  {sentence_quiz1} 
Option B: {sentence_quiz2} 
Quelle fin de l'histoire est la plus probable? 
Choisissez entre les options A et B. 
Réponse:  {cot}"
hat_Latn;"Ann konsidere istwa sa a:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
Opsyon A:  {sentence_quiz1} 
Opsyon B: {sentence_quiz2} 
Ki fen istwa a gen plis chans? 
Chwazi ant opsyon A ak B. 
Repons:  {cot}"
heb_Hebr;"ראה את הסיפור הבא:  
{input_sentence_1} {input_sentence_2} {input_sentence_3} {input_sentence_4} 
אפשרות א':  {sentence_quiz1} 
אפשרות ב': {sentence_quiz2} 
איזה סיום לסיפור הוא סביר ביותר? 
בחר בין אפשרויות א' ו-ב'. 
תשובה:  {cot}"
