premise;question;choice1;choice2;label
Le nto yayipakishwe ngefilimu enamabhamuza. ;cause;Yayibuthakathaka. ;Yayincane. ;0
Ngazikhipha zonke izikhwama zami. ;effect;Ngithole ithikithi. ;Ngithole isikhali. ;0
Izintuthwane zahlasela indlu. ;effect;Izintuthwane zanyamalala endlini. ;Izintuthwane zadla izinkuni endlini. ;1
Abagibeli bafika emngceleni. ;effect;Iphoyisa lahlola amapasi abo. ;Iphoyisa labagqugquzela ukuba bagqekeze. ;0
Ihhovisi lalivaliwe. ;cause;Kwakuyiholide. ;Kwakusehlobo. ;0
Le ntombazane yaphelelwa amandla. ;cause;Wayedlala ideski. ;Wagxuma ngentambo. ;1
Lona wesifazane walahlekelwa indawo yakhe emgqeni. ;cause;Kwaba nabantu abengeziwe ababekulolo hlelo. ;Waphuma emgqeni. ;1
Le ntombazane yafinyeza ikhala layo. ;cause;Ingane yayihlanza phezu kwe-baby bib yayo. ;Ingane yayithinte isilevu sakhe. ;1
Iqembu ladlala ingoma yalo eyaduma. ;effect;Izilaleli zaqhwaba izandla ngesikhathi umculo uqhubeka. ;Izilaleli zazilalela ngokuthula. ;0
Le ntombazane yayifuna ukubonga uthisha wayo wezibalo. ;effect;Le ntombazane yahlala ngemva kwesikole ngenxa yokujeziswa. ;Le ntombazane yalethela uthisha i-apula. ;1
Izakhamuzi zasekamu ezisencane zazethukile. ;cause;Umeluleki wabo wasekamu wabatshela indaba yesipoki. ;Babesosa ama-marshmallow emlilweni wasekamu. ;0
Le ndoda yashaya ikhanda layo. ;effect;Wazindla kakhulu. ;Unokushaqeka kwengqondo. ;1
Isheke engangilibhala alizange libuyiselwe. ;cause;I-akhawunti yami yasebhange yayingenalutho. ;Ngathola ukwenyuswa kweholo. ;0
Ibhokisi lokungenayo lale ndoda laligcwele izincwadi ezingekho emthethweni. ;effect;Wasula izincwadi ezingadingekile. ;Wathumela i-imeyili eningi. ;0
Isikebhe sasivalelwe yodwa. ;cause;Wayengase agule. ;Walulama kulokhu kugula. ;0
Le ntombazane yayikwazi ngekhanda lokho okwakushiwo. ;cause;Wazifundela yona. ;Wakhohlwa ukuyibhala phansi. ;0
Ngafaka amanzi engilazini. ;effect;Amanzi anelisa ukoma kwami. ;Ingilazi yagcwala. ;1
Le ndoda yahlala ithule lapho umngane wayo eqeda ukukhuluma. ;cause;Wayefuna ukumsekela umngane wakhe. ;Wayecabanga ngamazwi omngane wakhe. ;1
Le ngozi yaba yiphutha lami. ;effect;Ngazizwa nginecala. ;Ngafaka icala. ;0
Iketanga lahlukana. ;cause;Lolu chungechunge lwalugoqwe ithayi. ;Kwakunesixhumanisi esaphukile kulolu chungechunge. ;1
Lo mbhangqwana wanquma ukuyekethisa. ;cause;Bakhathala ukuxabana. ;Ayengaxoxi ngale nkinga. ;0
Lona wesifazane wanquma ukufaka isicelo sokuthatha isikhundla sikahulumeni. ;effect;Waqasha umphathi womkhankaso. ;Wafakaza enkantolo. ;0
Le ndoda yayilindele ukuba kube nesimo sezulu esibandayo ohambweni lwayo. ;effect;Waphuthelwa izingubo ezifudumele ephaketheni lakhe. ;Wahamba nesikhwama esikhulu. ;0
Umfundi wayeyazi impendulo yalo mbuzo. ;effect;Waphakamisa isandla. ;Wenza iphutha. ;0
Le ndoda yakhala izinyembezi. ;cause;Unothuli emehlweni. ;Wafaka izibuko ezivikelayo emehlweni akhe. ;0
Lo mdlali wanqoba imidlalo emihlanu ilandelana. ;effect;Umphikisi wakhe wamsola ngokukhwabanisa. ;Umphikisi wakhe wamdabukela. ;0
Uthisha wasiklebhula isivivinyo somfundi. ;cause;Wabamba umfundi ekopela. ;Izimpendulo zomfundi zazingalungile. ;0
Ngama kancane ukuze ngiyeke ukukhuluma. ;cause;Ngilahlekelwe izwi lami. ;Ngaphelelwa umoya. ;1
Ukudla okufriziwe kwachichima. ;cause;Ngiyifake emshinini we-microwave. ;Ngawumboza ngepulasitiki. ;0
Isisebenzi sasizenza isiguli. ;cause;Wayenamafinyila esiswini. ;Wayefuna usuku lokuphumula. ;1
Le ntombazane yawela echibini. ;cause;Wagijima phezu kwedokodo lokubhukuda. ;Wagxuma waphuma ebhodini lokwehla. ;1
Amathikithi ebhayisikobho ayethengisiwe. ;cause;Kwakuwusuku lokuvula ifilimu. ;Le filimu yathola izibuyekezo ezingezinhle. ;0
Le ndoda yehla ngesisindo. ;effect;Abantu bamhlukanisa. ;Abantu babemncoma. ;1
Izandla zale ntombazane zaqala ukuba nezimbotshana. ;cause;Wathayipha incwadi. ;Wakhwela intambo. ;1
Umculi waseshashalazini wayedlala ngesikhathi ehamba ngebhayisikili elinamabhayisikili amabili. ;effect;Izilaleli zamemeza ngokumangala. ;Lo mdlali waseshashalazini wayegxuma esuka emgodini. ;0
Ngaphelelwa isineke. ;cause;Umngane wami wangenza ngalinda. ;Umngane wami wafika ngesikhathi. ;0
Amazwe alwayo ayefuna ukuthula. ;effect;Bakha izikhali zenuzi. ;Baxoxisana ngesivumelwano. ;1
Le ndoda yayithathe amaphilisi okulala. ;effect;Waqala ukucobeka. ;Wayenomkhuhlane. ;0
Lona wesifazane washayisa kusofa. ;effect;Umlenze wesofa wehla. ;Waphuka idolo. ;1
Umfana wacindezela ibhaluni. ;effect;Ibhaluni laqhuma. ;Ibhaluni laphunyuka. ;0
Babeyizihambi ezazilinde ekamelweni lazo lasehhotela. ;effect;Bakhipha izikhwama zabo. ;Baya esikhumulweni sezindiza. ;0
Ngilume iphesika. ;effect;Iphesika lilimaze. ;Kwachitheka ujusi. ;1
Izandla zami zaba nokunamathela. ;cause;Ngadla i-donut. ;Ngangikuthanda ukudla okumnandi. ;0
Ngacindezela umnyango. ;effect;Umnyango wavuleka. ;Umnyango uvaliwe. ;0
Izishoshovu zawenqaba lo mkhiqizo. ;cause;Imikhiqizo yahlolwa ukuze kuqinisekiswe ikhwalithi. ;Le mikhiqizo yayenziwa ngokusetshenziswa kwezingane. ;1
Ngagubha umgodi odongeni. ;effect;Igundane lakhwela laphuma emgodini. ;Kwaphuma uthuli emgodini. ;1
Lona wesifazane waba nomona ngodadewabo. ;cause;Udadewabo wayejabule. ;Udadewabo wahlukanisa. ;0
Ngachitheka iwayini ekameleni lami. ;effect;Ngafaka umgexo. ;Ngashintsha ihembe lami. ;1
