premise;question;choice1;choice2;label
Товари були упаковані в плівку з міхурами. ;cause;Вона була крихкою. ;Він був маленьким. ;0
Я випорозив кишені. ;effect;Я знайшов квиток. ;Я знайшов зброю. ;0
У будинок вторглися терміти. ;effect;Терміти зникли з будинку. ;Терміти з'їли дерево в будинку. ;1
Мандрівники досягли кордону. ;effect;Патрульний агент перевірив їхні паспорти. ;Патрульний агент звинуватив їх у контрабанді. ;0
Офіс був закритий. ;cause;Це був свято. ;Це було влітку. ;0
У дівчини закінчилася енергія. ;cause;Вона грала в шашки. ;Вона стрибала на мотузку. ;1
Жінка втратила своє місце в черзі. ;cause;У чергу входило більше людей. ;Вона вийшла за чергу. ;1
Дівчина защипила себе за ніс. ;cause;Дитина слила на її бабник. ;Дитина забруднювала її пелюшку. ;1
Група зіграла свою хіт-пісню. ;effect;Публіка плескала під музику. ;Глядачі ввічливо слухали в тиші. ;0
Дівчина хотіла подякувати вчителю математики. ;effect;Дівчина залишилася після школи на затримання. ;Дівчина принесла вчителю яблуко. ;1
Молоді табірники були налякані. ;cause;Їхній консультант в таборі розповів їм історію про привидів. ;Вони обпікали зефір на вогні. ;0
Чоловік ударився головою. ;effect;Він загубився у думках. ;У нього шок. ;1
Чек, який я виписав, не виплатився. ;cause;Мій рахунок у банку був порожній. ;Я заслужив підвищення зарплати. ;0
Посилальна скринька чоловіка була повною спаму. ;effect;Він видалив спам. ;Він розсилав масовий електронний лист. ;0
Моряка було введено в карантин. ;cause;Він був підданий впливу хвороби. ;Він одужав від хвороби. ;0
Дівчина запам'ятала код. ;cause;Вона переказала її собі. ;Вона забула це записати. ;0
Я вилив воду в склянку. ;effect;Вода згасила мою спрагу. ;Чаша наповнилася. ;1
Чоловік мовчав, коли його друг закінчив говорити. ;cause;Він хотів підтримати свого друга. ;Він думав про слова свого друга. ;1
Я був винний у аварії. ;effect;Я відчував себе винним. ;Я подала звинувачення. ;0
Церець розвалився. ;cause;Церець була обгорнута навколо шини. ;У ланцюжку було розбито ланцюг. ;1
Пара вирішила піти на компроміс. ;cause;Вони втомилися сперечатися. ;Вони уникали обговорювати проблему. ;0
Ця жінка вирішила висунути свою кандидатуру на посаду. ;effect;Вона найняла менеджера кампанії. ;Вона свідчила в суді. ;0
Чоловік очікував, що на його подорожі буде холодно. ;effect;Він упакував теплий одяг у валізу. ;Він подорожував з великою валізою. ;0
Студент знав відповідь на питання. ;effect;Він підняв руку. ;Він збрехав. ;0
У чоловіка витікали сльози. ;cause;Путін потрапив у очі. ;Він накинув на очі окуляри. ;0
Гравець виграв п'ять ігор поспіль. ;effect;Її опонент звинуватив її у шахрайстві. ;Її опонента жаліло її. ;0
Вчитель розривав іспит учня. ;cause;Він спіймав студента на шахрайстві. ;Відповіді студента були неправильними. ;0
Я зупинився, щоб припинити розмову. ;cause;Я втратив голос. ;Я задихався. ;1
Заморожена їжа розморозилася. ;cause;Я поклала його в мікрохвильку. ;Я прикрив його пластиковою плівкою. ;0
Працівець прикинувся хворим. ;cause;У нього були судоми в животі. ;Він хотів вільний день. ;1
Дівчина впала в басейн. ;cause;Вона бігла по басейну. ;Вона зістрибнула з підводного плату. ;1
Квитки до кіно розпродані. ;cause;Це був день прем'єри фільму. ;Фільм отримав погані відгуки. ;0
Чоловік схуднув. ;effect;Люди ізолювали його. ;Люди йому компліментували. ;1
Руки дівчини з'явилися в пухлини. ;cause;Вона напечатала лист. ;Вона піднялася на мотузку. ;1
Циркова артистка жонгулявала, їдучи на одноколісному велосипеді. ;effect;Глядачі здивовані вітали. ;Акробат розмахвався з трапеції. ;0
Я втратив терпіння. ;cause;Мій друг змусив мене чекати. ;Мій друг прибув вчасно. ;0
Воюючі країни хотіли миру. ;effect;Вони розробили ядерну зброю. ;Вони домовилися про договір. ;1
Чоловік взяв снотворне. ;effect;Він заснув. ;У нього була лихоманка. ;0
Жінка врізалася в диван. ;effect;Нога дивана розслабилася. ;Вона пошкодила коліно. ;1
Хлопчик стиснув повітряну кулю. ;effect;Балон розривався. ;Балон полетів. ;0
Вони подорожували, заносячись у готель. ;effect;Вони розпакували свої валізи. ;Вони пішли до аеропорту. ;0
Я вкусив персик. ;effect;Персик пошкоджений. ;Вилився сік. ;1
Мої руки стали липкими. ;cause;Я з'їв пончик. ;Я любила солодке. ;0
Я відштовхнув двері. ;effect;Двері відчинилися. ;Двері зачинені. ;0
Активісти бойкотували ці продукти. ;cause;Продукти були перевірені на забезпечення якості. ;Продукти виготовлялися за допомогою дитячої праці. ;1
Я пробурив діру в стіні. ;effect;З ями випрямилася миша. ;Пункт видував пил. ;1
Ця жінка заздрила своїй сестрі. ;cause;Її сестра була щаслива. ;Її сестра розлучилася. ;0
Я розлив вино на сорочку. ;effect;Я надягнув передник. ;Я переодягся. ;1
Касіонер відкрив касову машину. ;cause;Клієнт обшукав його гаманець. ;Клієнт передав їй гроші. ;1
Уличний музикант привернув натовп. ;effect;Люди давали йому трохи трохи. ;Він відпустив натовп. ;0
Маленький хлопчик плакав до своєї няні. ;cause;Йому бракувало своїх батьків. ;Це був час перекусу. ;0
Радар пілота виявив шторм. ;effect;Пілот відправився від шторму. ;Пілот пролетів через шторм. ;0
Дерево листяє. ;effect;Листя змінило кольори. ;Листя накопичилося на землі. ;1
Хлопчик був у злісному настрої. ;effect;Він вирішив зіграти в карту зі своєю сестрою. ;Він вирішив зіграти зі своєю сестрою жарт. ;1
Дитина скаржилася, що їй потрібно в туалет. ;effect;Його батько дав йому соду випити. ;Його батько зупинив машину на бензозаправці. ;1
Дитина покинула рибну їжу в акваріум. ;effect;Риба вистрибнула з акваріуму. ;Риба плив до їжі. ;1
Політичні погляди жінки змінилися. ;effect;Вона змінила партійну приналежність. ;Вона взяла участь у протесті. ;0
Мивка в ванній була забита. ;effect;Я відкрив крана. ;Я налив в нього очищувач від стоків. ;1
Пасажири зійшли з потягу. ;cause;Потяг прибув на станцію. ;Поїзд свисте. ;0
Чоловік натиснув на вологою кришкою конверта. ;effect;Він поклав печатку на конверт. ;Він запечатав конверт. ;1
Друзі втратили зв'язок. ;cause;Вони насолоджувалися спільною компанією. ;Вони переїхали в різні міста. ;1
Бухгалтер неправильно розпоряджався фондами компанії. ;effect;Її звільнили з посади. ;Вона пішла на декрет. ;0
Я подивився на годинник. ;cause;Я почув, як тикає годинник. ;Я хотів перевірити час. ;1
У мене з'їзли руки. ;cause;Я написав есе вручну. ;Ми з дружиною трималися за руки. ;0
Шлюв затягнувся. ;cause;Я замінив болт. ;Я викрутив гальмавий ключ. ;1
Пара підписала договір про оренду квартири. ;effect;Пара переїхала до квартири. ;Місто засудило квартиру. ;0
Жінка сиділа на веранді. ;cause;Вона хотіла подивитися на захід сонця. ;Вона думала, що бачила блискавицю. ;0
Чоловік був у рятувальній жилетці. ;cause;Він не вмів плавати. ;Вода була мілководньою. ;0
Жінка зробила помилку в текстовому процесорі. ;effect;Вона видалила документ. ;"Вона натиснула клавішу ""Back Space"". ";1
Дівчина хвалилася перед своїми друзями. ;cause;Вона отримала погану оцінку. ;Вона виграла конкурс. ;1
Газон був брудним. ;cause;Всю ніч лив. ;Він був повний бур'янів. ;0
Жінка переспала. ;cause;Вона провела ніч в готелі. ;Вона забула встановити будильник. ;1
