premise;question;choice1;choice2;label
Varet var förpackat i bubbelfolie. ;cause;Den var skör. ;Den var liten. ;0
Jag tömde fickorna. ;effect;Jag hittade en biljett. ;Jag hittade ett vapen. ;0
Termiter invaderade huset. ;effect;Termiterna försvann från huset. ;Termiterna åt genom träet i huset. ;1
Resenärerna nådde gränsen. ;effect;Patruljen kontrollerade deras pass. ;Patrullagenten anklagade dem för smuggling. ;0
Kontoret var stängt. ;cause;Det var en helgdag. ;Det var sommar. ;0
Flickan var slut på energi. ;cause;Hon spelade dam. ;Hon hoppade rep. ;1
Kvinnan förlorade sin plats i kön. ;cause;Fler människor kom in i kön. ;Hon gick ut ur kön. ;1
Flickan klämde i näsan. ;cause;- Barnet salivade på hennes bäb. ;Bebisen smutsade hennes blöja. ;1
Bandet spelade sin hitlåt. ;effect;Publiken klappade tillsammans med musiken. ;Publiken lyssnade artigt i tystnad. ;0
Flickan ville tacka sin matte lärare. ;effect;Flickan stannade efter skolan för kvarhållning. ;Flickan tog med ett äpple till läraren. ;1
De unga campare kände sig rädda. ;cause;Deras lägerledare berättade en spökhistoria. ;De rostade marshmallows på lägerelden. ;0
Han slog i huvudet. ;effect;Han gick vilse i tankar. ;Han fick en hjärnskakning. ;1
Checken jag skrev var inte betald. ;cause;Mitt bankkonto var tomt. ;Jag förtjänade en löneförhöjning. ;0
Mannens e-postlåda var full av skräppost. ;effect;Han raderade spam. ;Han skickade ut massemails. ;0
- Han satt i karantän. ;cause;Han exponerades för sjukdomen. ;Han återhämtade sig från sjukdomen. ;0
Flickan memorerade koden. ;cause;Hon reciterade den för sig själv. ;Hon glömde skriva ner det. ;0
Jag hällde vattnet i glaset. ;effect;Vattnet släckte min törst. ;Glaset blev fullt. ;1
Mannen förblev tyst när hans vän hade talat färdigt. ;cause;Han ville erbjuda sin vän stöd. ;Han tänkte på sin väns ord. ;1
Olyckan var mitt fel. ;effect;Jag kände mig skyldig. ;Jag har åtalade. ;0
Kedjan gick sönder. ;cause;Kedjan var insvept runt ett däck. ;Det var en bruten länk i kedjan. ;1
Paret beslöt sig för att kompromissa. ;cause;De tröttnade på att gräla. ;De undvek att diskutera problemet. ;0
Kvinnan bestämde sig för att ställa upp för ett offentligt ämbete. ;effect;Hon anlitade en kampanjchef. ;Hon vittnade i rätten. ;0
Mannen förutspådde kallt väder på sin resa. ;effect;Han packade varma kläder i resväskan. ;Han reste med en stor resväska. ;0
Studenten visste svaret på frågan. ;effect;Han räckte upp handen. ;Han gjorde ett dumt fall. ;0
Mannens ögon flöt. ;cause;Stycket kom in i ögonen. ;Han satte skyddsglasögon över ögonen. ;0
Spelaren vann fem matcher i rad. ;effect;Hennes motståndare anklagade henne för fusk. ;Hennes motståndare tyckte synd om henne. ;0
Läraren rev upp elevens examen. ;cause;Han fångade studenten som fuskade. ;Studentens svar var felaktiga. ;0
Jag stannade för att sluta prata. ;cause;Jag förlorade min röst. ;Jag fick ont om andetag. ;1
Den frysta maten tinade. ;cause;Jag la den i mikrovågsugnen. ;Jag täckte den med plastfolie. ;0
Anställd låtsades sjuk. ;cause;Han hade magvärk. ;Han ville ha ledigt. ;1
Flickan landade i poolen. ;cause;Hon sprang på pooldäcket. ;Hon hoppade från springbrädan. ;1
Biljetterna är slut. ;cause;Det var premiär för filmen. ;Filmen fick dåliga recensioner. ;0
Mannen har gått ner i vikt. ;effect;Folk isolerade honom. ;Folk gjorde komplimanger. ;1
Flickans händer blev blåsade. ;cause;Hon skrev ett brev. ;Hon klättrade upp på ett rep. ;1
Cirkusartisten jonglerade medan han åkte på en encykel. ;effect;Publiken jublade förvånad. ;Akrobaten svängde från en trapez. ;0
Jag tappade tålamodet. ;cause;Min vän fick mig att vänta. ;Min vän kom i tid. ;0
De krigförande länderna ville ha fred. ;effect;De utvecklade kärnvapen. ;De förhandlade fram ett fördrag. ;1
Mannen tog sömnmedel. ;effect;Han blev sömnig. ;Han hade feber. ;0
Kvinnan stötte in i soffan. ;effect;Soffans ben lossnade. ;Hon har blåmärken i knät. ;1
Pojken klämde i ballongen. ;effect;Ballongen knäckte. ;Ballongen flög iväg. ;0
De checkade in på sitt hotellrum. ;effect;De packade ut sina resväskor. ;De åkte till flygplatsen. ;0
Jag bet i persikan. ;effect;Persikan är blå. ;- Det spilldes juice. ;1
Mina händer blev klibbiga. ;cause;Jag åt en munk. ;Jag hade en söt tand. ;0
Jag tryckte på dörren. ;effect;Dörren öppnades. ;Dörren är låst. ;0
Aktivister bojkottade produkterna. ;cause;Produkterna har testats för kvalitetssäkring. ;Produkterna tillverkades med barnarbete. ;1
Jag borrade ett hål i väggen. ;effect;En mus kröp ut ur hålet. ;Damm blåste ut ur hålet. ;1
Kvinnan kände avundsjuka på sin syster. ;cause;Hennes syster var glad. ;Hennes syster har skilt sig. ;0
Jag spillde vin på min skjorta. ;effect;Jag tog på mig ett förkläde. ;Jag bytte tröja. ;1
Kassan öppnade kassaapparatet. ;cause;Kunden genomsökte plånboken. ;Kunden gav henne pengar. ;1
Gatumusikern lockade till sig en folkmassa. ;effect;Folk gav honom växlar. ;Han skickade bort folkmassan. ;0
Den lilla pojken grät till sin barnvakt. ;cause;Han saknade sina föräldrar. ;Det var snacktid. ;0
Pilotens radar upptäckte en storm. ;effect;Piloten seglade bort från stormen. ;Piloten flög genom stormen. ;0
Trädet tappade blad. ;effect;Bladen blev färgade. ;Bladen samlades på marken. ;1
Pojken var på ett elakt humör. ;effect;Han bestämde sig för att spela ett kortspel med sin syster. ;Han bestämde sig för att göra ett skämt med sin syster. ;1
