premise;question;choice1;choice2;label
Barang kasebut dikemas ing bungkus gelembung. ;cause;Kuwi ora gampang rusak. ;Iku cilik. ;0
Aku ngiris kanthongku. ;effect;Aku njupuk sepur tiket. ;Aku nemu senjata. ;0
Termit nyerang omah. ;effect;Ulam-ulam mau ilang saka omah. ;Ulat-ulat mau mangan kayu ing omah. ;1
Para wong lelungan wis tekan tapel wates. ;effect;Agen patroli mriksa pasporé. ;Agen patroli nudhuh wong-wong mau nggodha. ;0
Kantoré ditutup. ;cause;Dina kuwi dina riyaya. ;Wektu kuwi musim panas. ;0
Bocah wadon kuwi ora nduwé tenaga manèh. ;cause;Dheweke main dam. ;Dheweke mlumpat tali. ;1
Wong wadon kuwi ora ana ing antarané wong-wong sing nunggu. ;cause;Akèh wong sing mlebu antrian. ;Dheweke metu saka baris. ;1
Bocah wadon iku nyubit irunge. ;cause;Bayi iku ngguyu ing pipine. ;Bayi kuwi ngrusak popoké. ;1
Band kasebut main lagu hit. ;effect;Para penonton padha tepuk tangan sakdurungé musik kuwi diwiwiti. ;Para hadirin padha meneng-menengan ngrungokaké kanthi sopan. ;0
Bocah wadon mau arep matur nuwun marang guru matematika. ;effect;Bocah wadon mau tetep sekolah sakwisé sekolah kanggo detensi. ;Bocah wadon iku nggawa apel kanggo guru. ;1
Para camper enom kuwi wedi. ;cause;Konselor kampé nyritakké crita bab hantu. ;Wong-wong kuwi nggoreng marshmallow ing geni. ;0
Wong lanang iku ngethok sirahé. ;effect;Dhèwèké dadi bingung. ;Dheweke ngalami geger otak. ;1
Cek sing tak tulis ora dibayar. ;cause;Rekening bankku kosong. ;Aku entuk kenaikan gaji. ;0
Kotak mlebu emailé wong lanang kuwi kebak spam. ;effect;Dheweke mbusak spam. ;Dhèwèké ngirim e-mail akèh. ;0
Pelaut kuwi dikarantina. ;cause;Dhèwèké kena penyakit kuwi. ;Dhèwèké pulih saka lelara iku. ;0
Bocah wadon kuwi wis ngapalaké kode kuwi. ;cause;Dhèwèké maca ing njero ati. ;Dheweke lali nulis. ;0
Aku ngudhunaké banyu ing gelas. ;effect;Banyu kuwi ngilangké rasa ngelakku. ;Kaca dadi kebak. ;1
Wong lanang kuwi meneng waé sakwisé kanca kuwi rampung ngomong. ;cause;Dhèwèké péngin ndhukung kancané. ;Dhèwèké mikirké omongané kancané. ;1
Kacilakan kuwi salahku. ;effect;Aku rumangsa salah. ;Aku nglaporake. ;0
