premise;question;choice1;choice2;label
আইটেমটি বুদবুদ মোড়ানো ছিল। ;cause;এটা ভঙ্গুর ছিল. ;ছোট ছিল। ;0
আমি আমার পকেট খালি করেছি। ;effect;আমি একটি টিকেট স্টাপ উদ্ধার. ;আমি একটা অস্ত্র পেয়েছি। ;0
টার্মিটরা ঘরে ঢুকে পড়েছে। ;effect;টার্মিটরা বাড়ি থেকে অদৃশ্য হয়ে গেছে। ;টার্মিটরা বাড়ির কাঠের মধ্যে দিয়ে খেয়ে ফেলেছে। ;1
যাত্রীরা সীমান্তে পৌঁছেছিল। ;effect;প্যাট্রোল এজেন্ট তাদের পাসপোর্ট চেক করেছে। ;প্যাট্রোল এজেন্ট তাদের চোরাচালান করার অভিযোগে অভিযুক্ত করেছে। ;0
অফিস বন্ধ ছিল। ;cause;এটা ছুটি ছিল। ;তখন গ্রীষ্মকাল। ;0
মেয়েটার শক্তি শেষ হয়ে গেল। ;cause;সে দাবা খেলত। ;সে দড়ি দিয়ে লাফিয়ে পড়েছে। ;1
মহিলাটি তার জায়গা হারায়। ;cause;আরো মানুষ লাইনে এসে দাঁড়াল। ;সে লাইনের বাইরে চলে গেলো। ;1
মেয়েটা তার নাকটা পিষে ফেলেছে। ;cause;বাচ্চাটা তার পেটে স্ল্যাভ করেছে। ;বাচ্চা তার ডায়াপার নোংরা করেছে। ;1
ব্যান্ডটি তাদের হিট গানটি বাজিয়েছিল। ;effect;দর্শকরা সঙ্গীতকে সাথেই হাত চাপড়াতে লাগল। ;শ্রোতারা শ্রদ্ধার সাথে নীরবে শুনছিলেন। ;0
মেয়েটি তার গণিত শিক্ষকের ধন্যবাদ জানাতে চেয়েছিল। ;effect;মেয়েটা স্কুলের পর ডিটেনশন নিয়েই থাকতো। ;মেয়েটি শিক্ষকের কাছে একটি আপেল নিয়ে এল। ;1
তরুণ ক্যাম্পাররা ভয় পেয়েছিল। ;cause;তাদের ক্যাম্পের কাউন্সেলর তাদের একটি ভূতের গল্প বলেছে। ;তারা ক্যাম্পফায়ারে মার্শমেলো রান্না করছিল। ;0
লোকটা তার মাথা আঘাত করেছে। ;effect;সে চিন্তায় হারিয়ে গেলো। ;তার মস্তিষ্ক ঘাটেছে। ;1
আমার লেখা চেকটা বকড। ;cause;আমার ব্যাংক অ্যাকাউন্ট খালি ছিল। ;আমি বেতন বাড়ানোর যোগ্য। ;0
