premise;question;choice1;choice2;label
Položka byla zabalena v bublinkové fólii. ;cause;Bylo křehké. ;Bylo to malé. ;0
Vyprázdnil jsem si kapsy. ;effect;Vzal jsem si lístek. ;Našel jsem zbraň. ;0
Termity napadly dům. ;effect;Termity zmizely z domu. ;Termity sežeraly dřevo v domě. ;1
Cestovatelé dorazili na hranici. ;effect;Agentka z hlídky zkontrolovala jejich pasy. ;Hlídka je obvinila z pašování. ;0
Kancelář byla zavřená. ;cause;Bylo to svátek. ;Bylo léto. ;0
Dívce došly energie. ;cause;Hrála dámu. ;Skočila přes provaz. ;1
Ta žena ztratila své místo v řadě. ;cause;Další lidé vstoupili do fronty. ;Vystoupila z řady. ;1
Ta holka si uštipla nos. ;cause;Dítě slintalo na její deku. ;Dítě jí pošpinilo plínku. ;1
Kapela hrála svou hitovou píseň. ;effect;Diváci tleskali do hudby. ;Diváci slušně poslouchali v tichu. ;0
Ta dívka chtěla poděkovat učitelce matematiky. ;effect;Ta holka zůstala po škole kvůli trestu. ;Dívka přinesla učitelce jablko. ;1
Mladí táborníci se báli. ;cause;Jejich táborový poradce jim vyprávěl příběh o duších. ;Na ohni si připáli marshmallows. ;0
Ten muž se praštil do hlavy. ;effect;Ztratil se v myšlenkách. ;Má otřes mozku. ;1
Šek, co jsem napsal, se nevyplatil. ;cause;Můj bankovní účet byl prázdný. ;Zasloužil jsem si zvýšení platu. ;0
Jeho e-mailová schránka byla plná spamu. ;effect;Vymazal ten spam. ;Poslal hromadný e-mail. ;0
Námořník byl v karanténě. ;cause;Byl vystaven této nemoci. ;On se zotavil z nemoci. ;0
Ta holka si zapamatovala kód. ;cause;Recitovala si to sama. ;Zapomněla si to napsat. ;0
Nalil jsem vodu do sklenice. ;effect;Voda mi uhasila žízeň. ;Sklenice se naplnila. ;1
Když jeho přítel skončil, zůstal ticho. ;cause;Chtěl nabídnout svému příteli podporu. ;Přemýšlel o slovech svého přítele. ;1
Ta nehoda byla moje chyba. ;effect;Cítil jsem se provinile. ;- Obvinil jsem ho. ;0
Řetěz se rozpadl. ;cause;Ten řetěz byl omotaný kolem pneumatiky. ;Bylo to zlomené spojení v řetězci. ;1
Manželé se rozhodli udělat kompromis. ;cause;Už se jim nebaví hádat. ;Vyhýbají se diskuzi o problému. ;0
Ta žena se rozhodla kandidovat na veřejnou funkci. ;effect;Najala manažera kampaně. ;Svědčila u soudu. ;0
Ten muž očekával na své cestě chladné počasí. ;effect;V kufru si dal teplé oblečení. ;Cestoval s velkým kufrem. ;0
Student znal odpověď na otázku. ;effect;Zvedl ruku. ;Zbláznil se. ;0
Ten muž měl slzy v očích. ;cause;V očích měl prach. ;Dal si na oči brýle. ;0
Ten hráč vyhrál pět zápasů v řadě. ;effect;Její soupeř ji obvinil z podvádění. ;Její protivník ji litoval. ;0
Učitel roztrhal studentovu zkoušku. ;cause;Chytil studenta, jak podvádí. ;Odpovědi žáka byly nesprávné. ;0
Zastavil jsem se, abych přestal mluvit. ;cause;Ztratil jsem hlas. ;Ztratil jsem dech. ;1
Zmrazené jídlo se rozmrazuje. ;cause;Dal jsem ho do mikrovlnky. ;Zakryl jsem to plastovou fólií. ;0
Zaměstnanec předstíral nemoc. ;cause;Měl křeče v žaludku. ;Chtěl den volna. ;1
Ta holka spadla do bazénu. ;cause;Běhala po bazénové palubě. ;Skočila z trampolíny. ;1
Vstupenky do kina jsou vyprodané. ;cause;Byl to premiéra filmu. ;Film dostal špatné recenze. ;0
Ten muž zhubnul. ;effect;Lidé ho izolovali. ;Lidé mu dělali komplimenty. ;1
Dívce se z ruky vytvořily puchýře. ;cause;Napsala dopis. ;Vylezla na provaz. ;1
