premise;question;choice1;choice2;label
Предметът е опакован в мехурска опаковка. ;cause;Беше крехко. ;Беше малък. ;0
Изпразних джобовете си. ;effect;Взех един билет. ;Намерих оръжие. ;0
Термити нахлуха в къщата. ;effect;Термитите изчезнаха от къщата. ;Термитите са изяли дървото в къщата. ;1
Пътешествениците достигнаха границата. ;effect;Патрулният агент е проверил паспортите им. ;Патрулният агент ги обвини в контрабанда. ;0
Офисът беше затворен. ;cause;Беше празник. ;Беше лято. ;0
Момичето е изчерпало енергията си. ;cause;Играла е шами. ;Тя скочи на въже. ;1
Жената загуби мястото си в опашката. ;cause;Още хора се изправиха на опашката. ;Тя излезе от редицата. ;1
Момичето си е стиснало носа. ;cause;Бебето се лигави на балдахина. ;Бебето й е изцапало пелените. ;1
Групата изсвири хитовата си песен. ;effect;Публиката пляскаше заедно с музиката. ;Публиката учтиво слушаше в тишина. ;0
Момичето искаше да благодари на учителя си по математика. ;effect;Момичето остана след училище за наказание. ;Момичето донесе на учителя ябълка. ;1
Младите лагерници се уплашиха. ;cause;Съветникът им им разказа история за призраци. ;Те печеха бонбони на лагерния огън. ;0
Човекът си удари главата. ;effect;Загубил се е в мислите си. ;Има сътресение. ;1
Чекът ми не се отплати. ;cause;Банковата ми сметка беше празна. ;Заслужавам повишение. ;0
Пощенската му кутия беше пълна със спам. ;effect;Изтри спама. ;Изпрати масова поща. ;0
Морякът е бил под карантина. ;cause;Той е бил изложен на болестта. ;Той се възстанови от болестта. ;0
Момичето запомни кода. ;cause;Тя го рецитира сама. ;Забравила е да го запише. ;0
Излях водата в чашата. ;effect;Водата утоли жаждата ми. ;Чашата се напълни. ;1
Мъжът мълчеше, когато приятелят му довърши. ;cause;Искаше да предложи подкрепа на приятеля си. ;Той мислеше за думите на приятеля си. ;1
Аварията беше по моя вина. ;effect;Чувствах се виновен. ;Подал съм жалба. ;0
Веригата се разпадна. ;cause;Веригата е била увита около гума. ;Имаше счупена връзка в веригата. ;1
Двойката решила да направи компромис. ;cause;Омръзнало им е да спорят. ;Те избягваха да обсъждат проблема. ;0
Жената реши да се кандидатира за държавна длъжност. ;effect;Нае мениджър на кампанията. ;Тя свидетелства в съда. ;0
Мъжът очакваше студено време за пътуването си. ;effect;Той си е сложил топли дрехи в куфара. ;Пътувал е с голям куфар. ;0
Студентът знаеше отговора на въпроса. ;effect;Той вдигна ръка. ;Той се издъни. ;0
Очите на човека се изплакаха. ;cause;Пълен е в очите му. ;Сложи си очила. ;0
Играчът спечели пет мача подред. ;effect;Съперникът й я обвини в измама. ;Съперникът й я съжали. ;0
Учителят разкъса изпита на ученика. ;cause;Хванал е ученика да маме. ;Отговорите на ученика бяха грешни. ;0
Спрях да говоря. ;cause;Изгубих си гласа. ;Изчерпа ми дъха. ;1
Замразените храни се размразяват. ;cause;Сложих го в микровълновата. ;Покрих го с пластмасова опаковка. ;0
Служителят се е преструвал на болен. ;cause;Имаше стомашни спазми. ;Искаше почивен ден. ;1
Момичето падна в басейна. ;cause;Тя тичаше по басейна. ;Тя скочи от платното. ;1
Билетите за кино са разпродадени. ;cause;Беше денят на премиерата на филма. ;Филмът получи лоши отзиви. ;0
Човекът отслабна. ;effect;Хората го изолираха. ;Хората го хвалиха. ;1
Ръцете на момичето се развихриха. ;cause;Тя написа писмо. ;Изкачила се е на въже. ;1
Цирковата артистка жонглира, докато кара едноколесен велосипед. ;effect;Публиката се възхити и възкликна. ;Акробатът се люлееше от трапеца. ;0
Изгубих търпението си. ;cause;Приятелят ми ме накара да чакам. ;Приятелят ми пристигна навреме. ;0
Воюващите страни искали мир. ;effect;Те са разработили ядрени оръжия. ;Те договориха договор. ;1
Човекът е взел успокоително. ;effect;Стана сънлив. ;Имаше треска. ;0
Жената се блъсна в дивана. ;effect;Кракът на дивана се откъсна. ;Тя си е наранила коляното. ;1
Момчето стисна балона. ;effect;Балонът се спука. ;Балонът отлетя. ;0
Пътешествениците са се настанили в хотелската си стая. ;effect;Разпаковали са си куфарите. ;Отидоха на летището. ;0
Аз хапех прасковата. ;effect;Персика е наранен. ;Изля сок. ;1
Ръцете ми се залепиха. ;cause;Ядох поничка. ;Имах сладък зъб. ;0
Аз бутнах вратата. ;effect;Вратата се отвори. ;Вратата е заключена. ;0
Активистите бойкотираха продуктите. ;cause;Продуктите са били подложени на проверки за осигуряване на качеството. ;Продуктите са произведени чрез детски труд. ;1
Пробих дупка в стената. ;effect;Мишка изплува от дупката. ;Прахът излязъл от дупката. ;1
Жената завиждаше на сестра си. ;cause;Сестра й беше щастлива. ;Сестра й се развежда. ;0
Разлях вино по ризата си. ;effect;Сложих си престилка. ;Смених си ризата. ;1
Касиерът отворил касата. ;cause;Клиентът е претърсил портфейла си. ;Клиентът й даде парите. ;1
Уличният музикант привличаше тълпа. ;effect;Хората му давали дребни. ;Той изпрати тълпата. ;0
Малкото момче плачеше на бавачката си. ;cause;Липсваха му родителите. ;Беше време за закуска. ;0
Радарът на пилота е засегнал буря. ;effect;Пилотът се отдалечи от бурята. ;Пилотът прелетя през бурята. ;0
Дървото си хвърля листата. ;effect;Листата се оцветиха. ;Листата се натрупват на земята. ;1
Момчето беше в лошо настроение. ;effect;Решил е да играе на карти със сестра си. ;Решил е да се подиграе на сестра си. ;1
Детето се оплака, че трябва да отиде до тоалетната. ;effect;Баща му му даде сода да пие. ;Баща му спря колата на бензиностанция. ;1
Детето пръсна риба храна в резервоара. ;effect;Рибата скочи от аквариума. ;Рибата плува към храната. ;1
Политическите възгледи на жената се променили. ;effect;Тя смени партийната си принадлежност. ;Тя се включи в протест. ;0
Мивката в банята беше запушена. ;effect;Аз отворих кранчето. ;Излях в него почистващ препарат. ;1
Пътниците слязоха от влака. ;cause;Влакът пристигна на гарата. ;Влакът свири. ;0
Мъжът натиска влажния капак на плика. ;effect;Той сложи печат на плика. ;Той запечата плика. ;1
Приятелите загубиха връзка. ;cause;Те се наслаждаваха на компанията си. ;Преместили са се в различни градове. ;1
Счетоводителят е злоупотребил с парите на компанията. ;effect;Уволнена е от длъжността си. ;Тя отиде в отпуск по майчинство. ;0
Погледнах часовника. ;cause;Чух как часовникът тиктака. ;Исках да проверя часа. ;1
Ръката ми се сгъсти. ;cause;Написах есето на ръка. ;С жена ми се държахме за ръце. ;0
Болтът се стегна. ;cause;Смених болта. ;Аз обърнах ключа. ;1
Двойката подписа договор за наем на апартамент. ;effect;Двойката се премести в апартамента. ;Градът е забранил апартамента. ;0
Жената седеше на верандата. ;cause;Искаше да гледа залеза. ;Тя си помисли, че е видяла светкавица. ;0
Мъжът е носил спасителна жилетка във водата. ;cause;Не можеше да плува. ;Водата беше плитко. ;0
Жената е направила грешка в текстовия процесор. ;effect;Тя изтри документа. ;Тя натисна бутона за задната част. ;1
Момичето се хвали пред приятелите си. ;cause;Тя получи лоша оценка. ;Тя спечели състезание. ;1
Тревата беше кална. ;cause;През нощта валяше. ;Беше пълно с плевели. ;0
Жената е заспала. ;cause;Прекара нощта в хотел. ;Забравила е да си постави будилника. ;1
Мъжът сложи слънцезащитен крем. ;cause;Той седеше на сянка. ;Той отиде на плажа. ;1
Изследователите доказаха теорията. ;effect;Изследователите оттеглиха теорията. ;Хората приеха теорията. ;1
Феновете на мача се разплакаха. ;cause;Играта започна в продължение. ;Съдията е взел грешно решение. ;1
Вписах комбинацията на ключалката. ;effect;Затворих ключалката. ;Ключалката се отвори. ;1
Тълпата се засили. ;effect;Бащата даде на сина си малко пари. ;Бащата хвана сина си за ръката. ;1
Снегът беше блокирал алеята. ;effect;Събрах снега в снежна топка. ;Изхвърлих снягът. ;1
Каякарите гребеха с греблата си. ;effect;Каякът достигна брега. ;Каякът се сблъска с вълна. ;0
Момичето изгуби контрол над колелото си. ;effect;Тя пусна кормилото. ;Блъсна се в ограда. ;1
Включих вентилатора. ;effect;Вода, пръскана върху кожата ми. ;Усетих как хладен въздух преминава над мен. ;1
Сърфистите се върнаха на плажа. ;cause;Те бяха мокри. ;Видяха акула. ;1
Извадих пропускателната тръба в ваната. ;effect;Водата изтече от ваната. ;Водата се пръскаше по пода. ;0
Мъжът се чувствал виновен, че е изневерил на жена си. ;effect;Обвини я в изневяра. ;Той й признал изневярата си. ;1
Чернилото на плаката е размазано. ;cause;Чаках мастилото да изсъхне. ;Разлях вода по плаката. ;1
Детето се събуди с писъци. ;cause;Имаше кошмар. ;Той се измокри в леглото. ;0
Момчето постави краката си на масата. ;effect;Баща му седна на масата. ;Баща му го е изкарвал. ;1
Приятелят ми обърна глава към мен. ;cause;Виках името му. ;Аз размахвах ръцете си. ;0
Правителството потискаше гражданите си. ;effect;Гражданите се разбунтуваха. ;Гражданите се регистрираха за да гласуват. ;0
Момчето се беше изгубило в гората. ;effect;Той е поставил палатка. ;Той викаше за помощ. ;1
Жената е пътувала в чужбина. ;cause;Искаше да се научи да рисува. ;Искаше да научи за други култури. ;1
Човекът завиждаше на колегата си. ;cause;Неговият колега получи повишение. ;Колегата му работи до късно. ;0
Човекът е видял извънземни. ;cause;Имаше халюцинации. ;Той медитираше. ;0
Косата на мъжа стана руса. ;cause;Сложил е белина в него. ;Сложи шампоан в нея. ;0
Художникът създаде нова работа. ;cause;Тя критикува предишната си работа. ;Тя почувства удар на вдъхновение. ;1
Синът се отселва от дома. ;cause;Той е освободен от армията. ;Той щеше да отиде в колеж. ;1
Книгите паднаха от шкафа. ;cause;Рафите бяха покрити с прах. ;Земетресение разтърси книжарницата. ;1
В къщата ми спряха тока. ;effect;Запалих си лампата. ;Рестартирах прекъсвача. ;1
Качихме се на влака. ;cause;Изглеждаше страшно. ;Изглеждаше забавно. ;1
Чантата с пуканки започна да се пръска. ;cause;Излях масло в торбата. ;Нагрях го в микровълновата. ;1
Дърво падна на електрическата линия. ;effect;В квартала няма ток. ;Прогнозата е за силни ветрове. ;0
Говорителят направи политически некоректни коментари. ;effect;Той отегчи публиката. ;Той обиди публиката. ;1
Прободох се с иглата. ;effect;От лицето ми капеше потта. ;На пръста ми се образува капка кръв. ;1
Рибата се носеше по повърхността на резервоара. ;cause;Беше гладен. ;Беше мъртъв. ;1
Гласът на мъжа звучеше хрип. ;cause;Той е бил настинка. ;Той спря да пуши. ;0
Вратите на асансьора се отвориха. ;cause;Асансьорът пристигна на определения етаж. ;Асансьорът се заклещи между етажите. ;0
Тийнейджърът се измъкна от къщата. ;cause;Той излъга родителите си. ;Родителите му го накажаха. ;1
Банята е наводнена. ;cause;Тоалетната препълни. ;Водогревателят се счупи. ;0
Кученцето остана близо до собственика си. ;cause;Собственикът е сложил яка на кученцето. ;Собственикът държеше кученцето на каишка. ;1
Мъжът е хванал отражението му. ;cause;Той стоеше под голямото дърво. ;Той стоеше над спокойното езеро. ;1
Пропуснах обаждането на приятелката ми. ;effect;Обадих й се. ;Срещнах я на вечеря. ;0
Семейството претърси квартала. ;cause;Кучето им избяга от дома. ;От тяхното жилище липсвали скъпи бижута. ;0
Видях дъха си, когато дишах. ;cause;Времето беше студено. ;Скръбта ми се стегна. ;0
Работниците създадоха профсъюз. ;cause;Искаха по-добри условия на труд. ;Работодателят им им повиши заплатите. ;0
Изпеках ябълков пай. ;effect;Вкусът на гниене изпълни кухнята. ;В кухнята се разпространи топъл аромат. ;1
