premise;question;choice1;choice2;label
Ta stvar je bila u ambalaži od plastične folije. ;cause;Bio je krhki. ;Bilo je malo. ;0
Ispraznio sam džepove. ;effect;Pronašao sam ulaznicu. ;Našao sam oružje. ;0
Termiti su napali kuću. ;effect;Termiti su nestali iz kuće. ;Termiti su proždirali drvo u kući. ;1
Putnici su stigli do granice. ;effect;Patrolni agent je provjerio njihove putovnice. ;Patrolni agent ih je optužio za krijumčarenje. ;0
Ured je bio zatvoren. ;cause;Bio je praznik. ;Bilo je ljeto. ;0
Djevojci je ponestalo energije. ;cause;Igrala je dame. ;Ona je skočila u konopac. ;1
Žena je izgubila svoje mjesto u redu. ;cause;Više ljudi je ušlo u red. ;Izašla je iz reda. ;1
Djevojka je uštamcala nos. ;cause;Beba je slinila na džep. ;Beba joj je uprljala pelenu. ;1
Bend je svirao svoju hit pjesmu. ;effect;Publika je pljeskala uz glazbu. ;Publika je pristojno slušala u tišini. ;0
Djevojčica je htjela zahvaliti svom učitelju matematike. ;effect;Djevojka je ostala nakon škole zbog kazne. ;Djevojka je donijela učiteljici jabuku. ;1
Mladi kamperi su se uplašili. ;cause;Njihov savjetnik kamp im je ispričao priču o duhovima. ;Pecali su slatkiše na vatri. ;0
Čovjek je udario glavu. ;effect;Izgubio se u mislima. ;Dobio je potres mozga. ;1
Ček koji sam napisao nije isplaćen. ;cause;Moj bankovni račun je bio prazan. ;Zaslužio sam povišicu. ;0
Muškarac je email sandučić bio pun spam. ;effect;Obriše spam. ;Poslao je masovnu e-poštu. ;0
Mornar je bio u karanteni. ;cause;Bio je izložen bolesti. ;Ozdravio se od bolesti. ;0
Djevojka je zapamtila šifru. ;cause;Ona je recitirala sama sebi. ;Zaboravila je zapisati. ;0
Nalila sam vodu u čašu. ;effect;Voda mi je ugasila žeđ. ;Čaša je postala puna. ;1
Čovjek je šutio kad je njegov prijatelj završio govoriti. ;cause;Htio je ponuditi prijatelju podršku. ;Razmišljao je o riječima svog prijatelja. ;1
Nesreća je bila moja krivica. ;effect;Osjećao sam se krivim. ;Ja sam podnio tužbu. ;0
Lanac se raspao. ;cause;Lanac je bio omotan oko gume. ;Bilo je slomljena karika u lancu. ;1
Par je odlučio napraviti kompromis. ;cause;Umorili su se od svađe. ;Izbjegavali su raspravljati o problemu. ;0
Žena je odlučila kandidirati za javnu funkciju. ;effect;Unajmila je menadžera kampanje. ;Svjedočila je na sudu. ;0
Čovjek je očekivao hladno vrijeme na svom putovanju. ;effect;U kovčeg je stavio toplu odjeću. ;Putovao je s velikim koferom. ;0
Student je znao odgovor na pitanje. ;effect;Podigao je ruku. ;-Pogriješio je. ;0
Oči su mu se isplačile. ;cause;Prah mu je ušao u oči. ;Stavio je naočale na oči. ;0
Igrač je osvojio pet utakmica za redom. ;effect;Njen protivnik ju je optužio za varanje. ;Njen protivnik je bio sažaljen zbog nje. ;0
Učitelj je rastrgao ispit učenika. ;cause;Uhvatio je studenta kako vara. ;Odgovori studenta su bili pogrešni. ;0
Pauza da prestanem pričati. ;cause;Izgubio sam glas. ;Ostao sam bez daha. ;1
Zamrznuta hrana se otopila. ;cause;Stavio sam ga u mikrovalnu. ;Pokrio sam ga plastičnom folijom. ;0
Zaposlenik se pretvarao da je bolestan. ;cause;Imao je grčeve u trbuhu. ;Htio je slobodan dan. ;1
Djevojka je pala u bazen. ;cause;Trčala je po palubi za bazen. ;Skočila je s litice za ronjenje. ;1
Ulaznice za film su rasprodane. ;cause;To je bio dan premijere filma. ;Film je dobio loše kritike. ;0
Čovjek je izgubio težinu. ;effect;Ljudi su ga izolirali. ;Ljudi su mu čestitali. ;1
Djevojčicine su ruke postale plikovi. ;cause;Ona je napisala pismo. ;Popela se po užetu. ;1
Cirkuski izvođač žonglirao je dok je vozio jednocikl. ;effect;Publika je uzbuđena navijala. ;Akrobat je zamahnuo sa trapeza. ;0
Izgubio sam strpljenje. ;cause;Prijatelj me je čekao. ;Moj prijatelj je stigao na vrijeme. ;0
Ratne zemlje su željele mir. ;effect;Oni su razvili nuklearno oružje. ;Dogovorili su se o ugovoru. ;1
Čovjek je uzeo lijekove za spavanje. ;effect;Postao je pospan. ;Imao je groznicu. ;0
Žena je udarila u kauč. ;effect;Noge sofe su se odvojile. ;Povrijedila je koljeno. ;1
Dječak je stisnuo balon. ;effect;Balon je puknuo. ;Balon je odletio. ;0
Putnici su se prijavili u hotelsku sobu. ;effect;Raspakirali su svoje kofere. ;Otišli su na aerodrom. ;0
Ugrizao sam breskvu. ;effect;breskva je modrica. ;Sok prolio. ;1
Ruke su mi se zalijepile. ;cause;Pojela sam krafnu. ;Imao sam slatki zube. ;0
Gurao sam vrata. ;effect;Vrata su se otvorila. ;Vrata zaključana. ;0
Aktivisti su bojkotirali proizvode. ;cause;Proizvodi su testirani na osiguravanje kvalitete. ;Proizvodi su proizvedeni dječjim radom. ;1
Izbušio sam rupu u zidu. ;effect;Miš je ispuzao iz rupe. ;Prah je ispuhao iz rupe. ;1
Žena je zavidjela svojoj sestri. ;cause;Njena sestra je bila sretna. ;Njena sestra se razvela. ;0
Prolio sam vino na košulju. ;effect;Stavio sam si pregaču. ;Promijenio sam košulju. ;1
Kasijer je otvorio blagajnu. ;cause;Kupac je pretražio novčanik. ;Kupac joj je dao novac. ;1
Ulični glazbenik je privukao gomilu. ;effect;Ljudi su mu dali sitnicu. ;On je otjerao gomilu. ;0
Mali dječak je plakao svojoj dadilji. ;cause;Nedostajali su mu roditelji. ;Bilo je vrijeme za grickalice. ;0
Pilotov radar je detektirao oluju. ;effect;Pilot je krenuo dalje od oluje. ;Pilot je preletio oluju. ;0
Drvo je odbačilo lišće. ;effect;Listovi su postali obojeni. ;Lišće se nakupilo na zemlji. ;1
Dečko je bio u zlobnom raspoloženju. ;effect;Odlučio je igrati karte sa svojom sestrom. ;Odlučio je da se šali sa svojom sestrom. ;1
Dijete se žalilo da mora u kupaonicu. ;effect;Otac mu je dao sok. ;Njegov otac je zaustavio auto na benzinskoj pumpi. ;1
