premise;question;choice1;choice2;label
Artikkelen var pakka i boblefilm. ;cause;Det var ømfintlege. ;Det var lite. ;0
Eg tømde lommene mine. ;effect;Eg fann ei billettstubbe. ;Eg fann eit våpen. ;0
Termitar invaderte huset. ;effect;Termitane forsvann frå huset. ;Termitane åt gjennom treet i huset. ;1
Reisande nådde grensa. ;effect;Patruljen sjekka passane deira. ;Patruljeagenten klandra dei for smugling. ;0
Kontoret var stengt. ;cause;Det var ei ferie. ;Det var sommar. ;0
Jenta fekk ikkje meir energi. ;cause;Ho spelte dam. ;Ho hoppa over tau. ;1
Kvinna mista plassen si i køen. ;cause;Fleire kom til. ;Ho gjekk ut av køen. ;1
Jenta klemte på nesen sin. ;cause;Barnet salivra på salla. ;Barnet smurde bleia hennar. ;1
Bandet spelte hit-songen sin. ;effect;Publiken klappa saman med musikken. ;Publiken høyrde høfleg på i stillskap. ;0
Jenta ville takka matematikklæraren sin. ;effect;Ho vart verande der etter skulen for å halde på. ;Jenta gav læraren eit eple. ;1
Dei unge legarne vart redde. ;cause;Ein leiar i leiren deira hadde fortalt dei ei gåte. ;Dei ristar marshmallows på leirelda. ;0
Mannen slo hovudet sitt. ;effect;Han vart tapt i tankar. ;Han hadde eit hjerneslag. ;1
Sjekkane eg skreiv vart ikkje sendt. ;cause;Bankkontoen min var tom. ;Eg har fortjent ei lønnshøving. ;0
E-post-innboksa hans var full av skräppost. ;effect;Han slette spam. ;Han sendte ut ei masse e-post. ;0
Sjømannen var sett i karantene. ;cause;Han var eksponert for sjukdomen. ;Han kom seg frå sjukdomen. ;0
Ho lærte seg koden på hjarta. ;cause;Ho fortalde det for seg sjølv. ;Ho gløymde å skriva det ned. ;0
Eg helte vatnet i glaset. ;effect;Vatnet sløkte tørsten min. ;Glaset vart fullt. ;1
Mannen vart stille når venen hans hadde tala ferdig. ;cause;Han ville tilby sin ven støtte. ;Han tenkte på orda til vennen sin. ;1
Ulykka var mi skuld. ;effect;Eg følde skuld. ;Eg gav henne klagemål. ;0
Kjedene gjekk frå kvarandre. ;cause;Ketta var omringa rundt eit dekk. ;Det var eit brotent ledd i kjeda. ;1
Paret vedtok å kompromissa. ;cause;Dei vart trøytte av å krangle. ;Dei heldt seg frå å diskutera problemet. ;0
