premise;question;choice1;choice2;label
Der Artikel war in Blasfolie verpackt. ;cause;Es war zerbrechlich. ;Es war klein. ;0
Ich habe meine Taschen geleert. ;effect;Ich habe einen Fahrkartenstempel gefunden. ;Ich habe eine Waffe gefunden. ;0
Termiten drangen in das Haus ein. ;effect;Die Termiten verschwanden aus dem Haus. ;Die Termiten fressen das Holz im Haus auf. ;1
Die Reisenden erreichten die Grenze. ;effect;Der Patrouillenagent überprüfte ihre Pässe. ;Der Patrouillenagent beschuldigte sie des Schmuggelns. ;0
Das Büro war geschlossen. ;cause;Es war ein Feiertag. ;Es war Sommer. ;0
Das Mädchen hatte keine Energie mehr. ;cause;Sie spielte Dame. ;Sie hat mit Seil gesprungen. ;1
Die Frau verlor ihren Platz in der Schlange. ;cause;Es kamen mehr Leute in die Schlange. ;Sie ist aus der Reihe. ;1
Das Mädchen kneifte sich die Nase. ;cause;Das Baby sabberte auf ihr Schlauch. ;Das Baby hat ihre Windel beschmutzt. ;1
Die Band spielte ihren Hit. ;effect;Das Publikum klatschte zu der Musik. ;Das Publikum hörte höflich in Stille zu. ;0
Das Mädchen wollte sich bei ihrem Mathelehrer bedanken. ;effect;Das Mädchen blieb nach der Schule wegen der Nachsitzung. ;Das Mädchen brachte dem Lehrer einen Apfel. ;1
Die jungen Camper hatten Angst. ;cause;Ihr Campberater erzählte ihnen eine Geistergeschichte. ;Sie haben Marshmallows auf dem Lagerfeuer geröstet. ;0
Der Mann hat sich den Kopf geschlagen. ;effect;Er verlor sich in Gedanken. ;Er hat eine Gehirnerschütterung. ;1
Der Scheck, den ich ausgeschrieben habe, ist nicht gezahlt worden. ;cause;Mein Bankkonto war leer. ;Ich habe eine Gehaltserhöhung verdient. ;0
Sein E-Mail-Posteingang war voller Spam. ;effect;Er hat den Spam gelöscht. ;Er hat eine Massen-E-Mail geschickt. ;0
Der Seemann wurde in Quarantäne gestellt. ;cause;Er wurde der Krankheit ausgesetzt. ;Er erholte sich von der Krankheit. ;0
Das Mädchen hat sich den Code auswendig gelernt. ;cause;Sie rezitierte es für sich. ;Sie hat vergessen, es aufzuschreiben. ;0
Ich schüttete das Wasser in das Glas. ;effect;Das Wasser löschte meinen Durst. ;Das Glas wurde voll. ;1
Der Mann blieb schweigend, als sein Freund mit dem Sprechen fertig war. ;cause;Er wollte seinem Freund Unterstützung anbieten. ;Er dachte an die Worte seines Freundes. ;1
Der Unfall war meine Schuld. ;effect;Ich fühlte mich schuldig. ;Ich habe Anzeige erstattet. ;0
Die Kette ist auseinandergefallen. ;cause;Die Kette war um einen Reifen gewickelt. ;Es gab ein gebrochenes Glied in der Kette. ;1
Das Ehepaar beschloss, einen Kompromiss zu schließen. ;cause;Sie hatten es satt, sich zu streiten. ;Sie vermieden, das Problem zu diskutieren. ;0
Die Frau entschied sich, sich für ein öffentliches Amt zu bewerben. ;effect;Sie hat einen Wahlkampfmanager eingestellt. ;Sie hat vor Gericht ausgesagt. ;0
Der Mann erwartete auf seiner Reise kaltes Wetter. ;effect;Er packte warme Kleidung in seinen Koffer. ;Er reiste mit einem großen Koffer. ;0
Der Student kannte die Antwort auf die Frage. ;effect;Er hob seine Hand. ;Er hat sich verrückt gemacht. ;0
Der Mann hatte Tränen in den Augen. ;cause;Er hat Staub in die Augen bekommen. ;Er hat eine Schutzbrille über die Augen gelegt. ;0
Der Spieler gewann fünf Spiele in Folge. ;effect;Ihr Gegner beschuldigte sie des Betrugs. ;Ihr Gegner hatte Mitleid mit ihr. ;0
Der Lehrer zerriss die Prüfung des Schülers. ;cause;Er erwischte den Studenten beim Schummeln. ;Die Antworten des Studenten waren falsch. ;0
Ich habe eine Pause gemacht, um aufzuhören zu reden. ;cause;Ich habe meine Stimme verloren. ;Mir wurde die Luft aus. ;1
Das gefrorene Essen ist aufgetaut. ;cause;Ich habe es in die Mikrowelle gelegt. ;Ich habe es mit Plastikfolie bedeckt. ;0
Der Angestellte tat so, als wäre er krank. ;cause;Er hatte Bauchkrämpfe. ;Er wollte einen Tag frei haben. ;1
Das Mädchen landete im Pool. ;cause;Sie lief auf dem Pooldeck. ;Sie sprang vom Sprungbrett. ;1
Die Kinokarten sind ausverkauft. ;cause;Es war der Eröffnungstag des Films. ;Der Film erhielt schlechte Kritiken. ;0
Der Mann hat abgenommen. ;effect;Die Leute haben ihn isoliert. ;Die Leute haben ihm Komplimente gemacht. ;1
Die Hände des Mädchens wurden zu Blasen. ;cause;Sie hat einen Brief geschrieben. ;Sie kletterte auf ein Seil. ;1
Der Zirkusartist jonglierte, während er ein Einrad fuhr. ;effect;Das Publikum jubelte vor Erstaunen. ;Der Akrobat schwungen von einem Trapez. ;0
Ich verlor meine Geduld. ;cause;Mein Freund ließ mich warten. ;Mein Freund kam pünktlich an. ;0
Die Kriegsstaaten wollten Frieden. ;effect;Sie entwickelten Atomwaffen. ;Sie verhandelten einen Vertrag. ;1
Der Mann nahm Schlaftabletten. ;effect;Er wurde schläfrig. ;Er hatte Fieber. ;0
Die Frau stieß gegen das Sofa. ;effect;Das Bein des Sofas ist losgegangen. ;Sie hat sich das Knie verletzt. ;1
Der Junge drückte den Ballon. ;effect;Der Ballon ist geplatzt. ;Der Ballon ist weggeflogen. ;0
Die Reisenden haben sich in ihrem Hotelzimmer eingetragen. ;effect;Sie haben ihre Koffer ausgepakt. ;Sie sind zum Flughafen gegangen. ;0
Ich habe in die Pfirsichbeere gebissen. ;effect;Der Pfirsich ist verletzt. ;Der Saft ist rausgegangen. ;1
Meine Hände wurden klebrig. ;cause;Ich habe einen Donut gegessen. ;Ich hatte eine Süßigkeitsfreude. ;0
Ich habe die Tür geschoben. ;effect;Die Tür öffnete sich. ;Die Tür ist abgeschlossen. ;0
Aktivisten boykottierten die Produkte. ;cause;Die Produkte wurden auf Qualitätssicherung hin geprüft. ;Die Produkte wurden durch Kinderarbeit hergestellt. ;1
