premise;question;choice1;choice2;label
ລາຍການດັ່ງກ່າວຖືກຫຸ້ມຫໍ່ໃນກະເປົາທີ່ຫຸ້ມຫໍ່ດ້ວຍຟອງ. ;cause;ມັນມີຄວາມອ່ອນແອ. ;ມັນນ້ອຍ. ;0
ຂ້ອຍໄດ້ເປົ່າກະເປົາຂອງຂ້ອຍ. ;effect;ຂ້ອຍໄດ້ເອົາປີ້ໄປ. ;ຂ້ອຍພົບເຫັນອາວຸດ. ;0
ພວກແມງໄມ້ເຂົ້າໄປໃນເຮືອນ. ;effect;ພວກແມງໄມ້ຫາຍໄປຈາກເຮືອນ. ;ພວກແມງໄມ້ໄດ້ກິນໄມ້ໃນເຮືອນ. ;1
ພວກນັກເດີນທາງໄດ້ໄປເຖິງເຂດຊາຍແດນ. ;effect;ເຈົ້າຫນ້າທີ່ກວດກາໄດ້ກວດເບິ່ງ ຫນັງສືຜ່ານແດນຂອງພວກເຂົາ. ;ເຈົ້າຫນ້າທີ່ລາດຕະເວນກ່າວຫາພວກເຂົາວ່າລັກລອບ. ;0
ຫ້ອງການປິດແລ້ວ. ;cause;ມັນເປັນວັນພັກ. ;ມັນເປັນລະດູຮ້ອນ. ;0
ສາວນ້ອຍໄດ້ ຫມົດພະລັງງານ. ;cause;ນາງຫຼິ້ນດາມ. ;ນາງໄດ້ໂດດເຊືອກ. ;1
ແມ່ຍິງຄົນນັ້ນໄດ້ສູນເສຍບ່ອນຂອງນາງໃນແຖວ. ;cause;ມີຄົນເຂົ້າມາແຖວອີກ. ;ນາງໄດ້ອອກໄປຈາກແຖວ. ;1
ເດັກຍິງໄດ້ແຕະດັງຂອງນາງ. ;cause;ເດັກນ້ອຍໄດ້ລອຍນ້ໍາລົງໃສ່ຜ້າອ້ອມ. ;ເດັກນ້ອຍໄດ້ເຮັດໃຫ້ຜ້າອ່ອນຂອງນາງເປື້ອນ. ;1
ກຸ່ມດົນຕີໄດ້ຫຼິ້ນເພງທີ່ໄດ້ຮັບຄວາມນິຍົມຂອງພວກເຂົາ. ;effect;ຜູ້ຊົມ ພາກັນ ຈັບມື ພ້ອມກັບ ດົນຕີ. ;ຜູ້ຟັງໄດ້ຟັງຢ່າງງຽບສະຫງົບ. ;0
ເດັກຍິງຄົນນັ້ນຢາກຂອບໃຈຄູສອນຄະນິດສາດຂອງນາງ. ;effect;ເດັກຍິງຄົນນັ້ນໄດ້ຢູ່ຫລັງໂຮງຮຽນ ສໍາລັບການກັກຕົວ. ;ເດັກຍິງໄດ້ເອົາ ຫມາກໂປມມາໃຫ້ຄູ. ;1
ພວກນັກແຄມເປນຫນຸ່ມໆຮູ້ສຶກຢ້ານກົວ. ;cause;ຜູ້ແນະນໍາຄ້າຍຂອງເຂົາເຈົ້າ ໄດ້ເລົ່າເລື່ອງຂອງຜີໃຫ້ເຂົາເຈົ້າຟັງ. ;ພວກເຂົາໄດ້ຈູດ marshmallows ໃນໄຟຄ້າຍ. ;0
ຜູ້ຊາຍຄົນນັ້ນໄດ້ຕີຫົວຂອງລາວ. ;effect;ລາວໄດ້ສູນເສຍໃນຄວາມຄິດ. ;ລາວໄດ້ຮັບອາການສະຫມອງສັ່ນສະເທືອນ. ;1
ການກວດສອບທີ່ຂ້ອຍຂຽນອອກມາໄດ້ບໍ່ຖືກ. ;cause;ບັນຊີທະນາຄານຂອງຂ້ອຍແມ່ນເປົ່າ. ;ຂ້ອຍໄດ້ ຮັບ ເງິນເດືອນເພີ່ມຂຶ້ນ. ;0
ກ່ອງອີເມວຂອງຜູ້ຊາຍນັ້ນເຕັມໄປດ້ວຍ spam. ;effect;ລາວລຶບຂໍ້ຄວາມທີ່ບໍ່ໄດ້ສົ່ງມາ. ;ລາວໄດ້ສົ່ງອີເມວໄປໃຫ້ຫຼາຍໆຄົນ. ;0
ນັກທະເລຖືກກັກກັນ. ;cause;ລາວໄດ້ຕິດເຊື້ອພະຍາດນີ້. ;ລາວໄດ້ຫາຍດີຈາກພະຍາດ. ;0
ເດັກຍິງໄດ້ຈື່ລະຫັດໄວ້. ;cause;ນາງໄດ້ເວົ້າມັນໃຫ້ຕົນເອງ. ;ນາງລືມທີ່ຈະຂຽນມັນລົງ. ;0
ຂ້ອຍຖອກນ້ໍາໃສ່ຈອກ. ;effect;ນ້ໍາໄດ້ເຮັດໃຫ້ຂີ້ຫິວຂອງຂ້າພະເຈົ້າຫມົດ. ;ແກ້ວໄດ້ເຕັມໄປ. ;1
ຜູ້ຊາຍຄົນນັ້ນຍັງງຽບຢູ່ເມື່ອຫມູ່ຂອງລາວເວົ້າຈົບ. ;cause;ລາວຢາກໃຫ້ການສະຫນັບສະຫນູນເພື່ອນຂອງລາວ. ;ລາວຄິດເຖິງຄໍາເວົ້າຂອງຫມູ່ຂອງລາວ. ;1
ອຸບັດຕິເຫດແມ່ນຄວາມຜິດຂອງຂ້າພະເຈົ້າ. ;effect;ຂ້ອຍຮູ້ສຶກຜິດ. ;ຂ້ອຍໄດ້ຟ້ອງຮ້ອງ. ;0
ສາຍຕ່ອງໂສ້ແຕກອອກ. ;cause;ສາຍຕ່ອງໂສ້ຖືກຫໍ່ໃສ່ລໍ້. ;ມີການຕັດຂາດໃນຕ່ອງໂສ້. ;1
ຄູ່ຜົວເມຍຕັດສິນໃຈທີ່ຈະຕົກລົງກັນ. ;cause;ພວກເຂົາໄດ້ເບື່ອຫນ່າຍກັບການໂຕ້ຖຽງກັນ. ;ພວກເຂົາຫລີກລ້ຽງການສົນທະນາບັນຫາ. ;0
ແມ່ຍິງຄົນນັ້ນ ໄດ້ຕັດສິນໃຈທີ່ຈະລົງແຂ່ງຂັນເປັນຜູ້ຮັບຜິດຊອບຂອງລັດ. ;effect;ນາງໄດ້ຈ້າງຜູ້ຈັດການໂຄສະນາຫາສຽງ. ;ນາງໄດ້ໃຫ້ການໃນສານ. ;0
ຜູ້ຊາຍຄົນນັ້ນຄາດວ່າຈະມີອາກາດຫນາວໃນໄລຍະເດີນທາງຂອງລາວ. ;effect;ລາວເອົາເຄື່ອງນຸ່ງອົບອຸ່ນໃສ່ໃນກະເປົາ. ;ລາວເດີນທາງກັບກະເປົາໃຫຍ່. ;0
ນັກສຶກສາຮູ້ຄໍາຕອບຂອງຄໍາຖາມ. ;effect;ລາວຍົກມືຂຶ້ນ. ;ລາວໄດ້ໂງ່. ;0
ຕາຂອງຜູ້ຊາຍໄດ້ນ້ໍາ. ;cause;ຝຸ່ນເຂົ້າໄປໃນຕາຂອງເຂົາ. ;ລາວເອົາແວ່ນຕາປ້ອງກັນໃສ່ຕາ. ;0
ນັກເຕະໄດ້ຊະນະ 5 ເກມຕິດຕໍ່ກັນ. ;effect;ຄູ່ແຂ່ງຂອງນາງກ່າວຫາວ່າ ນາງຫຼອກລວງ. ;ຄູ່ແຂ່ງຂອງນາງຮູ້ສຶກເສຍໃຈກັບນາງ. ;0
ອາຈານໄດ້ຖີ້ມບົດສອບເສັງຂອງນັກຮຽນ. ;cause;ລາວຈັບນັກຮຽນທີ່ຫລອກລວງ. ;ຄໍາຕອບຂອງນັກຮຽນແມ່ນບໍ່ຖືກຕ້ອງ. ;0
ຂ້ອຍຢຸດເຊົາເພື່ອຢຸດເວົ້າ. ;cause;ຂ້ອຍໄດ້ສູນເສຍສຽງຂອງຂ້ອຍ. ;ຂ້ອຍຫາຍໃຈຫມົດ. ;1
ອາຫານທີ່ກັກໄວ້ໄດ້ລະລາຍ. ;cause;ຂ້ອຍເອົາມັນໃສ່ໄມໂຄເວຟ ;ຂ້ອຍໄດ້ເອົາຜ້າຫຸ້ມຫໍ່ພລາສຕິກປົກຫຸ້ມມັນ. ;0
ພະນັກງານຄົນນັ້ນໄດ້ປອມເປັນພະຍາດ. ;cause;ລາວມີອາການທ້ອງອ່ອນ. ;ລາວຕ້ອງການມື້ພັກ. ;1
ເດັກຍິງຕົກລົງໃນສະລອຍນໍ້າ. ;cause;ນາງແລ່ນຢູ່ເທິງຫນ້າຈໍສະລອຍນໍ້າ. ;ນາງໄດ້ໂດດລົງຈາກກະດານຈົມ. ;1
ປີ້ຮູບເງົາຂາຍຫມົດ. ;cause;ມັນເປັນມື້ເປີດຮູບເງົາ. ;ຮູບເງົາໄດ້ຮັບການທົບທວນທີ່ບໍ່ດີ. ;0
ຜູ້ຊາຍຄົນນັ້ນໄດ້ຫຼຸດນໍ້າຫນັກລົງ. ;effect;ປະຊາຊົນໄດ້ແຍກລາວອອກຈາກກັນ. ;ຄົນລາວໄດ້ຍ້ອງຍໍລາວ. ;1
ມືຂອງເດັກຍິງໄດ້ເປັນຮອຍຂີ້ຕົມ. ;cause;ນາງໄດ້ຂຽນຈົດຫມາຍ. ;ນາງໄດ້ຂຶ້ນໄປເທິງສາຍເຊືອກ. ;1
ນັກສະແດງວົງຈອນໄດ້ໂຊກໂຊກໃນຂະນະທີ່ຂີ່ລົດຈັກ. ;effect;ຜູ້ຊົມໄດ້ຮ້ອງໂຮດ້ວຍຄວາມປະຫລາດໃຈ. ;ນັກສະແດງຕົບແຕ່ງໄດ້ໂພດຈາກຕົບແຕ່ງ. ;0
ຂ້ອຍໄດ້ສູນເສຍຄວາມອົດທົນຂອງຂ້ອຍ. ;cause;ຫມູ່ຂອງຂ້ອຍເຮັດໃຫ້ຂ້ອຍລໍຖ້າ. ;ຫມູ່ຂອງຂ້ອຍມາຮອດໃນເວລາ. ;0
ການ ສູ້ ລົບ ;effect;ພວກເຂົາໄດ້ພັດທະນາອາວຸດນິວເຄລຍ. ;ພວກເຂົາໄດ້ເຈລະຈາສົນທິສັນຍາ. ;1
ຜູ້ຊາຍຄົນນັ້ນໄດ້ກິນຢາຫ້າມນອນ. ;effect;ລາວໄດ້ນອນຫລັບ. ;ລາວມີໄຂ້. ;0
ແມ່ຍິງຄົນນັ້ນໄດ້ຕໍາໂຊຟາ. ;effect;ຂາຂອງໂຊຟາແຕກອອກ. ;ນາງໄດ້ບາດແຜຢູ່ຫົວເຂົ່າ. ;1
ເດັກຊາຍໄດ້ກົດບາລູນ. ;effect;ບາລູນແຕກ. ;ບາລູນໄດ້ບິນໄປ. ;0
ພວກນັກທ່ອງທ່ຽວໄດ້ເຂົ້າຫ້ອງພັກໃນໂຮງແຮມ. ;effect;ພວກເຂົາໄດ້ຖີ້ມກະເປົາຂອງເຂົາເຈົ້າອອກ. ;ພວກເຂົາໄປສະຫນາມບິນ. ;0
ຂ້ອຍໄດ້ກັດເຂົ້າໄປໃນຫມາກພິກໄທ. ;effect;ຫມາກພິກຊັນຖືກຂູດ. ;ນ້ໍາມັນໄຫລອອກໄປ. ;1
ມືຂ້ອຍໄດ້ເປັນກາວ. ;cause;ຂ້ອຍໄດ້ກິນຫມາກຂີ້ຕົມ. ;ຂ້ອຍມັກຫວານ. ;0
ຂ້ອຍໄດ້ຊຸກຍູ້ປະຕູ. ;effect;ປະຕູໄດ້ເປີດຂຶ້ນ. ;ປະຕູຖືກລັອກ. ;0
ພວກນັກເຄື່ອນໄຫວໄດ້ລົ້ມລະລາຍຜະລິດຕະພັນ. ;cause;ຜະລິດຕະພັນໄດ້ຖືກທົດສອບເພື່ອຮັບປະກັນຄຸນນະພາບ. ;ຜະລິດຕະພັນໄດ້ຖືກຜະລິດໂດຍໃຊ້ແຮງງານເດັກນ້ອຍ. ;1
ຂ້ອຍເຈາະຮູໃນຝາ. ;effect;ຫນູໄດ້ລອຍອອກມາຈາກຮູ. ;ຝຸ່ນໄດ້ພັດອອກມາຈາກຮູ. ;1
ແມ່ຍິງຄົນນັ້ນ ຮູ້ສຶກອິດສາຕໍ່ນ້ອງສາວຂອງນາງ. ;cause;ນ້ອງສາວຂອງນາງມີຄວາມສຸກ. ;ນ້ອງສາວຂອງນາງໄດ້ແຍກໂຕ. ;0
ຂ້ອຍປົນເຫລົ້າໃສ່ເສື້ອ. ;effect;ຂ້ອຍໃສ່ເສື້ອຜ້າ. ;ຂ້ອຍປ່ຽນເສື້ອແລ້ວ. ;1
ຜູ້ເກັບເງິນໄດ້ເປີດເຄື່ອງເກັບເງິນ. ;cause;ລູກຄ້າໄດ້ກວດເບິ່ງກະເປົາເງິນຂອງລາວ. ;ລູກຄ້າໄດ້ມອບເງິນໃຫ້ນາງ. ;1
ນັກດົນຕີຖະຫນົນດຶງດູດຝູງຊົນ. ;effect;ຄົນລາວໃຫ້ເງິນແລກ ;ພຣະອົງໄດ້ສັ່ງໃຫ້ປະຊາຊົນໄປ. ;0
ເດັກຊາຍນ້ອຍຮ້ອງໄຫ້ຫາຜູ້ດູແລເດັກຂອງລາວ. ;cause;ລາວຂາດພໍ່ແມ່ລາວ. ;ມັນເປັນເວລາອາຫານຫວ່າງ. ;0
ຣາດາຂອງນັກບິນໄດ້ກວດພົບພາຍຸ ;effect;ນັກບິນໄດ້ເດີນເຮືອໄປຈາກພາຍຸ. ;ນັກບິນໄດ້ບິນຜ່ານພາຍຸ. ;0
