premise;question;choice1;choice2;label
Die item is in borrelfolie verpak. ;cause;Dit was broos. ;Dit was klein. ;0
Ek het my sakke leeggemaak. ;effect;Ek het 'n kaartjie-stoppie gekry. ;Ek het 'n wapen gevind. ;0
Termiete het die huis binnegeval. ;effect;Die termiete het uit die huis verdwyn. ;Die termiete het deur die hout in die huis gevoer. ;1
Die reisigers het die grens bereik. ;effect;Die patrollieagent het hulle paspoorte nagegaan. ;Die patrollieagent het hulle van smokkel beskuldig. ;0
Die kantoor was gesluit. ;cause;Dit was 'n vakansie. ;Dit was somer. ;0
Die meisie het nie meer energie gehad nie. ;cause;Sy het damme gespeel. ;Sy het met tou gespring. ;1
Die vrou het haar plek in die tou verloor. ;cause;Meer mense het in die ry ingekom. ;Sy het uit die lyn gestap. ;1
Die meisie het haar neus vasgeknyp. ;cause;Die baba het op haar bib gespoeg. ;Die baba het haar luier vuil gemaak. ;1
Die groep het hulle trefferliedjie gespeel. ;effect;Die gehoor het saam met die musiek geklap. ;Die gehoor het beleefd in stilte geluister. ;0
Die meisie wou haar wiskundeonderwyser bedank. ;effect;Die meisie het ná skool vir die straf bly. ;Die meisie het vir die onderwyser 'n appel gebring. ;1
Die jong kampeerders was bang. ;cause;Hulle kampbegeleider het vir hulle 'n spookverhaal vertel. ;Hulle het marshmallows op die kampvuur gebraai. ;0
Die man het sy kop geslaan. ;effect;Hy het in sy gedagtes verdwaal. ;Hy het 'n skok gekry. ;1
Die tjek wat ek geskryf het, is teruggeslaan. ;cause;My bankrekening was leeg. ;Ek het 'n salarisverhoging verdien. ;0
Die man se posbus was vol strooipos. ;effect;Hy het die strooipos verwyder. ;Hy het 'n massa-e-pos gestuur. ;0
Die matroos is in kwarantyn geplaas. ;cause;Hy is aan die siekte blootgestel. ;Hy het van die siekte herstel. ;0
Die meisie het die kode uit haar kop geleer. ;cause;Sy het dit vir haarself opgesê. ;Sy het vergeet om dit neer te skryf. ;0
Ek het die water in die glas gegooi. ;effect;Die water het my dors geslaan. ;Die glas het vol geword. ;1
Die man het stilgebly toe sy vriend klaar gepraat het. ;cause;Hy wou sy vriend se ondersteuning aanbied. ;Hy het gedink aan sy vriend se woorde. ;1
Die ongeluk was my skuld. ;effect;Ek het skuldig gevoel. ;Ek het aanklagte ingedien. ;0
Die ketting het uitmekaar geval. ;cause;Die ketting was om 'n band toegedraai. ;Daar was 'n gebroke skakel in die ketting. ;1
Die egpaar het besluit om 'n kompromie te sluit. ;cause;Hulle het moeg geword om te stry. ;Hulle het die probleem vermy om te bespreek. ;0
Die vrou het besluit om vir 'n openbare amp te gaan staan. ;effect;Sy het 'n veldtogbestuurder gehuur. ;Sy het in die hof getuig. ;0
Die man het verwag dat dit koud sou wees op sy reis. ;effect;Hy het warm klere in sy koffer gepak. ;Hy het met 'n groot koffer gereis. ;0
Die student het die antwoord op die vraag geken. ;effect;Hy het sy hand opgelig. ;Hy het afgedank. ;0
Die man se oë het gewater. ;cause;Stof het in sy oë gekom. ;Hy het 'n beskermende bril oor sy oë gesit. ;0
Die speler het vyf wedstryde agtereenvolgens gewen. ;effect;Haar teenstander het haar daarvan beskuldig dat sy bedrieg het. ;Haar teenstander het jammer gevoel vir haar. ;0
Die onderwyser het die student se eksamen geskeur. ;cause;Hy het die student betrap terwyl hy bedrieg het. ;Die student se antwoorde was verkeerd. ;0
Ek het stilgehou om op te hou praat. ;cause;Ek het my stem verloor. ;Ek het nie asem kon haal nie. ;1
Die bevrore kos het ontdooi. ;cause;Ek het dit in die mikrogolfoond gesit. ;Ek het dit met plastiek toegedraai. ;0
Die werknemer het siek gemaak. ;cause;Hy het maagkrampe gehad. ;Hy wou 'n dag vry hê. ;1
Die meisie het in die swembad geland. ;cause;Sy het op die swembad dek gehardloop. ;Sy het van die springplank af gespring. ;1
Die fliekkaartjies is uitverkoop. ;cause;Dit was die openingsdag vir die fliek. ;Die film het swak resensies gekry. ;0
Die man het gewig verloor. ;effect;Mense het hom geïsoleer. ;Mense het hom geprys. ;1
Die meisie se hande het blase geword. ;cause;Sy het 'n brief getik. ;Sy het op 'n tou geklim. ;1
Die sirkusperformer het gesonguleer terwyl hy op 'n eenwiel gery het. ;effect;Die gehoor het in verbasing gejuig. ;Die akrobat het van' n trapezium af geswaai. ;0
Ek het my geduld verloor. ;cause;My vriend het my laat wag. ;My vriend het betyds aangekom. ;0
Die oorlogvoerende lande wou vrede hê. ;effect;Hulle het kernwapens ontwikkel. ;Hulle het 'n verdrag onderhandel. ;1
