premise;question;choice1;choice2;label
El artículo estaba envasado en papel de burbujas. ;cause;Fue frágil. ;Era pequeño. ;0
He vaciado mis bolsillos. ;effect;He recuperado un talón de boleto. ;He encontrado un arma. ;0
Las termitas invadieron la casa. ;effect;Las termitas desaparecieron de la casa. ;Las termitas se comieron la madera de la casa. ;1
Los viajeros llegaron a la frontera. ;effect;El agente de patrulla comprobó sus pasaportes. ;El agente de la patrulla los acusó de contrabando. ;0
La oficina estaba cerrada. ;cause;Era un día de fiesta. ;Era verano. ;0
La chica se quedó sin energía. ;cause;Ella jugó a damas. ;Ella saltó la cuerda. ;1
La mujer perdió su lugar en la fila. ;cause;Más gente entró en la fila. ;Ella salió de la línea. ;1
La chica se pellizcó la nariz. ;cause;El bebé babeó en su babero. ;El bebé le ensució el pañal. ;1
La banda tocó su canción de éxito. ;effect;El público aplaudió junto a la música. ;El público escuchó cortésmente en silencio. ;0
La niña quería agradecer a su maestra de matemáticas. ;effect;La chica se quedó después de la escuela por detención. ;La niña le trajo una manzana al maestro. ;1
Los jóvenes acampados se sintieron asustados. ;cause;Su consejero de campamento les contó una historia de fantasmas. ;Tostaron malvaviscos en la fogata. ;0
El hombre se golpeó la cabeza. ;effect;Se perdió en sus pensamientos. ;Tiene una conmoción cerebral. ;1
El cheque que escribí fue rechazado. ;cause;Mi cuenta bancaria estaba vacía. ;Me merezco un aumento de sueldo. ;0
La bandeja de entrada del hombre estaba llena de spam. ;effect;Él borró el spam. ;Él envió un correo electrónico masivo. ;0
El marinero estaba en cuarentena. ;cause;Estuvo expuesto a la enfermedad. ;Se recuperó de la enfermedad. ;0
La chica memorizó el código. ;cause;Se lo recitó a sí misma. ;Se olvidó de escribirlo. ;0
He vertido el agua en el vaso. ;effect;El agua saciaba mi sed. ;El vaso se llenó. ;1
El hombre permaneció en silencio cuando su amigo terminó de hablar. ;cause;Quería ofrecerle apoyo a su amigo. ;Estaba pensando en las palabras de su amigo. ;1
El accidente fue culpa mía. ;effect;Me sentía culpable. ;He presentado una denuncia. ;0
La cadena se rompió. ;cause;La cadena estaba envuelta alrededor de un neumático. ;Había un eslabón roto en la cadena. ;1
La pareja decidió hacer un compromiso. ;cause;Se cansaron de discutir. ;Evitaron hablar del problema. ;0
La mujer decidió postularse para un cargo público. ;effect;Ella contrató a un gerente de campaña. ;Ella testificó en el tribunal. ;0
El hombre anticipó el clima frío en su viaje. ;effect;Él empacó ropa caliente en su maleta. ;Viajó con una maleta grande. ;0
El estudiante sabía la respuesta a la pregunta. ;effect;Él levantó la mano. ;Se ha vuelto loco. ;0
Los ojos del hombre lloraron. ;cause;Se le metió polvo en los ojos. ;Se puso gafas sobre los ojos. ;0
El jugador ganó cinco juegos seguidos. ;effect;Su oponente la acusó de hacer trampa. ;Su oponente se compadeció de ella. ;0
El maestro rasgó el examen del estudiante. ;cause;Él atrapó al estudiante haciendo trampa. ;Las respuestas del estudiante estaban incorrectas. ;0
Me detuve para dejar de hablar. ;cause;He perdido la voz. ;Me quedé sin aliento. ;1
La comida congelada se descongela. ;cause;Lo puse en el microondas. ;Lo cubrí con una envoltura de plástico. ;0
El empleado fingió estar enfermo. ;cause;Tenía calambres estomacales. ;Quería un día libre. ;1
La chica aterrizó en la piscina. ;cause;Corrió en la cubierta de la piscina. ;Ella saltó del trampolín. ;1
Las entradas de cine se agotaron. ;cause;Era el día de estreno de la película. ;La película recibió malas críticas. ;0
El hombre perdió peso. ;effect;La gente lo aisló. ;La gente lo elogiaba. ;1
Las manos de la niña se le hicieron ampollas. ;cause;Ella escribió una carta. ;Ella subió a una cuerda. ;1
El artista de circo malabarista mientras montaba un monociclo. ;effect;El público aplaudió asombrado. ;El acróbata se balanceó desde un trapecio. ;0
He perdido la paciencia. ;cause;Mi amigo me hizo esperar. ;Mi amigo llegó a tiempo. ;0
Los países en guerra querían la paz. ;effect;Desarrollaron armas nucleares. ;Negociaron un tratado. ;1
El hombre tomó un somnífero. ;effect;Se puso somnoliento. ;Tenía fiebre. ;0
La mujer se estrelló contra el sofá. ;effect;La pierna del sofá se soltó. ;Se lastimó la rodilla. ;1
El niño apretó el globo. ;effect;El globo se rompió. ;El globo se fue volando. ;0
Los viajeros se registraron en su habitación de hotel. ;effect;Desempacaron sus maletas. ;Se fueron al aeropuerto. ;0
Me mordí el melocotón. ;effect;El melocotón está magullado. ;Se derramó el jugo. ;1
Mis manos se pusieron pegajosas. ;cause;Me comí un donut. ;Yo tenía un diente dulce. ;0
Yo empujé la puerta. ;effect;La puerta se abrió. ;La puerta está cerrada. ;0
Los activistas boicotearon los productos. ;cause;Los productos fueron sometidos a ensayos de garantía de calidad. ;Los productos fueron fabricados a través del trabajo infantil. ;1
Hice un agujero en la pared. ;effect;Un ratón salió del agujero. ;El polvo salió del agujero. ;1
La mujer sentía envidia de su hermana. ;cause;Su hermana estaba feliz. ;Su hermana se divorció. ;0
Me derramé vino en la camisa. ;effect;Me puse un delantal. ;Me cambié de camisa. ;1
El cajero abrió la caja registradora. ;cause;El cliente buscó en su billetera. ;El cliente le dio el dinero. ;1
El músico de la calle atrajo a una multitud. ;effect;La gente le daba cambio. ;Él despidió a la multitud. ;0
El niño lloró a su niñera. ;cause;Echa de menos a sus padres. ;Era la hora de la merienda. ;0
El radar del piloto detectó una tormenta. ;effect;El piloto se alejó de la tormenta. ;El piloto voló a través de la tormenta. ;0
El árbol derrama sus hojas. ;effect;Las hojas cambiaron de color. ;Las hojas se acumulan en el suelo. ;1
El chico estaba de mal humor. ;effect;Decidió jugar a las cartas con su hermana. ;Decidió hacerle una broma a su hermana. ;1
El niño se quejó de que tenía que ir al baño. ;effect;Su padre le dio una gaseosa para beber. ;Su padre paró el coche en una gasolinera. ;1
El niño roció comida de pescado en el tanque. ;effect;El pez saltó del tanque. ;El pez nadó hacia la comida. ;1
Las opiniones políticas de la mujer cambiaron. ;effect;Ella cambió su afiliación al partido. ;Ella participó en una protesta. ;0
El fregadero del baño estaba obstruido. ;effect;He abierto el grifo. ;Le he echado limpiador de drenaje. ;1
Los pasajeros bajaron del tren. ;cause;El tren llegó a la estación. ;El tren hizo sonar su silbato. ;0
El hombre presionó la tapa húmeda del sobre. ;effect;Él puso un sello en el sobre. ;Él selló el sobre. ;1
Los amigos perdieron contacto. ;cause;Disfrutaron de la compañía del otro. ;Se mudaron a diferentes ciudades. ;1
El contador manejó mal los fondos de la compañía. ;effect;Fue despedida de su puesto. ;Ella se fue de licencia por maternidad. ;0
Miré el reloj. ;cause;Escuché el tictac del reloj. ;Quería ver la hora. ;1
Me ha dado un calambre. ;cause;Escribí el ensayo a mano. ;Mi esposa y yo nos tomamos de la mano. ;0
El cerrojo se apretó. ;cause;He cambiado el cerrojo. ;He girado la llave inglesa. ;1
La pareja firmó un contrato de alquiler de un apartamento. ;effect;La pareja se mudó al apartamento. ;La ciudad condenó el apartamento. ;0
La mujer se sentó afuera en el porche. ;cause;Quería ver la puesta de sol. ;Ella pensó que vio un rayo. ;0
El hombre llevaba un chaleco salvavidas en el agua. ;cause;No sabía nadar. ;El agua era poco profunda. ;0
La mujer cometió un error en el procesador de texto. ;effect;Ella borró el documento. ;Ella presionó la tecla de retroceso. ;1
La chica se jactó con sus amigas. ;cause;Ella tiene una mala nota. ;Ella ganó un concurso. ;1
El césped estaba fangoso. ;cause;Llovió toda la noche. ;Estaba lleno de malezas. ;0
La mujer se quedó dormida. ;cause;Ella pasó la noche en un hotel. ;Se olvidó de poner su despertador. ;1
El hombre se puso protector solar. ;cause;Se sentó a la sombra. ;Se fue a la playa. ;1
Los investigadores demostraron la teoría. ;effect;Los investigadores se retractaron de la teoría. ;Algunos aceptaron la teoría. ;1
Los aficionados del partido abuchearon. ;cause;El juego entró en tiempo extra. ;El árbitro hizo una mala decisión. ;1
He introducido mi combinación en la cerradura. ;effect;Yo cerré la cerradura. ;La cerradura se abrió. ;1
La multitud se intensificó. ;effect;El padre le dio a su hijo algo de dinero. ;El padre agarró la mano de su hijo. ;1
La nieve estaba bloqueando el camino. ;effect;Reuní la nieve en una bola de nieve. ;He limpiado la nieve. ;1
Los kayakistas remaban sus remos. ;effect;El kayak llegó a la orilla. ;El kayak se ha golpeado con una ola. ;0
La chica perdió el control de su bicicleta. ;effect;Ella soltó el manillar. ;Se estrelló contra una valla. ;1
He encendido el ventilador. ;effect;Me roció agua en la piel. ;Sentí el aire fresco pasar por encima de mí. ;1
Los surfistas regresaron a la playa. ;cause;Estaban empapados. ;Vieron un tiburón. ;1
He sacado el tapón del desagüe de la bañera. ;effect;El agua se vació de la bañera. ;El agua salpicó el suelo. ;0
El marido se sentía culpable por engañar a su esposa. ;effect;Él la acusó de infidelidad. ;Él le confesó su infidelidad. ;1
La tinta del cartel se había manchado. ;cause;Esperé a que se secara la tinta. ;Derramé agua en el cartel. ;1
El niño se despertó gritando. ;cause;Tuvo una pesadilla. ;Se orinó la cama. ;0
El niño puso sus pies sobre la mesa. ;effect;Su padre se sentó a la mesa. ;Su padre le dio una conferencia. ;1
Mi amigo giró su cabeza en mi dirección. ;cause;Grité su nombre. ;He agitado los brazos. ;0
El gobierno oprimía a sus ciudadanos. ;effect;Los ciudadanos se rebelaron. ;Los ciudadanos se registraron para votar. ;0
El niño se perdió en el bosque. ;effect;Él puso una tienda. ;Gritó pidiendo ayuda. ;1
La mujer viajó al extranjero. ;cause;Ella quería aprender a dibujar. ;Quería aprender sobre otras culturas. ;1
El hombre estaba celoso de su compañero de trabajo. ;cause;Su compañero de trabajo fue ascendido. ;Su compañero de trabajo trabajaba hasta tarde. ;0
El hombre fue testigo de extraterrestres. ;cause;Él estaba alucinando. ;Él estaba meditando. ;0
El cabello del hombre se volvió rubio. ;cause;Él puso lejía en él. ;Él puso champú en él. ;0
El artista creó un nuevo trabajo. ;cause;Ella criticó su trabajo anterior. ;Ella sintió un golpe de inspiración. ;1
El hijo se mudó de casa. ;cause;Fue dado de baja del ejército. ;Iba a la universidad. ;1
Los libros se cayeron de la estantería. ;cause;Los estantes estaban cubiertos de polvo. ;Un terremoto sacudió la estantería. ;1
La electricidad en mi casa se cortó. ;effect;Encendi una luz. ;He reiniciado el interruptor. ;1
Hemos montado en la montaña rusa. ;cause;Se veía aterrador. ;Se veía divertido. ;1
La bolsa de palomitas de maíz comenzó a estallar. ;cause;He echado mantequilla en la bolsa. ;Lo calenté en el microondas. ;1
Un árbol cayó en la línea eléctrica. ;effect;La electricidad en el vecindario se fue. ;El pronóstico predijo fuertes vientos. ;0
El orador hizo comentarios políticamente incorrectos. ;effect;Aburría al público. ;Él ofendió a la audiencia. ;1
Me pinché con el alfiler. ;effect;Un poco de sudor me goteó de la cara. ;Una gota de sangre se formó en mi dedo. ;1
El pez flotaba en la superficie del tanque. ;cause;Tenía hambre. ;Estaba muerto. ;1
La voz del hombre sonaba ronca. ;cause;Tenía un resfriado. ;Él dejó de fumar. ;0
Las puertas del ascensor se abrieron. ;cause;El ascensor llegó al piso designado. ;El ascensor se atascó entre pisos. ;0
El adolescente se escapó de la casa. ;cause;Él mintió a sus padres. ;Sus padres lo pusieron en castigo. ;1
El baño se inundó. ;cause;El inodoro se desbordó. ;Se rompió el calentador de agua. ;0
El cachorro se quedó cerca de su dueño. ;cause;El dueño puso un collar en el cachorro. ;El dueño mantuvo al cachorro con una correa. ;1
El hombre vio su reflejo. ;cause;Se quedó bajo el árbol extenso. ;Se paró sobre el lago tranquilo. ;1
Me perdí la llamada de mi novia. ;effect;La llamé de vuelta. ;La conocí para cenar. ;0
La familia buscó en el vecindario. ;cause;Su perro se escapó de casa. ;Desaparecieron joyas caras de su casa. ;0
Vi mi aliento cuando exhalaba. ;cause;El tiempo estaba frío. ;Mi pecho se sintió apretado. ;0
Los empleados formaron un sindicato. ;cause;Querían mejores condiciones de trabajo. ;Su empleador aumentó sus salarios. ;0
He hecho un pastel de manzana. ;effect;Un olor a pudrición llenó la cocina. ;Un cálido aroma llenó la cocina. ;1
La mujer luchó para caminar. ;cause;Ella llevaba tacones altos. ;Se quitó los zapatos. ;0
El vapor se elevó de la olla de agua. ;cause;El agua hirvió. ;Yo cubrí el bote. ;0
Todos mis calcetines estaban en la lavandería. ;effect;Yo llevaba sandalias. ;Yo llevaba botas. ;0
El argumento del político fue considerado absurdo. ;effect;Perdió el apoyo de los votantes. ;Fue acusado de corrupción. ;0
Todos desaprobaron el compromiso de la pareja. ;effect;La pareja quedó embarazada. ;La pareja se escapó. ;1
