premise;question;choice1;choice2;label
Το αντικείμενο ήταν συσκευασμένο σε φυσαλίδιο. ;cause;Ήταν εύθραυστο. ;Ήταν μικρό. ;0
Άδειασα τις τσέπες μου. ;effect;Βρήκα ένα κουπόνι εισιτηρίου. ;Βρήκα ένα όπλο. ;0
Οι τερμίτες εισέβαλαν στο σπίτι. ;effect;Οι τερμίτες εξαφανίστηκαν από το σπίτι. ;Οι τερμίτες έφαγαν το ξύλο στο σπίτι. ;1
Οι ταξιδιώτες έφτασαν στα σύνορα. ;effect;Ο πράκτορας της περιπολίας έλεγξε τα διαβατήριά τους. ;Ο πράκτορας περιπολίας τους κατηγόρησε για λαθρεμπόριο. ;0
Το γραφείο ήταν κλειστό. ;cause;Ήταν διακοπές. ;Ήταν καλοκαίρι. ;0
Το κορίτσι έμεινε από ενέργεια. ;cause;Έπαιζε ντάμα. ;Πήδηξε από το σκοινί. ;1
Η γυναίκα έχασε τη θέση της στην ουρά. ;cause;Κι άλλοι άνθρωποι μπήκαν στη γραμμή. ;Βγήκε από τη γραμμή. ;1
Το κορίτσι τσίμπησε τη μύτη της. ;cause;Το μωρό έχυσε στο σαγόνι της. ;Το μωρό της λερώθηκε την πάνα. ;1
Η μπάντα έπαιξε το τραγούδι τους. ;effect;Το κοινό χειροκρότησε μαζί με τη μουσική. ;Το ακροατήριο άκουσε ευγενικά σιωπηλά. ;0
Το κορίτσι ήθελε να ευχαριστήσει τον δάσκαλο μαθηματικών της. ;effect;Το κορίτσι έμεινε μετά το σχολείο για επιτήρηση. ;Το κορίτσι έφερε στο δάσκαλο ένα μήλο. ;1
Οι νέοι κατασκηνωτές φοβήθηκαν. ;cause;Ο σύμβουλος τους είπε μια ιστορία με φαντάσματα. ;Έψησαν ζαχαρωτά στη φωτιά. ;0
Ο άνθρωπος χτύπησε το κεφάλι του. ;effect;Χάθηκε στις σκέψεις του. ;Είχε διάσειση. ;1
Η επιταγή που έγραψα δεν έγινε δεκτή. ;cause;Ο τραπεζικός μου λογαριασμός ήταν άδειος. ;Αξίζω αύξηση. ;0
Το γραμματοκιβώτιο του ήταν γεμάτο spam. ;effect;Έσβησε το spam. ;Έστειλε ένα μαζικό email. ;0
Ο ναύτης βρισκόταν σε καραντίνα. ;cause;Ήταν εκτεθειμένος στην ασθένεια. ;Αναρρώθηκε από την ασθένεια. ;0
Το κορίτσι απομνημόνευσε τον κώδικα. ;cause;Το απαγγέλνει μόνη της. ;Ξέχασε να το γράψει. ;0
Έριξα το νερό στο ποτήρι. ;effect;Το νερό μου έδινε λίγη ζάχαρη. ;Το ποτήρι γέμισε. ;1
Ο άνθρωπος παρέμεινε σιωπηλός όταν ο φίλος του τελείωσε να μιλάει. ;cause;Ήθελε να προσφέρει την υποστήριξη του φίλου του. ;Σκέφτηκε τα λόγια του φίλου του. ;1
Το ατύχημα ήταν δικό μου λάθος. ;effect;Ένιωθα ένοχη. ;- Έκανα μήνυση. ;0
Η αλυσίδα έσπασε. ;cause;Η αλυσίδα ήταν τυλιγμένη γύρω από ένα λάστιχο. ;Ήταν ένας σπασμένος κρίκος στην αλυσίδα. ;1
