premise;question;choice1;choice2;label
वस्तु बुलबुला पैक में पैक की गई थी। ;cause;यह नाजुक था। ;यह छोटा था। ;0
मैंने अपनी जेब खाली कर ली। ;effect;मैं एक टिकट स्टब बरामद. ;मुझे एक हथियार मिला। ;0
घर में चींटियों ने आक्रमण किया। ;effect;घर से चींटियां गायब हो गईं। ;घर की लकड़ी को चीटियों ने खा लिया। ;1
यात्री सीमा पर पहुँच गए। ;effect;गश्ती एजेंट ने उनके पासपोर्ट की जांच की। ;गश्ती एजेंट ने उन पर तस्करी का आरोप लगाया। ;0
कार्यालय बंद था। ;cause;यह छुट्टी थी। ;यह गर्मियों में था। ;0
लड़की की ऊर्जा समाप्त हो गई। ;cause;वह डांस खेलती थी। ;उसने रस्सी कूद दी। ;1
महिला ने अपनी जगह कतार में खो दी। ;cause;और भी लोग लाइन में लग गए। ;वह लाइन से बाहर निकल गई। ;1
लड़की ने अपनी नाक चुटकी ली। ;cause;बच्चे ने उसके नथुने पर लार डाला। ;बच्चे ने उसके डायपर को गंदा कर दिया। ;1
बैंड ने अपना हिट गाना बजाया। ;effect;दर्शकों ने संगीत के साथ तालियां बजाईं। ;श्रोतागण विनम्रतापूर्वक चुपचाप सुनते रहे। ;0
लड़की अपने गणित शिक्षक को धन्यवाद देना चाहती थी। ;effect;लड़की को स्कूल के बाद सजा दी गई थी। ;लड़की ने शिक्षक को एक सेब लाया। ;1
युवा कैंपर डर गए। ;cause;उनके शिविर के सलाहकार ने उन्हें एक भूत कहानी सुनाई। ;वे आग पर मार्शमॉलोस टोस्ट करते थे। ;0
उस आदमी ने अपना सिर मारा। ;effect;वह सोच में खो गया। ;उसे एक concussion मिला है. ;1
मेरे द्वारा लिखी गई चेक को वापस नहीं किया गया। ;cause;मेरा बैंक खाता खाली था। ;मैंने वेतन वृद्धि अर्जित की। ;0
उस आदमी का ईमेल इनबॉक्स स्पैम से भरा था। ;effect;उसने स्पैम को मिटा दिया। ;उसने एक सामूहिक ईमेल भेजा। ;0
नाविक को क्वारंटीन किया गया था। ;cause;वह इस बीमारी के संपर्क में था। ;वह बीमारी से उबर गया। ;0
लड़की ने कोड याद कर लिया। ;cause;उसने इसे अपने आप में सुनाया। ;वह इसे लिखना भूल गई। ;0
मैंने गिलास में पानी डाला। ;effect;पानी ने मेरी प्यास बुझाई। ;गिलास भर गया। ;1
जब उसका दोस्त बोलना समाप्त कर चुका था तो वह आदमी चुप रहा। ;cause;वह अपने मित्र को समर्थन देना चाहता था। ;वह अपने मित्र के शब्दों पर सोच रहा था। ;1
दुर्घटना मेरी गलती थी। ;effect;मुझे दोषी महसूस हुआ। ;मैंने आरोप लगाया। ;0
चेन टूट गई। ;cause;चेन एक टायर के चारों ओर लपेटी हुई थी। ;श्रृंखला में एक टूटी हुई कड़ी थी। ;1
दंपति ने समझौता करने का फैसला किया। ;cause;वे झगड़े से थक गए। ;उन्होंने समस्या पर चर्चा करने से बचना चाहा। ;0
उस महिला ने सार्वजनिक पद के लिए चुनाव लड़ने का फैसला किया। ;effect;उसने एक अभियान प्रबंधक को काम पर रखा। ;उसने अदालत में गवाही दी। ;0
उस आदमी ने अपनी यात्रा में ठंडे मौसम का अनुमान लगाया था। ;effect;उसने अपने सूटकेस में गर्म कपड़े पैक किए। ;वह एक बड़े सूटकेस के साथ यात्रा करता था। ;0
छात्र को प्रश्न का उत्तर पता था। ;effect;उसने अपना हाथ उठाया। ;वह दूर goofed. ;0
उस आदमी की आँखों में पानी आ गया। ;cause;उसकी आँखों में धूल आ गई। ;उसने अपनी आँखों पर चश्मा लगाया। ;0
खिलाड़ी ने लगातार पांच मैच जीते। ;effect;उसके प्रतिद्वंद्वी ने उस पर धोखा देने का आरोप लगाया। ;उसके प्रतिद्वंद्वी को उसके लिए खेद हुआ। ;0
शिक्षक ने छात्र की परीक्षा फाड़ दी। ;cause;उसने छात्र को धोखा देते हुए पकड़ा। ;छात्र के उत्तर गलत थे। ;0
मैंने बोलना बंद करने के लिए रुक गया। ;cause;मैंने अपनी आवाज खो दी। ;मैं सांस से बाहर चला गया। ;1
जमे हुए भोजन पिघल गए। ;cause;मैंने इसे माइक्रोवेव में डाल दिया। ;मैंने इसे प्लास्टिक की चादर से ढक दिया। ;0
कर्मचारी ने बीमार होने का नाटक किया। ;cause;उसे पेट में ऐंठन थी। ;वह एक दिन की छुट्टी चाहता था। ;1
लड़की पूल में गिर गई। ;cause;वह पूल डेक पर भाग गया। ;वह डाइविंग बोर्ड से कूद गई। ;1
सिनेमा टिकट बिक गए। ;cause;यह फिल्म के लिए उद्घाटन का दिन था। ;फिल्म को खराब समीक्षा मिली। ;0
उस आदमी ने वजन कम किया। ;effect;लोगों ने उसे अलग कर दिया। ;लोग उनकी प्रशंसा करते थे। ;1
लड़की के हाथों में फोड़े हो गए। ;cause;उसने एक पत्र टाइप किया। ;वह एक रस्सी पर चढ़ गई। ;1
सर्कस कलाकार ने एक monocycle की सवारी करते हुए जॉगलिंग की। ;effect;दर्शकों ने आश्चर्य में जयकार किया। ;एक्रोबेट एक ट्रेपेज से झूलता था। ;0
मेरा धैर्य समाप्त हो गया। ;cause;मेरे दोस्त ने मुझे इंतजार कराया। ;मेरा दोस्त समय पर पहुंचा। ;0
युद्धरत देश शांति चाहते थे। ;effect;उन्होंने परमाणु हथियार विकसित किए। ;उन्होंने एक संधि पर बातचीत की। ;1
उस आदमी ने नींद की दवा ली थी। ;effect;वह सुस्त हो गया। ;उसे बुखार था। ;0
महिला सोफे से टकरा गई। ;effect;सोफे का पैर ढीला हो गया। ;उसने अपने घुटने को चोट पहुंचाई। ;1
लड़के ने गुब्बारा दबाया। ;effect;गुब्बारा फट गया। ;गुब्बारा उड़ गया। ;0
वे यात्री अपने होटल के कमरे में चेक-इन कर चुके थे। ;effect;उन्होंने अपने सूटकेस खोले। ;वे हवाई अड्डे पर गए। ;0
मैं आड़ू में काट लिया. ;effect;आड़ू चोट लगी है। ;रस बाहर बहाया. ;1
मेरे हाथ चिपचिपे हो गए। ;cause;मैंने एक डोनट खाया। ;मुझे मिठाई पसंद थी। ;0
मैंने दरवाज़ा धक्का दिया। ;effect;दरवाजा खुल गया। ;दरवाजा बंद कर दिया। ;0
कार्यकर्ताओं ने उत्पादों का बहिष्कार किया। ;cause;उत्पादों की गुणवत्ता आश्वासन के लिए परीक्षण किया गया था। ;इन उत्पादों का निर्माण बाल श्रम के माध्यम से किया गया था। ;1
मैंने दीवार में छेद कर दिया। ;effect;एक चूहा छेद से बाहर निकल आया। ;छेद से धूल उड़ाई गई। ;1
उस स्त्री को अपनी बहन पर ईर्ष्या हो गई। ;cause;उसकी बहन खुश थी। ;उसकी बहन का तलाक हो गया। ;0
मैंने अपनी शर्ट पर शराब बहाई। ;effect;मैंने एक एप्रन पहना। ;मैंने अपनी शर्ट बदल ली। ;1
कैशियर ने कैश रजिस्टर खोला। ;cause;ग्राहक ने उसके बटुए की तलाशी ली। ;ग्राहक ने उसे पैसे दिए। ;1
सड़क पर बजाने वाले संगीतकार ने भीड़ को आकर्षित किया। ;effect;लोग उसे बदल देते थे। ;उसने भीड़ को दूर भेज दिया। ;0
छोटा लड़का अपनी नर्स के पास रोया। ;cause;वह अपने माता-पिता को याद करता था। ;यह नाश्ता समय था. ;0
पायलट के रडार ने एक तूफान का पता लगाया। ;effect;पायलट तूफान से दूर चला गया। ;पायलट तूफान के बीच से उड़ा। ;0
पेड़ ने अपने पत्ते गिराए। ;effect;पत्तियों के रंग बदल गए। ;पत्तियां जमीन पर जमा हो गईं। ;1
लड़का शरारती मूड में था। ;effect;उसने अपनी बहन के साथ एक कार्ड गेम खेलने का फैसला किया। ;उसने अपनी बहन के साथ एक मजाक करने का फैसला किया। ;1
बच्चे ने शिकायत की कि उसे बाथरूम जाना है। ;effect;उसके पिता ने उसे एक सोडा पिलाया। ;उसके पिता ने एक गैसोलीन स्टेशन पर कार रोक दी। ;1
बच्चे ने मछली के भोजन को टैंक में छिड़क दिया। ;effect;मछली टैंक से बाहर उछल पड़ी। ;मछली भोजन की ओर तैरने लगी। ;1
महिला के राजनीतिक विचार बदल गए। ;effect;उसने अपनी पार्टी की सदस्यता बदल दी। ;वह एक विरोध प्रदर्शन में शामिल हुई। ;0
बाथरूम का सिंक बंद था। ;effect;मैंने नल चालू किया। ;मैंने इसमें नल सफाई का पानी डाला. ;1
यात्री ट्रेन से उतर गए। ;cause;ट्रेन स्टेशन पर पहुंची। ;ट्रेन ने सीटी बजाई। ;0
उस व्यक्ति ने लिफाफे के नम फ्लैप पर दबाया। ;effect;उसने लिफाफे पर एक मुहर लगा दी। ;उसने लिफाफे को बंद कर दिया। ;1
दोस्तों ने संपर्क खो दिया। ;cause;वे एक-दूसरे की संगति का आनंद लेते थे। ;वे अलग-अलग शहरों में चले गए। ;1
एकाउंटेंट ने कंपनी के फंड का गलत इस्तेमाल किया। ;effect;उसे अपने पद से निकाल दिया गया। ;वह मातृत्व अवकाश पर चली गई। ;0
मैंने घड़ी देखी। ;cause;मैंने घड़ी की टिक की आवाज़ सुनी। ;मैं समय की जाँच करना चाहता था। ;1
मेरा हाथ संकुचित हो गया। ;cause;मैंने निबंध हाथ से लिखा। ;मेरी पत्नी और मैं हाथ पकड़ कर बैठे थे। ;0
बोल्ट कस गया। ;cause;मैंने बोल्ट को बदल दिया. ;मैंने चाबी को घुमाया। ;1
दंपति ने एक अपार्टमेंट के लिए एक पट्टे पर हस्ताक्षर किए। ;effect;दंपति अपार्टमेंट में चले गए। ;शहर ने अपार्टमेंट को निंदा की। ;0
वह महिला बाहर बरामदे पर बैठी थी। ;cause;वह सूर्यास्त देखना चाहती थी। ;उसे लगा कि उसने बिजली देखी है। ;0
उस आदमी ने पानी में एक जीवनरक्षक जैकेट पहनी हुई थी। ;cause;वह तैर नहीं सकता था। ;पानी उथला था। ;0
महिला ने वर्ड प्रोसेसर में टाइपफॉल किया। ;effect;उसने दस्तावेज़ को मिटा दिया। ;वह बैकस्पेस कुंजी मारा. ;1
लड़की ने अपने दोस्तों के सामने घमंड किया। ;cause;उसे खराब ग्रेड मिला। ;उसने एक प्रतियोगिता जीती। ;1
लॉन कीचड़ भरा था। ;cause;रात भर बारिश हुई। ;यह खरपतवारों से भरा था। ;0
औरत सो गई। ;cause;वह रात को होटल में रही। ;वह अपनी अलार्म घड़ी सेट करना भूल गई। ;1
आदमी ने सनस्क्रीन लगा दी। ;cause;वह छाया में बैठा रहा। ;वह समुद्र तट पर गया। ;1
शोधकर्ताओं ने इस सिद्धांत को सिद्ध किया। ;effect;शोधकर्ताओं ने इस सिद्धांत को वापस ले लिया। ;व्यक्ति इस सिद्धांत को स्वीकार करते हैं। ;1
मैच में प्रशंसकों ने भौंक दिया। ;cause;खेल ओवरटाइम में चला गया। ;रेफरी ने एक गलत निर्णय लिया। ;1
मैंने ताले पर अपना संयोजन दर्ज किया। ;effect;मैं ताला बंद कर दिया. ;ताला खुल गया। ;1
भीड़ बढ़ गई। ;effect;पिता ने अपने बेटे को कुछ पैसे दिए। ;पिता ने अपने बेटे का हाथ पकड़ लिया। ;1
बर्फ ने ड्राइववे को अवरुद्ध कर दिया था। ;effect;मैंने बर्फ को बर्फ के गोले में इकट्ठा किया। ;मैंने बर्फ को रास्ते से हटा दिया। ;1
कयाक के नाविकों ने अपने नौकाओं को रवाना किया। ;effect;कयाक किनारे पर पहुँच गया। ;कयाक एक लहर से टकराया। ;0
लड़की ने अपनी बाइक पर नियंत्रण खो दिया। ;effect;उसने हैंडल को छोड़ दिया। ;वह एक बाड़ में दुर्घटनाग्रस्त हो गया। ;1
मैंने पंखा चालू कर दिया। ;effect;मेरी त्वचा पर पानी छिड़का। ;मुझे अपने ऊपर ठंडी हवा के गुजरने का एहसास हुआ। ;1
सर्फर समुद्र तट पर लौट आए। ;cause;वे गीले थे। ;उन्होंने एक शार्क देखी। ;1
मैंने बाथटब में नाली का प्लग खींच लिया। ;effect;टब से पानी निकल गया। ;पानी फर्श पर छिड़क गया। ;0
पति को अपनी पत्नी के साथ विश्वासघात करने के लिए दोषी महसूस हुआ। ;effect;उसने उसे बेवफाई का आरोप लगाया। ;उसने उसे अपनी बेवफाई का इक़रार किया। ;1
पोस्टर पर स्याही फिसल गई। ;cause;मैंने इंक के सूखने का इंतज़ार किया। ;मैंने पोस्टर पर पानी बहाया। ;1
बच्चा चिल्लाते हुए जाग गया। ;cause;उसे एक बुरा सपना आया था। ;उसने बिस्तर पे पेशाब किया। ;0
लड़के ने अपने पैरों को मेज पर रखा। ;effect;उसके पिता मेज पर बैठ गए। ;उसके पिता ने उसे उपदेश दिया। ;1
मेरे मित्र ने मेरी ओर अपना सिर मोड़ा। ;cause;मैंने उसका नाम पुकारकर बोला। ;मैंने अपने हाथों को हिलाया। ;0
सरकार ने अपने नागरिकों पर अत्याचार किया। ;effect;नागरिकों ने विद्रोह किया। ;नागरिकों ने मतदान के लिए पंजीकरण कराया। ;0
लड़का जंगल में खो गया था। ;effect;उसने एक तम्बू खड़ा किया। ;उसने मदद के लिए चिल्लाया। ;1
वह महिला विदेश की यात्रा पर गई। ;cause;वह चित्र बनाना सीखना चाहती थी। ;वह अन्य संस्कृतियों के बारे में जानना चाहती थी। ;1
उस आदमी को अपने सहकर्मी से ईर्ष्या थी। ;cause;उसके सहकर्मी को पदोन्नति मिली। ;उसके सहकर्मी ने देर तक काम किया। ;0
आदमी एलियंस गवाह देखा. ;cause;वह भ्रम में था। ;वह ध्यान कर रहा था। ;0
उस आदमी के बाल गोरे हो गए। ;cause;उसने इसमें ब्लीच डाला. ;उसने इसमें शैम्पू डाला। ;0
कलाकार ने नया कार्य बनाया। ;cause;उसने अपने पिछले काम की आलोचना की। ;उसे एक प्रेरणा का झटका लगा। ;1
बेटा घर से चला गया। ;cause;उसे सेना से छुट्टी दे दी गई थी। ;वह कॉलेज जा रहा था। ;1
किताबें किताबों की अलमारी से गिर गईं। ;cause;अलमारियाँ धूल से ढकी हुई थीं। ;एक भूकंप ने किताबों की अलमारी को हिला दिया। ;1
मेरे घर की बिजली बंद हो गई। ;effect;मैंने एक रोशनी चालू की। ;मैं सर्किट ब्रेकर रीसेट. ;1
हम रोलर कोस्टर की सवारी करते थे। ;cause;यह डरावना लग रहा था। ;यह मजेदार लग रहा था. ;1
पॉपकॉर्न का बैग फटने लगा। ;cause;मैंने बैग में मक्खन डाला। ;मैंने इसे माइक्रोवेव में गर्म किया। ;1
एक पेड़ बिजली की लाइन पर गिर गया। ;effect;पड़ोस में बिजली चली गई। ;पूर्वानुमान में तेज हवाओं का अनुमान लगाया गया था। ;0
वक्ता ने राजनीतिक रूप से गलत टिप्पणियां कीं। ;effect;वह दर्शकों को ऊबाते थे। ;उन्होंने दर्शकों को ठेस पहुंचाई। ;1
मैं खुद को पिन के साथ pricked. ;effect;मेरे चेहरे से पसीने की बूंदें टपक रही थीं। ;मेरी उंगली पर खून की एक बूंद बन गई। ;1
मछली टैंक की सतह पर तैरती रही। ;cause;यह भूखा था। ;यह मर गया था। ;1
उस आदमी की आवाज़ में खटखटाहट थी। ;cause;उसे सर्दी थी। ;उसने धूम्रपान छोड़ दिया। ;0
लिफ्ट के दरवाजे खुल गए। ;cause;लिफ्ट निर्धारित मंजिल पर पहुंची। ;लिफ्ट मंजिलों के बीच फंस गई। ;0
किशोर घर से बाहर निकल गया। ;cause;उसने अपने माता-पिता से झूठ बोला। ;उसके माता-पिता ने उसे जमीन पर रख दिया। ;1
बाथरूम में पानी भर गया। ;cause;शौचालय भर गया। ;पानी का हीटर टूट गया। ;0
पिल्ला अपने मालिक के पास ही रहा। ;cause;मालिक ने पिल्ला को कॉलर पहनाया। ;मालिक ने पिल्ला को पट्टा पर रखा। ;1
उस आदमी ने उसका प्रतिबिंब देखा। ;cause;वह विशाल वृक्ष के नीचे खड़ा था। ;वह शांत झील के ऊपर खड़ा था। ;1
मैं अपनी प्रेमिका के फोन कॉल को याद किया. ;effect;मैंने उसे वापस बुलाया। ;मैं उसे रात के खाने के लिए मिला. ;0
परिवार ने पड़ोस की तलाशी ली। ;cause;उनका कुत्ता घर से भाग गया। ;उनके घर से महंगे गहने गायब थे। ;0
जब मैंने सांस ली तो मैंने अपनी सांस देखी। ;cause;मौसम ठंडा था। ;मेरा सीना कस गया। ;0
कर्मचारियों ने एक संघ बनाया। ;cause;वे बेहतर कार्य परिस्थितियां चाहते थे। ;उनके नियोक्ता ने उनके वेतन में वृद्धि की। ;0
मैंने एक सेब का पाई पकाया। ;effect;एक सड़ने वाली गंध रसोई में भर गई। ;एक गर्म सुगंध ने रसोई को भर दिया। ;1
महिला ने चलने के लिए संघर्ष किया। ;cause;उसने ऊँची एड़ी के जूते पहने थे। ;उसने अपने जूते उतार लिए। ;0
पानी के बर्तन से भाप उठी। ;cause;पानी उबल गया। ;मैंने बर्तन को कवर किया। ;0
मेरे सारे मोजे कपड़े धोने में थे। ;effect;मैंने सैंडल पहने थे। ;मैंने जूते पहने थे। ;0
राजनेता के तर्क को बेतुका माना गया। ;effect;उन्होंने मतदाताओं का समर्थन खो दिया। ;उन पर भ्रष्टाचार का आरोप था। ;0
सभी ने इस जोड़ी की सगाई को अस्वीकार कर दिया। ;effect;दंपति गर्भवती हो गए। ;दंपति भाग गए। ;1
यह भवन करोड़पति को समर्पित था। ;cause;करोड़पति ने इमारत को गिराया। ;उस करोड़पति ने इसे बनाने के लिए धन का योगदान दिया। ;1
