premise;question;choice1;choice2;label
ဒီပစ္စည်းကို ပူဖောင်းဖုံးနဲ့ ထုတ်ပိုးထားတယ်။ ;cause;၎င်းဟာ မခိုင်မာခဲ့ပါ။ ;ဒါက သေးသေးလေးပါ။ ;0
အိတ်ကပ်တွေ ဗလာကျင်းတယ်။ ;effect;ကျွန်မက ထီလက်မှတ်ကို ပြန်ထုတ်ယူလိုက်တယ်။ ;သေနတ်တစ်လက်တွေ့ခဲ့တယ်။ ;0
အိမ်ကိုခြင်တွေ ဝင်လာကြတယ်။ ;effect;အိမ်ထဲက သက်မည်းတွေ ပျောက်သွားတယ်။ ;အိမ်ထဲက သစ်သားတွေကို လင်းနို့တွေ စားတယ်။ ;1
ခရီးသွားတွေဟာ နယ်စပ်ကို ရောက်ခဲ့တယ်။ ;effect;ကင်းစောင့်ရဲက ပတ်စ်ပို့တွေ စစ်တယ်။ ;ကင်းလှည့် ရဲအရာရှိက သူတို့ကို တရားမဝင် ခိုးသွင်းတယ်လို့ စွပ်စွဲတယ်။ ;0
ရုံးက ပိတ်ထားတယ်။ ;cause;အားလပ်ရက်ပါ။ ;နွေရာသီပါ။ ;0
ကောင်မလေးမှာ စွမ်းအင်ကုန်သွားတယ်။ ;cause;သူမဟာ ဒမ်မာ ကစားခဲ့တယ်။ ;သူမဟာ ကြိုးခုန်ခဲ့တယ်။ ;1
အမျိုးသမီးဟာ သူ့နေရာကို တန်းစီနေစဉ် ပျောက်ဆုံးသွားခဲ့တယ်။ ;cause;လူတွေက တန်းစီနေကြတယ်။ ;သူမဟာ အတန်းကနေ ထွက်သွားတယ်။ ;1
ကောင်မလေးက သူမရဲ့နှာခေါင်းကိုညှစ်လိုက်တယ်။ ;cause;ကလေးက သူ့ဘီဘီမှာ လျှော်နေတယ်။ ;ကလေးက သူ့ပေါင်မုန့်ချောင်းကို ညစ်ပတ်စေတယ်။ ;1
အဲဒီတီးဝိုင်းက သူတို့ရဲ့ နာမည်ကြီး သီချင်းကို တီးပြခဲ့တယ်။ ;effect;ပရိတ်သတ်က ဂီတနဲ့အတူ လက်ခုပ်တီးကြတယ်။ ;[စာမျက်နှာ ၂၂ ပါ ရုပ်ပုံ] ;0
ကောင်မလေးက သူမရဲ့ သင်္ချာဆရာကို ကျေးဇူးတင်ချင်တယ်။ ;effect;ကောင်မလေးက ကျောင်းပြီးချိန်မှာ ဆက်နေရတယ်။ ;ကောင်မလေးက ဆရာမဆီ ပန်းသီးတစ်လုံးယူလာတယ်။ ;1
စခန်းက လူငယ်တွေဟာ ကြောက်လန့်နေခဲ့ကြတယ်။ ;cause;သူတို့စခန်းက အကြံပေးက တစ္ဆေပုံပြင်တစ်ပုဒ် ပြောတယ်။ ;မီးပုံပွဲမှာ မုန့်ချိုတွေ ကန်ရင်းပေါ့။ ;0
အဲဒီလူက သူ့ခေါင်းကို ပစ်မိသွားခဲ့တယ်။ ;effect;သူဟာ အတွေးနယ်ကျွံနေခဲ့တယ်။ ;သူ ဦးနှောက်ထိခိုက်မိတယ်။ ;1
ကျွန်မ ချပ်ပေးတာ ပြန်ပေးတာခံရတယ်။ ;cause;ကျွန်မ ဘဏ်စာရင်းက ဘာမှမရှိဘူး။ ;လစာတိုးတာ ကျွန်မရခဲ့တယ်။ ;0
သူ့အီးမေးလ်တွေထဲမှာ အီးမေးလ်တွေ ပြည့်နေတယ်။ ;effect;သူက spam တွေကို ဖျက်ပစ်တယ်။ ;အီးမေးလ်တွေ အများကြီး ပို့တယ်။ ;0
