premise;question;choice1;choice2;label
Tuote oli pakattu kuplafilmiin. ;cause;Se oli hauras. ;Se oli pieni. ;0
Tyhjensin taskut. ;effect;Löysin lipun. ;Löysin aseen. ;0
Termitit valtasivat talon. ;effect;Termitit katosivat talosta. ;Termitit söivät talon puun läpi. ;1
Matkustajat saapuivat rajalle. ;effect;- Heidän passinsa tarkistettiin. ;Heitä syytettiin salakuljetuksesta. ;0
Toimisto oli kiinni. ;cause;Se oli loma-aika. ;Se oli kesä. ;0
Tytön energia loppui. ;cause;Hän pelasi tammaa. ;Hän hyppäsi köyttä. ;1
Nainen menetti paikkansa jonossa. ;cause;Lisää ihmisiä tuli jonoon. ;Hän astui pois jonosta. ;1
Tyttö nipisti nenäänsä. ;cause;Vauva kuolasi hänen sukkapuheensa. ;Vauva likaisi hänen vaippansa. ;1
Bändi soitti hittikappaleen. ;effect;Yleisö taputti musiikin mukana. ;Yleisö kuunteli kohteliaasti hiljaa. ;0
Tyttö halusi kiittää matikanopettajaansa. ;effect;Tyttö jäi koulun jälkeen. ;Tyttö toi opettajalle omenan. ;1
Nuoret leiriytyjät pelkäsivät. ;cause;Leirinvalvoja kertoi heille tarinan kummituksista. ;He paahtoivat marshmallowsia leiritulessa. ;0
Mies löi päähänsä. ;effect;Hän oli ajatuksissaan. ;Hänellä on aivotärähdyksestä. ;1
Kirjoittamani sekki ei tullut. ;cause;Pankkitilin oli tyhjä. ;Ansaitsin palkankorotuksen. ;0
Hänen sähköpostilaatikkonsa oli täynnä roskapostia. ;effect;Hän poisti roskapostin. ;Hän lähetti sähköpostia. ;0
Merimies oli karanteenissa. ;cause;Hän altistui taudille. ;Hän toipui sairaudesta. ;0
Tyttö muisti koodin. ;cause;Hän lausui sen itselleen. ;Hän unohti kirjoittaa sen ylös. ;0
Kaadoin vettä lasille. ;effect;Vesi sammutti janoani. ;Lasista tuli täysi. ;1
Mies pysyi vaiti, kun hänen ystävänsä oli puhunut loppuun. ;cause;Hän halusi tukea ystäväänsä. ;Hän ajatteli ystävänsä sanoja. ;1
Onnettomuus oli minun syytäni. ;effect;Tunsin syyllisyyttä. ;-Minä nostin syytteen. ;0
Ketju hajosi. ;cause;Ketju oli kiedottu renkaan ympärille. ;Ketjun yksi silmä oli rikki. ;1
Pariskunta päätti tehdä kompromissin. ;cause;He väsyivät riitelemään. ;He välttivät keskustelemasta ongelmasta. ;0
