premise;question;choice1;choice2;label
L'article estava envasat en un film de bombolles. ;cause;Era fràgil. ;Era petit. ;0
He buidat les butxaques. ;effect;He recuperat un taló de bitllet. ;He trobat una arma. ;0
Les termites van envair la casa. ;effect;Les termites van desaparèixer de la casa. ;Les termites van menjar la fusta de la casa. ;1
Els viatgers van arribar a la frontera. ;effect;L'agent de la patrulla va comprovar els seus passaports. ;L'agent de la patrulla els va acusar de contraban. ;0
L'oficina estava tancada. ;cause;Era un dia de vacances. ;Era estiu. ;0
La noia es va quedar sense energia. ;cause;Va jugar a dama. ;Va saltar la corda. ;1
La dona va perdre el seu lloc a la fila. ;cause;Més gent va entrar a la fila. ;Va sortir de la fila. ;1
La noia es va pinçar el nas. ;cause;El nadó li va bavejar al babut. ;El nadó li va ensuciar el plou. ;1
La banda va tocar la seva cançó de èxit. ;effect;El públic va aplaudir al ritme de la música. ;L'audiència va escoltar educadament en silenci. ;0
La noia volia agrair al seu professor de matemàtiques. ;effect;La noia es va quedar després de l'escola per a la detenció. ;La noia va portar una poma al professor. ;1
Els joves acampats es van sentir espantats. ;cause;El seu conseller de campament els va contar una història de fantasmes. ;Van torrar marshmallows a la foguera. ;0
L'home es va colpejar el cap. ;effect;Es va perdre en pensaments. ;Ha tingut una conmoció cerebral. ;1
El xec que vaig escriure va ser rebutjat. ;cause;El meu compte bancari estava buit. ;Em mereixo un augment. ;0
La caixa de correu de l'home estava plena de spam. ;effect;Ha esborrat el spam. ;Va enviar un correu electrònic en massa. ;0
El mariner estava en quarantena. ;cause;Va estar exposat a la malaltia. ;Es va recuperar de la malaltia. ;0
La noia va memoritzar el codi. ;cause;Ella ho va recitar per si mateixa. ;S'ha oblidat d'escriure-ho. ;0
Vaig llençar l'aigua al got. ;effect;L'aigua va apagar la meva set. ;El got es va omplir. ;1
L'home va romandre en silenci quan el seu amic va acabar de parlar. ;cause;Volia donar suport al seu amic. ;Pensava en les paraules del seu amic. ;1
L'accident va ser culpa meva. ;effect;Em vaig sentir culpable. ;He presentat una denúncia. ;0
La cadena es va trencar. ;cause;La cadena estava envoltada d'un pneumàtic. ;Hi havia un enllaç trencat a la cadena. ;1
La parella va decidir fer un compromís. ;cause;Es van cansar de discutir. ;Evitaren discutir el problema. ;0
La dona va decidir presentar-se a un càrrec públic. ;effect;Va contractar un director de campanya. ;Va testificar al tribunal. ;0
L'home s'esperava un temps fred en el seu viatge. ;effect;Va embolicar roba calenta a la seva maleta. ;Va viatjar amb una maleta gran. ;0
L'estudiant sabia la resposta a la pregunta. ;effect;Va aixecar la mà. ;Ha fet una estupidesa. ;0
Els ulls de l'home van llorar. ;cause;Li va entrar pols als ulls. ;Es va posar unes ulleres de protecció als ulls. ;0
El jugador va guanyar cinc partits seguits. ;effect;El seu oponent la va acusar d'enganyar. ;El seu oponent se'n va sentir pena. ;0
El professor va trencar l'examen de l'estudiant. ;cause;Va agafar l'estudiant fent trampa. ;Les respostes de l'estudiant eren incorrectes. ;0
