premise;question;choice1;choice2;label
O artigo estava embalado em papel de borracha. ;cause;Era frágil. ;Era pequeno. ;0
Esvaziei os bolsos. ;effect;Recuperei um talão de bilhete. ;Encontrei uma arma. ;0
Termitas invadiram a casa. ;effect;Os cupins desapareceram da casa. ;Os cupins comeram a madeira da casa. ;1
Os viajantes chegaram à fronteira. ;effect;O agente da patrulha verificou os passaportes. ;O agente da patrulha acusou-os de contrabando. ;0
O escritório estava fechado. ;cause;Era um feriado. ;Era verão. ;0
A rapariga ficou sem energia. ;cause;Ela jogou damas. ;Ela saltou da corda. ;1
A mulher perdeu o lugar na fila. ;cause;Mais pessoas entraram na fila. ;Ela saiu da fila. ;1
A menina beliscou o nariz. ;cause;O bebé babava-se no biquíni. ;O bebé sujou a fralda dela. ;1
A banda tocou a sua canção de sucesso. ;effect;O público aplaudiu junto com a música. ;O público ouviu educadamente em silêncio. ;0
A menina queria agradecer ao professor de matemática. ;effect;A rapariga ficou depois da escola por castigo. ;A menina trouxe uma maçã para a professora. ;1
Os jovens campistas sentiram medo. ;cause;O orientador do acampamento contou-lhes uma história de fantasmas. ;Eles assaram marshmallows na fogueira. ;0
O homem bateu com a cabeça. ;effect;Ele perdeu-se em pensamentos. ;Ele teve uma concussão. ;1
O cheque que escrevi não foi pago. ;cause;A minha conta bancária estava vazia. ;Eu mereci um aumento. ;0
A caixa de correio do homem estava cheia de spam. ;effect;Ele apagou o spam. ;Ele enviou um e-mail em massa. ;0
O marinheiro foi posto em quarentena. ;cause;Ele foi exposto à doença. ;Ele se recuperou da doença. ;0
A rapariga memorizou o código. ;cause;Ela recitou-o para si mesma. ;Ela esqueceu-se de o escrever. ;0
Eu despejei a água no copo. ;effect;A água saciava a minha sede. ;O copo ficou cheio. ;1
O homem permaneceu em silêncio quando seu amigo terminou de falar. ;cause;Ele queria oferecer apoio ao amigo. ;Ele estava pensando nas palavras do seu amigo. ;1
O acidente foi culpa minha. ;effect;Senti-me culpado. ;Eu apresentei queixa. ;0
A corrente desfez-se. ;cause;A corrente estava envolvida num pneu. ;Havia um elo quebrado na cadeia. ;1
O casal decidiu fazer um compromisso. ;cause;Eles cansaram-se de discutir. ;Evitaram discutir o problema. ;0
A mulher decidiu concorrer a um cargo público. ;effect;Ela contratou um gerente de campanha. ;Ela testemunhou no tribunal. ;0
O homem antecipou o tempo frio em sua viagem. ;effect;Ele pôs roupas quentes na mala. ;Ele viajou com uma mala grande. ;0
O estudante sabia a resposta para a pergunta. ;effect;Ele levantou a mão. ;Ele fez uma parvoíce. ;0
