premise;question;choice1;choice2;label
Item itu dibungkus dalam bungkusan gelembung. ;cause;Ia rapuh. ;Ia kecil. ;0
Saya mengosongkan poket saya. ;effect;Saya mengambil sepinggan tiket. ;Saya jumpa senjata. ;0
Semut menyerang rumah. ;effect;Semut hilang dari rumah. ;Semut memakan kayu di dalam rumah. ;1
Para pelancong telah sampai ke sempadan. ;effect;Agen rondaan memeriksa pasport mereka. ;Agen rondaan menuduh mereka menyeludup. ;0
Pejabat itu ditutup. ;cause;Hari itu hari cuti. ;Ia adalah musim panas. ;0
Gadis itu kehabisan tenaga. ;cause;Dia bermain dam. ;Dia melompat tali. ;1
Wanita itu kehilangan tempatnya dalam barisan. ;cause;Lebih ramai orang masuk ke barisan. ;Dia melangkah keluar dari barisan. ;1
Gadis itu mencubit hidungnya. ;cause;Bayi itu mengadu pada bibnya. ;Bayi itu mencemarkan lampin dia. ;1
Band itu memainkan lagu hit mereka. ;effect;Penonton bertepuk tangan mengikut muzik. ;Penonton dengan sopan mendengar dalam diam. ;0
Gadis itu ingin berterima kasih kepada guru matematiknya. ;effect;Gadis itu tinggal selepas sekolah untuk penangguhan. ;Gadis itu membawa seorang guru sebuah epal. ;1
Para penempatan muda berasa takut. ;cause;Penasihat kem mereka memberitahu mereka cerita hantu. ;Mereka memanggang marshmallows di atas api perkhemahan. ;0
Lelaki itu memukul kepalanya. ;effect;Dia tersesat dalam pemikiran. ;Dia mengalami gegaran otak. ;1
Cek yang saya tulis tidak dibayar. ;cause;Akaun bank saya kosong. ;Saya layak mendapat kenaikan gaji. ;0
Peti masuk e-mel lelaki itu penuh dengan spam. ;effect;Dia memadam spam. ;Dia menghantar e-mel secara beramai-ramai. ;0
Pelaut itu dikuarantin. ;cause;Dia terdedah kepada penyakit itu. ;Dia pulih dari penyakit itu. ;0
Gadis itu menghafal kodnya. ;cause;Dia mengulangi itu untuk dirinya sendiri. ;Dia lupa untuk menulisnya. ;0
Saya tuangkan air ke dalam gelas. ;effect;Air itu memuaskan dahaga saya. ;Gelas itu menjadi penuh. ;1
Lelaki itu diam apabila rakannya selesai bercakap. ;cause;Dia mahu menawarkan sokongan kepada rakannya. ;Dia memikirkan kata-kata rakannya. ;1
Kemalangan itu adalah salah saya. ;effect;Saya berasa bersalah. ;Saya telah memfailkan dakwaan. ;0
Rantai itu terpecah. ;cause;Rantai itu dibungkus pada tayar. ;Ada satu pautan yang rosak dalam rantaian. ;1
Pasangan itu memutuskan untuk berkompromi. ;cause;Mereka bosan berdebat. ;Mereka mengelakkan untuk membincangkan masalah itu. ;0
Wanita itu memutuskan untuk bertanding untuk jawatan awam. ;effect;Dia mengupah pengurus kempen. ;Dia memberi keterangan di mahkamah. ;0
Lelaki itu menjangkakan cuaca sejuk dalam perjalanannya. ;effect;Dia mengemas pakaian hangat dalam beg begnya. ;Dia mengembara dengan beg besar. ;0
Pelajar itu tahu jawapan kepada soalan itu. ;effect;Dia mengangkat tangannya. ;Dia tergelak. ;0
Mata lelaki itu menangis. ;cause;Debu masuk ke matanya. ;Dia meletakkan cermin mata di matanya. ;0
Pemain itu memenangi lima perlawanan berturut-turut. ;effect;Lawan dia menuduh dia menipu. ;Lawan dia kasihan padanya. ;0
Guru merobek ujian pelajar. ;cause;Dia menangkap pelajar yang menipu. ;Jawapan pelajar itu salah. ;0
Saya berhenti untuk berhenti bercakap. ;cause;Saya kehilangan suara saya. ;Saya kehabisan nafas. ;1
Makanan beku itu mencairkan. ;cause;Saya letakkan di dalam microwave. ;Saya menutupnya dengan plastik. ;0
Pekerja itu berpura-pura sakit. ;cause;Dia mengalami kekejangan perut. ;Dia mahu hari cuti. ;1
Gadis itu jatuh ke dalam kolam renang. ;cause;Dia berlari di dek kolam renang. ;Dia melompat dari papan penyelam. ;1
Tiket filem sudah habis. ;cause;Hari pembukaan filem. ;Filem itu menerima ulasan yang buruk. ;0
Lelaki itu kehilangan berat badan. ;effect;Orang mengasingkan dia. ;Orang ramai memujinya. ;1
Tangan gadis itu menjadi berlubang. ;cause;Dia mengetik surat. ;Dia memanjat tali. ;1
Pelakon sarkas itu bermainnya sambil menunggang basikal. ;effect;Penonton bersorak dengan terkejut. ;Akrobat itu berayun dari trapeze. ;0
Saya hilang kesabaran saya. ;cause;Kawan saya buat saya menunggu. ;Kawan saya tiba tepat pada masanya. ;0
Negara-negara yang berperang itu mahukan keamanan. ;effect;Mereka membangunkan senjata nuklear. ;Mereka berunding perjanjian. ;1
Lelaki itu mengambil ubat tidur. ;effect;Dia menjadi mengantuk. ;Dia demam. ;0
Wanita itu terhempas ke sofa. ;effect;Kaki sofa terlepas. ;Dia memar lutut. ;1
Anak lelaki itu memerah belon. ;effect;Balon itu pecah. ;Balon terbang. ;0
Mereka pelancong yang mendaftar masuk ke bilik hotel mereka. ;effect;Mereka membuka beg mereka. ;Mereka pergi ke lapangan terbang. ;0
Saya menggigit dalam persik. ;effect;Persik yang lebam. ;Jus tumpah keluar. ;1
Tangan saya menjadi lengket. ;cause;Saya makan donat. ;Saya suka gula-gula. ;0
Saya menolak pintu. ;effect;Pintu dibuka. ;Pintu dikunci. ;0
Aktivis memboikot produk. ;cause;Produk diuji untuk jaminan kualiti. ;Produk-produk itu dihasilkan melalui buruh kanak-kanak. ;1
Saya menggerudi lubang di dinding. ;effect;Tikus merangkak keluar dari lubang. ;Debu meletup keluar dari lubang. ;1
Wanita itu merasa iri hati terhadap adiknya. ;cause;Adiknya gembira. ;Adik perempuan dia bercerai. ;0
Saya tumpah wain pada baju saya. ;effect;Saya pakai tudung. ;Saya tukar baju. ;1
Pengurus membuka mesin tunai. ;cause;Pelanggan itu mencari dompetnya. ;Pelanggan itu menyerahkan wangnya. ;1
Pemuzik jalanan itu menarik perhatian orang ramai. ;effect;Orang memberi dia perubahan. ;Dia menyuruh orang ramai pergi. ;0
Anak lelaki itu menangis kepada pengasuhnya. ;cause;Dia rindu ibu bapanya. ;Masa untuk makan tengahari. ;0
Radar juruterbang mengesan ribut. ;effect;Juruterbang itu menavigasi jauh dari ribut. ;Juruterbang terbang melalui ribut. ;0
Pokok itu menumpahkan daunnya. ;effect;Daun berubah warna. ;Daun terkumpul di atas tanah. ;1
Anak itu dalam mood nakal. ;effect;Dia memutuskan untuk bermain kad dengan kakaknya. ;Dia memutuskan untuk bermain lelucon praktikal pada adiknya. ;1
Anak itu mengadu bahawa dia perlu pergi ke bilik mandi. ;effect;Ayahnya memberinya soda untuk diminum. ;Ayahnya berhenti di stesen minyak. ;1
