premise;question;choice1;choice2;label
Порока је била упакована у пликовину са мехурићима. ;cause;Била је крхка. ;Била је мала. ;0
Пропустио сам џепове. ;effect;Добио сам комад карте. ;Нашао сам оружје. ;0
Термити су напали кућу. ;effect;Термити су нестали из куће. ;Термити су прожели дрво у кући. ;1
Путници су стигли до границе. ;effect;Патрулни агент је проверио њихове пасоше. ;Патрулни агент их је оптужио за шверц. ;0
Канцеларија је била затворена. ;cause;Била је то празнична дана. ;Било је лето. ;0
Девојчици је нестала енергија. ;cause;Играла је шаму. ;Скочила је на јамку. ;1
Жена је изгубила место у реду. ;cause;У ред је ушло још људи. ;Излазила је из редице. ;1
Девојка је утрла нос. ;cause;Беба је слизала на њену шипку. ;Беба је прљала пелене. ;1
Бенд је свирао своју хит песму. ;effect;Публика је аплаудирала уз музику. ;Аудиторија је учтиво слушала у тишини. ;0
Девојка је хтела да се захвали учитељу математике. ;effect;Девојка је остала после школе због казне. ;Девојка је донела учитељици јабуку. ;1
Млади кампери су се плашили. ;cause;Њихов саветник из логора им је испричао причу о духовима. ;Они су пекли сладкише на камповој ватри. ;0
Човек је ударио главом. ;effect;Загубио се у мислима. ;Имао је потрес мозга. ;1
Чек који сам написао није плаћен. ;cause;Мој банковни рачун је био празан. ;Заслужио сам повећање плате. ;0
Мушкилац је имао поштански сандук пун спама. ;effect;Избрисао је спам. ;Послао је масовну е-пошту. ;0
Морнар је био у карантину. ;cause;Био је изложен болести. ;Опоравио се од болести. ;0
Девојка је запамтила код. ;cause;Рецитирала је то себи. ;Заборавила је да је запише. ;0
Налио сам воду у чашу. ;effect;Вода је угасила моју жеђ. ;Чаша је постала пуна. ;1
Човек је остао тихо када је његов пријатељ завршио да говори. ;cause;Желео је да пружи подршку свом пријатељу. ;Размишљао је о речима свог пријатеља. ;1
Несрећа је била моја кривица. ;effect;Осећао сам се кривим. ;Поставио сам тужбу. ;0
Вез се раздвојио. ;cause;Вез је био увијен око гуме. ;Било је сломљено зглобо у ланцу. ;1
Пар је одлучио да направи компромис. ;cause;Уморни су од расправљања. ;Избегавали су да разговарају о том проблему. ;0
Жена је одлучила да се кандидује за јавну функцију. ;effect;Најмила је менаџера кампање. ;Она је сведочила на суду. ;0
Човек је очекивао да ће на путу бити хладно. ;effect;У куфер је спаковао топлу одећу. ;Путовао је са великим торбом. ;0
Студент је знао одговор на питање. ;effect;Подигао је руку. ;Он је одморио. ;0
Очи човека су се изливале. ;cause;Прашина му је ушла у очи. ;Наочи је ставио заштитне наочаре. ;0
Играч је освојио пет утакмица за редом. ;effect;Њен противник је оптужио за варање. ;Њен противник је жалио је. ;0
Учитељ је раздрао испит ученика. ;cause;Ухватио је ученика како вара. ;Одговори ученика били су погрешни. ;0
Зауставио сам се да бих престао да говорим. ;cause;Изгубио сам глас. ;Завршило ми је дисање. ;1
Замрзнута храна се одмрзнула. ;cause;Ставио сам га у микроталасну. ;Покрио сам га пластичном фолијом. ;0
Службеник се претварао да је болестан. ;cause;Имао је стомачне грчеве. ;Хтео је да одмори. ;1
Девојка је пала у базен. ;cause;Трчала је на базенској палуби. ;Скочила је са плоче за роњење. ;1
Билете за филм су распродате. ;cause;Био је то дан отварања филма. ;Филм је добио лоше критике. ;0
Човек је изгубио тежину. ;effect;Људи су га изоловали. ;Људи су му хвалили. ;1
