premise;question;choice1;choice2;label
ఈ వస్తువును బబుల్ ఫ్లాప్ లో ప్యాక్ చేశారు. ;cause;ఇది పెళుసుగా ఉంది. ;ఇది చిన్నది. ;0
నేను నా జేబులు ఖాళీ. ;effect;నేను ఒక టికెట్ స్టబ్ పొందగలిగారు. ;నేను ఒక ఆయుధం దొరకలేదు. ;0
ఇంటిని తాకిన పురుగులు. ;effect;ఇంటి నుండి ఉడుతలు అదృశ్యమయ్యాయి. ;ఇంటిలో వుడ్ ద్వారా టెర్మిట్లు తిన్న. ;1
ప్రయాణికులు సరిహద్దుకు చేరుకున్నారు. ;effect;వారి పాస్ పోర్టులను తనిఖీ చేసిన దండయాత్ర ఏజెంట్. ;పట్రూల్ ఏజెంట్ వారిని అక్రమ రవాణా చేసినట్లు ఆరోపించారు. ;0
కార్యాలయం మూసివేయబడింది. ;cause;ఇది ఒక సెలవుదినం. ;ఇది వేసవి. ;0
అమ్మాయి శక్తి అయిపోయింది. ;cause;ఆమె డామర్లు ఆడింది. ;ఆమె తాడు జంప్. ;1
ఆ స్త్రీ తన స్థానమును కోల్పోయింది. ;cause;మరింత మంది ప్రజలు వరుసలో చేరారు. ;ఆమె లైన్ బయటకు అడుగు. ;1
అమ్మాయి తన ముక్కును చిటికెత్తించింది. ;cause;శిశువు ఆమె bib న drooled. ;శిశువు ఆమె diaper కలుషితం. ;1
ఆ బృందం వారి హిట్ పాటను ఆడింది. ;effect;ప్రేక్షకులు సంగీతానికి తోడుగా చప్పట్లు కొట్టారు. ;విచారణకు హాజరైన వారు మౌనంగా విన్నారు. ;0
ఆ అమ్మాయి తన గణిత ఉపాధ్యాయునికి కృతజ్ఞతలు చెప్పాలనుకుంది. ;effect;అమ్మాయి పాఠశాల తర్వాత నిర్బంధ కోసం ఉండిపోయింది. ;ఆ అమ్మాయి ఉపాధ్యాయునికి ఒక ఆపిల్ తెచ్చింది. ;1
యువ శిబిరంలోని వారు భయపడ్డారు. ;cause;వారి శిబిరం కౌన్సిలర్ ఒక దెయ్యం కథ వాటిని చెప్పారు. ;వారు శిబిరంలోని అగ్ని మీద మార్ష్మల్లౌస్ను కాల్చారు. ;0
మనిషి తన తల కొట్టాడు. ;effect;అతను ఆలోచనలో పడిపోయాడు. ;అతను ఒక మెదడు గాయం వచ్చింది. ;1
నేను రాసిన చెక్ బౌన్స్. ;cause;నా బ్యాంకు ఖాతా ఖాళీగా ఉంది. ;నేను ఒక జీతం పెంచడానికి సంపాదించారు. ;0
మనిషి యొక్క ఇమెయిల్ ఇన్బాక్స్ స్పామ్ నిండి ఉంది. ;effect;అతను స్పామ్ ను తొలగించాడు. ;అతను ఒక సామూహిక ఇమెయిల్ పంపారు. ;0
నావికుడు నిర్బంధించారు. ;cause;అతను వ్యాధి బహిర్గతమయ్యారు. ;అతను వ్యాధి నుండి కోలుకున్నాడు. ;0
ఆ అమ్మాయి కోడ్ ను జ్ఞాపకం చేసుకుంది. ;cause;ఆమె స్వయంగా దానిని పఠించింది. ;ఆమె దానిని వ్రాయడం మర్చిపోయింది. ;0
నేను గాజు లోకి నీరు పోయాలి. ;effect;ఆ నీరు నా దాహమును తీర్చిదిద్దెను. ;గ్లాసు నిండిపోయింది. ;1
ఆ వ్యక్తి తన స్నేహితుడు మాట్లాడటం ముగించినప్పుడు నిశ్శబ్దంగా ఉన్నాడు. ;cause;అతను తన స్నేహితుడు మద్దతు అందించే కోరుకున్నాడు. ;అతను తన స్నేహితుని మాటల గురించి ఆలోచిస్తున్నాడు. ;1
ప్రమాదం నా తప్పు. ;effect;నేను అపరాధ భావన. ;నేను ఫిర్యాదు దాఖలు. ;0
గొలుసు విడిపోయింది. ;cause;గొలుసు ఒక టైర్ చుట్టూ చుట్టి జరిగినది. ;గొలుసు లో ఒక విరిగిన లింక్ ఉంది. ;1
ఈ జంట రాజీ పడాలని నిర్ణయించుకున్నారు. ;cause;వారు వాదించుకోవడం అలసిపోయారు. ;వారు సమస్యను చర్చించకుండా తప్పించుకున్నారు. ;0
ఆ స్త్రీ ప్రభుత్వ కార్యాలయానికి పోటీ చేయాలని నిర్ణయించుకుంది. ;effect;ఆమె ఒక ప్రచార మేనేజర్ నియమించారు. ;ఆమె కోర్టులో సాక్ష్యం ఇచ్చారు. ;0
ఆ వ్యక్తి తన ప్రయాణంలో చల్లని వాతావరణాన్ని ఊహించాడు. ;effect;అతను తన సూట్కేస్ లో వెచ్చని బట్టలు ప్యాక్. ;అతను ఒక పెద్ద సూట్కేస్తో ప్రయాణించాడు. ;0
ఆ విద్యార్థికి ప్రశ్నకు జవాబు తెలుసు. ;effect;అతను తన చేతిని పైకి లేపాడు. ;అతను మూర్ఖుడిగా. ;0
ఆ వ్యక్తి కళ్ళు నీళ్ళు కారాయి. ;cause;దుమ్ము తన కళ్ళు లోకి వచ్చింది. ;అతను తన కళ్ళ మీద గాగుల్స్ ఉంచాడు. ;0
ఆ ఆటగాడు వరుసగా ఐదు ఆటలను గెలుచుకున్నాడు. ;effect;ఆమె ప్రత్యర్థి ఆమె మోసం ఆరోపించారు. ;ఆమె ప్రత్యర్థి ఆమె కోసం జాలి పడ్డాడు. ;0
ఉపాధ్యాయుడు విద్యార్థి పరీక్షను చింపేశాడు. ;cause;అతను విద్యార్థిని మోసం చేస్తూ పట్టుకున్నాడు. ;విద్యార్థి జవాబులు తప్పుగా ఉన్నాయి. ;0
నేను మాట్లాడటం ఆపడానికి విరామం తీసుకున్నాను. ;cause;నేను నా వాయిస్ కోల్పోయింది. ;నేను శ్వాస నుండి బయటకు నడిచింది. ;1
ఘనీభవించిన ఆహారం కరిగిపోయింది. ;cause;నేను మైక్రోవేవ్ లో ఉంచారు. ;నేను ప్లాస్టిక్ తో కవర్. ;0
ఆ ఉద్యోగి అనారోగ్యంతో నటించాడు. ;cause;అతను కడుపు కుట్లు కలిగి. ;అతను ఒక రోజు ఆఫ్ కోరుకున్నాడు. ;1
