premise;question;choice1;choice2;label
Produktua kaxa batean sartuta zegoen. ;cause;Hauskorra zen. ;Txikia zen. ;0
Poltsikoak hustu nituen. ;effect;Sarrera-ontziko beste bi kopia ditut. ;Arma bat aurkitu dut. ;0
Termitak sartu ziren etxean. ;effect;Termitak joan egin dira etxetik. ;Termitek gure etxea jaten zuten. ;1
Bidaiariak muga iritsi ziren. ;effect;Patruila batek pasaporteak miatu ditu. ;Patruila batek salaketa jarri zuen kontrabandoan. ;0
Bulegoa itxita zegoen. ;cause;Oporretan nengoen. ;Uda batean izan zen. ;0
Neskak ez zuen energiarik, beraz, eman egin nion. ;cause;Dantzan egiten zuen. ;Soka batetik salto egin zuen. ;1
Emakumeak bere lekua galdu zuen lerroan. ;cause;Jende gehiago zegoen ilaran. ;Ilara oztopatzen ari da. ;1
Neskak sudurra apurtu du. ;cause;Haurrak listuontzia zulatu du. ;Haurrak pixoihala zikindu dio. ;1
Taldeak arrakasta handia izan zuen abestia jo zuen. ;effect;Entzuleek musikari jarraiki, txalo egin zuten. ;Entzuleek, adeitasunez, isiltasunean entzun zuten. ;0
Neskak eskerrak eman nahi zizkion matematika irakasleari. ;effect;Neska eskolatik kanpo dago. ;Neskak sagarra ekarri dio irakasleari. ;1
Presoak ikaratu zituen. ;cause;Beren udaletxeko tutoreak mamuen istorio bat kontatu zien. ;Sua piztu eta marmelada atera zuten. ;0
Burua kolpatu zuen. ;effect;Pentsatzen hasi zen. ;Garuneko bihotzekoa dela uste dut. ;1
Ez zen nire txekea. ;cause;Nire banku-kontua hutsik zegoen. ;Soldata igoera bat merezi dut. ;0
Gizon horren e-mail kutxa spam-z betea zegoen. ;effect;Spamak ezabatu zituen. ;Mezu asko bidali zizkion. ;0
Marinela berrogeialdian dago. ;cause;Gaixotasunaz kutsatuta zegoen. ;Gaixotasunetik osatu zen. ;0
Neskak kode bat idatzi du. ;cause;Bere buruari errezitatu dio. ;Ahaztu egin zaio idaztea. ;0
Ura edalontzian sartu nuen. ;effect;Urak nire egarria askatzen du. ;Edalontzia beteta zegoen. ;1
Gizona isilik geratu zen lagunak bukatu zuenean hitz egiten. ;cause;Laguntzeko eskatu dio. ;Lagunaren hitzak gogoan izan ditu. ;1
Istripua nire errua izan zen. ;effect;Errudun sentitzen nintzen. ;Salaketa jarri dut. ;0
Katea puskatu da. ;cause;Katea gurpil bati atxikita zegoen. ;Katean kate bat zen. ;1
Bikoteak konpromisoa hartzea erabaki zuen. ;cause;Eztabaidaren kontu horrek ez zien ongi egiten. ;Ez zuten arazoa eztabaidatu. ;0
Emakumeak erabaki zuen kargu publikorik ez hartzea. ;effect;Kanpainako zuzendari bat kontratatu zuen. ;Auzitegian deklaratu zuen. ;0
Gizon honek eguraldi hotza aurreikusten zuen bere bidaian. ;effect;Arropa beroa zeraman maletategian. ;Maleta handi batekin bidaiatzen zuen. ;0
Ikasleak galdera horren erantzuna zekien. ;effect;Eskua altxatu zuen. ;Ergelontzi bat da. ;0
Begiak malkotan zituen. ;cause;Hautsa begietan sartu zaio. ;Betaurrekoak zituen. ;0
Jokalariak bost partida irabazi zituen jarraian. ;effect;Bere aurkariak engainatzea leporatu zion. ;Bere aurkariak pena sentitzen zuen. ;0
Irakasleak ikaslearen azterketa urratu zuen. ;cause;Ikasleari iruzur egiten harrapatu dio. ;Ikaslearen erantzunak okerrak ziren. ;0
Isildu egin naiz, hitz egin gabe. ;cause;Ahotsa galdu dut. ;Arnasarik gabe geratu nintzen. ;1
Janari izoztua desizoztu da. ;cause;Mikrouhin-labean jarri dut, nik ez... ;Plastikozko zorrotzarekin estali dut. ;0
Langileak gaixo itxura egin zuen. ;cause;Tripako minarekin itzuli zen. ;Egun libre bat nahi zuen. ;1
Neska igerilekuan zegoen. ;cause;Ur-gainean zegoen. ;Jauzi bat egin zuen. ;1
Antzokiko sarrerak agortu dira. ;cause;Filmaren estreinaldiko eguna zen. ;Filmak kritika eskasak jaso zituen. ;0
Gizonak pisua galdu du. ;effect;Jendeak baztertu egiten zuen. ;Jendeak zorionak ematen zizkion. ;1
Eskuak ez dauzka ondo. ;cause;Gutun bat idatzi zuen. ;Soka batetik igo zen. ;1
Zirku-jotzaileak malabarismoa egin zuen monoziklo bat gidatzen ari zela. ;effect;Entzuleek txalo egin zuten, harrituta. ;Akrobata batek trapezio batetik salto egin zuen. ;0
Pazientzia galdu dut. ;cause;Lagunak zain eduki nau. ;Nire laguna garaiz iritsi da. ;0
Herrialde gatazkatsuek bakea nahi zuten. ;effect;Arma nuklearrak garatu dituzte. ;Akordio batetara iritsi ziren. ;1
Gizon horrek pilula batzuk hartu ditu. ;effect;Logale bihurtu zen. ;Sukarra izan du. ;0
Emakumeak tupust egiten zuen sofan. ;effect;Sofa gaineko zangoa askatu da. ;Belauna urratu du. ;1
Mutikoak baloia estutu zuen. ;effect;Puxika lehertu egin da. ;Puxika horrek hegaz egin du. ;0
Bidaiari batzuei logela bat erreserbatu zaie hotelean. ;effect;Maletak askatu eta dena prest. ;Aireportura joan dira. ;0
Kosk egin diot bati. ;effect;Mertxika-likorea aurkitu dut. ;Zukugailu bat. ;1
Eskuak gogortu zaizkit. ;cause;Donut bat jan dut. ;Gozokiak gustatzen zitzaizkidan. ;0
Atea bultza egin dut. ;effect;Atea ireki zen. ;Atea itxita dago. ;0
Ekintzaileek boikota egin zieten produktuei. ;cause;Produktuak kalitate bermeari dagokionez probatuak izan dira. ;Produktuak haurren lanaren bidez egin ziren. ;1
Zulo bat egin nuen paretan. ;effect;Arratoi bat irten da zulotik. ;Hautsa kendu diote. ;1
Emakumeak bere ahizparen inbidia izan zuen. ;cause;Bere ahizpa pozik zegoen. ;Bere ahizpa dibortziatu egin zen. ;0
Ardoa bota dut alkandora gainera. ;effect;Aterpe bat utzi nuen. ;Alkandora aldatu dut. ;1
Kutxazainak kutxa ireki du. ;cause;Bezeroak kartera miatu du. ;Bezeroak dirua eman zion. ;1
