premise;question;choice1;choice2;label
Produkt był pakowany w folii bąbelkowej. ;cause;Była krucha. ;Była mała. ;0
Wypracowałem kieszenie. ;effect;Znalazłem bilet. ;Znalazłem broń. ;0
Termity zaatakowały dom. ;effect;Termity zniknęły z domu. ;Termity zjadły drewno w domu. ;1
Podróżni dotarli do granicy. ;effect;Patrol sprawdził ich paszporty. ;Patrol oskarżył ich o przemyt. ;0
Biuro było zamknięte. ;cause;To były święta. ;Było lato. ;0
Dziewczynce skończyła się energia. ;cause;Grała w damę. ;Skoczyła z liny. ;1
Kobieta straciła miejsce w kolejce. ;cause;Więcej ludzi weszło do kolejki. ;Wyszła z linii. ;1
Dziewczyna ścisnęła nos. ;cause;Dziecko śliniło się na jej szlafrok. ;Dziecko zabrudziło jej pieluchę. ;1
Zespół zagrał swoją piosenkę. ;effect;Publiczność klaszczyła wraz z muzyką. ;Publiczność grzecznie słuchała w milczeniu. ;0
Dziewczyna chciała podziękować nauczycielowi matematyki. ;effect;Dziewczyna została po szkole na wyrok. ;Dziewczyna przyniosła nauczycielowi jabłko. ;1
Młodzi obozowicze byli przerażeni. ;cause;Ich doradca obozowy opowiedział im historię o duchach. ;Rozdręczyli marshmallows na ognisku. ;0
Facet uderzył się w głowę. ;effect;Zgubił się w myślach. ;Ma wstrząs mózgu. ;1
Czek, który napisałem, nie wypalił. ;cause;Moje konto bankowe było puste. ;Zasłużyłem na podwyżkę. ;0
Jego skrzynka pocztowa była pełna spamu. ;effect;Usunął spam. ;Wysłał masowy e-mail. ;0
Marynarz został poddany kwarantannie. ;cause;Był narażony na chorobę. ;Ozdrowiał. ;0
Dziewczyna zapamiętała kod. ;cause;Recytowała to dla siebie. ;Zapomniała to zapisać. ;0
Wlałem wodę do szklanki. ;effect;Woda ugasiła mój pragnienie. ;Szklanka stała się pełna. ;1
Mężczyzna milczał, gdy jego przyjaciel skończył mówić. ;cause;Chciał pomóc przyjacielowi. ;Myślał o słowach swojego przyjaciela. ;1
Wypadek był moją winą. ;effect;Czułem się winny. ;Złożyłem oskarżenie. ;0
Łańcuch się rozpadł. ;cause;Łańcuch był owinięty wokół opony. ;Było złamanie w łańcuchu. ;1
Para postanowiła pójść na kompromis. ;cause;Męczyły się kłótniami. ;Unikali rozmowy o problemie. ;0
Kobieta postanowiła ubiegać się o stanowisko w administracji. ;effect;Zatrudniła kierownika kampanii. ;Zeznawała w sądzie. ;0
Mężczyzna przewidywał zimną pogodę podczas swojej podróży. ;effect;Włożył ciepłe ubrania do walizki. ;Podróżował z dużą walizką. ;0
Student znał odpowiedź na pytanie. ;effect;Podniósł rękę. ;- Zgłupiał się. ;0
Mężczyzna popłakał. ;cause;Pył dostał mu się do oczu. ;Założył okulary. ;0
Gracz wygrał pięć meczów z rzędu. ;effect;Jej przeciwnik oskarżył ją o oszukiwanie. ;Jej przeciwnik poczuł dla niej litość. ;0
