"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B - The coin is no longer heads up after Keri flipped it."
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
Response:  Option B - No
"Response: 
Option B: No"
Response:  Option B - No
Response:  Option B - No
