question;answer;answer_ab
"Duit koin tuh kepala ke atas. Whitney ngentungang koin. Erika nénten pacang ngalinggahang jinah. Tj nénten pacang ngentosin koin. Benito ngentungang koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";inggih ;A
"Duit koin tuh kepala ke atas. Lucky nénten pacang ngalinggihin koin. Mireya ngentungang koin. JJ ngentungang koin. KC ngelempar koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";nénten ;B
"Duit koin tuh kepala ke atas. Caleb ngentungang koin. Chase ngentungang koin. Dane Eleazar raris ngentungang jinah perak punika. Chanel nénten pacang ngentosin koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";nénten ;B
"Duit koin tuh kepala ke atas. Silvia ngentungang koin. Carolina nénten pacang ngalinggilang jinah. Stan ngentungang koin. Chuck ngentungang koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";nénten ;B
"Duit koin tuh kepala ke atas. Breanna ngentungang koin. Trey nénten pacang ngentosin koin. Omar ngentungang koin. Patrice nénten pacang ngalinggihin koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";inggih ;A
"Duit koin tuh kepala ke atas. Lilian ngentungang koin. Ian ngentungang koin. Bryce ngentungang koin. Aracely nénten pacang ngentosin koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";nénten ;B
"Duit koin tuh kepala ke atas. Walter nénten pacang ngalinggihin koin. Mikayla nénten pacang ngentosin koin. Larry nénten pacang ngalinggihin koin. Ryan nénten pacang ngentosin koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";inggih ;A
"Duit koin tuh kepala ke atas. Angelina ngentungang koin. Layla ngentungang koin. Jenny ngentungang koin. Zane nénten pacang ngentosin koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";nénten ;B
"Duit koin tuh kepala ke atas. Lizzy ngentungang koin. Juany nénten pacang ngalinggihin koin. Aisha ngentungang koin. Brenda nénten pacang ngentosin koin. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";inggih ;A
"Duit koin tuh kepala ke atas. Elise ngentungang koin. Lupe ngentungang koin. Renee nénten pacang ngentungang koin. Noemi nénten pacang ngentosin jinah. Apa koinne enu masi masi tegeh? Indayang cingakin, ""flip"" ring ajeng mateges ""balik"". ";inggih ;A
