question;answer;answer_ab
"Ei mynt er ein hovudsikte. Whitney kastar mynten. Erika kastar ikkje mynten. Tj kastar ikkje mynt. Benito kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. ""Lucky"" kastar ikkje mynten. Mireya kastar mynten. JJ kastar mynten. KC kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Caleb kastar mynten. Chase kastar mynten. Eleazar kastar mynten. Chanel kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Silvia kastar mynten. Carolina kastar ikkje mynten. Stan kastar mynten. Chuck kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Breanna kastar mynten. Trey kastar ikkje mynt. Omar kastar mynten. Patrice kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Lilian kastar mynten. Ian kastar mynten. Bryce kastar mynten. Aracely kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Walter kastar ikkje mynten. Mikayla kastar ikkje mynten. Larry kastar ikkje mynt. Ryan kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Angelina kastar mynten. Layla kastar mynten. Jenny kastar mynten. Zane kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Lizzy kastar mynten. Juany kastar ikkje mynten. Aisha kastar mynten. Brenda kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Elise kastar mynten. Lupe kastar mynten. Renee kastar ikkje mynten. Noemi kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Jesse kastar mynten. Roderick kastar mynten. Travis kastar ikkje mynt. Rita kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Cynthia kastar ikkje mynten. Lloyd kastar ikkje mynten. Jacqueline kastar mynten. JC kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Sterling kastar mynten. Jenifer kastar mynten. Patsy kastar mynten. Denise kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Beatriz kastar mynten. Gillian kastar ikkje mynt. Coco kastar ikkje mynten. Vivian kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Prince kastar mynten. Rene kastar mynten. Vishal kastar mynten. Patrick kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Jae kastar ikkje mynten. Dennis kastar ikkje mynten. Cris kastar mynten. Bernadette kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Hank kastar ikkje mynten. Janine kastar ikkje mynten. Frankie kastar mynten. Isa kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Max kastar ikkje mynt. Mikey kastar ikkje mynt. Cynthia kastar ikkje mynten. Holly kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Christy kastar mynten. Rey kastar ikkje mynt. Michelle kastar mynten. Dolly kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Annie kastar ikkje mynt. Toño kastar mynten. Sharon kastar mynten. Delores kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Jessy kastar ikkje mynten. Libby kastar ikkje mynten. Danielle kastar mynten. Red kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Jorge kastar ikkje mynten. Natalia kastar ikkje mynten. Bryant kastar mynten. Kiran kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Yan kastar ikkje mynten. Eunice kastar ikkje mynten. Joseph kastar mynten. Hugh kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Melody kastar ikkje mynt. Ramiro kastar ikkje mynten. Humberto kastar ikkje mynten. Jacob kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Domingo kastar ikkje mynten. Briana kastar mynten. Michael kastar mynten. Joan kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Kristopher kastar ikkje mynt. Deb vinkar mynten. Jake kastar mynten. Tammy kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Morgan kastar mynten. Perla kastar ikkje mynten. Joao kastar ikkje mynten. Marta kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Penny kastar mynten. Harry kastar ikkje mynten. Jessica kastar ikkje mynten. Horacio kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Billie kastar ikkje mynten. Paloma kastar ikkje mynten. Tanner kastar ikkje mynt. Raul kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Rena kastar ikkje mynten. Devon kastar ikkje mynt. Rosalinda kastar ikkje mynten. Paulina kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Axel kastar mynten. Osvaldo kastar mynten. Mildred kastar ikkje mynten. Sylvia kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Emiliano kastar mynten. Jasmin kastar mynten. Wade kastar mynten. Vilma kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Lino kastar ikkje mynten. Mariel kastar ikkje mynten. Aditya kastar ikkje mynten. Elisabeth kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Jacky kastar mynten. Socorro kastar mynten. Mark kastar mynten. Wanda kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Mauricio kastar mynten. Lee kastar ikkje mynten. Madi kastar ikkje mynten. Lizzie kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Ruben kastar mynten. Bernardo kastar mynten. Ariel kastar ikkje mynten. Shelley kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Phillip kastar ikkje mynten. Ajay kastar mynten. Janie kastar mynten. Augusto kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Ari kastar mynten. Jasmine kastar ikkje mynten. Elliot kastar mynten. Kendrick kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Margarita kastar mynten. Anabel kastar mynten. Shaun kastar mynten. Celina kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Geo kastar ikkje mynt. Kody kastar ikkje mynt. Isaias kastar mynten. Giovanni kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Kennedy kastar mynten. Ginny kastar ikkje mynten. Iliana kastar mynten. Sky kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Billy kastar mynten. Kassandra kastar mynten. Joy kastar ikkje mynt. Abe kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Nubia kastar mynten. Sarah kastar ikkje mynten. Jalen kastar ikkje mynten. Kris kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Ale kastar ikkje mynt. Gaspar kastar mynten. Sonny kastar ikkje mynt. Simon kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Skylar kastar mynten. Chrissy kastar ikkje mynt. Misty kastar mynten. Kike kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Gavin kastar mynten. Neha kastar ikkje mynten. Asha kastar ikkje mynt. Baltazar kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Camilo kastar mynten. Becky kastar ikkje mynten. Eliza kastar ikkje mynten. Rebecca kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Isela kastar mynten. Leslie kastar mynten. Stacy kastar mynten. Ingrid kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Meg kastar ikkje mynten. Andrey kastar ikkje mynten. Gerard kastar mynten. Lilia kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Denny kastar mynten. Carlo kastar mynten. Reinaldo kastar mynten. Jessi kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Cheri kastar ikkje mynten. Rico kastar ikkje mynten. Teo kastar mynten. Jesus kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Alexandria kastar ikkje mynt. Meghan kastar ikkje mynten. Hausten kastar ikkje mynten. Robert kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Jr kastar myntane. Meredith kastar mynten. Zoe kastar ikkje mynt. Robby kastar ikkje mynt. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Pretty kasta mynt. Jada kastar mynten. Sarita kastar ikkje mynt. Allen kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Shari kastar mynten. Bella kastar mynten. Liza kastar ikkje mynten. Maira kastar ikkje mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ja, det er sant ;A
"Ei mynt er ein hovudsikte. Lazaro kastar ikkje mynten. Ana kastar mynten. Charlotte kastar mynten. Precious kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
"Ei mynt er ein hovudsikte. Imelda kastar mynten. Andi kastar mynten. Mack kastar ikkje mynten. Rigoberto kastar mynten. Er myntane høgare enn før? Legg merke til at ""flip"" her tyder ""reverse"". ";ikkje ;B
