question;answer;answer_ab
"Una moneda és cap amunt. Whitney llança la moneda. L'Erika no tira la moneda. TJ no llança la moneda. Benito llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. La sort no tira la moneda. Mireya llança la moneda. JJ llança la moneda. KC llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";no ;B
"Una moneda és cap amunt. Caleb llança la moneda. Chase llança la moneda. Eleazar llança la moneda. Chanel no tira la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";no ;B
"Una moneda és cap amunt. Silvia llança la moneda. Carolina no llança la moneda. Stan llança la moneda. Chuck llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";no ;B
"Una moneda és cap amunt. Breanna llança la moneda. Trey no llança la moneda. Omar llança la moneda. Patrice no llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. Lilian llança la moneda. Ian llança la moneda. Bryce llança la moneda. Aracely no llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";no ;B
"Una moneda és cap amunt. Walter no llança la moneda. Mikayla no tira la moneda. Larry no llança la moneda. Ryan no llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. Angelina llança la moneda. Laïla llança la moneda. Jenny llança la moneda. Zane no llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";no ;B
"Una moneda és cap amunt. Lizzy llança la moneda. Juany no llança la moneda. Aisha llança la moneda. Brenda no llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. Elise llança la moneda. Lupe llança la moneda. Renee no llança la moneda. Noemi no tira la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. Jesse llança la moneda. Roderick llança la moneda. Travis no llança la moneda. Rita no llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. La Cinthia no tira la moneda. Lloyd no llança la moneda. Jacqueline llança la moneda. JC llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. Sterling llança la moneda. Jenifer llança la moneda. Patsy llança la moneda. Denise llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
"Una moneda és cap amunt. Beatriz llança la moneda. Gillian no llança la moneda. Coco no llança la moneda. Vivian no tira la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";no ;B
"Una moneda és cap amunt. El Príncep tira la moneda. René llança la moneda. Vishal llança la moneda. Patrick no llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";no ;B
"Una moneda és cap amunt. Jae no llança la moneda. Dennis no llança la moneda. Cris llança la moneda. Bernadette llança la moneda. La moneda encara té la cara cap amunt? Observeu que ""flip"" aquí significa ""revers"". ";Sí, sí ;A
