premise;hypothesis;label
ངས་བསམ་བློ་ཡང་མ་བཏང་། འོན་ཀྱང་ང་ཧ་ཅང་ཁོང་ཁྲོ་ལངས་བྱུང་། ངས་ཁོ་དང་ཡང་སྐྱར་གཏམ་གླེང་བྱས་པ་ཡིན། ;ངས་ཁོ་དང་ཡང་སྐྱར་གཏམ་གླེང་བྱས་མེད། ;2
ངས་བསམ་བློ་ཡང་མ་བཏང་། འོན་ཀྱང་ང་ཧ་ཅང་ཁོང་ཁྲོ་ལངས་བྱུང་། ངས་ཁོ་དང་ཡང་སྐྱར་གཏམ་གླེང་བྱས་པ་ཡིན། ;ངས་ཁོང་དང་གཏམ་གླེང་བྱེད་རྒྱུ་འགོ་ཚུགས་པས་ང་སེམས་འཁྲལ་ཆེན་པོ་བྱུང་སོང་། ;0
ངས་བསམ་བློ་ཡང་མ་བཏང་། འོན་ཀྱང་ང་ཧ་ཅང་ཁོང་ཁྲོ་ལངས་བྱུང་། ངས་ཁོ་དང་ཡང་སྐྱར་གཏམ་གླེང་བྱས་པ་ཡིན། ;ང་ཚོས་སྐད་ཆ་ཡག་པོ་རྒྱབ་བྱུང་། ;1
ངས་དེ་འདྲ་ཞིག་ཐོབ་འོས་པ་ཞིག་རེད་བསམ་བྱུང་། ད་དུང་ཡང་དེ་འདྲ་རེད། ང་ནི་ཨང་ ༩༢༢ ཅན་གཅིག་པུ་ཡིན། དེ་ནི་ངའི་ AFFC Air Force Career ཀྱི་ས་ཆ་ཞིག་རེད། ;ངས་དེ་ཉིན་ཐང་དུ་ང་གཅིག་པུ་མིན་པར་དོ་སྣང་བྱས་མེད། ;1
ངས་དེ་འདྲ་ཞིག་ཐོབ་འོས་པ་ཞིག་རེད་བསམ་བྱུང་། ད་དུང་ཡང་དེ་འདྲ་རེད། ང་ནི་ཨང་ ༩༢༢ ཅན་གཅིག་པུ་ཡིན། དེ་ནི་ངའི་ AFFC Air Force Career ཀྱི་ས་ཆ་ཞིག་རེད། ;ངས་བསམ་བློར་ང་རང་གཅིག་པུ་ཡིན་པ་དེ་ཡིན། AFFC Air Force Career Field ནང་གི་གྲངས་ཀ་དེ་དང་མཚུངས་པ་ཞིག་རེད། ;0
ངས་དེ་འདྲ་ཞིག་ཐོབ་འོས་པ་ཞིག་རེད་བསམ་བྱུང་། ད་དུང་ཡང་དེ་འདྲ་རེད། ང་ནི་ཨང་ ༩༢༢ ཅན་གཅིག་པུ་ཡིན། དེ་ནི་ངའི་ AFFC Air Force Career ཀྱི་ས་ཆ་ཞིག་རེད། ;ང་ཚོ་ཚང་མར་གྲངས་འབོར་གཅིག་མཚུངས་ཐོབ་ཡོད། ང་ཚོས་ཐོབ་པའི་གོ་སྐབས་གང་འདྲ་ཡོད་ཀྱང་དེ་ཐམས་ཅད་རྫུན་མ་ཞིག་རེད། ;2
དེ་ཚོས། ང་ལ་མཐའ་མར་ཐུག་འཕྲད་བྱེད་མཁན་མི་ཞིག་འབོད་ཡོང་ཞེས་ལབ་བྱུང་། ;ངས་སུ་དང་ཡང་ཐུག་འཕྲད་བྱེད་རྒྱུ་སྐོར་སུས་ཀྱང་བཤད་མ་བྱུང་། ;2
དེ་ཚོས། ང་ལ་མཐའ་མར་ཐུག་འཕྲད་བྱེད་མཁན་མི་ཞིག་འབོད་ཡོང་ཞེས་ལབ་བྱུང་། ;ངས་མི་ཞིག་ཐུག་པར་འབོད་རྒྱུ་ཡིན་པ་ངས་ཐོས་བྱུང་། ;0
དེ་ཚོས། ང་ལ་མཐའ་མར་ཐུག་འཕྲད་བྱེད་མཁན་མི་ཞིག་འབོད་ཡོང་ཞེས་ལབ་བྱུང་། ;མི་དེས་དུས་ཡུན་འགོར་ཙམ་ཞིག་སླེབས་པ་རེད། ;1
ཁྱོད་ཀྱིས་བརྗོད་ཐུབ་པའི་དོན་མང་པོ་ཡོད་པས་ངས་དེ་བསྐྱུར་རྒྱུ་ཡིན། ;ངས་དེའི་སྐོར་ཤེས་པ་ཚང་མ་བཤད་འདོད་ཀྱི་འདུག ;2
ཁྱོད་ཀྱིས་བརྗོད་ཐུབ་པའི་དོན་མང་པོ་ཡོད་པས་ངས་དེ་བསྐྱུར་རྒྱུ་ཡིན། ;ངས་དེའི་སྐོར་མི་བཤད་ཀྱང་དེའི་སྐོར་བརྗོད་རྒྱུ་མང་པོ་ཡོད། ;0
