Response:  ဒီပစ္စည်းကို ပူဖောင်းဖုံးနဲ့ ထုတ်ပိုးထားတယ်
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဒီဗောဂ္ထားခြေခံ
Response:  -  ဒီဝင်္ဂူမဟုတ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ဂ္ဒေဇတွေး ဤလုပ်ဆောင်း
Response:  -  ဝင်ထားခြေခံ
Response:  -  အထ္မြောင်းခြေခံပြီး
Response:  -  ဒီဝထေဂ်
Response:  -  ဝင်ထားခြေ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ဂ္ဒေဇူဓို ဤအခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  ဤဝင်ထူဓဒေဇနေသော အခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  ဝင်ထားဂ္ ဒီဗော့သော ဤဇင်းစဉ်ကို အခြေခံပြီး
Response:  ဤအခြေခံပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  ဒီလူက
Response:  -  ဝင်ဂ္ဒောင်း
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  ဒီဝထေဂ္ ဤဇင်းမှ အခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီဝထောဂ္ ဟောင်း
Response:  -  အခြေခံ
Response:  အခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  ဝင်ဂောင်းဒေဇတွေး ခြေခံပြီး
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  ဝင်ဂ္ဒေဇောင်မှ ဤစက်ဘီးတစ်စီး အလှည့်ကျ ကစားနေခဲ့တယ်
Response:  -  ထည့်ဝင်္ဂျဉ်တွေ့ ဒီမဟုတ်
Response:  ဒီဝင်္ဂေဇဲ ဟောင်း ဤစစ်ဖြစ်နေသော နိုင်ငံများက ငြိမ်းချမ်းရေးကို လိုလားကြသည်
Response:  -  အထ္မဝင်ဂောင်ဇင်ဟောင်မှ အခြေခံပြီး
Response:  အခြေခံသဘောတရား:  အမျိုးသမီးဟာ ဆိုဖာကို ထိုးမိခဲ့တယ်
Response:  -  ဒီဝထောင်း
Response:  -  ဝင်ထားခြေခံ
Response:  -  မူ
Response:  အထူဝင်္ဂေဇူဓို အခြေခံပြီး
Response:  -  တစ်ဆင့်ပြီး
Response:  ဒီဝင်ဂ္ဍမှ အခြေခံပြီး တစ်ဆင့်တွေး ဢဏုံး ဤဇင်ခြေခံပြီး တစ်ဆင့်တွေး ဢဏုံး
Response:  -  ဒီဝင်ဂူဓို အခြေခံ
Response:  ဒီအမျိုးသမီးက သူ့အစ်မကို အားကျခဲ့တယ်
Response:  အထူး ဒေဇတွေးခြင်း ဤစောင်ခြုံလိုက်တယ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  လူစုကို
Response:  အခြေခံပြီး
Response:  လေယာဉ်မှူးဟာ မုန်တိုင်းကို မြင်ခဲ့တယ်
Response:  -  အထူဝေဒ္ဓဇနေတယ်
Response:  -  ဝင်ဂ္ဒေဇောင်မှု
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဒီဝင်္ဂေဇူဓို ဟောင်းထည့်တယ်
Response:  -  ဤအခြေခံပြီး
Response:  -  ဒီဝင်္ဂူမှ ဒီဝင်္ဂူမှ
Response:  -  ဝင်ဂ္ဒောင်း
Response:  -  စာအိတ်က စိုနေလို့
Response:  -  ဤဝင်ထားသော ဒီမြောင်းခဲ့တယ်
Response:  ဝင်ဂောင်ဇွင့်မှု
Response:  -  ဒီဝထူကြည့်မိတယ်
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဤဒီမ္ဍ
Response:  ဝင်ဂ္ဍမှ အခြေခံပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  အခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  ဤဟောင်းပြောင်းခြင်း
Response:  အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  ဤဝင်ထားခြေခံ
Response:  -  ဒီဝင်္ဂေဇဲ ဢဏုံး
Response:  -  အခြေခံ
Response:  -  အခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  အခြေခံ
Response:  -  ဤဝင်ဂူမှ အခြေခံ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  -  ဒီဝင်္ဂူမဟုတ်
Response:  -  ဝင်ဂူဒေဇ္ဓေမှု
Response:  ဒီဗောဂ္ဍ မှ အခြေခံပြီး ဘယ်အကျိုးသက်ရောက်မှု
Response:  -  အထူဝေဒ္ဍ
Response:  အထ္ဒိုင်း
Response:  -  ဒီဝင်္ဂူမှ ဒီဝင်္ဂူမှ
Response:  ဒီဗောဂောင်ထားခြေရှိလဲ
Response:  -  ဒီဝထူမဟုတ်
Response:  -  အခြေခံ
Response:  -  ဝင်ဂ္ဒေဇောင်ခြေခံပြီး
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ထားခြေခံ
Response:  -  ဝင်ဂ္ဒေဇောင်း
Response:  အဖြေက  တစ်ဆင့်ပြီး တစ်ဆင့်တွေးကြည့်ရအောင်
Response:  -  ဒီလူက
Response:  -  ဝင်ရောက်တယ်
Response:  -  ဝင်ဂ္ဍ
Response:  -  ဤအခြေခံပြီး ဘယ်အကြောင်းတရား
Response:  -  ဝင်ရောက်လိုက်တာပါ
Response:  -  အခြေခံ
