Response:  C;;;;;;;;;;;;;;;;
"Response: 

Ամեն ստեղծված բայթլհչը շարժված ինձճված.";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
Response:  A;;;;;;;;;;;;;;;;
Response:  - No;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

* Առահման բաժողը գործեն թույլխարչվում.";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

 #!/usr/bin/env python3
# -*- coding: utf-8 -*-


""""""
    """"""



import os.path as op
from io import BytesIO, IOBase
 
BUFSIZE = 8192
 
 
class FastIO(IOBase):
    newlines = 0
 
    def __init__(self, file):
        self._fd = file.fileno()
        self.buffer = BytesIO() 
        self.writable = ""x"" in file.mode or ""r"" not in file.mode
        self.write = self.buffer.write if self.writable else None 
 
    def read(self):
        while True:
            b = os.read(self._fd, max(os.fstat(self._fd).st_size, BUFSIZE))
            if not b:
                break
            ptr = self.buffer.tell()
            self.buffer.seek(0, 2), self.buffer.write(b), self.buffer.seek(ptr)
        self.newlines = 0
        return self.buffer.read()
 
    def readline(self):
        while self.newlines == 0:
            b = os.read(self._fd, max(os.fstat(self._fd).st_size, BUFSIZE))
            self.newlines = b.count(b""\n"") + (not b)
            ptr = self.buffer.tell()
            self.buffer.seek(0, 2), self.buffer.write(b), self.buffer.seek(ptr)
        self.newlines -= 1
        return self.buffer.readline()
 
    def flush(self):
        if self.writable:
            os.write(self._fd, self.buffer.getvalue())
            self.buffer.truncate(0), self.buffer.seek(0)
 
 
class IOWrapper(IOBase):
    def __init__(self, file):
        self.buffer = FastIO(file)
        self.flush = self.buffer.flush
        self.writable = self.buffer.writable
        self.write = lambda s: self.buffer.write(s.encode(""ascii""))
        self.read = lambda: self.buffer.read().decode(""ascii"")
        self.readline = lambda: self.buffer.readline().decode(""ascii"")
 
def main():
    input_file = open(""input.txt"", ""rb+"")
    output_file =";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  B;;;;;;;;;;;;;;;;
Response:  B;;;;;;;;;;;;;;;;
"Response: 

 #!/usr/bin/env python3
# -*- coding: utf-8 -*-


def main():
    """"""Main function.""""""

    if (len(sys.argv) < 2):
        print('Usage    :    {}    file_name'.format(__doc__))
        return 1

    with open(sys.argv[1]";"r') as f:
        content = f.read()
    content = content.decode('utf-8')
    content = re.sub(r'\n+'";"\r\n', content)

    lines = []
    for line in content:
        if ((line[0] == '#') or (not line)):
            continue

        lines.append((line[1:]).strip())

    result = {'lines': [{'text': l} for l in lines]}
    print(json.dumps(result))
    return 0


if __name__ == '__main__':
    sys.exit(main())";;;;;;;;;;;;;;
"Response: 

Առահչաք:   Էղթե բոլոր օգտագործած տարբերակ այժե՛՝  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -  - ";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

*Please enter your comment";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

 #!/usr/bin/env python3
# -*- coding: utf-8 -*-


def main():
    """"""Main function.""""""

    a = 'AA'
    b = 'BB'
    print(a)
    print(b)


if __name__ == '__main__':
    main()";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
Response:  A;;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

 #!/usr/bin/env python3
# -*- coding: utf-8 -*-


def main():
    """"""Main function.""""""

    if (len(sys.argv) < 2):
        print('Usage    :    {}    file1   .file2\n'.format(__doc__))
        return 1

    with open(sys.argv[1]";"r') as f1:
        with open(sys.argv[2]";"w') as f2:
            for line in f1:
                f2.write((line + '\n'))";;;;;;;;;;;;;;
Response:  B;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
Response:  C;;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

A";;;;;;;;;;;;;;;;
"Response: 

*Please note that the following is a list of possible answers.";;;;;;;;;;;;;;;;
