  पर्याय A आणि B मधून नि
  बाजार देखावे आहे.
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  दरवाजा उघडला.
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  मी एक अंगरखा घात
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  बदलेला पर्याय A आणि B 
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  पर्याय A आणि B मधून नि
  बाजार की देखभाषा आहे
  पर्याय A आणि B मधून नि
