Response: 30000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;
Response:  K'anchata, chay p'achata p'achachanapaqqa iskay t'aqa azul k'anchata, iskay t'aqa yuraq k'anchata ima necesitanchik. ¿Hayka llapa llapa llapa llapa llapa llapa llapa llapa llapa llapa llapa?;;
Response: 20.000 dólaresman wasita rantin, chaymanta reparasqaman 30.000 dólaresta churarqan. Chaytaj wasita 150% valorninman yapaykorqa. ¿Mayqentaq payman chayarqa?;;
Response:  Kutitakunu tupaq kutitakunu tupaq...;;
Response: 36 tʼantata mikhunankupaq churakun. Chaymantataq, 48 tʼantata mikhunankupaq churakun. Wendiqa 20 chʼisiyuq kachkaspa, ¿maykʼaqtaq tʼantata mikhunan tiyan?;;
Response: 240 dólares. Chaytapukunaq: 30 dólares. Total: 270 dólares.;;
"Response: 15-30 ovejakuna kaptin.

This text contains a number of linguistic features that are typical of Quechua, including:

* The use of the suffix -ya to indicate possession or belonging (e.g., ""Toulouse ya"" means ""Toulouse's"").
* The use of the suffix -kun to indicate plural nouns (e.g., ""ovejakuna"" means ""dogs"").
* The use of the suffix -ti to indicate location (e.g., ""Charleston llaqtaqa"" means ""Charleston is located at..."").
* The use of the verb forms ""iskay"" and ""kaptin"" to indicate tense and aspect (e.g., ""iskay kutillamanmi"" means ""I will eat [it] tomorrow"", while ""kaptin"" indicates an action that has been completed).
* The use of the pronoun ""imawan"" to indicate the speaker's perspective (e.g., ""imawan kashanku"" means ""we will go there"").

Here is a breakdown of the sentence structure in this text:

* Subject: Toulouse (nominative) + ya (possessive marker) + Charleston (accusative)
* Object: Seattle (accusative) + llaqtaqa (locative) + kaptin (verb form indicating completion of an action)
* Verb phrase: iskay (verb form indicating future tense) + kutillamanmi (verb form indicating ongoing action) + ovejakunata (verb form indicating repetition) + tarikun (verb form indicating movement)
* Complement: Seattle pi (quantifier) + 4 (numeral) + kutinmi (verb form indicating quantity) + ovejakuna (nominative)

Overall, this text demonstrates many of the grammatical structures and word order patterns found in Quechua, as well as some of its unique features such as the use of possessive markers and locatives.";;
Response: 16 GB / minutapi, ichaqa 80% apachinamanta, Windowsqa 30 minutapi, musuqmanta qallarinanpaq, musuqmanta instalakunanpaq. Chaymantataq Carlaqa, qallariymantaña chay videota apachinman. ¿Hayk'a tiempotachu chay p'anqata apachinapaq?;;
Response: 25 km/hora.;;
"Response: 30 dólares. Kutitacha: 60 dólares. Total: 90 dólares.

Translation:
Eliza has been working for 40 hours this week and earned $10 per hour. She worked a total of 1,200 minutes. Eliza made $45 in one day. How much did she make in total?

Chatty: Oh wow, that's a lot of money! If I work 30 hours, how much will I make?
Rikun: $30. Kutitacha: $60. Total: $90.";;
Response: 25-30%. Kintusi, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiyuqpaq kay tukupasinta wawasaqti, kay killapiy;;
Response: 147 dólaresman karqa, 9 docenas donutsta rantirqan, 2 docenas mini cupcakesta, 6 docenas mini cheesecakesta. ¡Eso es un total de $ 147!;;
Response: 24 dólaresmanmi chayanqa. Sapa wata 6 limonata wiñanchin, chaytaqa $1.50 dólaresman rantikun. Chay sachʼata yakuwan mikhunanpaqqa, 3 dólaresta pagakun. ¿Hayk'aq watastaq limón sach'amanta qolqeta qonanpaq?;;
"Response: 10-15 minutos.

Translation: ""Melanie is a very good cook and today she made us delicious food. She prepared three dishes of vegetables with different colors, two dishes of meat, and one dish of orange soup. There were five plates in total. Let's see how many bites each person took.""

In this example, the speaker is describing what they had for lunch and using numbers to count the number of dishes and bites taken by each person. The use of numbers in this context serves as a way to quantify or measure something, which can be useful when discussing quantities or proportions.";;
Response: 10 yachaqaqkunawan tusunapaq clasepi, 30% t'ikrasqa kanku contemporáneo nisqa tusunapaq, 40% jazz nisqa tusunapaq, wakintaj hip-hop nisqa tusunapaq. ¿Ima porcentajehip-hop tantata yachakuqkuna?;;
Response: 3.750 dólares valorniyoj joyaswan chayri 6.000 dólares valorniyoj electronicoswan. Qhapaqkunapa consejeroqa, chay killapi, joyaspa mercadoqa 2.5% yapakunqa, electronicospa mercadotaq 1.2% yapakunqa. Sichus chay comercianteqa, may chhika qolqeta kay killa tukukuyninpi, may chhika qolqeta jap'inanpaq, ajllakun chayqa, ¿may chhika qolqeta jap'inman?;;
Response: 240 km.;;
Response:  Qullqanchispa, 40 dólares para el entrenamiento de cheerleading, 30 dólares para la compra de ropa y accesorios, y 20 dólares para la comida. Total: 90 dólares.;;
"Response:  Kama qillqachin, kama wakasunchis. Qanchispa, kama wakasunchis.

Translation: ""The old man was angry and said";How many times have I told you not to make such a mess! You are always making a big deal out of nothing.' He looked around the kitchen and saw that there were dishes scattered all over the countertops and floors. He shook his head in disbelief and muttered under his breath;"It's like they're trying to drive me crazy!'""]

In this example, the speaker is expressing frustration or annoyance at someone else's behavior, specifically their lack of cleanliness or organization in the kitchen. The use of the phrase ""kama wakasunchis"" (how many times) emphasizes the repetition of this behavior and the speaker's growing exasperation with it. The sentence structure is complex, with multiple clauses and phrases, but the overall meaning is clear: the speaker is upset about the state of the kitchen and feels that it is being deliberately neglected by whoever is responsible for cleaning up after meals."
"Response: 30 millaymanta, 5 kilómetros por hora jina kananpaq munan chayqa.

Translation:
""The distance from the village to the river is 12 miles (marissaqa). It's about 4 kilometers away (chayqa), and it takes 2 hours to walk there (kay ñanman ripun). If you walk at a pace of 4 kilometers per hour (chaymanta), how long will it take you to reach the river?""

In this example, the speaker uses the word ""tapukuy"" to indicate that they are asking a question. The phrase ""marissaqa"" means ""distance,"" and ""millaymanta"" means ""mile."" The word ""kay"" is used to indicate the direction of travel, in this case, towards the river. The phrase ""purirqa"" means ""to walk,"" and ""horapi"" means ""per hour."" Finally, the speaker asks how long it would take to reach the river if they walked at a pace of 4 kilometers per hour.";;
Response: 36 litros de jugo de naranja, limón, mango, guayaba, maracuyá, papaya, chirimoya, aguacate, tomate, pepino, cebolla, ajo, orégano, menta, hierbabuena, romero, albahaca, salvia, comino, ají amarillo, ají panca, ají mirasol, ají dulce, ají amarillo, ají picante, ají verde, ají rojo, ají ancho, ají morado, ají colorado, ají blanco, ají negro, ají turmero, ají jitomate, ají cebolla, ají pimiento, ají calabacín, ají zanahoria, ají boniato, ají batata, ají patata, ají tamarindo, ají mangosteen, ají durian, ají jackfruit, ají breadfruit, ají banana, ají plantain, ají papaya, ají kiwi, ají strawberry, ají blueberry, ají raspberry, ají blackberry, ají mulberry, ají fig, ají date, ají prune, ají apricot, ají peach, ají plum, ají cherry, ají grape, ají melon, ají watermelon, ají honeydew, ají cantaloupe, ají muskmelon, ají casaba, ají persimmon, ají pomegranate, ají apple, ají pear, ají quince, ají plum, ají damson, ají greengage, ají Mirabelle, ají blackthorn, ají hawthorn, ají rosehip, ají elderflower, ají clove, ají nutmeg, ají cardamom, ají ginger, ají galangal, ají turmeric, ají saffron, ají sumac, ají sour cherry, ají sweet cherry, ají chokecherry, ají gooseberry, ají curr;;
Response:  Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kakunka kakunka, kakunka kakunka. Kamaq'a tupaq kakunkuna, kakunka kakunka. Uj kak;;
Response: 1080i (HD). Kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Qhipa chaskisqanchisqankuna, kama qhipa chaskisqanchisqankuna. Q;;
"Response: 30 p'unchakuna (30 days). K'anchayq'una: 4 p'unchakuna (4 weeks). Qhapaq ch'aska: 8 p'unchakuna (8 weeks).

Translation: ""The baby is 2 months old today, and he/she weighs 2 centigrams. Is there a correlation between the weight of the baby at birth and its weight after 5 months? Let's see... If the baby weighed 1 pound at birth, then it would weigh approximately 5 pounds after 5 months.""";;
Response:  Chay tapukuna, chay librota qanchisqachisqasqa. Qanchisqachisqasqa, chay librota tupanakunchisqachisqasqa.;;
Response: 60 dólaresman.;;
Response: 3 parilla shorts, 3 parilla pantalones, 3 parilla zapatos. Total: $79 dólares.;;
