m_query;response
जुलिया सोमदिन १८ टा बच्चाक संग टाग खेलल । ओ मंगलदिन १० टा बच्चाक संग टाग खेलल छल । मंगलदिनक तुलनामे सोमदिन ओ कतेक बच्चाक संग खेलल? ;8.0
जुलिया सोमदिन ११ टा बच्चाक संग टाग खेलल छल । ओ मंगलदिन १२ टा बच्चाक संग टाग खेलल छल । मंगलवारमे ओ कतेक बच्चाक संग खेललनि सोमवारक तुलनामे? ;1.0
जुलिया सोमदिन ५ टा बच्चाक संग टाग खेलल छल । ओ मंगलवार कें किछु आओर बच्चाक संग टाग खेललनि. ओ कुल १५ बच्चाक संग खेललन्हि तँ मंगलदिन ओ कतेक बच्चाक संग खेललन्हि? ;10.0
जुलिया सोमदिन किछु बच्चासभक संग टाग खेलैत छल । ओ मंगलदिन १४ टा बच्चाक संग टाग खेलल छल । ओ कुल १६ बच्चाक संग खेललन्हि त सोमदिन ओ कतेक बच्चाक संग खेललन्हि? ;2.0
जूलिया सोमदिन १६ टा बच्चाक संग टाग खेलल । जँ ओ सोमदिन १२ टा बच्चाक संग टाग खेलैत छल तँ मंगलदिन ओ कतेक बच्चाक संग खेलल? ;4.0
जुलिया मंगलवार १४ बच्चाक संग टाग खेलल छल । जँ ओ सोमदिन ८ टा बच्चाक संग टाग खेलैत छल तँ मंगलदिन सँ बेसी ओ कतेक बच्चाक संग सोमदिन खेलल? ;22.0
जूलिया सोमदिन १७ टा बच्चाक संग खेलैत छल, १५ टा बच्चा मंगलदिन आ २ टा बच्चा बुधदिन । ओ कते बच्चाक संग खेललनि? ;34.0
जूलिया सोमदिन १५ टा बच्चाक संग खेलैत छल, मंगलदिन १८ टा बच्चा आ बुधदिन ९७ टा बच्चाक संग । सोमदिन आ मंगलदिन ओ कतेक बच्चाक संग खेललनि? ;33.0
जुलिया सोमदिन ५ टा बच्चाक संग खेलैत छल, ९ टा बच्चा मंगलदिन आ १५ टा बच्चा बुधदिन । सोम-बुध दिन ओ कतेक बच्चाक संग खेललनि? ;20.0
जूलिया सोमदिन २ टा बच्चाक संग खेलैत छल, मंगलदिन १४ टा बच्चा आ बुधदिन १६ टा बच्चाक संग । मंगल आ बुधदिन ओ कतेक बच्चाक संग खेललनि? ;30.0
जूलिया सोमदिन 9 बच्चाक संग टाग खेलल 7 बच्चा मंगलदिन आ 96 बच्चा बुधदिन । मंगलदिनक तुलनामे सोमदिन ओ कतेक बच्चाक संग खेलल? ;2.0
जूलिया सोमदिन १४ टा बच्चाक संग खेलैत छल, २ टा बच्चा मंगलदिन आ ८ टा बच्चा बुधदिन । सोमदिन ओ कतेक बच्चाक संग खेललनि बुधदिनक तुलनामे? ;6.0
जूलिया सोमदिन आठटा बच्चाक संग खेलैत छल, मंगलदिन ११ टा आ बुधदिन ९ टा बच्चाक संग । मंगलवारमे ओ बुधवारसँ कते बच्चाक संग खेलल? ;2.0
जूलिया सोमदिन १५ टा बच्चाक संग खेलैत छल, मंगलदिन १८ टा बच्चा आ बुधदिन ७ टा बच्चाक संग । सोमवार आ मंगलवार मे ओ कतेक बच्चाक संग खेललनि बुधवार सँ बेसी? ;26.0
जूलिया सोमदिन १३ टा बच्चा आ मंगलदिन १० टा बच्चाक संग टाग खेलल छल । ओ बुधदिन १५टा बच्चाक संग कार्ड खेललनि । ओ कते बच्चाक संग खेललनि? ;38.0
जूलिया सोमदिन सातटा बच्चाक संग टेग खेलल आ मंगलदिन तेरहटा बच्चाक संग । ओ बुधदिन २० टा बच्चाक संग कार्ड खेलल छल । ओ कते बच्चाक संग एक साथ टाग खेलल छल? ;20.0
जूलिया सोमदिन १२ टा बच्चाक संग टाग खेलल छल । ओ मंगलदिन १४ टा बच्चाक संग टाग खेलल छल । ओ दुनूक दिनमे कुल 34 घंटा टाग खेलैत बितौलक । ओ कते बच्चाक संग खेललनि? ;26.0
जुलिया सोमदिन १९ टा बच्चाक संग टाग खेलल छल । ओ मंगलदिन १८ टा बच्चाक संग टाग खेलल छल । ओ दुनू दिनमे कुल ३८ घण्टा टाग खेलैत बितौलक । मंगलदिनक तुलनामे सोमदिन ओ कतेक बच्चाक संग खेलल? ;1.0
जुलिया मंगलवार कें ५ बच्चाक संग टाग खेललनि. ओ सोमदिन ६ टा बच्चाक संग टाग खेलने छल । मंगलदिनक तुलनामे सोमदिन ओ कतेक बच्चाक संग खेलल? ;1.0
जुलिया कुल 18 बच्चाक संग टाग खेलैत छल । ओ सोमदिन चारिटा बच्चाक संग खेलल आ फेर मंगलदिन किछु आओर बच्चाक संग । मंगलवारमे ओ कते बच्चाक संग खेलल? ;14.0
जूलिया बुधदिन चारिटा बच्चाक संग टाग खेललनि । ओ सोमदिन ६ टा बच्चा आ मंगलदिन १७ टा बच्चाक संग खेलल छल । सोमदिन ओ कतेक बच्चाक संग खेललनि बुधदिनक तुलनामे? ;2.0
बॉबी ने कुछ मिठाई खा ली. तखन ओ २५ टा आरो खयलनि । ओ कुल ४३ टा मिठाई खयलनि तँ शुरूमे ओ कतेकटा मिठाई खयलनि? ;18.0
बॉबी २८ टा मिठाई खा लेलनि. फेर ओ ४२ टा आओर खयलनि । ओ ६३ टा चॉकलेट सेहो खयलनि । बॉबी कतेटा मिठाई खा लेलनि? ;70.0
बॉबी 33 टा मिठाई खा लेलनि. ओ चारिटा आरो खयलनि । ओ १४ टा चॉकलेट सेहो खयलनि । बॉबी कतेटा मिठाई आ चॉकलेट खा लेलनि? ;51.0
बॉबी ३८ टा मिठाई खा लेलनि. तखन ओ ३६ टा आओर खा लेलनि । ओ १६ टा चॉकलेट सेहो खयलनि । बॉबी चॉकलेट सँ बेसी कतेटा चॉकलेट खा लेलक? ;58.0
बॉबी के पास 20 टुकड़े मिठाई आ चुकी थी. ओ ३४ टा मिठाई खा लेलक । तखन ओ १८ टा आओर खा लेलनि । बॉबी कतेटा मिठाई खा लेलनि? ;52.0
बॉबी के पास 21 टा मिठाई छलै. ओ ५ टा मिठाई खा लेलनि । तखन ओ ९ टा आओर खा लेलनि । हुनका लग कतेकटा मिठाई बाँकी अछि? ;7.0
बॉबी के पास 22 टा मिठाई छलै. ओ किछु चॉकलेट खा लेलक । फेर पाँचटा आरो खयलनि । जँ ओकरा लग आठटा चॉकलेट बाँकी अछि तँ ओ शुरूमे कतेटा चॉकलेट खा चुकल छल? ;9.0
