m_query;response
Julia speelde tag met 18 kinderen op maandag. Ze speelde tag met 10 kinderen op dinsdag. Met hoeveel kinderen heeft ze maandag meer gespeeld dan dinsdag? ;8.0
Julia speelde tag met 11 kinderen op maandag. Ze speelde tag met 12 kinderen op dinsdag. Met hoeveel kinderen heeft ze dinsdag meer gespeeld dan maandag? ;1.0
Julia speelde tag met 5 kinderen op maandag. Ze speelde tag met wat andere kinderen op dinsdag. Als ze met 15 kinderen speelde, met hoeveel kinderen speelde ze dan op dinsdag? ;10.0
Julia speelde tag met een paar kinderen op maandag. Ze speelde tag met 14 kinderen op dinsdag. Als ze met 16 kinderen speelde, met hoeveel kinderen speelde ze dan op maandag? ;2.0
Julia speelde tag met 16 kinderen op maandag. Als ze met 12 kinderen meer tagte op maandag dan op dinsdag, met hoeveel kinderen speelde ze dan op dinsdag? ;4.0
Julia speelde tag met 14 kinderen op dinsdag. Als ze met 8 kinderen meer tagte op maandag dan op dinsdag, met hoeveel kinderen speelde ze op maandag? ;22.0
Julia speelde tag met 17 kinderen op maandag 15 kinderen op dinsdag en 2 kinderen op woensdag. Met hoeveel kinderen heeft ze samen gespeeld? ;34.0
Julia speelde tag met 15 kinderen op maandag, 18 kinderen op dinsdag en 97 kinderen op woensdag. Met hoeveel kinderen heeft ze maandag en dinsdag gespeeld? ;33.0
Julia speelde tag met 5 kinderen op maandag 9 kinderen op dinsdag en 15 kinderen op woensdag. Met hoeveel kinderen heeft ze maandag en woensdag gespeeld? ;20.0
Julia speelde tag met 2 kinderen op maandag 14 kinderen op dinsdag en 16 kinderen op woensdag. Met hoeveel kinderen heeft ze dinsdag en woensdag gespeeld? ;30.0
Julia speelde tag met 9 kinderen op maandag 7 kinderen op dinsdag en 96 kinderen op woensdag. Met hoeveel kinderen heeft ze maandag meer gespeeld dan dinsdag? ;2.0
Julia speelde tag met 14 kinderen op maandag 2 kinderen op dinsdag en 8 kinderen op woensdag. Met hoeveel kinderen heeft ze maandag meer gespeeld dan woensdag? ;6.0
Julia speelde tag met 8 kinderen op maandag 11 kinderen op dinsdag en 9 kinderen op woensdag. Met hoeveel kinderen heeft ze dinsdag meer gespeeld dan woensdag? ;2.0
Julia speelde tag met 15 kinderen op maandag 18 kinderen op dinsdag en 7 kinderen op woensdag. Met hoeveel kinderen heeft ze maandag en dinsdag meer gespeeld dan op woensdag? ;26.0
Julia speelde tag met 13 kinderen op maandag en 10 kinderen op dinsdag. Ze heeft met 15 kinderen gespeeld. Met hoeveel kinderen heeft ze samen gespeeld? ;38.0
Julia speelde tag met 7 kinderen op maandag en 13 kinderen op dinsdag. Ze heeft met 20 kinderen gespeeld. Met hoeveel kinderen heeft ze samen geknoeid? ;20.0
Julia speelde tag met 12 kinderen op maandag. Ze speelde tag met 14 kinderen op dinsdag. Ze heeft beide dagen 34 uur lang geknoeid. Met hoeveel kinderen heeft ze samen gespeeld? ;26.0
Julia speelde tag met 19 kinderen op maandag. Ze speelde tag met 18 kinderen op dinsdag. Ze heeft beide dagen 38 uur lang geknoeid. Met hoeveel kinderen heeft ze maandag meer gespeeld dan dinsdag? ;1.0
Julia speelde tag met 5 kinderen op dinsdag. Ze had maandag met zes kinderen geknoeid. Met hoeveel kinderen heeft ze maandag meer gespeeld dan dinsdag? ;1.0
Julia speelde tag met in totaal 18 kinderen. Ze speelde maandag met vier kinderen en dinsdag met nog meer. Met hoeveel kinderen heeft ze dinsdag gespeeld? ;14.0
Julia speelde tag met 4 kinderen op woensdag. Ze had maandag met zes kinderen gespeeld en dinsdag met zeventien. Met hoeveel kinderen heeft ze maandag meer gespeeld dan woensdag? ;2.0
Bobby heeft snoepjes gegeten. Toen at hij er nog 25. Als hij 43 snoepjes at, hoeveel snoepjes had hij dan opgegeten? ;18.0
Bobby heeft 28 snoepjes opgegeten. Toen at hij er nog 42. Hij at ook 63 stukjes chocolade. Hoeveel snoepjes heeft Bobby opgegeten? ;70.0
Bobby heeft 33 snoepjes opgegeten. Toen at hij er nog vier. Hij at ook 14 stukjes chocolade. Hoeveel snoepjes en chocolade heeft Bobby allemaal opgegeten? ;51.0
Bobby heeft 38 snoepjes opgegeten. Daarna nog 36. Hij at ook 16 stukjes chocolade. Hoeveel snoepjes heeft Bobby meer gegeten dan chocolade? ;58.0
Bobby had 20 snoepjes. Hij at 34 snoepjes. Toen at hij er nog 18. Hoeveel snoepjes heeft Bobby opgegeten? ;52.0
Bobby had 21 snoepjes. Hij heeft vijf snoepjes opgegeten. Toen at hij er nog negen. Hoeveel snoepjes heeft hij nog? ;7.0
Bobby had 22 snoepjes. Hij heeft snoepjes gegeten. En toen at hij er nog vijf. Als hij nog 8 snoepjes over heeft hoeveel snoepjes had hij toen hij begon opgegeten? ;9.0
Bobby had 19 snoepjes. Hij heeft twee snoepjes opgegeten. Hoeveel snoepjes heeft hij nog? ;17.0
Bobby had 32 snoepjes. Hij heeft snoepjes gegeten. Als hij nog 20 snoepjes heeft, hoeveel snoepjes heeft Bobby dan opgegeten? ;12.0
Bobby at 17 snoepjes. Toen at hij er nog 15. Als hij aanvankelijk 36 snoepjes had hoeveel snoepjes heeft hij nog over? ;4.0
Bobby at 23 snoepjes. Als hij aanvankelijk 30 snoepjes had hoeveel snoepjes heeft hij nog over? ;7.0
Alan heeft vijf ballonnen meegebracht en Jake heeft drie ballonnen meegebracht. Hoeveel ballonnen had Allan meer dan Jake in het park? ;2.0
Alan bracht twee ballonnen en Jake bracht drie ballonnen naar het park. Hoeveel ballonnen had Jake meer dan Allan in het park? ;1.0
Allan en Jake hebben drie ballonnen meegenomen. Als Allan twee ballonnen meebracht, hoeveel ballonnen nam Jake dan mee naar het park? ;1.0
Jake heeft zes ballonnen meegenomen naar het park. Als Jake 4 ballonnen meer meebracht dan Allan hoeveel ballonnen heeft Allan meegenomen? ;2.0
Allan heeft vijf ballonnen meegebracht. Als Jake 6 ballonnen meer meebracht dan Allan hoeveel ballonnen heeft Jake meegenomen? ;11.0
Alan bracht drie ballonnen en Jake bracht vijf ballonnen naar het park. Allan kocht toen nog twee ballonnen in het park. Hoeveel ballonnen hadden Alan en Jake in het park? ;10.0
Allan bracht twee ballonnen en Jake bracht vier ballonnen naar het park. Allan kocht toen nog 3 ballonnen in het park. Hoeveel ballonnen had Allan meer dan Jake in het park? ;1.0
