m_query;response
Հուլիսին Ջուլիան 18 երեխաների հետ խաղում էր թեւակապով: Երեքշաբթի նա 10 երեխաների հետ խաղում էր թեւակապի մեջ: Քանի՞ երեխա է խաղացել երկուշաբթի օրը, քան երեքշաբթի օրը: ;8.0
Ջուլիան երկուշաբթի օրը 11 երեխաների հետ խաղում էր թեւակապի մեջ: Երեքշաբթի նա 12 երեխաների հետ խաղում էր թեւակապի մեջ: Քանի՞ երեխա է խաղացել երեքշաբթի օրը, քան երկուշաբթի օրը: ;1.0
Ջուլիան երկուշաբթի 5 երեխաների հետ խաղում էր թեւակապի մեջ: Երեքշաբթի նա խաղում էր մի քանի երեխաների հետ: Եթե նա խաղացել է 15 երեխաների հետ, ապա քանի՞ երեխաների հետ է խաղացել երեքշաբթի օրը: ;10.0
Ջուլիան երկուշաբթի մի քանի երեխաների հետ խաղում էր տեգի վրա: Երեքշաբթի նա 14 երեխաների հետ խաղում էր թեւակապում: Եթե նա խաղացել է ընդհանուր առմամբ 16 երեխաների հետ, ապա քանի՞ երեխաների հետ է խաղացել երկուշաբթի օրը: ;2.0
Ջուլիան երկուշաբթի 16 երեխաների հետ խաղում էր թեւակապի մեջ: Եթե նա երկուշաբթի օրը 12 երեխա ավելի է խաղացել, քան երեքշաբթի օրը, ապա քանի՞ երեխայի հետ է խաղացել երեքշաբթի օրը: ;4.0
Ջուլիան երեքշաբթի 14 երեխաների հետ խաղում էր թեւակապի մեջ: Եթե նա երկուշաբթի օրը 8 երեխա ավելի է խաղացել, քան երեքշաբթի օրը, ապա քանի՞ երեխայի հետ է խաղացել երկուշաբթի օրը: ;22.0
Ջուլիան երկուշաբթի 17 երեխաների հետ է խաղացել, երեքշաբթի 15 երեխա եւ չորեքշաբթի 2 երեխա: Քանի՞ երեխայի հետ է նա խաղացել ընդհանրապես: ;34.0
Ջուլիան երկուշաբթի 15 երեխայի հետ է խաղացել, երեքշաբթի'18 երեխաների հետ եւ չորեքշաբթի'97 երեխաների հետ: Քանի՞ երեխայի հետ է նա խաղացել երկուշաբթի եւ երեքշաբթի օրերին: ;33.0
Ջուլիան երկուշաբթի 5 երեխայի հետ է խաղացել, երեքշաբթի'9 երեխա եւ չորեքշաբթի'15 երեխա: Քանի՞ երեխայի հետ է նա խաղացել երկուշաբթի եւ չորեքշաբթի օրերին: ;20.0
Ջուլիան երկուշաբթի երկու երեխաների հետ է խաղացել, երեքշաբթի'14 երեխաների հետ եւ չորեքշաբթի'16 երեխաների հետ: Քանի՞ երեխայի հետ է նա խաղացել երեքշաբթի եւ չորեքշաբթի օրերին: ;30.0
Ջուլիան երկուշաբթի խաղում էր 9 երեխաների հետ, երեքշաբթի'7 երեխաների հետ եւ չորեքշաբթի'96 երեխաների հետ: Քանի՞ երեխա է խաղացել երկուշաբթի օրը, քան երեքշաբթի օրը: ;2.0
Ջուլիան երկուշաբթի 14 երեխաների հետ խաղում էր թեւակապի մեջ: Երկու երեխան երեքշաբթի եւ ութ երեխան չորեքշաբթի: Քանի՞ երեխա է խաղացել երկուշաբթի օրը, քան չորեքշաբթի օրը: ;6.0
Ջուլիան երկուշաբթի 8 երեխաների հետ խաղում էր թեւակապում, երեքշաբթի'11 երեխաների հետ եւ չորեքշաբթի'9 երեխաների հետ: Քանի՞ երեխա է խաղացել երեքշաբթի օրը, քան չորեքշաբթի օրը: ;2.0
Ջուլիան երկուշաբթի 15 երեխաների հետ է խաղացել տեգի հետ, երեքշաբթի 18 երեխաների հետ եւ չորեքշաբթի 7 երեխաների հետ: Քանի՞ երեխա է խաղացել երկուշաբթի եւ երեքշաբթի օրերին, քան չորեքշաբթի օրերին: ;26.0
Ջուլիան երկուշաբթի 13 երեխաների հետ է խաղացել եւ երեքշաբթի'10 երեխաների հետ: Չորեքշաբթի նա խաղացել է 15 երեխաների հետ: Քանի՞ երեխայի հետ է նա խաղացել ընդհանրապես: ;38.0
