m_query;response
朱莉星期一同18個細路玩. 星期二佢同十個細路玩緊打招牌 星期一同佢玩嘅細路多過星期二嘅細路幾多? ;8.0
朱莉星期一同十一個細路玩. 星期二佢同十二個細路玩緊網球 星期二同佢一齊玩嘅細路多過星期一嘅細路嗎? ;1.0
朱莉星期一同五個細路玩咗小遊戲 星期二佢同其他細路玩緊打招牌 如果佢同其他十五個細路玩 星期二佢同幾多個細路玩? ;10.0
朱莉星期一同啲細路玩咗小遊戲 星期二佢同 14 個細路玩緊網球 如果佢同其他十六個細路玩 星期一佢同幾多個細路玩? ;2.0
朱莉星期一同16個細路玩. 如果佢星期一同其他十二個細路玩 比星期二多,佢星期二同幾多個細路玩? ;4.0
朱莉星期二同14個細路玩. 如果佢星期一同八個細路多玩比星期二多, 星期一佢同幾多個細路玩? ;22.0
朱莉星期一同17個細路玩 星期二同15個細路玩 星期三同2個細路玩 究竟佢同幾多個細路一齊玩? ;34.0
朱莉星期一同十五個細路玩 星期二同十八個細路玩 而星期三同九十七個細路玩 星期一同星期二有幾多個細路一齊玩? ;33.0
朱莉星期一同五個細路玩 星期二同九個細路玩 而星期三同十五個細路玩 星期一同星期三有幾多個細路一齊玩? ;20.0
朱莉星期一同兩位細路玩 星期二同十四位細路玩 星期三同十六位細路玩 星期二同星期三有幾多個細路一齊玩? ;30.0
朱莉星期一同九個細路玩 星期二同七個細路玩 星期三同96個細路玩 星期一同佢玩嘅細路多過星期二嘅細路幾多? ;2.0
朱莉星期一同14個細路玩 星期二同2個細路玩 星期三同8個細路玩 星期一同佢一齊玩嘅細路多過星期三嘅細路嗎? ;6.0
朱莉星期一同八個細路玩 星期二同十一個細路玩 星期三同九個細路玩 星期二同佢一齊玩嘅細路多過星期三嘅細路嗎? ;2.0
朱莉星期一同十五個細路玩 星期二同十八個細路玩 星期三同七個細路玩 星期一同星期二嘅細路多過星期三嘅細路嗎? ;26.0
朱莉星期一同十三個細路玩 星期二同十個細路玩 星期三佢同十五個細路玩咗牌 究竟佢同幾多個細路一齊玩? ;38.0
朱莉星期一同七個細路玩 星期二同十三個細路玩 星期三佢同廿個細路玩咗牌 甘佢玩尾嘅細路有幾多呢? ;20.0
朱莉星期一同十二個細路玩. 星期二佢同 14 個細路玩緊網球 兩日共花費咗 34 個鐘去打打 究竟佢同幾多個細路一齊玩? ;26.0
朱莉星期一同19個細路玩. 星期二佢同其他十八個細路玩緊網球 兩日共花費咗 38 個鐘去打打 星期一同佢玩嘅細路多過星期二嘅細路幾多? ;1.0
星期二朱莉同五個細路玩咗小遊戲 星期一佢同六個細路玩緊打招牌 星期一同佢玩嘅細路多過星期二嘅細路幾多? ;1.0
朱莉同其他十八個細路玩 星期一佢同四個細路玩 星期二又同多啲細路玩 星期二佢同幾多個細路一齊玩? ;14.0
朱莉星期三同四個細路玩咗小遊戲 星期一佢同六個細路玩 星期二同十七個細路玩 星期一同佢一齊玩嘅細路多過星期三嘅細路嗎? ;2.0
Bobby 吃咗一啲糖果. 之後佢又食咗另外 25 條 如果一開始佢食咗 43 粒糖果 佢一開始食咗幾多粒糖果? ;18.0
Bobby 吃咗28塊糖果. 之後又食咗四十二隻 佢仲食咗 63 個朱古力 Bobby 吃了多少块糖果? ;70.0
Bobby 吃咗33塊糖果. 之後又食咗四隻 佢仲食咗14塊朱古力 波比整個吃咗幾多塊糖果同朱古力? ;51.0
Bobby 吃咗38塊糖果. 之後佢又食咗36隻 佢仲食咗16塊朱古力 比起吃巧克力,Bobby吃了多少块糖果? ;58.0
Bobby 吃了20块糖果 佢食咗34塊糖果. 之後佢又食咗十八隻 Bobby 吃了多少块糖果? ;52.0
Bobby有21個糖果 佢食咗五塊糖果. 之後佢又食咗九隻 佢仲有幾多個糖果呢? ;7.0
Bobby有22個糖果. 佢食咗一啲糖果. 之後佢又食咗五隻 如果佢仲有八塊糖果 剩下的幾塊糖果 佢一開始食咗幾多塊呢? ;9.0
Bobby有19個糖果 佢食咗兩塊糖果. 佢仲有幾多個糖果呢? ;17.0
Bobby有32個糖果. 佢食咗一啲糖果. 如果佢剩下20塊糖果 比吃咗幾多塊糖果? ;12.0
Bobby 吃咗 17 塊糖果. 之後佢又食咗十五隻 如果佢一開始有 36 個糖果 佢剩返幾多個糖果呢? ;4.0
Bobby 吃咗23塊糖果. 如果他最初有30块糖果 他还有多少块糖果? ;7.0
Allan帶咗五個氣球 Jake帶咗三個氣球去公園 Allan 比 Jake 在公園裡有多少個氣球? ;2.0
Allan帶咗兩粒氣球 Jake帶咗三粒氣球去公園 Jake 比 Allen 公園有幾多個氣球? ;1.0
Allan同Jake帶咗三個氣球去公園 如果艾倫帶咗兩個氣球, 傑克帶咗幾多個氣球去公園? ;1.0
Jake帶咗六個氣球去公園 如果 Jake 比 Alan 帶來嘅氣球多出 4 個氣球 咁 Allan 帶咗幾多個氣球去公園? ;2.0
Allan帶咗五個氣球去公園 如果 Jake 帶咗比 Alan 帶嘅氣球多出 6 個氣球 咁 Jake 帶咗幾多個氣球去公園? ;11.0
Allan帶咗三個氣球 Jake帶咗五個氣球去公園 之後 Allan 喺公園買咗兩架氣球 Allan 同 Jake 喺公園度擺咗幾多個氣球? ;10.0
Allan帶咗兩粒氣球 Jake帶咗四粒氣球去公園 之後 Allan 喺公園買咗三個氣球 Allan 比 Jake 在公園裡有多少個氣球? ;1.0
Allan帶咗兩粒氣球 Jake帶咗六粒氣球去公園 之後 Allan 喺公園買咗三個氣球 Jake 比 Allen 公園有幾多個氣球? ;1.0
Allan帶咗五個氣球 Jake帶咗四個氣球去公園 之後 Allan 喺公園買咗三個氣球 Allan帶了多少個氣球去公園? ;8.0
Allan帶咗六個氣球 Jake帶咗兩個氣球去公園 之後佢喺公園買咗三個氣球 Allan 比 Jake 在公園裡有多少個氣球? ;1.0
Allan帶咗六個氣球 Jake帶咗三個氣球去公園 之後佢喺公園買咗四個氣球 Jake 比 Allen 公園有幾多個氣球? ;1.0
Allan帶咗五個氣球 Jake帶咗六個氣球去公園 之後佢喺公園買咗三個氣球 Jake帶咗幾多個氣球去公園? ;9.0
Allan帶咗3個氣球同20個球 而 Jake 帶咗5個氣球同59個球去公園 Allan 同 Jake 喺公園度擺咗幾多個氣球? ;8.0
Allan帶咗7個氣球同5個球 而 Jake帶咗6個氣球同4個球去公園 Allan 同 Jake 喺公園度有幾多個球? ;9.0
Allan帶咗五個氣球 如果艾倫同傑克共帶咗六個氣球去公園, 傑克帶咗幾多個氣球去公園? ;1.0
Allan帶咗兩粒氣球去公園 然後喺嗰度買咗三粒氣球 如果 Jake 帶咗六個氣球去公園, 咁 Jake 比 Allan 帶咗幾多個氣球去公園? ;1.0
每日,瑞恩花6個鐘學習英文 同埋2個鐘學習中文. 佢用咗幾個鐘來學英文?,學中文? ;4.0
每日,瑞恩花6個鐘學習英文 同埋7個鐘學習中文. 佢用咗幾個鐘來學中文? ;1.0
每日,瑞恩花3个小时学习英语, 还有几个小时学习中文. 如果他每天花4个小时学习英语和中文 他每天花多少小时学习中文? ;1.0
每日,瑞恩花7个小时学习英语, 还有几个小时学习中文. 如果佢學英文嘅時間多過學中文 2 個鐘 咁佢學中文嘅時間要幾多呢? ;5.0
每日,瑞安花五個鐘學習中文. 再花幾個鐘學習英文. 如果佢學英文嘅時間多過學中文 2 個鐘 咁佢學英文嘅時間有幾多呢? ;7.0
每日,瑞恩花6個鐘學習英文 同埋7個鐘學習中文. 如果佢要五日來學, 總共要花幾多個鐘來學英文同中文? ;65.0
每日,瑞恩花6個鐘學習英文 同埋5個鐘學習中文. 如果佢兩個日都喺度學英文 佢總共要花幾多個鐘學英文? ;12.0
