m_query;response
Julia spillede tag med 18 børn på mandag. Hun legede tag med 10 børn på tirsdag. Hvor mange flere børn legede hun med på mandag end på tirsdag? ;8.0
Julia spillede tag med 11 børn på mandag. Hun legede tag med 12 børn på tirsdag. Hvor mange flere børn legede hun med tirsdag end mandag? ;1.0
Julia legede tag med 5 børn på mandag. Hun legede tag med nogle andre børn på tirsdag. Hvis hun spillede med i alt 15 børn hvor mange børn spillede hun med på tirsdag? ;10.0
Julia legede tag med nogle børn på mandag. Hun spillede tag med 14 børn på tirsdag. Hvis hun spillede med 16 børn i alt, hvor mange børn spillede hun så med på mandag? ;2.0
Julia spillede tag med 16 børn på mandag. Hvis hun spillede tag med 12 flere børn på mandag end på tirsdag hvor mange børn spillede hun med på tirsdag? ;4.0
Julia spillede tag med 14 børn på tirsdag. Hvis hun legede tag med 8 flere børn på mandag end på tirsdag hvor mange børn legede hun med på mandag? ;22.0
Julia spillede tag med 17 børn på mandag 15 børn på tirsdag og 2 børn på onsdag. Hvor mange børn legede hun med i alt? ;34.0
Julia spillede tag med 15 børn på mandag 18 børn på tirsdag og 97 børn på onsdag. Hvor mange børn legede hun med mandag og tirsdag? ;33.0
Julia legede tag med 5 børn på mandag 9 børn på tirsdag og 15 børn på onsdag. Hvor mange børn legede hun med mandag og onsdag? ;20.0
Julia legede tag med 2 børn på mandag 14 børn på tirsdag og 16 børn på onsdag. Hvor mange børn legede hun med tirsdag og onsdag? ;30.0
Julia legede tag med 9 børn på mandag 7 børn på tirsdag og 96 børn på onsdag. Hvor mange flere børn legede hun med på mandag end på tirsdag? ;2.0
Julia spillede tag med 14 børn på mandag 2 børn på tirsdag og 8 børn på onsdag. Hvor mange flere børn legede hun med på mandag end på onsdag? ;6.0
Julia legede tag med 8 børn på mandag 11 børn på tirsdag og 9 børn på onsdag. Hvor mange flere børn legede hun med tirsdag end onsdag? ;2.0
Julia legede tag med 15 børn på mandag 18 børn på tirsdag og 7 børn på onsdag. Hvor mange flere børn legede hun med mandag og tirsdag end onsdag? ;26.0
Julia spillede tag med 13 børn på mandag og 10 børn på tirsdag. Hun spillede kort med 15 børn onsdag. Hvor mange børn legede hun med i alt? ;38.0
Julia spillede tag med 7 børn på mandag og 13 børn på tirsdag. Hun spillede kort med 20 børn onsdag. Hvor mange børn legede hun med i alt? ;20.0
Julia spillede tag med 12 børn på mandag. Hun spillede tag med 14 børn på tirsdag. Hun brugte i alt 34 timer på at lege tag begge dage. Hvor mange børn legede hun med i alt? ;26.0
Julia spillede tag med 19 børn på mandag. Hun legede tag med 18 børn på tirsdag. Hun brugte 38 timer på at lege tag begge dage. Hvor mange flere børn legede hun med på mandag end på tirsdag? ;1.0
Julia legede tag med 5 børn på tirsdag. Hun havde leget med seks børn mandag. Hvor mange flere børn legede hun med på mandag end på tirsdag? ;1.0
Julia spillede tag med i alt 18 børn. Hun legede med fire børn mandag og endnu flere børn tirsdag. Hvor mange børn legede hun med tirsdag? ;14.0
Julia legede tag med fire børn på onsdag. Hun havde spillet med seks børn mandag og 17 børn tirsdag. Hvor mange flere børn legede hun med på mandag end på onsdag? ;2.0
Bobby spiste nogle slik. Så spiste han 25 mere. Hvis han spiste i alt 43 slik, hvor mange slik havde han spist i starten? ;18.0
Bobby spiste 28 slik. Så spiste han 42 mere. Han spiste også 63 stykker chokolade. Hvor mange slik spiste Bobby? ;70.0
Bobby spiste 33 slik. Så spiste han fire mere. Han spiste også 14 stykker chokolade. Hvor mange slik og chokolade spiste Bobby i alt? ;51.0
Bobby spiste 38 slik. Så spiste han 36 mere. Han spiste også 16 stykker chokolade. Hvor mange flere slik end chokolade spiste Bobby? ;58.0
Bobby havde 20 slik. Han spiste 34 slik. Så spiste han 18 mere. Hvor mange slik spiste Bobby? ;52.0
Bobby havde 21 slik. Han spiste fem slik. Så spiste han 9 mere. Hvor mange slik har han stadig tilbage? ;7.0
Bobby havde 22 slik. Han spiste nogle slik. Så spiste han fem mere. Hvis han stadig har 8 slik tilbage, hvor mange slik havde han spist i starten? ;9.0
Bobby havde 19 slik. Han spiste to slik. Hvor mange slik har han stadig tilbage? ;17.0
Bobby havde 32 slik. Han spiste nogle slik. Hvis han har 20 slik tilbage, hvor mange slik spiste Bobby så? ;12.0
Bobby spiste 17 slik. Så spiste han 15 mere. Hvis han oprindeligt havde 36 slik, hvor mange slik har han så tilbage? ;4.0
Bobby spiste 23 slik. Hvis han havde 30 slik i starten, hvor mange slik har han så tilbage? ;7.0
Alan tog fem balloner med og Jake tog tre balloner med til parken. Hvor mange flere balloner havde Allan end Jake i parken? ;2.0
Allan tog to balloner med og Jake tog tre balloner med til parken. Hvor mange flere balloner havde Jake end Allan i parken? ;1.0
Allan og Jake tog 3 balloner med til parken. Hvis Allan tog to balloner med, hvor mange balloner tog Jake så med til parken? ;1.0
