m_query;response
Julia chơi trò chơi với 18 đứa trẻ vào thứ Hai. Cô ấy chơi trò chơi với 10 đứa trẻ vào thứ Ba. Cô ấy chơi với bao nhiêu đứa trẻ vào thứ Hai hơn là thứ Ba? ;8.0
Julia chơi trò chơi với 11 đứa trẻ vào thứ Hai. Cô ấy chơi trò chơi với 12 đứa trẻ vào thứ Ba. Cô ấy chơi với bao nhiêu đứa trẻ vào thứ Ba hơn là thứ Hai? ;1.0
Julia chơi trò chơi với 5 đứa trẻ vào thứ Hai. Cô ấy chơi trò chơi với mấy đứa trẻ khác vào thứ Ba. Nếu cô ấy chơi với 15 đứa trẻ thì cô ấy chơi với bao nhiêu đứa trẻ vào thứ Ba? ;10.0
Julia chơi trò chơi với mấy đứa trẻ vào thứ Hai. Cô ấy chơi trò chơi với 14 đứa trẻ vào thứ Ba. Nếu cô ấy chơi với tổng cộng 16 đứa trẻ thì cô ấy chơi với bao nhiêu đứa trẻ vào thứ Hai? ;2.0
Julia chơi trò chơi với 16 đứa trẻ vào thứ Hai. Nếu cô ấy chơi trò chơi với 12 đứa trẻ vào thứ Hai hơn là thứ Ba thì cô ấy chơi với bao nhiêu đứa trẻ vào thứ Ba? ;4.0
Julia chơi trò chơi với 14 đứa trẻ vào thứ Ba. Nếu cô ấy chơi trò chơi với 8 đứa trẻ vào thứ Hai hơn là thứ Ba thì cô ấy chơi với bao nhiêu đứa trẻ vào thứ Hai? ;22.0
Julia chơi trò chơi với 17 đứa trẻ vào thứ Hai 15 đứa trẻ vào thứ Ba và 2 đứa trẻ vào thứ Tư. Cô ấy chơi với bao nhiêu đứa nhỉ? ;34.0
Julia chơi trò chơi với 15 đứa trẻ vào thứ Hai 18 đứa trẻ vào thứ Ba và 97 đứa trẻ vào thứ Tư. Cô ấy chơi với bao nhiêu đứa vào thứ Hai và thứ Ba? ;33.0
Julia chơi trò chơi với 5 đứa trẻ vào thứ Hai, 9 đứa trẻ vào thứ Ba và 15 đứa trẻ vào thứ Tư. Cô ấy chơi với bao nhiêu đứa vào thứ Hai và thứ Tư? ;20.0
Julia chơi trò chơi với 2 đứa trẻ vào thứ Hai, 14 đứa trẻ vào thứ Ba và 16 đứa trẻ vào thứ Tư. Cô ấy chơi với bao nhiêu đứa vào thứ Ba và thứ Tư? ;30.0
Julia chơi trò chơi với 9 đứa trẻ vào thứ Hai 7 đứa trẻ vào thứ Ba và 96 đứa trẻ vào thứ Tư. Cô ấy chơi với bao nhiêu đứa trẻ vào thứ Hai hơn là thứ Ba? ;2.0
Julia chơi trò chơi với 14 đứa trẻ vào thứ Hai 2 đứa trẻ vào thứ Ba và 8 đứa trẻ vào thứ Tư. Cô ấy chơi với bao nhiêu đứa trẻ vào thứ Hai hơn là thứ Tư? ;6.0
Julia chơi trò chơi với 8 đứa trẻ vào thứ Hai 11 đứa trẻ vào thứ Ba và 9 đứa trẻ vào thứ Tư. Cô ấy chơi với bao nhiêu đứa trẻ vào thứ Ba hơn là thứ Tư? ;2.0
