question;answer_number
Janeti pardid panevad 16 muna päevas. Ta sööb kolm hommikusöögiks igal hommikul ja küpsetab muffineid oma sõpradele iga päev nelja. Ta müüb ülejäänud partiid iga päev farmerite turult kahe dollari eest värske ankmunast. Kui palju ta dollarites teeb iga päev põllumüügil? ;18
Küüri riietamiseks on vaja kaks sinist kiudainet ja pool sellest valgest kiududest. Mitu pultit see kokku võtab? ;3
Josh otsustab maja ümber keerata. Ta ostab maja 80 000 dollari eest ja paneb siis 50 000 dollari remondiks. See tõstis maja väärtust 150% võrra. Kui palju ta kasumit teenis? ;70000
James otsustab teha 3 sprinti 3 korda nädalas. Ta jookseb 60 meetrit sprintis. Mitu meetrit ta nädalas jookseb? ;540
Iga päev söötab Wendi iga kana kolme tassi segatud kana sööta, mis sisaldab seemneid, söödaussasid ja köögivilju, et hoida neid tervena. Ta annab kanale kolm korda toitu. Hommikul annab ta oma kanadele 15 tassi sööta. Pärastlõunal annab ta kanale veel 25 tassi sööta. Kui palju tassi sööta ta peab oma kanadele päeva viimases söögikorras andma, kui Wendi karja suurus on 20 kanat? ;20
Kylar läks poodi, et osta oma uueks korteriks prillid. Üks klaas maksab 5 dollarit, kuid iga teine klaas maksab vaid 60% hinnast. Kylar tahab osta 16 klaasi. Kui palju ta nende eest maksab? ;64
Toulouse'il on kaks korda rohkem lambaid kui Charlestonis. Charlestonis on 4 korda rohkem lambaid kui Seattle'is. Kui palju lambaid Toulouse'il, Charleston'il ja Seattle'il on kokku, kui Seattle'il on 20 lammast? ;260
Carla laadis alla 200 GB faili. Tavaliselt saab ta alla laadida 2 GB/min, kuid 40% alla laadimisest sunnib Windows uuenduste installimiseks uuesti käivitama, mis võtab 20 minutit. Siis Carla peab allalaadimise algusest uuesti alustama. Kui palju laadimist faili allalaadimiseks kulub? ;160
John sõidab 3 tundi kiirusega 60 miili tunnis ja siis pöördub tagasi, sest ta mõistab, et ta unustas midagi väga olulist kodus. Ta püüab koju jõuda 4 tunni pärast, kuid veedab esimesed 2 tundi liiklusest kinni. Ta veedab järgmise poole tunni sõites kiirusega 30 miili tunnis, enne kui ta suudab sõita ülejäänud 4 tunni jooksul 80 miili tunnis. Kui kaugel ta on kodust nende 4 tunni lõpus? ;45
Eliza töötasu esimese 40 tunni eest on 10 dollarit tunnis. Lisaks saab ta ületundide eest 1,2 korda rohkem tasu kui ta tavaliselt tunnipalgaga teenib. Kui Eliza töötas 45 tundi sel nädalal, kui palju ta selle nädala eest teenis? ;460
