question;answer_number
Bebek Janet nglairake endhog 16 saben dina. Dheweke mangan telung kanggo sarapan saben esuk lan baking muffins kanggo kanca-kanca saben dina karo papat. Dheweke adol sisa ing pasar petani saben dina kanthi rega $ 2 saben endhog bebek seger. Pira dhuwit sing dienggo saben dina ing pasar tani? ;18
Sabuk nganggo rong bolt serat biru lan setengah serat putih. Pira bolt ing total iku njupuk? ;3
Josh mutusaké arep nyoba nguripake omah. Dheweke tuku omah kanthi rega $ 80.000 lan banjur nglebokake $ 50.000 kanggo ndandani. Iki nambah nilai omah nganti 150%. Pira bathi sing ditampa? ;70000
James mutusaké kanggo mbukak 3 sprints 3 kaping seminggu. Dhèwèké mlayu 60 mèter saben sprint. Pira total meter sing dilakoni saben minggu? ;540
Saben dina, Wendi menehi saben pitik telung cangkir panganan pitik campuran, ngemot wiji, cacing lan sayuran kanggo njaga kesehatan. Dheweke menehi pitik panganan ing telung panganan sing kapisah. Ing wayah esuk, dheweke menehi 15 cangkir pakan kanggo wedhus pitik. Ing wayah sore, dheweke menehi pitik 25 cangkir panganan liyane. Pira cangkir panganan sing kudu diwenehake kanggo pitik ing panganan pungkasan dina yen ukuran wedhus Wendi yaiku 20 pitik? ;20
Kylar lunga menyang toko kanggo tuku kacamata kanggo apartemen anyaré. Siji gelas regane $ 5, nanging saben gelas kaping pindho regane mung 60% regane. Kylar kepengin tuku 16 gelas. Pira dhuwit sing kudu dibayar kanggo kuwi? ;64
Toulouse duwé wedhus tikel kaping pindho tinimbang Charleston. Charleston duwé wedhus ping papat luwih akèh tinimbang Seattle. Pira wedhus sing diduweni Toulouse, Charleston, lan Seattle yen Seattle duwe 20 wedhus? ;260
Carla ngundhuh file 200 GB. Biasane dheweke bisa ndownload 2 GB / menit, nanging 40% saka cara liwat download, Windows meksa restart kanggo nginstal nganyari, sing njupuk 20 menit. Banjur Carla kudu miwiti download saka wiwitan. Carane akeh iku njupuk kanggo ngundhuh file? ;160
John nyopir 3 jam kanthi kacepetan 60 mph banjur mbalik amarga dheweke ngerti yen dheweke lali karo sing penting banget ing omah. Dheweke nyoba mulih ing 4 jam nanging ngentekake 2 jam pertama ing lalu lintas sing mandheg. Dheweke ngenteni setengah jam sabanjure nyopir kanthi kacepetan 30mph, sadurunge bisa nyopir wektu 4 jam sing isih ana 80 mph. Sepira adohé saka omahé ing pungkasan patang jam kuwi? ;45
Tarif Eliza saben jam kanggo 40 jam pisanan dheweke kerja saben minggu yaiku $ 10. Dheweke uga nampa bayaran lembur kaping 1,2 saka tarif saben jam biasa. Yèn Eliza nyambut gawé 45 jam minggu iki, pira penghasilané minggu iki? ;460
