question;answer_number
Ang mga pato ni Janet ay naglalagay ng 16 itlog sa isang araw. Tatlo ang kinakain niya sa umaga at apat ang kaniyang inihahanda para sa mga kaibigan. Ibinebenta niya ang natitirang bahagi sa merkado ng mga magsasaka araw-araw sa halagang $2 bawat sariwang itlog ng pato. Gaano karaming dolyar ang kinikita niya sa araw-araw sa merkado ng mga magsasaka? ;18
Ang isang balabal ay nangangailangan ng 2 bolt na asul na hibla at kalahati ng dami ng puting hibla. Ilang bolt ang kailangan para sa lahat? ;3
Nagpasya si Josh na subukan ang pag-aalis ng bahay. Bumili siya ng isang bahay sa halagang $80,000 at pagkatapos ay naglalagay ng $50,000 sa mga pagkukumpuni. Ito'y nagdaragdag ng halaga ng bahay ng 150%. Gaano karaming kita ang kaniyang nakuha? ;70000
Nagpasya si James na magpatakbo ng 3 sprints 3 beses sa isang linggo. Tumatakbo siya ng 60 metro sa bawat sprint. Ilang metro ang kinakarga niya sa isang linggo? ;540
Araw-araw, ipakain ni Wendi sa bawat isa sa kaniyang mga manok ang tatlong tasa ng halo-halong pagkain ng manok, na naglalaman ng mga buto, mga ulod sa harina at mga gulay upang makatulong na manatiling malusog ang mga ito. Binigyan niya ang mga manok ng kanilang pagkain sa tatlong magkahiwalay na pagkain. Sa umaga, binibigyan niya ng 15 tasa ng pagkain ang kaniyang kawan ng mga manok. Sa hapon, binibigyan niya ang kaniyang mga manok ng 25 tasa pang pagkain. Ilang tasa ng pagkain ang kailangan niyang ibigay sa kaniyang mga manok sa huling pagkain sa araw kung ang laki ng kawan ni Wendi ay 20 manok? ;20
Pumunta si Kylar sa tindahan upang bumili ng mga baso para sa kaniyang bagong apartment. Ang isang baso ay nagkakahalaga ng $5, subalit ang bawat pangalawang baso ay nagkakahalaga lamang ng 60% ng presyo. Gusto ni Kylar na bumili ng 16 na baso. Gaano karaming kailangan niyang bayaran para sa mga ito? ;64
Ang Toulouse ay may dalawang beses na dami ng tupa kaysa sa Charleston. Ang Charleston ay may 4 na beses na mas maraming tupa kaysa sa Seattle. Ilang tupa ang magkakasama ng Toulouse, Charleston, at Seattle kung ang Seattle ay may 20 tupa? ;260
Nag-download si Carla ng 200 GB na file. Karaniwan ay maaari niyang i-download ang 2 GB / minuto, ngunit 40% ng paraan sa pamamagitan ng pag-download, pinipilit ng Windows ang isang pag-restart upang mai-install ang mga pag-update, na tumatagal ng 20 minuto. Pagkatapos ay kailangang i-restart ni Carla ang pag-download mula sa simula. Gaano karaming load ang kailangan upang mai-download ang file? ;160
Si John ay nagmamaneho nang 3 oras sa bilis na 60 mph at pagkatapos ay bumalik dahil napagtanto niya na nakalimutan niya ang isang bagay na napakahalaga sa bahay. Sinusubukan niyang makauwi sa loob ng 4 oras ngunit ginugugol ang unang 2 oras sa naka-stop na trapiko. Gugugol niya ang susunod na kalahating oras sa pagmamaneho sa bilis na 30mph, bago makagagawa ng natitirang oras ng 4 na oras na pagmamaneho sa 80mph. Gaano siya kalayuan sa bahay sa pagtatapos ng apat na oras na iyon? ;45
Ang halaga ni Eliza sa bawat oras sa unang 40 oras na kaniyang ginagampanan sa bawat linggo ay $10. Nakatanggap din siya ng overtime na bayad na 1.2 beses sa kaniyang regular na halaga sa isang oras. Kung nagtrabaho si Eliza ng 45 oras ngayong linggo, magkano ang kanyang kita sa linggong ito? ;460
Isang bagong programa ang may 60 na na-download sa unang buwan. Ang bilang ng mga pag-download sa ikalawang buwan ay tatlong beses na higit kaysa sa mga pag-download sa unang buwan, ngunit pagkatapos ay nabawasan ng 30% sa ikatlong buwan. Ilang download ang nagawa ng programa sa loob ng tatlong buwan? ;366
Pumunta si Toula sa bakery at bumili ng iba't ibang uri ng pastries. Bumili siya ng 3 dosenang donuts na nagkakahalaga ng $68 bawat dosenang, 2 dosenang mini cupcakes na nagkakahalaga ng $80 bawat dosenang, at 6 dosenang mini cheesecakes sa halagang $55 bawat dosenang. Magkano ang kabuuang halaga? ;694
Nagtanim si Carlos ng isang punong lemon. Magkakahalaga ng $90 ang pagtanim ng punong ito. Bawat taon ay lumago ang 7 lemon, na maaari niyang ibenta sa $1.5 bawat isa. Magkakahalaga ng $3 sa isang taon upang painumin at pakanin ang punungkahoy. Ilang taon pa bago siya makapagtatrabaho sa puno ng lemon? ;13
Si Melanie ay isang nagtitinda sa bahay-bahay. Ibinebenta niya ang ikatlong bahagi ng kaniyang mga vacuum cleaner sa berdeng bahay, 2 pa sa pulang bahay, at kalahati ng natitira sa kulay-kahel na bahay. Kung may 5 vacuum cleaner si Melanie, ilan ang ginamit niya noong una? ;18
Sa isang klase ng sayaw na binubuo ng 20 estudyante, 20% ang nag-enrol sa kontemporaryong sayaw, 25% ng natitirang nag-enrol sa sayaw na jazz, at ang natitirang nag-enrol sa sayaw na hip-hop. Anong porsiyento ng buong mga estudyante ang nakatala sa hip-hop dance? ;60
Nais ng isang negosyante na pumili ng kaniyang bibili sa pagitan ng 2 plano sa pagbili: alahas na nagkakahalaga ng $5,000 o mga elektronikong aparato na nagkakahalaga ng $8,000. Ang kanyang pinansiyal na tagapayo ay nag-isip na ang merkado ng alahas ay tataas ng 2.5% samantalang ang merkado ng mga elektronikong gadgets ay tataas ng 1.2% sa loob ng parehong buwan. Kung ang negosyante ay naghahanap upang ma-maximize ang kita sa dulo ng buwan na ito sa pamamagitan ng paggawa ng isang pagpipilian, kung magkano ang kita na ito ay magiging? ;125
Dalawang tren ang umaalis sa San Rafael nang sabay-sabay. Nagsimula silang maglakbay patungo sa kanluran, na parehong naglalakbay ng 80 milya. Kinabukasan, sila'y naglakbay patungo sa hilaga, na sumasaklaw ng 150 milya. Ano ang distansya na tinatakpan ng bawat tren sa dalawang araw? ;230
Si Jill ay kinikita ng $20 bawat oras para magturo at $30 para maging coach ng cheerleading. Kung nagtatrabaho siya ng 50 linggo sa isang taon, 35 oras sa isang linggo bilang isang guro at 15 oras sa isang linggo bilang isang coach, ano ang kanyang taunang suweldo? ;57500
Ginagawa ni Claire ang 3 itlog na omelet tuwing umaga para sa almusal. Ilang dosenang itlog ang kakain niya sa loob ng 4 na linggo? ;7
Si Marissa ay naglalakad sa isang 12 na milya na landas. Isang oras ang ginugol niya sa unang apat na milya, at pagkatapos ay isa pang oras sa susunod na dalawang milya. Kung nais niyang ang kaniyang katamtamang bilis ay 4 milya bawat oras, anong bilis (sa milya bawat oras) ang kailangan niya upang makalakad sa natitirang distansya? ;6
Mayroon akong 10 litro ng inumin na de-oransiya na dalawang-katlo ay tubig at nais kong idagdag ito sa 15 litro ng inumin na pinya na tatlong-limang bahagi ay tubig. Subalit habang inihahain ko ito, ibinubuwag ko ang isang litro ng inumin na de-oransiya. Gaano karaming tubig ang nasa natitirang 24 litro? ;15
Mga pinsan sina Raymond at Samantha. Si Raymond ay ipinanganak 6 taon bago si Samantha. Nagkaroon ng anak si Raymond nang siya'y 23 anyos. Kung si Samantha ay 31 ngayon, ilang taon na ang nakalipas nang ipanganak ang anak ni Raymond? ;14
Nagbebenta si Billy ng mga DVD. May walong kliyente siya sa Martes. Ang kaniyang unang 3 kliyente ay bumili ng isang DVD bawat isa. Ang susunod niyang dalawang kliyente ay bumili ng dalawang DVD bawat isa. Ang huling 3 kliyente niya ay hindi bumili ng DVD. Ilang DVD ang nabenta ni Billy noong Martes? ;7
Ang isang kandila ay tumutuyo ng 2 sentimetro sa bawat oras na nasusunog ito. Ilang sentimetro ang mas maikli ng kandila pagkatapos masunog mula 1:00 ng hapon hanggang 5:00 ng hapon? ;8
Bumili si Kyle ng pinakamamahal na aklat noong nakaraang taon sa halagang $19.50. Ito ay may diskwento na 25% mula sa orihinal na presyo. Ano ang orihinal na presyo ng aklat? ;26
Nag-order si Marie ng isang pagkain na manok na nagkakahalaga ng $12 (U.S.), 5 pakete ng gatas na nagkakahalaga ng $3 (U.S.), 4 mansanas na nagkakahalaga ng $1.50 (U.S.), at ilang kahon ng pizza. Nagbayad si Marie ng kabuuang $50. Ilang kahon ng pizza ang inorder ni Marie kung ang bawat kahon ay nagkakahalaga ng $8.50? ;2
Bumili si Mishka ng 3 pares ng shorts, 3 pares ng pantalon, at 3 pares ng sapatos. Ang isang pares ng shorts ay nagkakahalaga ng $16.50. Ang isang pares ng pantalon ay nagkakahalaga ng $22.50 at ang isang pares ng sapatos ay nagkakahalaga ng $42. Ilang dolyar ang ginugol ni Mishka sa lahat ng damit? ;243
Kumain si Cynthia ng isang porsiyon ng ice cream tuwing gabi. Bumili siya ng mga karton ng sorbetes na may 15 porsiyon ng sorbetes sa bawat karton sa halaga na $4.00 bawat karton. Pagkaraan ng 60 araw, magkano ang gagastusin niya sa ice cream? ;16
Dalawang beses na huminto si Henry sa kaniyang 60 na milya na biyahe sa bisikleta. Siya ay huminto muna pagkatapos ng 20 milya. Ang kaniyang ikalawang paghinto ay 15 milya bago matapos ang paglalakbay. Ilang milya ang kaniyang dinaanan sa pagitan ng kaniyang unang at ikalawang mga istasyon? ;25
Nagpapalit si Gloria ng sapatos nang makahanap siya ng isang pares ng sapatos na angkop sa kaniyang badyet sa sapatos. Gayunman, kailangang pumili siya sa pagitan ng mga sapatos at ng dalawang pares ng mataas na takong na magkasama'y nagkakahalaga ng limang dolyar na mas mababa kaysa sa mga sapatos. Kung ang isang pares ng sapatos na may takong ay nagkakahalaga ng $33 at ang isa ay nagkakahalaga ng dalawang beses, ilan ang halaga ng mga sapatos? ;104
Ang edad nina Darrell at Allen ay nasa ratio na 7:11. Kung ang kanilang kabuuang edad ngayon ay 162, kalkulahin ang edad ni Allen pagkaraan ng 10 taon. ;109
Sinusubukan ni Gunter na bilangin ang mga jelly beans sa isang bote. Tinanong niya ang kaniyang mga kaibigan kung ilan sa palagay nila ang nasa bote. Ang isa ay nagsasabi na 80. Ang isa pa ay nagsasabi na 20 na higit pa sa kalahati ng unang isa. Ang ikatlo ay nagsasabi na 25% na higit pa kaysa sa una. Ano ang kanilang katamtaman na hula? ;80
Tinatamaan ni John ang 10 aso. Bawat aso ay gumugugol ng.5 na oras sa isang araw upang maglakad at alagaan ang kanilang mga gawain. Ilang oras sa isang linggo ang ginugugol niya sa pag-aalaga sa mga aso? ;35
Si Gretchen ay may 110 barya. Mayroong 30 mas maraming barya na ginto kaysa barya na pilak. Ilang barya ng ginto ang mayroon si Gretchen? ;70
Siobhan ay may 2 mas kaunting alahas kaysa kay Aaron. Si Aaron ay may 5 na mas maraming alahas kaysa kalahati ng mga alahas ni Raymond. Kung si Raymond ay may 40 mga alahas, ilan ang mga alahas ni Siobhan? ;23
Naglalaro ng ping pong si Mike sa loob ng 40 minuto. Sa unang 20 minuto, siya ay nakakuha ng 4 puntos. Sa ikalawang 20 minuto, siya ay nakakuha ng 25% na higit pang puntos. Ilang puntos ang nakuha niya? ;9
Kumain si Terry ng 2 yogurt sa isang araw. Sa kasalukuyan ay ibinebenta ang mga ito sa 4 yogurt sa halagang $5.00. Gaano karaming pera ang ginugugol niya sa yogurt sa loob ng 30 araw? ;75
Plano ni John na ibenta ang lahat ng kaniyang laruan at gamitin ang pera upang bumili ng mga video game. Mayroon siyang 13 Lego sets at ibinebenta niya ang mga ito sa halagang $15 bawat isa. Siya'y nag-aabang ng 8 video game sa halagang $20 bawat isa at may natitirang $5 na natitira. Ilang Lego set pa ang mayroon pa siya? ;2
Si John ay tumatakbo ng 60 milya sa isang linggo. Naglalakad siya ng 3 araw sa isang linggo. Tatlong oras siyang tumatakbo sa unang araw at kalahati ng oras sa sumunod na dalawang araw. Gaano katagal ang kanyang pagtakbo? ;10
Si Dana ay maaaring tumakbo nang apat na beses nang mas mabilis kaysa sa kaniyang paglalakad, subalit siya'y maaaring mag-skip nang may bilis na kalahati ng bilis na kaya niyang tumakbo. Kung siya ay maaaring tumalon sa 3 milya bawat oras, kung gaano karaming milya ang maaari niyang maglakbay sa anim na oras kung siya ay gumugol ng isang-katlo ng oras na tumatakbo at dalawang-katlo ng oras na naglalakad? ;18
Ang iPhone ni Brandon ay apat na beses na mas matanda kaysa sa iPhone ni Ben. Ang iPhone ni Ben ay dalawang beses na mas matanda kaysa sa iPhone ni Suzy. Kung 1 taon na ang iPhone ni Suzy, gaano katanda ang iPhone ni Brandon? ;8
Ang dakilang dragon, si Perg, ay nakaupo sa tuktok ng bundok Farbo, na naghuhugas ng apoy sa anumang bagay sa loob ng 1000 talampakan. Si Polly ay makahawak ng ginto na dampi, ang tanging kilalang sandata na maaaring mag-slee ng dragon, sa distansya na 400 talampakan, na nasa loob ng abot ng mga apoy ng dragon. Subalit nang hawakan ni Polly ang bato na sapiro, maaari niyang itapon ang bangkaw nang tatlong beses nang mas malayo kaysa sa hindi hawakan ang bato. Kung hawak niya ang hiyas, hanggang saan kaya siya sa labas ng abot ng apoy ng dragon at matutunghayan pa rin niya ang dragon sa pamamagitan ng ginto na sibat? ;200
Nagluto si Lola Jones ng 5 apple pie para sa tanghalian ng fireman. Pinutol niya ang bawat pie sa walong piraso at inilagay ang limang pie sa mesa ng buffet para sa mga bisita na maglingkod sa kanilang sarili. Sa pagtatapos ng gabi, pagkatapos na kunin at kainin ng mga bisita ang kanilang mga piraso ng pie, may natitirang 14 piraso ng pie. Ilang piraso ang kinuha ng mga bisita? ;26
Ayon sa nutritional na impormasyon nito, ang isang supot ng chips ay may 250 calories sa bawat paglilingkod. Kung ang isang 300g na bag ay may 5 porsiyon, ilang gramo ang maaari mong kainin kung ang iyong pang-araw-araw na calorie target ay 2000 at nakain ka na ng 1800 calories? ;48
Gusto ni Charlie na magbenta ng mga kandila na gawa sa butil. Sa bawat kilo ng butil ng bubuyog, makagawa siya ng 10 tapered na kandila. Ang isang libra ng beeswax at ang mga wick ay nagkakahalaga ng $10.00 bilang mga suplay. Kung ibinebenta niya ang bawat kandila sa halagang $2.00 bawat isa, ano ang kaniyang netong kita kung gumawa at magbenta siya ng 20 kandila? ;20
Si Meredith ay isang freelance blogger na sumusulat tungkol sa mga paksa sa kalusugan at nagpapasumite sa mga kliyente araw-araw bilang kanyang permanenteng trabaho. Ang isang artikulo sa blog ay tumatagal ng average na 4 oras upang magsaliksik at magsulat tungkol dito. Noong nakaraang linggo, siya ay sumulat ng 5 artikulo sa Lunes at 2/5 na beses na mas maraming artikulo sa Martes kaysa sa Lunes. Noong Miyerkules, doble ang bilang ng mga artikulo na isinulat niya noong Martes. Kalkulahin ang kabuuang bilang ng oras na ginugol niya sa pagsulat ng mga artikulo sa loob ng tatlong araw. ;104
"Naglagay si Candice ng 80 post-it na sulat sa kaniyang pitaka bago siya umalis para sa trabaho niya sa coffee shop. Sa kaniyang daan, tumigil siya sa tindahan at bumili ng isang pakete ng Post-it notes; Sa trabaho, inilagay niya ang isang Post-it note sa bawat isa sa 220 iba't ibang tasa ng kape. Kung may 23 post-it na sulat na natitira sa kabuuan, ilan ang mga post-it na sulat sa pakete na binili niya? ";163
Dalawang beses nang marami ang binibili ni John na pulang kurbata kaysa asul na kurbata. Ang pulang kurbata ay nagkakahalaga ng 50% na mas mahal kaysa asul na kurbata. Naggasto siya ng $200 sa mga asul na kurbata na nagkakahalaga ng $40 bawat isa. Magkano ang ginugol niya sa mga kurbata? ;800
