question;answer_number
Janetiny kačice kladú 16 vajec denne. Každé ráno na raňajky zje tri a každý deň peče muffiny pre svojich priateľov so štyrmi. Zvyšok predáva na trhu za 2 doláre za každé čerstvé kačacie vajce. Koľko dolárov zarába každý deň na trhu? ;18
Na plášť sú potrebné 2 šrouby modrých vlákien a polovica bielej vlákniny. Koľko skrutky to bude trvať? ;3
Josh sa rozhodne skúsiť prevrátiť dom. Kúpi dom za 80 000 dolárov a potom vloží 50 000 dolárov do oprav. To zvýšilo hodnotu domu o 150%. Koľko ziskov mal? ;70000
James sa rozhodol, že bude bežať tri krát do týždňa. Beží 60 metrov na sprint. Koľko metrov beží za týždeň? ;540
Každý deň Wendi kŕmi každé z jej kurčiat tromi šálkami zmiešaného kurčiatkeho krmiva, ktoré obsahuje semená, jedlé červy a zeleninu, aby im pomohlo udržať sa zdravé. Kŕmi kurčatá tromi samostatnými jedlami. Ráno dáva svému stádu kurčiat 15 šálok krmiva. Odpoludnia dáva svojim kurčatám ďalších 25 šálok krmiva. Koľko šálok krmiva potrebuje dať svojim kurčatám pri poslednom jedle dňa, ak veľkosť Wendinej flotily je 20 kurčiat? ;20
Kylar šiel do obchodu kúpiť okuliare pre jeho nový byt. Jedna pohárka stojí 5 dolárov, ale každá druhá pohárka stojí len 60% ceny. Kylar chce kúpiť 16 pohárov. Koľko za ne musí zaplatiť? ;64
Toulouse má dvakrát toľko oviec ako Charleston. Charleston má 4 krát viac oviec ako Seattle. Koľko oviec majú Toulouse, Charleston a Seattle spolu, ak má Seattle 20 oviec? ;260
Carla si stiahne 200 GB súbor. Normálne môže stiahnuť 2 GB/minútu, ale 40% cesty cez stiahnutie, Windows núti restart na inštaláciu aktualizácií, čo trvá 20 minút. Potom Carla musí restartovať sťahovanie od začiatku. Koľko času trvá stiahnutie súboru? ;160
John jazdí tri hodiny rýchlosťou 60 mph a potom sa otočí, pretože si uvedomuje, že zabudol doma niečo veľmi dôležité. Snaží sa dostať domov za 4 hodiny, ale prvé 2 hodiny strávi v dopravnej zápche. Nasledujúce polhodinu strávi jazdením rýchlosťou 30 míľ za hodinu, predtým, ako bude schopný jazdiť zvyšok 4 hodín rýchlosťou 80 míľ za hodinu. Ako ďaleko je od domova po tých 4 hodinách? ;45
Eliza si za prvých 40 hodín, ktoré pracuje každý týždeň, platí 10 dolárov za hodinu. Okrem toho dostáva za nadčasy 1,2 násobok svojej bežnej hodinovej mzdy. Ak Eliza pracovala tento týždeň 45 hodín, koľko zarobí tento týždeň? ;460
Nový program mal 60 stiahnutí v prvom mesiaci. Počet sťahovaní v druhom mesiaci bol trikrát vyšší ako v prvom mesiaci, ale potom sa znížil o 30% v treťom mesiaci. Koľko stiahnutí mal program za tri mesiace? ;366
Toula išla do pekárne a kúpila rôzne druhy pečiva. Kúpila 3 tucty šišiek, ktoré stáli 68 dolárov za tuct, 2 tucty mini cupcakes, ktoré stáli 80 dolárov za tuct a 6 tuctov mini cheesecakes za 55 dolárov za tuct. Koľko to stálo? ;694
Carlos sadí citrónový strom. Strom bude stáť 90 dolárov. Každý rok z neho vyrastie 7 citrónov, ktoré môže predávať za 1,5 dolára za jeden. Za vodu a krmivo stromu stojí 3 doláre ročne. Koľko rokov bude trvať, kým začne zarábať peniaze na citrónovom strome? ;13
Melanie je predajkyňa od dverí k dverám. Predala tretinu svojich vysávačov v zelenom dome, ďalšie 2 do červeného domu a polovicu z toho, čo zostalo v oranžovom dome. Ak Melanie má ešte 5 vysávačov, koľko ich mala na začiatku? ;18
V tanečnej triede 20 študentov bolo 20% zapísaných do súčasného tanca, 25% z ostatných zapísaných do jazzového tanca a zvyšok zapísaných do hip-hopového tanca. Koľko percent z celkového počtu študentov sa zapísali do hip-hop tanca? ;60
Obchodník si chce vybrať medzi 2 nákupnými plánmi: šperky v hodnote 5000 dolárov alebo elektronické zariadenia v hodnote 8000 dolárov. Jeho finančný poradca špekuluje, že trh s šperkami vzrastie o 2,5% zatiaľ čo trh s elektronickými zariadeniami vzrastie o 1,2% v priebehu toho istého mesiaca. Ak obchodník chce maximalizovať zisk na konci tohto mesiaca tým, že urobí voľbu, aký by to bol zisk? ;125
Dva vlaky odchádzajú z San Rafaela naraz. Začnú cestovať na západ, obaja cestujú 80 míľ. Nasledujúci deň sa vydávajú na sever, prešli 150 míľ. Akú vzdialenosť prešiel každý vlak za dva dni? ;230
Jill dostáva 20 dolárov za hodinu za vyučovanie a 30 dolárov za to, že je trénerkou roztlieskavačiek. Ak pracuje 50 týždňov v roku, 35 hodín týždenne ako učiteľka a 15 hodín týždenne ako trénerka, aký je jej ročný plat? ;57500
Claire robí 3 vaječné omelety každé ráno na raňajky. Koľko tuctov vajec zje za 4 týždne? ;7
Marissa prechádza 12 míľovou cestou. Trvalo jej hodinu prejsť prvé štyri míle, potom ďalšiu hodinu prejsť ďalšie dve míle. Ak chce, aby jej priemerná rýchlosť bola 4 míle za hodinu, akú rýchlosť (v míľach za hodinu) potrebuje na prechádzanie zostávajúcej vzdialenosti? ;6
Mám 10 litrov pomarančového nápoja, ktorý je z dvoch tretín voda a chcem ho pridať k 15 litrom ananásového nápoja, ktorý je z troch piatich vody. Ale keď ju nalievam, prelievam jeden liter pomarančového nápoja. Koľko vody je v zostávajúcich 24 litroch? ;15
Raymond a Samantha sú sesternice. Raymond sa narodil 6 rokov pred Samanthou. Raymond mal syna vo veku 23 rokov. Ak má Samantha teraz 31 rokov, pred koľkými rokmi sa narodil Raymondov syn? ;14
Billy predáva DVD. V utorok má 8 zákazníkov. Jeho prví 3 zákazníci si kúpili po jednom DVD. Jeho ďalší dvaja zákazníci si kúpili po dvoch DVD. Jeho poslední 3 zákazníci si nekupujú žiadne DVD. Koľko DVD predal Billy v utorok? ;7
Sviečka sa roztaví o 2 centimetre za každú hodinu, čo horí. Koľko centimetrov bude sviečka kratšia po horení od jednej do piatej? ;8
Kyle kúpil minuloročnú najpredávanejšiu knihu za 19,50 dolárov. To je s 25% zľavou od pôvodnej ceny. Aká bola pôvodná cena knihy? ;26
Marie si objednala jedno kuracie jedlo za 12 dolárov, 5 balení mlieka za 3 dolárov, 4 jablká za 1,50 dolárov a niekoľko krabíc pizze. Marie zaplatila celkovo 50 dolárov. Koľko krabíc pizze si objednala Marie, ak každá krabica stojí 8,50 dolárov? ;2
Miška kúpila 3 páry šortok, 3 páry nohavíc a 3 páry topánok. Jeden pár šortok stojí 16,50 dolárov. Jeden pár nohavíc stojí 22,50 dolárov a jeden pár topánok 42 dolárov. Koľko dolárov utratila Mishka za všetky tie šaty? ;243
Cynthia každý večer zje jednu porciu zmrzliny. Kúpi krabice zmrzliny s 15 porciami zmrzliny za krabicu za 4 doláre za krabicu. Po 60 dňoch, koľko utratí za zmrzlinu? ;16
Henry sa počas svojej 60 míľovej cesty na bicykli zastavil dvakrát. Prvýkrát sa zastavil po 20 míľach. Jeho druhá zastávka bola 15 míľ pred koncom cesty. Koľko míľ prešiel medzi prvou a druhou zastávkou? ;25
Gloria nakupovala topánky, keď narazila na pár topánok, ktoré jej vyhovovali. No musí si vybrať medzi topánkami a dvoma pármi vysokých podpätkov, ktoré spolu stoja o päť dolárov menej ako topánky. Ak jedna párka podpätkov stojí 33 dolárov a druhá dvojnásobok, koľko dolárov sú tie topánky? ;104
Vek Darrella a Allena je v pomere 7:11. Ak je ich celkový vek teraz 162, vypočítame Allenov vek o 10 rokov. ;109
