question;answer_number
Janet's eenden leggen 16 eieren per dag. Ze eet er elke morgen drie en maakt elke dag muffins voor haar vrienden met vier. De rest verkoopt ze dagelijks op de boerenmarkt voor twee dollar per verse eenden-ei. Hoeveel dollar verdient ze elke dag op de boerenmarkt? ;18
Een mantel heeft twee blauwe vezels nodig en de helft van die witte vezels. Hoeveel bouten is er nodig? ;3
Josh besluit een huis te proberen te omdraaien. Hij koopt een huis voor $80.000 en zet er dan $50.000 in voor reparaties. Dit verhoogde de waarde van het huis met 150%. Hoeveel winst heeft hij gemaakt? ;70000
James besluit drie keer per week drie sprints te lopen. Hij loopt 60 meter per sprint. Hoeveel meter loopt hij in totaal per week? ;540
Elke dag voedt Wendi elk van haar kippen met drie kopjes gemengd kippenvoer, met zaden, meelwormen en groenten om ze gezond te houden. Ze geeft de kippen hun voer in drie afzonderlijke maaltijden. 's Morgens geeft ze haar kuikens 15 kopjes voer. In de namiddag geeft ze haar kippen nog eens 25 kopjes voer. Hoeveel kopjes voer moet ze haar kippen geven bij de laatste maaltijd van de dag als de kudde van Wendi 20 kippen telt? ;20
Kylar ging naar de winkel om een bril te kopen voor zijn nieuwe appartement. Een glas kost 5 dollar, maar elk tweede glas kost slechts 60% van de prijs. Kylar wil 16 glazen kopen. Hoeveel moet hij ervoor betalen? ;64
Toulouse heeft twee keer zoveel schapen als Charleston. Charleston heeft vier keer zoveel schapen als Seattle. Hoeveel schapen hebben Toulouse, Charleston en Seattle samen als Seattle 20 schapen heeft? ;260
Carla downloadt een 200 GB bestand. Normaal kan ze 2 GB per minuut downloaden, maar 40% van de download dwingt Windows een herstart om updates te installeren, wat 20 minuten duurt. Dan moet Carla de download opnieuw beginnen. Hoeveel tijd kost het om het bestand te downloaden? ;160
John rijdt drie uur met een snelheid van 100 km/u en keert dan om omdat hij beseft dat hij iets heel belangrijks thuis vergeten is. Hij probeert binnen vier uur thuis te zijn, maar de eerste twee uur zit hij in het verkeer. Hij rijdt de volgende halfuur met een snelheid van 30 mph, voordat hij de resterende tijd van de 4 uur kan rijden met 80 mph. Hoe ver is hij van huis na die 4 uur? ;45
Eliza's uurloon voor de eerste 40 uur die ze elke week werkt, is $10. Zij ontvangt ook een overwerkloon van 1,2 maal haar normale uurloon. Als Eliza 45 uur heeft gewerkt, hoeveel verdient ze dan? ;460
