question;answer_number
Janets ankor lägger 16 ägg per dag. Hon äter tre till frukost varje morgon och bakar muffins för sina vänner varje dag med fyra. Hon säljer resten på bondmarknaden dagligen för två dollar per färskt ankaägg. Hur mycket i dollar tjänar hon varje dag på bondmarknaden? ;18
En kappa tar två boltar blå fiber och hälften så mycket vit fiber. Hur många bultar tar det? ;3
Josh bestämmer sig för att försöka vända ett hus. Han köper ett hus för 80 000 dollar och lägger sedan in 50 000 dollar i reparationer. Det ökade husets värde med 150%. Hur mycket vinst gjorde han? ;70000
James bestämmer sig för att springa tre sprinter tre gånger i veckan. Han springer 60 meter i varje sprint. Hur många meter springer han i veckan? ;540
Varje dag matar Wendi var och en av sina kycklingar med tre koppar blandat kycklingfoder, innehållande frön, mjölmaskar och grönsaker för att hålla dem friska. Hon ger kycklingarna tre olika måltider. På morgonen ger hon sin flock kycklingar 15 koppar mat. På eftermiddagen ger hon sina kycklingar ytterligare 25 koppar foder. Hur många koppar foder behöver hon ge sina kycklingar i dagens sista måltid om Wendis flock är 20 kycklingar? ;20
Kylar gick till affären för att köpa glasögon till sin nya lägenhet. Ett glas kostar fem dollar, men varje andra glas kostar bara 60 procent av priset. Kylar vill köpa 16 glas. Hur mycket behöver han betala för dem? ;64
Toulouse har dubbelt så många får som Charleston. Charleston har fyra gånger så många får som Seattle. Hur många får har Toulouse, Charleston och Seattle tillsammans om Seattle har 20 får? ;260
Carla laddar ner en 200 GB fil. Normalt kan hon ladda ner 2 GB/minut, men 40% av vägen genom nedladdningen tvingar Windows en omstart för att installera uppdateringar, vilket tar 20 minuter. Då måste Carla starta om nedladdningen från början. Hur mycket laddning tar det att ladda ner filen? ;160
John kör i tre timmar i 60 km/tim och vänder sedan om för att han har glömt något viktigt hemma. Han försöker komma hem på fyra timmar men tillbringar de första två timmarna i trafikstopp. Han kör i en halvtimme med en hastighet på 30 mph, innan han kan köra resten av de 4 timmarna med 80 mph. Hur långt är han hemifrån efter de fyra timmarna? ;45
Elisas timlön för de första 40 timmarna hon arbetar varje vecka är 10 dollar. Hon får också en övertidsersättning som är 1,2 gånger hennes vanliga timlön. Om Eliza arbetade 45 timmar i veckan, hur mycket är hennes inkomst för veckan? ;460
Ett nytt program hade 60 nedladdningar den första månaden. Antalet nedladdningar under den andra månaden var tre gånger så många som nedladdningarna under den första månaden, men minskade sedan med 30% under den tredje månaden. Hur många nedladdningar hade programmet totalt under de tre månaderna? ;366
Toula gick till bageriet och köpte olika typer av bakverk. Hon köpte 3 dussin munkar som kostade $68 per dussin, 2 dussin mini cupcakes som kostade $80 per dussin och 6 dussin mini cheesecakes för $55 per dussin. Hur mycket kostade det? ;694
Carlos planterar ett citronträd. Trädet kostar 90 dollar att plantera. Varje år växer det sju citroner, som han kan sälja för 1,5 dollar styck. Det kostar 3 dollar om året att vattna och mata trädet. Hur många år tar det innan han börjar tjäna pengar på citronträdet? ;13
Melanie är en dörr-till-dörr-försäljare. Hon sålde en tredjedel av sina dammsugare i det gröna huset, två till det röda huset och hälften av det som var kvar i det orangea huset. Om Melanie har fem dammsugare kvar, hur många hade hon då? ;18
I en dansgrupp på 20 elever var 20% inskrivna i modern dans, 25% av de återstående i jazzdans och resten i hiphop. Hur stor andel av alla elever var inskrivna i hiphop? ;60
En köpman vill välja mellan två inköpsplaner: smycken till ett värde av 5 000 dollar eller elektroniska prylar till ett värde av 8 000 dollar. Hans finansiella rådgivare spekulerar att smyckemarknaden kommer att stiga 2,5% medan den elektroniska gadgets marknaden kommer att stiga 1,2% inom samma månad. Om köpmannen vill maximera vinsten i slutet av denna månad genom att göra ett val, hur mycket vinst skulle det vara? ;125
Två tåg avgår från San Rafael samtidigt. De börjar resa västerut, båda två på en sträcka av 130 kilometer. Nästa dag reser de norrut och tar sig 150 miles. Vad är det för sträcka som varje tåg har gått på två dagar? ;230
Jill får 20 dollar i timmen för att undervisa och 30 dollar för att vara cheerleading-coach. Om hon jobbar 50 veckor om året, 35 timmar i veckan som lärare och 15 timmar i veckan som coach, vad är hennes årslön? ;57500
Claire gör en 3-äggomlett varje morgon till frukost. Hur många dussin ägg kommer hon att äta på fyra veckor? ;7
Marissa vandrar en 12 mil lång stig. Hon tog en timme att gå de första fyra milen, sen en timme till för de två närmaste. Om hon vill att hennes genomsnittshastighet skall vara 6 kilometer i timmen, vilken hastighet (i kilometer i timmen) behöver hon för att gå den återstående sträckan? ;6
Jag har 10 liter apelsindryck som är två tredjedelar vatten och jag vill lägga till det till 15 liter ananasdryck som är tre femtedelar vatten. Men när jag häller ut den, spillde jag en liter av den orangea drycken. Hur mycket vatten finns i de återstående 24 literna? ;15
Raymond och Samantha är kusiner. Raymond föddes sex år före Samantha. Raymond fick en son när han var 23. Om Samantha är 31 år gammal, hur många år sedan föddes Raymonds son? ;14
Billy säljer dvd: er. Han har åtta kunder på tisdag. Hans första tre kunder köper en DVD var. Hans nästa två kunder köper två DVD-skivor var. Hans tre senaste kunder köper inga dvd: er. Hur många DVD-skivor sålde Billy på tisdag? ;7
Ett ljus smälter med två centimeter för varje timme det brinner. Hur många centimeter kortare blir ett ljus efter att det bränts från 13:00 till 17:00? ;8
Kyle köpte förra årets bästsäljande bok för 19,50 dollar. Det här är med 25% rabatt från det ursprungliga priset. Vad var bokens ursprungliga pris? ;26
