question;answer_number
Bebek Janet bertelur 16 kali sehari. Dia makan tiga untuk sarapan setiap pagi dan membuat muffin untuk teman-temannya setiap hari dengan empat. Sisa telur bebeknya dijual di pasar petani setiap hari seharga $2 per telur bebek segar. Berapa banyak uang yang dia hasilkan setiap hari di pasar petani? ;18
Sebuah jubah membutuhkan 2 bolt serat biru dan setengah serat putih. Berapa banyak baut total yang dibutuhkan? ;3
Josh memutuskan untuk mencoba membalik sebuah rumah. Dia membeli rumah seharga $80.000 dan kemudian memasukkan $50.000 untuk perbaikan. Ini meningkatkan nilai rumah sebesar 150%. Berapa banyak keuntungan yang dia hasilkan? ;70000
James memutuskan untuk menjalankan 3 sprint 3 kali seminggu. Dia berlari 60 meter setiap sprint. Berapa total meter yang dia jalankan seminggu? ;540
Setiap hari, Wendi memberi makan masing-masing ayamnya tiga cangkir campuran makanan ayam, yang mengandung biji, cacing dan sayuran untuk membantu menjaga kesehatan mereka. Dia memberi makan ayam dalam tiga kali makan. Di pagi hari, dia memberi 15 cangkir makanan kepada kawanan ayamnya. Pada sore hari, ia memberi ayamnya 25 cangkir makanan lagi. Berapa banyak cangkir makanan yang perlu dia berikan kepada ayamnya pada makan terakhir hari itu jika ukuran kawanan Wendi adalah 20 ayam? ;20
Kylar pergi ke toko untuk membeli kacamata untuk apartemennya yang baru. Satu gelas seharga $5, tapi setiap gelas kedua hanya 60% dari harga. Kylar ingin membeli 16 gelas. Berapa banyak yang dia perlu bayar untuk mereka? ;64
Toulouse memiliki dua kali lebih banyak domba dari Charleston. Charleston memiliki 4 kali lebih banyak domba dari Seattle. Berapa banyak domba yang dimiliki Toulouse, Charleston, dan Seattle jika Seattle memiliki 20 ekor domba? ;260
Carla sedang mengunduh file 200 GB. Biasanya dia bisa mengunduh 2 GB/menit, tapi 40% dari jalan melalui download, Windows memaksa restart untuk menginstal pembaruan, yang membutuhkan waktu 20 menit. Lalu Carla harus memulai download dari awal. Berapa banyak beban yang dibutuhkan untuk mengunduh file? ;160
John mengemudi selama 3 jam dengan kecepatan 60 mph dan kemudian berbalik karena dia menyadari dia lupa sesuatu yang sangat penting di rumah. Dia mencoba pulang dalam 4 jam tapi menghabiskan 2 jam pertama di jalan macet. Dia menghabiskan setengah jam berikutnya mengemudi dengan kecepatan 30mph, sebelum mampu mengemudi sisa waktu 4 jam dengan kecepatan 80mph. Seberapa jauh dia dari rumah di akhir 4 jam itu? ;45
Tarif per jam Eliza untuk 40 jam pertama ia bekerja setiap minggu adalah $ 10. Ia juga menerima upah lembur 1,2 kali lipat dari upah per jamnya. Jika Eliza bekerja selama 45 jam minggu ini, berapa banyak penghasilan untuk minggu ini? ;460
Program baru memiliki 60 download di bulan pertama. Jumlah download di bulan kedua tiga kali lebih banyak dari yang di bulan pertama, tetapi kemudian berkurang 30% di bulan ketiga. Berapa banyak download program ini selama tiga bulan? ;366
Toula pergi ke toko roti dan membeli berbagai jenis kue. Dia membeli 3 lusin donat yang harganya $ 68 per lusin, 2 lusin cupcake mini yang harganya $ 80 per lusin, dan 6 lusin cheesecake mini seharga $ 55 per lusin. Berapa total biayanya? ;694
Carlos menanam pohon lemon. Pohon itu akan menelan biaya $90 untuk ditanam. Setiap tahun, ia akan menanam 7 buah lemon, yang bisa dijual seharga $1,5 per buah. Biaya $3 setahun untuk menyiram dan memberi makan pohon. Berapa tahun lagi dia akan mulai menghasilkan uang dari pohon lemon? ;13
Melanie adalah seorang penjual pintu-ke-pintu. Dia menjual sepertiga dari penyedot debu di rumah hijau, 2 lagi ke rumah merah, dan setengah dari apa yang tersisa di rumah oranye. Jika Melanie memiliki 5 vacuum cleaner yang tersisa, berapa banyak yang dia mulai dengan? ;18
Dalam kelas tarian 20 siswa, 20% terdaftar dalam tarian kontemporer, 25% dari sisanya terdaftar dalam tarian jazz, dan sisanya terdaftar dalam tarian hip-hop. Berapa persen dari seluruh siswa yang mendaftar di tarian hip-hop? ;60
Seorang pedagang ingin membuat pilihan pembelian antara 2 rencana pembelian: perhiasan senilai $ 5.000 atau gadget elektronik senilai $ 8.000. Penasihat keuangannya berspekulasi bahwa pasar perhiasan akan naik 2,5% sementara pasar gadget elektronik akan naik 1,2% dalam bulan yang sama. Jika pedagang mencari untuk memaksimalkan keuntungan pada akhir bulan ini dengan membuat pilihan, berapa banyak keuntungan ini akan? ;125
Dua kereta meninggalkan San Rafael pada saat yang sama. Mereka mulai melakukan perjalanan ke arah barat, keduanya melakukan perjalanan sejauh 80 mil. Hari berikutnya, mereka melakukan perjalanan ke utara, mencakup 150 mil. Berapa jarak yang ditempuh oleh setiap kereta dalam dua hari? ;230
Jill dibayar $20 per jam untuk mengajar dan $30 untuk menjadi pelatih cheerleader. Jika dia bekerja 50 minggu setahun, 35 jam seminggu sebagai guru dan 15 jam seminggu sebagai pelatih, berapa gaji tahunan? ;57500
Claire membuat 3 telur omelet setiap pagi untuk sarapan. Berapa banyak lusinan telur yang akan dia makan dalam 4 minggu? ;7
