question;answer_number
Janetiny kachny kladou 16 vajec denně. Každé ráno jí tři na snídani a peče muffiny pro své kamarády každý den se čtyřmi. Zbytek prodává na farmářském trhu denně za dva dolary za jedno čerstvé kachní vejce. Kolik vydělává na farmářském trhu? ;18
Na šatník stačí 2 šrouby modrého vlákna a polovina toho bílého. Kolik šroubů to dohromady vyžaduje? ;3
Josh se rozhodne zkusit převrátit dům. Koupil dům za 80 000 dolarů a pak dal 50 000 dolarů na opravy. To zvýšilo hodnotu domu o 150%. Kolik vydělal? ;70000
James se rozhodne běhat 3 sprinty 3x týdně. Utíká 60 metrů na sprint. Kolik metrů běží za týden? ;540
Každý den Wendi krmí každé ze svých kuřat třemi šálky směsi krmiva pro kuřata, obsahující semena, žížaly a zeleninu, aby byla zdravá. Krmí kuřata třikrát. Ráno dává svému hejnu kuřat 15 šálků krmiva. Odpoledne dává svým kuřatům dalších 25 šálků krmiva. Kolik šálků krmiva potřebuje dát svým kuřatům při posledním jídle dne, pokud je velikost Wendiina stáda 20 kuřat? ;20
Kylar šel do obchodu koupit brýle na nový byt. Jedna sklenice stojí 5 dolarů, ale každá druhá sklenice stojí jen 60% ceny. Kylar chce koupit 16 sklenic. Kolik za ně musí zaplatit? ;64
Toulouse má dvakrát tolik ovcí jako Charleston. Charleston má čtyřikrát víc ovcí než Seattle. Kolik ovcí mají Toulouse, Charleston a Seattle dohromady, pokud Seattle má 20 ovcí? ;260
Carla stahuje 200 GB soubor. Obvykle může stáhnout 2 GB/min, ale 40% cesty přes stažení, Windows nutí restart na instalaci aktualizací, což trvá 20 minut. Pak Carla musí restartovat stahování od začátku. Jak dlouho trvá stažení souboru? ;160
John jezdí 3 hodiny rychlostí 60 mil za hodinu a pak se otočí, protože si uvědomí, že zapomněl něco velmi důležitého doma. Snaží se dostat domů za 4 hodiny, ale první 2 hodiny stráví v zácpě. Další půl hodiny jezdí rychlostí 30mph, než bude schopen jet zbývající 4 hodiny rychlostí 80mph. Jak daleko je od domova na konci těch 4 hodin? ;45
Eliza si za prvních 40 hodin, které pracuje, platí 10 dolarů za hodinu. Za přesčasy také dostává 1,2násobek své běžné hodinové mzdy. Pokud Eliza pracovala 45 hodin tento týden, kolik za tento týden vydělá? ;460
Nový program měl 60 stažení v prvním měsíci. Počet stažení ve druhém měsíci byl třikrát vyšší než počet stažení v prvním měsíci, ale pak se snížil o 30% ve třetím měsíci. Kolik bylo staženého programu za tři měsíce? ;366
Toula šla do pekárny a koupila různé druhy pečiva. Koupila 3 tucty koblih, které stály 68 dolarů za tucet, 2 tucty mini cupcakes, které stály 80 dolarů za tucet, a 6 tuctů mini cheesecakes za 55 dolarů za tucet. Kolik to všechno stálo? ;694
Carlos zasadí citronový strom. Strom bude stát 90 dolarů. Každý rok z něj vyroste sedm citronů, které může prodat za 1,5 dolaru za kus. Za vodu a krmení stromu stojí 3 dolary ročně. Kolik let mu bude trvat, než začne vydělávat na citronovém stromě? ;13
Melanie je prodavačka od dveří k dveřím. Třetinu svých vysavačů prodala zelenému domu, další dva červenému a polovinu zbylého v oranžovém domě. Pokud Melanie má 5 vysavačů, kolik jich měla na začátku? ;18
Ve třídě tance 20 studentů, 20% zapsáno do současného tance, 25% zbylých zapsáno do jazzového tance, a zbytek zapsáno do hip-hopového tance. Kolik procent všech studentů se zapsálo do hip-hopového tance? ;60
Obchodník si chce vybrat mezi dvěma nákupními plány: šperky v hodnotě 5000 dolarů nebo elektronické přístroje v hodnotě 8000 dolarů. Jeho finanční poradce předpokládá, že trh s šperky vzroste o 2,5%, zatímco trh s elektronickými zařízeními vzroste o 1,2% během téhož měsíce. Pokud by obchodník chtěl maximalizovat zisk na konci tohoto měsíce tím, že udělá volbu, jak velký by to byl zisk? ;125
Dva vlaky odjíždějí ze San Rafaela ve stejnou dobu. Začínají cestovat na západ, oba cestují 80 mil. Další den se vydávají na sever, a překonají 240 km. Jakou vzdálenost projel každý vlak za dva dny? ;230
Jill dostává 20 dolarů za hodinu za vyučování a 30 dolarů za to, že je trenérkou roztleskávaček. Když pracuje 50 týdnů v roce, 35 hodin týdně jako učitelka a 15 hodin týdně jako trenérka, kolik je její roční plat? ;57500
Claire dělá každé ráno na snídani omeletu se třemi vejci. Kolik tuctů vajec bude jíst za 4 týdny? ;7
Marissa je na pěší cestě dlouhé 12 mil. Trvalo jí hodinu, než prošla první 4 míle, pak další hodinu, než prošla další dvě míle. Pokud chce, aby její průměrná rychlost byla 4 míle za hodinu, jakou rychlost (v mílích za hodinu) potřebuje k procházce zbývající vzdálenosti? ;6
Mám 10 litrů pomerančového nápoje, který je dvě třetiny vody a chci ho přidat k 15 litrům ananasového nápoje, který je tři pětiny vody. Ale když to nalévám, rozlitím jeden litr pomerančového nápoje. Kolik vody je v zbývajících 24 litrech? ;15
Raymond a Samantha jsou bratranci. Raymond se narodil 6 let před Samanthou. Raymond měl syna ve věku 23 let. Pokud je teď Samanthě 31, před kolika lety se narodil Raymondův syn? ;14
Billy prodává DVD. V úterý má osm zákazníků. Jeho první tři zákazníci si každý koupí jedno DVD. Jeho další dva zákazníci si každý koupí dvě DVD. Jeho poslední tři zákazníci si nekupují DVD. Kolik DVD prodal Billy v úterý? ;7
Svěčka se roztaví o 2 centimetry za každou hodinu, co hoří. Kolik centimetrů bude svíčka kratší, když bude hořet od 13:00 do 17:00? ;8
Kyle koupil loňskou nejprodávanější knihu za 19,50 dolarů. To je s 25% slevou od původní ceny. Jaká byla původní cena knihy? ;26
Marie si objednala kuřecí jídlo za 12 dolarů, 5 balení mléka za 3 dolary, 4 jablka za 1,50 dolaru a pár krabic pizzy. Marie zaplatila celkem 50 dolarů. Kolik krabic pizzy si Marie objednala, když každá krabice stojí 8,50 dolaru? ;2
Míška si koupil 3 páry šortek, 3 páry kalhot a 3 páry bot. Jeden pár šortek stojí 16,50 dolarů. Jeden pár kalhot stojí 22,50 dolarů a jeden pár bot stojí 42 dolarů. Kolik dolarů utratil Mishka za všechny ty šaty? ;243
Cynthia jí jednu porci zmrzliny každý večer. Koupí krabice zmrzliny s 15 porcemi zmrzliny za cenu 4 dolarů za krabici. Po 60 dnech, kolik utratí za zmrzlinu? ;16
Henry se dvakrát zastavil během své 60 mil dlouhé jízdy na kole. Zastavil se po 20 mílích. Jeho druhá zastávka byla 15 mil před koncem cesty. Kolik kilometrů cestoval mezi první a druhou zastávkou? ;25
Gloria nakupuje boty, když narazí na pár bot, které jí vyhovují. Nicméně si musí vybrat mezi botami a dvěma páry vysokých podpatků, které spolu stojí o pět dolarů méně než boty. Když stojí jeden pár bot 33 dolarů a druhý dvojnásobek, kolik dolarů jsou boty? ;104
Věk Darrella a Allena je v poměru 7:11. Pokud je jejich souhrnný věk 162 let, vypočítejte Allenův věk za 10 let. ;109
Gunter se snaží spočítat želé v džbánu. Zeptá se svých přátel, kolik jich je v té sklenici. Jeden říká 80. Další říká, že 20 je víc než půlka první. Třetí říká o 25% víc než první. Jaký je jejich průměrný odhad? ;80
John se stará o deset psů. Každý pes tráví půl hodiny denně na procházce a na péči o své záležitosti. Kolik hodin týdně tráví péčí o psy? ;35
Gretchen má 110 mincí. Je tam o 30 zlatých mincí víc než stříbrných. Kolik zlatých mincí má Gretchen? ;70
Siobhan má o dva drahokamy méně než Aaron. Aaron má o 5 drahokamů víc než polovina Raymondových. Pokud má Raymond 40 šperků, kolik jich má Siobhan? ;23
Mike hraje ping pong 40 minut. V prvních 20 minutách, získal 4 body. V dalších 20 minutách získal o 25% více bodů. Kolik bodů si celkově získal? ;9
Terry jí dva jogurty denně. V současné době jsou na prodej za 4 jogurty za 5 dolarů. Kolik utratí za jogurt za 30 dní? ;75
John plánuje prodat všechny své hračky a použít peníze na nákup videoher. Má 13 Lego setů a prodává je za 15 dolarů za kus. Nakonec koupí 8 videoher za 20 dolarů za kus a zbývá mu 5 dolarů. Kolik Lego má ještě? ;2
John běhá 100 km týdně. Běhá 3 dny v týdnu. První den běhá tři hodiny a další dva dny jen polovinu. Jak rychle běží? ;10
Dana může běhat čtyřikrát rychleji, než může chodit, ale může skákat rychlostí, která je poloviční rychlosti, kterou může běhat. Pokud dokáže skákat rychlostí 3 míle za hodinu, kolik kilometrů může cestovat za 6 hodin, když stráví třetinu času běháním a dvě třetiny chůze? ;18
Brandonův iPhone je čtyřikrát starší než Benův. Benův iPhone je dvakrát starší než Suzyin iPhone. Pokud je Suzyho iPhone starý rok, jak starý je Brandonův iPhone? ;8
Velký drak, Perg, seděl vysoko na vrcholu hory Farbo, dýchal oheň na cokoliv v vzdálenosti 1000 stop. Polly mohla hodit zlaté kopí, jedinou známou zbraň, která mohla draka srazit, na vzdálenost 400 stop, do dosahu plamenů draka. Ale když Polly držela ten safírový drahokam, mohla hodit kopí třikrát dál, než když drahokam nedržela. Pokud drží drahokam, jak daleko mimo dosah plamenů draka může Polly stát a stále udeřit draka zlatým kopím? ;200
Babička Jonesová upekla pět jablečných koláčů na požární oběd. Každou z nich rozsekla na osm kusů a pět koláčů položila na stůl, aby si je hosté mohli podávat sami. Na konci večera, poté, co si hosté vzali a snědli své kousky koláče, zbylo 14 kusů koláče. Kolik kusů si hosté vzali? ;26
Podle výživových údajů má pytel hranolků 250 kalorií na porci. Pokud má 300g sáček 5 porcí, kolik gramů můžete sníst, pokud je váš denní cíl kalorií 2000 a vy už jste spotřebovali 1800 kalorií? ;48
Charlie chce prodávat svíčky z včelího vosku. Za každý kilo včelího vosku může vyrobit 10 kulatých svíček. Půl kila včelího vosku a klín stojí 10 dolarů. Pokud prodá každou svíčku za 2 dolary, jaký je jeho čistý zisk, když vyrobí a prodá 20 svíček? ;20
