question;answer_number
जेनेटक बतख प्रतिदिन १६ टा अण्डा दैत अछि। ओ प्रातःकाल तीनटा भोजन करैत अछि आ चारिटा संग अपन मित्र सभक लेल मफिन बनबैत अछि। ओ शेष भागकेँ किसानक बजारमे प्रतिदिन २ डॉलर प्रति ताजा बतख अण्डामे बेचि दैत अछि। ओ बजारमे प्रति दिन कतेक कमाइ करैत अछि? ;18
एक रोबक लेल नीला रेशाक २ बोल्ट आ आधा से बेसी सफेद रेशाक आवश्यकता होइत अछि। कुलमे कतेकटा बोल्ट लगैत अछि? ;3
जोश एकटा घर उड़ाबय के कोशिश करय के फैसला करैत अछि. ओ ८०,००० डॉलर मे घर खरीदैत अछि आ फेर मरम्मत मे ५०,००० डॉलर खर्च करैत अछि। एहि सं घरक मूल्य 150% बढ़ि गेल. ओ कतेक लाभ केलक? ;70000
जेम्स सप्ताहमे तीन बेर तीनटा दौड़ दौड़बाक निर्णय केलक। ओ प्रत्येक स्प्रिंटमे ६० मीटर दौड़ैत अछि। ओ एक सप्ताहमे कते मीटरक दूरी चलैत अछि? ;540
प्रत्येक दिन, वेंडी अपन प्रत्येक मुर्गाकेँ तीन कप मिश्रित मुर्गाक भोजन खुवा दैत छथि, जाहिमे बीज, आटाक कीड़ा आ तरकारी रहैत अछि जाहिसँ ओ स्वस्थ रहैत अछि। ओ मुर्गा सभकेँ तीन बेर भोजन कराएत अछि। भोरमे ओ अपन मुर्गाक झुण्डकेँ १५ कप चारा दैत अछि। दोपहर मे ओ अपन मुर्गा सभ केँ २५ कप भोजन दैत अछि। ओ अपन मुर्गाकेँ दिनक अन्तिम भोजनमे कते कप भोजन देबए चाहैत अछि जँ वेंडीक झुण्डक आकार २० मुर्गाक अछि? ;20
काइलर अपन नवका अपार्टमेंटक लेल चश्मा किनबाक लेल दोकानपर गेल छल। एक गिलासक कीमत ५ डॉलर अछि, मुदा प्रत्येक दोसर गिलासक कीमत मात्र ६०% अछि। काइलर १६ टा गिलास खरीदए चाहैत अछि। हुनका हुनका सभक लेल कतेक भुगतान करए पड़त? ;64
चार्लस्टनसँ दोबर भेँड़ा टूलूजक अछि। चार्लस्टन मे सिएटल सँ चारि गुना बेसी भेँड़ा अछि। यदि सिएटल मे २० टा भेड़ अछि, तँ टुलूस, चार्लस्टन आ सिएटल मे एक साथ कते टा भेड़ अछि? ;260
कार्ला २०० जीबीक फाइल डाउनलोड कऽ रहल अछि. सामान्य रूप सँ ओ 2 जीबी/मिनट डाउनलोड कऽ सकैत अछि, मुदा डाउनलोड के 40% रास्ता मे, विंडोज अपडेट केँ इंस्टॉल करबाक लेल रीस्टार्ट केँ मजबूर करैत अछि, जकरा लेल 20 मिनट लगैत अछि। तखन कार्ला केँ डाउनलोड केँ शुरू सँ फेर आरंभ करबाक चाही. फाइल डाउनलोड करबा मे कतेक भार लगैत अछि? ;160
जॉन ३ घण्टाक लेल ६० मील प्रतिघंटाक गतिसँ गाडी चलाबए लगैत अछि आ फेर घुमए लगैत अछि किएक तँ ओ बुझैत अछि जे ओ घरमे किछु बहुत महत्वपूर्ण चीज बिसरि गेल अछि। ओ चारि घंटा मे घर पहुँचबाक कोशिश करैत अछि मुदा पहिल दू घंटा ओ जाममे व्यतीत करैत अछि। ओ अगिला आधा घण्टा ३० मील प्रतिघंटाक गतिसँ गाडी चलाबएमे खर्च करैत अछि, ४ घण्टाक शेष समय ८० मील प्रतिघंटाक गतिसँ चलाबएमे सक्षम होएबासँ पहिने। ओ चारि घण्टाक अंतमे घरसँ कतेक दूर अछि? ;45
एलिजाक प्रति घंटाक दर पहिल ४० घण्टाक लेल ओ हरेक सप्ताह १० डॉलरक काज करैत अछि। ओ ओभरटाइमक भुगतान सेहो पाबैत अछि जे ओकर नियमित घण्टाक दरसँ 1.2 गुना अछि। एलिजा एहि सप्ताह 45 घंटा काज केलक, एहि सप्ताह हुनकर कमाई कतेक अछि? ;460
पहिल महिनामे एकटा नव कार्यक्रम ६० टा डाउनलोड भेल छल। दोसर मासमे डाउनलोडक संख्या पहिल मासमे डाउनलोडक संख्यासँ तीन गुणा बेसी छल, मुदा तेसर मासमे 30% कम भेल। तीन मास मे ई प्रोग्राम कते डाउनलोड भेल? ;366
तुलिया बेकरीमे गेल आ विभिन्न प्रकारक पेस्ट्री खरीदलक। ओ ३ दर्जन डोनट खरीदलक जकरा प्रति दर्जन ६८ डॉलर, २ दर्जन मिनी कपकेक जकरा प्रति दर्जन ८० डॉलर, आ ६ दर्जन मिनी चीजकेक प्रति दर्जन ५५ डॉलरमे खरिद केलक। कुल खर्च कतेक छल? ;694
