question;answer_number
Janet ཀྱི་བྱ་མོ་ཚོས་ཉིན་རེར་སྒོ་ང་ ༡༦ ཙམ་རེ་རྒྱག་གི་ཡོད། ཉིན་ལྟར་སྔ་དྲོ་ཟས་ཀྱི་ཐོག་ནས་གསུམ་ཟ་བ་དང་ ཉིན་རེར་བཞི་ཙམ་གྱི་དུས་སུ་རང་གི་གྲོགས་པོ་རྣམས་ལ་བག་ལེབ་བཟོས་ཀྱི་ཡོད། ཉིན་རེར་ཉོ་ཚོང་བྱེད་སའི་ཚོང་ཁང་དུ་ཉོ་རྒྱུ་ཡོད་པ་རེད། ཉིན་རེར་ཚོང་ཁང་ནས་མོ་ལ་དངུལ་སྒོར་ག་ཚོད་ཐོབ་ཀྱི་ཡོད་དམ། ;18
གོས་གོས་ཀྱི་ནང་རས་སྔོན་པོ་གཉིས་དང་དཀར་པོ་ཕྱེད་ཀ་ཙམ་བེད་སྤྱོད་བྱེད་ཆོག བསྡོམས་ཀྱིས་སྒྲོམ་ལ་སྒྲོམ་ཇི་ཙམ་དགོས་སམ། ;3
ཇོ་ཤིས་ཁང་པ་ཞིག་ཉོ་རྒྱུའི་ཐག་གཅོད་བྱས་པ། ཁོང་ཚོས་ཁྱིམ་ཞིག་སྒོར་ ༨༠,༠༠༠ ལ་ཉོས་པ་དང་། དེ་རྗེས་སྒོར་ ༥༠,༠༠༠ ལ་ཉམས་གསོ་བྱེད་དུ་བཏང་། འདི་གིས་ཁྱིམ་གྱི་རིན་གོང་བརྒྱ་ཆ་ ༡༥༠ ཙམ་ཡར་འཕར་བཏང་ཡོད། ཁོང་གིས་ཁེ་སང་ག་ཚོད་ཐོབ་པ་ཡིན་ནམ། ;70000
ཇེམ་སིས་དུས་ཡུན་ཆུ་ཚོད་གསུམ་ལ་ཉིན་རེར་ཆུ་ཚོད་གསུམ་ལ་རྒྱུགས་རྒྱུགས་ཀྱི་རེད། ཁོ་ནི་རྒྱུགས་ཚད་རེར་མི་ཊར་ ༦༠ རྒྱུགས་ཀྱི་ཡོད། ཁོང་རེ་བཞིན་མི་ཊར་ག་ཚོད་རྒྱུགས་ཀྱི་ཡོད་དམ། ;540
ཉིན་རེར་ཝེན་ཌི་ཡིས་བྱ་ཕྲུག་རེ་རེར་ཤ་སྣ་ཚོགས་ཕོར་པ་གསུམ་རེ་སྤྲད་ཅིང་། ནང་གི་ནང་ལ་སོན་དང་། ཤ་འབུ་དང་སྔོ་ཚལ་སོགས་ཡོད་པས་དེ་དག་འཕྲོད་བསྟེན་དུ་གནས་ཐུབ་ཀྱི་འདུག མོ་གིས་བྱ་ཚོར་ཟས་དེ་ཐེངས་གསུམ་ལ་སྟེར་གྱི་འདུག ཞོགས་པར་མོ་གིས་བྱ་ཁྱུ་ལ་ཤ་ཕོར་ ༡༥ བྱིན་གྱི་ཡོད། ཉིན་རྒྱབ་རན་སྐབས་མོས་བྱ་ཚོར་ཤ་ཕོར་ ༢༥ ཙམ་སྤྲད་ཀྱི་ཡོད། ཝེན་ཌི་ཡི་ཁྱུ་ཚོགས་ནང་བྱ་ཆ་ ༢༠ ཡོད་ན། ཉིན་རེའི་ཟས་ཀྱི་མཐའ་མའི་དུས་སྟོན་ལ་མོ་ཡིས་བྱ་ཆ་ག་ཚོད་ཟ་དགོས་སམ། ;20
ཀ་ལ་ནི་ཚོང་ཁང་ཞིག་ཏུ་ཁང་གསར་གྱི་ཆེད་དུ་མིག་ཆུའི་ཡོ་བྱད་ཉོ་བར་ཕྱིན་པ་རེད། ཆང་ཕོར་གཅིག་གི་རིན་གོང་ནི་ཨ་སྒོར་ ༥ ཡིན་མོད། འོན་ཀྱང་ཐེངས་གཉིས་པའི་ཆང་ཕོར་རེ་ནི་གོང་ཚད་ཀྱི་བརྒྱ་ཆ་ ༦༠ ཙམ་ལ་བགོས་པ་ཡིན། ཀ་ལ་ར་ཡིས་ཕོར་པ་ ༡༦ ཉོ་འདོད་འདུག ཁོང་གིས་དེ་རྣམས་ཀྱི་ཆེད་དུ་དངུལ་ག་ཚོད་སྤྲོད་དགོས་སམ། ;64
ཊུ་ལུའུ་སི་ (Toulouse) གྱི་ལུག་གྲངས་ནི་ཤ་ལསི་ཊོན་ (Charleston) ཀྱི་ལུག་གྲངས་ལས་ཉིས་ལྡབ་ཙམ་ཡིན། ཤ་ལསི་ཊོན་ནི་སི་ཨའི་ཊེལ་ལས་ལུག་གི་གྲངས་འབོར་ཐེངས་བཞི་མང་བ་རེད། ཊུ་ལུའུ་སི་དང་། ཅ་རེལ་སི་ཊོན་དང་། སི་ཊ་ལར་ལུག་ ༢༠ ཡོད་ན། ཁོང་ཚོར་ལུག་ག་ཚོད་ཡོད་དམ་ ;260
ཀ་ར་ལ་གློག་ཀླད་ནས་གློག་ཀླད་ 200GB ཙམ་ཕབ་ལེན་བྱེད་བཞིན་ཡོད། སྤྱིར་བཏང་རང་མོས་སྐར་མ་རེ་ལ་ 2GB ཙམ་ཕབ་ལེན་བྱེད་ཐུབ། འོན་ཀྱང་ཕབ་ལེན་གྱི་ཆ་རྐྱེན་བརྒྱ་ཆ་ ༤༠ ཙམ་ལ་ Windows གྱིས་བསྐྱར་འཛུགས་བྱེད་ནས་གསར་བསྐྲུན་བྱེད་རྒྱུ་འགོར་བ་ནི་སྐར་མ་ ༢༠ ཡིན། དེ་ནས་ཀར་ལཱ་གིས་གློག་ཀླད་དེ་ཐོག་ནས་བསྐྱར་དུ་འབྱེད་དགོས་པ་ཡིན། ཡིག་སྣོད་དེ་ཕབ་ལེན་བྱེད་སྐབས་ཁོར་ཡུག་ག་ཚོད་འགོར་བ་ཡིན་ནམ། ;160
ཇོན་གྱིས་ཆུ་ཚོད་གསུམ་རིང་ཆུ་ཚོད་ ༡༠༠ ཙམ་གྱི་མྱུར་ཚད་ལ་འཁོར་ལོ་འཁོར་ནས་ཕྱིར་ལོག་བྱས་ཏེ། ཁང་དུ་ཧ་ཅང་གལ་ཆེ་བའི་དངོས་པོ་ཞིག་བརྗེད་ཡོད་པ་ཤེས་པ་རེད། ཁོང་རང་ཆུ་ཚོད་ ༤ ནང་ཁྱིམ་དུ་འགྲོ་འདོད་ཀྱང་། ཆུ་ཚོད་ ༢ ཐོག་རང་ལམ་བཀག་སྟེ་འགྲོ་གི་འདུག ཁོང་ཆུ་ཚོད་ཕྱེད་ཙམ་རིང་ལ་ཆུ་ཚོད་གཅིག་ལ་ཆུ་ཚོད་ ༣༠ ཙམ་གྱི་མགྱོགས་ཚད་ཀྱིས་འགྲོ་དགོས་ཀྱི་ཡོད་ལ། ཆུ་ཚོད་ ༤ ཙམ་གྱི་རིང་ལ་ཆུ་ཚོད་གཅིག་ལ་ཆུ་ཚོད་ ༡༨༠ ཙམ་གྱི་མགྱོགས་ཚད་ཀྱིས་འགྲོ་ཐུབ་ཀྱི་ཡོད་འདུག ཁོང་རང་ཁྱིམ་ནས་ཆུ་ཚོད་ ༤ ཙམ་གྱི་རྗེས་ལ་ག་ཚོད་ཐག་རིང་དུ་ཡོད་དམ་ ;45
ཨེ་ལི་ཛའི་ལས་ཀ་ཐེངས་དང་པོའི་ཆུ་ཚོད་ ༤༠ གྱི་གླ་ཆ་ནི་ཨ་སྒོར་ ༡༠ ཡིན་པ་ཡིན། ཡང་མོ་ལ་ཆུ་ཚོད་གཅིག་གི་གླ་ཆ་ལས་ལྷག་གི་གླ་ཆ་ཐེངས་ ༡.༢ ཐོབ་ཡོད། གལ་ཏེ་ཨེ་ལི་ཛས་བདུན་ཕྲག་འདི་ལ་ཆུ་ཚོད་ ༤༥ ལས་ཀ་བྱས་ན། མོ་ལ་བདུན་ཕྲག་འདིའི་གླ་ཆ་ག་ཚོད་ཐོབ་ཀྱི་རེད་དམ། ;460
