question;answer_number
Janet's eenden legke 16 eiers per daag. Ze eet er elke ochtend drie en bakt muffins veur d'r vrun elke dag met vier. Ze verkoupt de rest op de boeremarkt daagliks veur 2 dollar per verse eendenei. Wieväöl dollar verdient ze eder daag op de boeremarkt? ;18
'n Robe besteit oet 2 blauwe vezels en 'n halve hoeveelheid witte vezels. Wieväöl bouln in totaal? ;3
Josh besjlisj 't te verdrieje. Hae koopt 'n huus veur $80.000 en zèt dan $50.000 in veur reparaties. Dit vergroot de waerde vaan 't huus mèt 150%. Wieväöl winst haet hae gemaak? ;70000
James besjloot drie kier per week drie sprinte te doon. Hae löp 60 meter per sprint. Wieväöl meter löp hae in totaal per week? ;540
Elke daag voed Wendi eeder van häör kiendjes drie koppe gemengde kiendjevoere, die zaode, maolworm en groente bevatte um ze gezond te hure. Ze gunt de kiendjes drie maaltijden. 's Morgens geeft ze d'r kuikens 15 kopjes voer. In de middag gief ze d'r nog 25 kopjes voer. Wieväöl koppe voer mós d'r veur de lètste maaltijd van de daag aan d'r kiendjes gegaeve weure, es de grootte van Wendi's kudde 20 kiendjes is? ;20
Kylar ging nao de winkel um bril te koume veur zien nuuje appartement. Ein glaas kost 5 dollar, meh eeder twiede glaas kost pas 60% van de prijs. Kylar wil 16 glazen kopen. Wieväöl mót heer dao veur betaole? ;64
Toulouse haet dubbel zoeväöl schaope es Charleston. Charleston haet 4 keer zoeväöl schaope es Seattle. Wieväöl schaep höbbe Toulouse, Charleston en Seattle same es Seattle 20 schaep höbbe? ;260
Carla downloadt 'n 200 GB bestand. Normaal kan ze 2 GB per minuut downloade, meh 40% vaan de download zörg Windows veur 'n herstart veur updates, wat 20 minute duurt. Dan moet Carla de download van 't begin herbeginne. Wieväöl zètte 't um 't bestand te downloade? ;160
John rijdt drie oor lang op 60 km/u en draait dan om, want hae verstaet dat hae iets belangrieks vergaet. Hae probeert in 4 oer thuus te komme, maar besteit de ierste 2 oer in 't verkeerssjtak. Hae besteit de volgende halfuur aan 'n snelheid van 30 mejl per uur, veur 't de res van de 4 oer mèt 80 mejl per uur te kónne rijde. Wie ver is ie van huus aan 't eind van die 4 uur? ;45
Eliza's tarief per uur veur de ierste 40 uur die ze elke week wèltj wèrke is $10. Ze kriegt ouch nog 1,2 keer 't uurloon veur overwerk. Es Eliza deze waek 45 oer wèrkde, wieväöl is d'r dan van deze waek? ;460
Ein nuuj programma had 60 downloads in de ierste maond. 't Aantal downloads in de twiede maond waor drie kier zoväöl es in de ierste maond, meh daonao daalde 't in de derde maond mèt 30%. Wieväöl downloads had 't programma in totaal in de drie maond? ;366
Toula ging nao de bakkerij en kocht versjèllende soorte gebak. Ze kocht 3 dozen donuts die $68 per dozen koste, 2 dozen mini cupcakes die $80 per dozen koste, en 6 dozen mini cheesecakes veur $55 per dozen. Wieväöl koste die in totaal? ;694
Carlos plant 'n citroenboum. De boum kost 90 dollar te plantje. Ieder jaor zal d'r 7 citroene groeien, die hae veur $1,5 per stuk kan verkochte. 't Kost 3 dollar per jaor um de boum te water en te voedere. Wieväöl jaor zal 't nog duie tot 't geld op de citroenboom begint te verdiene? ;13
Melanie is 'n deur-tot-deur verkoper. Ze verkocht 'n derde van d'r stofzuiger in 't groen huis, 2 meer in 't rood huis, en de helft van wat er nog in 't oranje huis bleef. Es Melanie nog 5 stofzuigers haet, wieväöl had ze toen? ;18
In 'n dansklas vaan 20 leerlinge woort 20% ingeschreve in de hedendaagse dans, 25% vaan de res in de jazzdans en de res in de hiphopdans. Wieväöl procent vaan de studente woort ingeschreve in de hiphopdans? ;60
