question;A;B;C;answer;answer_abc
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola jingga, Bob maderbe bola putih, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Bob saling gentosin bal. Raris, Bob miwah Claire saling tukaran bola. Pamuputne, Alice lan Bob saling tukar bola. Ring panguntat pacentokané, Alice madué ;bola jeruk ;bola putih ;bola biru ;bola biru ;C
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola jingga, Bob maderbe bola putih, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Bob saling gentosin bal. Raris, Bob miwah Claire saling tukaran bola. Pamuputne, Alice lan Bob saling tukar bola. Ring panguntat pacentokané, Bob madué ;bola jeruk ;bola putih ;bola biru ;bola putih ;B
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola jingga, Bob maderbe bola putih, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Bob saling gentosin bal. Raris, Bob miwah Claire saling tukaran bola. Pamuputne, Alice lan Bob saling tukar bola. Ring panguntat pacentokané, Claire madué ;bola jeruk ;bola putih ;bola biru ;bola jeruk ;A
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola selem, Bob maderbe bola barak, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Bob miwah Claire saling tukar bola. Raris, Alice miwah Bob saling tukaran bola. Pamuputne, Claire lan Bob saling tukar bola. Ring panguntat pacentokané, Alice madué ;bola biru ;bola ireng ;bola mawarna coklat ;bola biru ;A
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola selem, Bob maderbe bola barak, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Bob miwah Claire saling tukar bola. Raris, Alice miwah Bob saling tukaran bola. Pamuputne, Claire lan Bob saling tukar bola. Ring panguntat pacentokané, Bob madué ;bola biru ;bola ireng ;bola mawarna coklat ;bola mawarna coklat ;C
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola selem, Bob maderbe bola barak, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Bob miwah Claire saling tukar bola. Raris, Alice miwah Bob saling tukaran bola. Pamuputne, Claire lan Bob saling tukar bola. Ring panguntat pacentokané, Claire madué ;bola biru ;bola ireng ;bola mawarna coklat ;bola ireng ;B
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola jingga, Bob maderbe bola barak, miwah Claire maderbe bola selem. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Bob saling gentosin bal. Claire miwah Bob raris saling tukaran. Pamuputne, Alice lan Claire saling tukar bola. Ring panguntat pacentokané, Alice madué ;bola jeruk ;bola ireng ;bola abang ;bola jeruk ;A
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola jingga, Bob maderbe bola barak, miwah Claire maderbe bola selem. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Bob saling gentosin bal. Claire miwah Bob raris saling tukaran. Pamuputne, Alice lan Claire saling tukar bola. Ring panguntat pacentokané, Bob madué ;bola jeruk ;bola ireng ;bola abang ;bola ireng ;B
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola jingga, Bob maderbe bola barak, miwah Claire maderbe bola selem. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Bob saling gentosin bal. Claire miwah Bob raris saling tukaran. Pamuputne, Alice lan Claire saling tukar bola. Ring panguntat pacentokané, Claire madué ;bola jeruk ;bola ireng ;bola abang ;bola abang ;C
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola kuning, Bob maderbe bola ungu, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Claire saling tukar bola. Raris, Bob miwah Claire saling tukaran bola. Pamuputne, Alice lan Claire saling tukar bola. Ring panguntat pacentokané, Alice madué ;bola biru ;bola kuning ;bola ungu ;bola ungu ;C
Alice, Bob, miwah Claire maplalianan. Ring pangawit pacentokan, ipun sareng sami maderbe bola: Alice maderbe bola kuning, Bob maderbe bola ungu, miwah Claire maderbe bola biru. Ri tatkala maplalian, para pemain saling tukaran bola. Kapertama, Alice miwah Claire saling tukar bola. Raris, Bob miwah Claire saling tukaran bola. Pamuputne, Alice lan Claire saling tukar bola. Ring panguntat pacentokané, Bob madué ;bola biru ;bola kuning ;bola ungu ;bola kuning ;B
