question;A;B;C;answer;answer_abc
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen orangefarbenen Ball, Bob einen weißen Ball und Claire einen blauen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Alice und Bob ihre Eier aus. Dann tauschen Bob und Claire ihre Eier aus. Endlich tauschen Alice und Bob die Eier aus. Am Ende des Spiels hat Alice die ;orangefarbener Ball ;weißer Ball ;blauer Ball ;blauer Ball ;C
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen orangefarbenen Ball, Bob einen weißen Ball und Claire einen blauen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Alice und Bob ihre Eier aus. Dann tauschen Bob und Claire ihre Eier aus. Endlich tauschen Alice und Bob die Eier aus. Am Ende des Spiels hat Bob die ;orangefarbener Ball ;weißer Ball ;blauer Ball ;weißer Ball ;B
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen orangefarbenen Ball, Bob einen weißen Ball und Claire einen blauen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Alice und Bob ihre Eier aus. Dann tauschen Bob und Claire ihre Eier aus. Endlich tauschen Alice und Bob die Eier aus. Am Ende des Spiels hat Claire die ;orangefarbener Ball ;weißer Ball ;blauer Ball ;orangefarbener Ball ;A
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen schwarzen Ball, Bob einen braunen Ball und Claire einen blauen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Bob und Claire ihre Bälle aus. Dann tauschen Alice und Bob die Eier aus. Endlich tauschen Claire und Bob die Eier aus. Am Ende des Spiels hat Alice die ;blauer Ball ;schwarzer Ball ;brauner Ball ;blauer Ball ;A
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen schwarzen Ball, Bob einen braunen Ball und Claire einen blauen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Bob und Claire ihre Bälle aus. Dann tauschen Alice und Bob die Eier aus. Endlich tauschen Claire und Bob die Eier aus. Am Ende des Spiels hat Bob die ;blauer Ball ;schwarzer Ball ;brauner Ball ;brauner Ball ;C
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen schwarzen Ball, Bob einen braunen Ball und Claire einen blauen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Bob und Claire ihre Bälle aus. Dann tauschen Alice und Bob die Eier aus. Endlich tauschen Claire und Bob die Eier aus. Am Ende des Spiels hat Claire die ;blauer Ball ;schwarzer Ball ;brauner Ball ;schwarzer Ball ;B
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen orangefarbenen Ball, Bob einen roten Ball und Claire einen schwarzen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Alice und Bob ihre Eier aus. Dann tauschen Claire und Bob die Eier aus. Endlich tauschen Alice und Claire ihre Eier aus. Am Ende des Spiels hat Alice die ;orangefarbener Ball ;schwarzer Ball ;Roter Ball ;orangefarbener Ball ;A
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen orangefarbenen Ball, Bob einen roten Ball und Claire einen schwarzen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Alice und Bob ihre Eier aus. Dann tauschen Claire und Bob die Eier aus. Endlich tauschen Alice und Claire ihre Eier aus. Am Ende des Spiels hat Bob die ;orangefarbener Ball ;schwarzer Ball ;Roter Ball ;schwarzer Ball ;B
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen orangefarbenen Ball, Bob einen roten Ball und Claire einen schwarzen Ball. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Alice und Bob ihre Eier aus. Dann tauschen Claire und Bob die Eier aus. Endlich tauschen Alice und Claire ihre Eier aus. Am Ende des Spiels hat Claire die ;orangefarbener Ball ;schwarzer Ball ;Roter Ball ;Roter Ball ;C
Alice, Bob und Claire spielen ein Spiel. Zu Beginn des Spiels hält jede von ihnen einen Ball: Alice hat einen gelben Ball, Bob einen lila und Claire einen blauen. Im Laufe des Spiels tauschen sich die Spielerpaare die Bälle aus. Zuerst tauschen Alice und Claire ihre Eier aus. Dann tauschen Bob und Claire ihre Eier aus. Endlich tauschen Alice und Claire ihre Eier aus. Am Ende des Spiels hat Alice die ;blauer Ball ;gelbe Kugel ;lila Kugel ;lila Kugel ;C
