question;A;B;C;answer;answer_abc
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια πορτοκαλί μπάλα, ο Μπομπ μια λευκή μπάλα και η Κλερ μια μπλε μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Μετά ο Μπομπ και η Κλερ ανταλλάσσουν μπάλες. Τελικά, η Αλίκη και ο Μπομπ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, η 'λις έχει το ;πορτοκαλί μπάλα ;λευκή μπάλα ;μπλε μπάλα ;μπλε μπάλα ;C
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια πορτοκαλί μπάλα, ο Μπομπ μια λευκή μπάλα και η Κλερ μια μπλε μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Μετά ο Μπομπ και η Κλερ ανταλλάσσουν μπάλες. Τελικά, η Αλίκη και ο Μπομπ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, ο Μπομπ έχει το ;πορτοκαλί μπάλα ;λευκή μπάλα ;μπλε μπάλα ;λευκή μπάλα ;B
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια πορτοκαλί μπάλα, ο Μπομπ μια λευκή μπάλα και η Κλερ μια μπλε μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Μετά ο Μπομπ και η Κλερ ανταλλάσσουν μπάλες. Τελικά, η Αλίκη και ο Μπομπ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, η Κλερ έχει το ;πορτοκαλί μπάλα ;λευκή μπάλα ;μπλε μπάλα ;πορτοκαλί μπάλα ;A
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια μαύρη μπάλα, ο Μπομπ μια καφέ μπάλα και η Κλερ μια μπλε μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, ο Μπομπ και η Κλερ ανταλλάσσουν μπάλες. Μετά, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Τελικά, η Κλερ και ο Μπομπ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, η 'λις έχει το ;μπλε μπάλα ;μαύρη μπάλα ;καφέ μπάλα ;μπλε μπάλα ;A
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια μαύρη μπάλα, ο Μπομπ μια καφέ μπάλα και η Κλερ μια μπλε μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, ο Μπομπ και η Κλερ ανταλλάσσουν μπάλες. Μετά, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Τελικά, η Κλερ και ο Μπομπ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, ο Μπομπ έχει το ;μπλε μπάλα ;μαύρη μπάλα ;καφέ μπάλα ;καφέ μπάλα ;C
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια μαύρη μπάλα, ο Μπομπ μια καφέ μπάλα και η Κλερ μια μπλε μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, ο Μπομπ και η Κλερ ανταλλάσσουν μπάλες. Μετά, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Τελικά, η Κλερ και ο Μπομπ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, η Κλερ έχει το ;μπλε μπάλα ;μαύρη μπάλα ;καφέ μπάλα ;μαύρη μπάλα ;B
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια πορτοκαλί μπάλα, ο Μπομπ έχει μια κόκκινη μπάλα και η Κλερ έχει μια μαύρη μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Μετά, η Κλερ και ο Μπομπ ανταλλάσσουν μπάλες. Τελικά, η 'λις και η Κλερ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, η 'λις έχει το ;πορτοκαλί μπάλα ;μαύρη μπάλα ;κόκκινη μπάλα ;πορτοκαλί μπάλα ;A
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια πορτοκαλί μπάλα, ο Μπομπ έχει μια κόκκινη μπάλα και η Κλερ έχει μια μαύρη μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Μετά, η Κλερ και ο Μπομπ ανταλλάσσουν μπάλες. Τελικά, η 'λις και η Κλερ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, ο Μπομπ έχει το ;πορτοκαλί μπάλα ;μαύρη μπάλα ;κόκκινη μπάλα ;μαύρη μπάλα ;B
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια πορτοκαλί μπάλα, ο Μπομπ έχει μια κόκκινη μπάλα και η Κλερ έχει μια μαύρη μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, η 'λις και ο Μπομπ ανταλλάσσουν μπάλες. Μετά, η Κλερ και ο Μπομπ ανταλλάσσουν μπάλες. Τελικά, η 'λις και η Κλερ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, η Κλερ έχει το ;πορτοκαλί μπάλα ;μαύρη μπάλα ;κόκκινη μπάλα ;κόκκινη μπάλα ;C
Η Αλίκη, ο Μπομπ και η Κλερ παίζουν ένα παιχνίδι. Στην αρχή του παιχνιδιού, η Αλίκη έχει μια κίτρινη μπάλα, ο Μπομπ μια μωβ μπάλα και η Κλερ μια μπλε μπάλα. Καθώς το παιχνίδι προχωρά, ζευγάρια παικτών ανταλλάσσουν μπάλες. Πρώτα, η 'λις και η Κλερ ανταλλάσσουν μπάλες. Μετά ο Μπομπ και η Κλερ ανταλλάσσουν μπάλες. Τελικά, η 'λις και η Κλερ ανταλλάσσουν μπάλες. Στο τέλος του παιχνιδιού, η 'λις έχει το ;μπλε μπάλα ;κίτρινη μπάλα ;πορφυρή μπάλα ;πορφυρή μπάλα ;C
