question;A;B;C;answer;answer_abc
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek van egy narancssárga golyója, Bob-nak egy fehér golyója, Claire-nek pedig egy kék golyója. A játék folyamán a játékosok párban cserélnek labdát. Először Alice és Bob cserélte a golyóit. Aztán Bob és Claire cserélte a golyóit. Végre Alice és Bob cserélte a golyóit. A játék végén Alice-nek van a ;narancssárga golyó ;fehér golyó ;kék golyó ;kék golyó ;C
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek van egy narancssárga golyója, Bob-nak egy fehér golyója, Claire-nek pedig egy kék golyója. A játék folyamán a játékosok párban cserélnek labdát. Először Alice és Bob cserélte a golyóit. Aztán Bob és Claire cserélte a golyóit. Végre Alice és Bob cserélte a golyóit. A játék végén Bobé a ;narancssárga golyó ;fehér golyó ;kék golyó ;fehér golyó ;B
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek van egy narancssárga golyója, Bob-nak egy fehér golyója, Claire-nek pedig egy kék golyója. A játék folyamán a játékosok párban cserélnek labdát. Először Alice és Bob cserélte a golyóit. Aztán Bob és Claire cserélte a golyóit. Végre Alice és Bob cserélte a golyóit. A játék végén Claire-nek van a ;narancssárga golyó ;fehér golyó ;kék golyó ;narancssárga golyó ;A
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek fekete golyója van, Bobnak barna golyója van, Claire-nek pedig kék golyója. A játék folyamán a játékosok párban cserélnek labdát. Először, Bob és Claire cserélnek golyókat. Aztán Alice és Bob cserélte a golyóit. Végre, Claire és Bob cserélte a golyóit. A játék végén Alice-nek van a ;kék golyó ;fekete golyó ;barna golyó ;kék golyó ;A
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek fekete golyója van, Bobnak barna golyója van, Claire-nek pedig kék golyója. A játék folyamán a játékosok párban cserélnek labdát. Először, Bob és Claire cserélnek golyókat. Aztán Alice és Bob cserélte a golyóit. Végre, Claire és Bob cserélte a golyóit. A játék végén Bobé a ;kék golyó ;fekete golyó ;barna golyó ;barna golyó ;C
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek fekete golyója van, Bobnak barna golyója van, Claire-nek pedig kék golyója. A játék folyamán a játékosok párban cserélnek labdát. Először, Bob és Claire cserélnek golyókat. Aztán Alice és Bob cserélte a golyóit. Végre, Claire és Bob cserélte a golyóit. A játék végén Claire-nek van a ;kék golyó ;fekete golyó ;barna golyó ;fekete golyó ;B
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek van egy narancssárga golyója, Bob-nak van egy piros golyója, Claire-nek pedig egy fekete golyója. A játék folyamán a játékosok párban cserélnek labdát. Először Alice és Bob cserélte a golyóit. Aztán Claire és Bob cserélte a golyóit. Végre Alice és Claire cserélte a golyóit. A játék végén Alice-nek van a ;narancssárga golyó ;fekete golyó ;piros golyó ;narancssárga golyó ;A
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek van egy narancssárga golyója, Bob-nak van egy piros golyója, Claire-nek pedig egy fekete golyója. A játék folyamán a játékosok párban cserélnek labdát. Először Alice és Bob cserélte a golyóit. Aztán Claire és Bob cserélte a golyóit. Végre Alice és Claire cserélte a golyóit. A játék végén Bobé a ;narancssárga golyó ;fekete golyó ;piros golyó ;fekete golyó ;B
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek van egy narancssárga golyója, Bob-nak van egy piros golyója, Claire-nek pedig egy fekete golyója. A játék folyamán a játékosok párban cserélnek labdát. Először Alice és Bob cserélte a golyóit. Aztán Claire és Bob cserélte a golyóit. Végre Alice és Claire cserélte a golyóit. A játék végén Claire-nek van a ;narancssárga golyó ;fekete golyó ;piros golyó ;piros golyó ;C
Alice, Bob és Claire játszik. A játék kezdetén mindegyiküknek van egy golyója: Alice-nek van egy sárga golyója, Bob-nak egy lila golyója, Claire-nek pedig egy kék golyója. A játék folyamán a játékosok párban cserélnek labdát. Először Alice és Claire cserélte a golyóit. Aztán Bob és Claire cserélte a golyóit. Végre Alice és Claire cserélte a golyóit. A játék végén Alice-nek van a ;kék golyó ;sárga golyó ;lila golyó ;lila golyó ;C
