question;A;B;C;answer;answer_abc
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة برتقالية، بوب لديها كرة بيضاء، وكلير لديها كرة زرقاء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (أليس) و (بوب) يتبادلان الكرات ثم، (بوب) و (كلير) تبادلوا الكرات أخيراً، (أليس) و (بوب) تبادلوا الكرات في نهاية اللعبة، أليس لديها ;كرة برتقالية ;كرة بيضاء ;كرة زرقاء ;كرة زرقاء ;C
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة برتقالية، بوب لديها كرة بيضاء، وكلير لديها كرة زرقاء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (أليس) و (بوب) يتبادلان الكرات ثم، (بوب) و (كلير) تبادلوا الكرات أخيراً، (أليس) و (بوب) تبادلوا الكرات في نهاية اللعبة، بوب لديه ;كرة برتقالية ;كرة بيضاء ;كرة زرقاء ;كرة بيضاء ;B
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة برتقالية، بوب لديها كرة بيضاء، وكلير لديها كرة زرقاء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (أليس) و (بوب) يتبادلان الكرات ثم، (بوب) و (كلير) تبادلوا الكرات أخيراً، (أليس) و (بوب) تبادلوا الكرات في نهاية اللعبة، كلير لديها ;كرة برتقالية ;كرة بيضاء ;كرة زرقاء ;كرة برتقالية ;A
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة سوداء، بوب لديها كرة بنية، وكلير لديها كرة زرقاء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (بوب) و (كلير) تبادلوا الكرات ثم، أليس وبوب تبادل الكرات. أخيراً، (كلير) و (بوب) تبادلوا الكرات في نهاية اللعبة، أليس لديها ;كرة زرقاء ;كرة سوداء ;كرة بنية ;كرة زرقاء ;A
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة سوداء، بوب لديها كرة بنية، وكلير لديها كرة زرقاء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (بوب) و (كلير) تبادلوا الكرات ثم، أليس وبوب تبادل الكرات. أخيراً، (كلير) و (بوب) تبادلوا الكرات في نهاية اللعبة، بوب لديه ;كرة زرقاء ;كرة سوداء ;كرة بنية ;كرة بنية ;C
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة سوداء، بوب لديها كرة بنية، وكلير لديها كرة زرقاء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (بوب) و (كلير) تبادلوا الكرات ثم، أليس وبوب تبادل الكرات. أخيراً، (كلير) و (بوب) تبادلوا الكرات في نهاية اللعبة، كلير لديها ;كرة زرقاء ;كرة سوداء ;كرة بنية ;كرة سوداء ;B
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة برتقالية، بوب لديها كرة حمراء، وكلير لديها كرة سوداء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (أليس) و (بوب) يتبادلان الكرات ثم (كلير) و (بوب) تبادلوا الكرات أخيراً، (أليس) و (كلير) تبادلوا الكرات في نهاية اللعبة، أليس لديها ;كرة برتقالية ;كرة سوداء ;كرة حمراء ;كرة برتقالية ;A
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة برتقالية، بوب لديها كرة حمراء، وكلير لديها كرة سوداء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (أليس) و (بوب) يتبادلان الكرات ثم (كلير) و (بوب) تبادلوا الكرات أخيراً، (أليس) و (كلير) تبادلوا الكرات في نهاية اللعبة، بوب لديه ;كرة برتقالية ;كرة سوداء ;كرة حمراء ;كرة سوداء ;B
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة برتقالية، بوب لديها كرة حمراء، وكلير لديها كرة سوداء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (أليس) و (بوب) يتبادلان الكرات ثم (كلير) و (بوب) تبادلوا الكرات أخيراً، (أليس) و (كلير) تبادلوا الكرات في نهاية اللعبة، كلير لديها ;كرة برتقالية ;كرة سوداء ;كرة حمراء ;كرة حمراء ;C
(أليس) و (بوب) و (كلير) يلعبون لعبة في بداية اللعبة، كل منهم يحمل كرة: أليس لديها كرة صفراء، بوب لديها كرة أرجوانية، وكلير لديها كرة زرقاء. مع تقدم اللعبة، يتبادل اللاعبون الكرات. أولاً، (أليس) و (كلير) تبادلوا الكرات ثم، (بوب) و (كلير) تبادلوا الكرات أخيراً، (أليس) و (كلير) تبادلوا الكرات في نهاية اللعبة، أليس لديها ;كرة زرقاء ;كرة صفراء ;كرة أرجوانية ;كرة أرجوانية ;C
