question;A;B;C;answer;answer_abc
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on oranssi pallo, Bobilla on valkoinen pallo ja Clairella on sininen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Bob vaihtavat pallojaan. Sitten Bob ja Claire vaihtoivat palloja. Lopulta Alice ja Bob vaihtavat palloja. Pelin lopussa Alicella on ;oranssi pallo ;valkoinen pallo ;sininen pallo ;sininen pallo ;C
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on oranssi pallo, Bobilla on valkoinen pallo ja Clairella on sininen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Bob vaihtavat pallojaan. Sitten Bob ja Claire vaihtoivat palloja. Lopulta Alice ja Bob vaihtavat palloja. Pelin lopussa Bobilla on ;oranssi pallo ;valkoinen pallo ;sininen pallo ;valkoinen pallo ;B
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on oranssi pallo, Bobilla on valkoinen pallo ja Clairella on sininen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Bob vaihtavat pallojaan. Sitten Bob ja Claire vaihtoivat palloja. Lopulta Alice ja Bob vaihtavat palloja. Pelin lopussa Clairella on ;oranssi pallo ;valkoinen pallo ;sininen pallo ;oranssi pallo ;A
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on musta pallo, Bobilla on ruskea pallo ja Clairella on sininen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Bob ja Claire vaihtavat palloja. Sitten Alice ja Bob vaihtoivat pallojaan. Lopulta Claire ja Bob vaihtavat palloja. Pelin lopussa Alicella on ;sininen pallo ;musta pallo ;ruskea pallo ;sininen pallo ;A
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on musta pallo, Bobilla on ruskea pallo ja Clairella on sininen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Bob ja Claire vaihtavat palloja. Sitten Alice ja Bob vaihtoivat pallojaan. Lopulta Claire ja Bob vaihtavat palloja. Pelin lopussa Bobilla on ;sininen pallo ;musta pallo ;ruskea pallo ;ruskea pallo ;C
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on musta pallo, Bobilla on ruskea pallo ja Clairella on sininen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Bob ja Claire vaihtavat palloja. Sitten Alice ja Bob vaihtoivat pallojaan. Lopulta Claire ja Bob vaihtavat palloja. Pelin lopussa Clairella on ;sininen pallo ;musta pallo ;ruskea pallo ;musta pallo ;B
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on oranssi, Bobilla punainen ja Clairella musta pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Bob vaihtavat pallojaan. Sitten Claire ja Bob vaihtoivat palloja. Lopulta Alice ja Claire vaihtavat palloja. Pelin lopussa Alicella on ;oranssi pallo ;musta pallo ;punainen pallo ;oranssi pallo ;A
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on oranssi, Bobilla punainen ja Clairella musta pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Bob vaihtavat pallojaan. Sitten Claire ja Bob vaihtoivat palloja. Lopulta Alice ja Claire vaihtavat palloja. Pelin lopussa Bobilla on ;oranssi pallo ;musta pallo ;punainen pallo ;musta pallo ;B
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on oranssi, Bobilla punainen ja Clairella musta pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Bob vaihtavat pallojaan. Sitten Claire ja Bob vaihtoivat palloja. Lopulta Alice ja Claire vaihtavat palloja. Pelin lopussa Clairella on ;oranssi pallo ;musta pallo ;punainen pallo ;punainen pallo ;C
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on keltainen pallo, Bobilla on violetti ja Clairella on sininen. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Claire vaihtavat palloja. Sitten Bob ja Claire vaihtoivat palloja. Lopulta Alice ja Claire vaihtavat palloja. Pelin lopussa Alicella on ;sininen pallo ;keltainen pallo ;purppurainen pallo ;purppurainen pallo ;C
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on keltainen pallo, Bobilla on violetti ja Clairella on sininen. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Claire vaihtavat palloja. Sitten Bob ja Claire vaihtoivat palloja. Lopulta Alice ja Claire vaihtavat palloja. Pelin lopussa Bobilla on ;sininen pallo ;keltainen pallo ;purppurainen pallo ;keltainen pallo ;B
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on keltainen pallo, Bobilla on violetti ja Clairella on sininen. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Alice ja Claire vaihtavat palloja. Sitten Bob ja Claire vaihtoivat palloja. Lopulta Alice ja Claire vaihtavat palloja. Pelin lopussa Clairella on ;sininen pallo ;keltainen pallo ;purppurainen pallo ;sininen pallo ;A
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on ruskea pallo, Bobilla on punainen pallo ja Clairella on valkoinen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Claire ja Bob vaihtavat palloja. Sitten Bob ja Alice vaihtoivat pallojaan. Claire ja Alice vaihtavat palloja. Pelin lopussa Alicella on ;valkoinen pallo ;ruskea pallo ;punainen pallo ;punainen pallo ;C
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on ruskea pallo, Bobilla on punainen pallo ja Clairella on valkoinen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Claire ja Bob vaihtavat palloja. Sitten Bob ja Alice vaihtoivat pallojaan. Claire ja Alice vaihtavat palloja. Pelin lopussa Bobilla on ;valkoinen pallo ;ruskea pallo ;punainen pallo ;ruskea pallo ;B
Alice, Bob ja Claire pelaavat peliä. Pelin alussa heillä jokaisella on pallo: Alicella on ruskea pallo, Bobilla on punainen pallo ja Clairella on valkoinen pallo. Pelin edetessä pelaajat vaihtavat palloja parittain. Ensin Claire ja Bob vaihtavat palloja. Sitten Bob ja Alice vaihtoivat pallojaan. Claire ja Alice vaihtavat palloja. Pelin lopussa Clairella on ;valkoinen pallo ;ruskea pallo ;punainen pallo ;valkoinen pallo ;A
