question;A;B;C;answer;answer_abc
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narančastu loptu, Bob ima bijelu loptu, a Claire ima plavu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Bob i Claire zamijenili jaja. Konačno, Alice i Bob razmjenjuju jaja. Na kraju igre, Alice ima ;narandžasta loptica ;Bijela kugla ;plava lopta ;plava lopta ;C
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narančastu loptu, Bob ima bijelu loptu, a Claire ima plavu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Bob i Claire zamijenili jaja. Konačno, Alice i Bob razmjenjuju jaja. Na kraju igre, Bob ima ;narandžasta loptica ;Bijela kugla ;plava lopta ;Bijela kugla ;B
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima narančastu loptu, Bob ima bijelu loptu, a Claire ima plavu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Bob i Claire zamijenili jaja. Konačno, Alice i Bob razmjenjuju jaja. Na kraju igre, Claire ima ;narandžasta loptica ;Bijela kugla ;plava lopta ;narandžasta loptica ;A
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima crnu loptu, Bob ima smeđu loptu, a Claire ima plavu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Bob i Claire zamijene loptice. Onda su Alice i Bob zamijenili jaja. Konačno, Claire i Bob razmjenjuju jaja. Na kraju igre, Alice ima ;plava lopta ;Crna kugla ;smeđa loptica ;plava lopta ;A
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima crnu loptu, Bob ima smeđu loptu, a Claire ima plavu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Bob i Claire zamijene loptice. Onda su Alice i Bob zamijenili jaja. Konačno, Claire i Bob razmjenjuju jaja. Na kraju igre, Bob ima ;plava lopta ;Crna kugla ;smeđa loptica ;smeđa loptica ;C
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima crnu loptu, Bob ima smeđu loptu, a Claire ima plavu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Bob i Claire zamijene loptice. Onda su Alice i Bob zamijenili jaja. Konačno, Claire i Bob razmjenjuju jaja. Na kraju igre, Claire ima ;plava lopta ;Crna kugla ;smeđa loptica ;Crna kugla ;B
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alice ima narančastu loptu, Bob ima crvenu loptu, a Claire ima crnu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Claire i Bob zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Alice ima ;narandžasta loptica ;Crna kugla ;Crvena loptica ;narandžasta loptica ;A
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alice ima narančastu loptu, Bob ima crvenu loptu, a Claire ima crnu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Claire i Bob zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Bob ima ;narandžasta loptica ;Crna kugla ;Crvena loptica ;Crna kugla ;B
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alice ima narančastu loptu, Bob ima crvenu loptu, a Claire ima crnu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Alice i Bob razmjenjuju jaja. Onda su Claire i Bob zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Claire ima ;narandžasta loptica ;Crna kugla ;Crvena loptica ;Crvena loptica ;C
Alice, Bob i Claire igraju igru. Na početku igre, svaka od njih drži loptu: Alisa ima žutu loptu, Bob ima ljubičastu loptu, a Claire ima plavu loptu. Kako igra napreduje, igrači se u parovima mijenjaju lopticama. Prvo, Alice i Claire zamijene loptice. Onda su Bob i Claire zamijenili jaja. Konačno, Alice i Claire zamijenili su jaja. Na kraju igre, Alice ima ;plava lopta ;žuta kugla ;ljubičasto loptice ;ljubičasto loptice ;C
