question;A;B;C;answer;answer_abc
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור כתום, לבוב יש כדור לבן, ולקלייר יש כדור כחול. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, אליס ובוב מחליפים כדורים. ואז, בוב וקלייר החליפו כדורים. לבסוף, אליס ובוב מחליפים כדורים. בסוף המשחק, אליס יש את ;כדור כתום ;כדור לבן ;כדור כחול ;כדור כחול ;C
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור כתום, לבוב יש כדור לבן, ולקלייר יש כדור כחול. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, אליס ובוב מחליפים כדורים. ואז, בוב וקלייר החליפו כדורים. לבסוף, אליס ובוב מחליפים כדורים. בסוף המשחק, לבוב יש את ;כדור כתום ;כדור לבן ;כדור כחול ;כדור לבן ;B
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור כתום, לבוב יש כדור לבן, ולקלייר יש כדור כחול. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, אליס ובוב מחליפים כדורים. ואז, בוב וקלייר החליפו כדורים. לבסוף, אליס ובוב מחליפים כדורים. בסוף המשחק, קלייר יש את ;כדור כתום ;כדור לבן ;כדור כחול ;כדור כתום ;A
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור שחור, לבוב יש כדור חום, ולקלייר יש כדור כחול. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, בוב וקלייר מחליפים כדורים. ואז, אליס ובוב מחליפים כדורים. לבסוף, קלייר ובוב מחליפים כדורים. בסוף המשחק, אליס יש את ;כדור כחול ;כדור שחור ;כדור חום ;כדור כחול ;A
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור שחור, לבוב יש כדור חום, ולקלייר יש כדור כחול. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, בוב וקלייר מחליפים כדורים. ואז, אליס ובוב מחליפים כדורים. לבסוף, קלייר ובוב מחליפים כדורים. בסוף המשחק, לבוב יש את ;כדור כחול ;כדור שחור ;כדור חום ;כדור חום ;C
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור שחור, לבוב יש כדור חום, ולקלייר יש כדור כחול. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, בוב וקלייר מחליפים כדורים. ואז, אליס ובוב מחליפים כדורים. לבסוף, קלייר ובוב מחליפים כדורים. בסוף המשחק, קלייר יש את ;כדור כחול ;כדור שחור ;כדור חום ;כדור שחור ;B
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור כתום, לבוב יש כדור אדום, ולקלייר יש כדור שחור. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, אליס ובוב מחליפים כדורים. ואז קלייר ובוב החליפו כדורים. סוף סוף, אליס וקלייר מחליפים כדורים. בסוף המשחק, אליס יש את ;כדור כתום ;כדור שחור ;כדור אדום ;כדור כתום ;A
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור כתום, לבוב יש כדור אדום, ולקלייר יש כדור שחור. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, אליס ובוב מחליפים כדורים. ואז קלייר ובוב החליפו כדורים. סוף סוף, אליס וקלייר מחליפים כדורים. בסוף המשחק, לבוב יש את ;כדור כתום ;כדור שחור ;כדור אדום ;כדור שחור ;B
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור כתום, לבוב יש כדור אדום, ולקלייר יש כדור שחור. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. ראשית, אליס ובוב מחליפים כדורים. ואז קלייר ובוב החליפו כדורים. סוף סוף, אליס וקלייר מחליפים כדורים. בסוף המשחק, קלייר יש את ;כדור כתום ;כדור שחור ;כדור אדום ;כדור אדום ;C
אליס, בוב וקלייר משחקים משחק. בתחילת המשחק, כל אחד מהם מחזיק כדור: לאליס יש כדור צהוב, לבוב יש כדור סגול, ולקלייר יש כדור כחול. ככל שהמשחק מתקדם, זוגות של שחקנים מחליפים כדורים. קודם כל, אליס וקלייר מחליפים כדורים. ואז, בוב וקלייר החליפו כדורים. סוף סוף, אליס וקלייר מחליפים כדורים. בסוף המשחק, אליס יש את ;כדור כחול ;כדור צהוב ;כדור סגול ;כדור סגול ;C
