question;A;B;C;answer;answer_abc
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on oranž, Bobil valge ja Claire'il sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Bob vahetasid palle. Siis Bob ja Claire vahetasid palle. Lõpuks Alice ja Bob vahetasid palle. Mängu lõpus on Alice'il ;oranžikuu ;valge pall ;sinine pall ;sinine pall ;C
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on oranž, Bobil valge ja Claire'il sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Bob vahetasid palle. Siis Bob ja Claire vahetasid palle. Lõpuks Alice ja Bob vahetasid palle. Mängu lõpus on Bobil ;oranžikuu ;valge pall ;sinine pall ;valge pall ;B
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on oranž, Bobil valge ja Claire'il sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Bob vahetasid palle. Siis Bob ja Claire vahetasid palle. Lõpuks Alice ja Bob vahetasid palle. Mängu lõpus on Claire'il ;oranžikuu ;valge pall ;sinine pall ;oranžikuu ;A
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on must pall, Bobil pruun pall ja Claire'il on sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Bob ja Claire vahetasid palle. Siis Alice ja Bob vahetasid palle. Lõpuks vahetasid Claire ja Bob pallid. Mängu lõpus on Alice'il ;sinine pall ;must pall ;pruun palli ;sinine pall ;A
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on must pall, Bobil pruun pall ja Claire'il on sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Bob ja Claire vahetasid palle. Siis Alice ja Bob vahetasid palle. Lõpuks vahetasid Claire ja Bob pallid. Mängu lõpus on Bobil ;sinine pall ;must pall ;pruun palli ;pruun palli ;C
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on must pall, Bobil pruun pall ja Claire'il on sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Bob ja Claire vahetasid palle. Siis Alice ja Bob vahetasid palle. Lõpuks vahetasid Claire ja Bob pallid. Mängu lõpus on Claire'il ;sinine pall ;must pall ;pruun palli ;must pall ;B
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on oranž, Bobil punane ja Claire'il must pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Bob vahetasid palle. Siis vahetasid Claire ja Bob pallid. Lõpuks Alice ja Claire vahetasid palle. Mängu lõpus on Alice'il ;oranžikuu ;must pall ;punane pall ;oranžikuu ;A
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on oranž, Bobil punane ja Claire'il must pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Bob vahetasid palle. Siis vahetasid Claire ja Bob pallid. Lõpuks Alice ja Claire vahetasid palle. Mängu lõpus on Bobil ;oranžikuu ;must pall ;punane pall ;must pall ;B
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on oranž, Bobil punane ja Claire'il must pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Bob vahetasid palle. Siis vahetasid Claire ja Bob pallid. Lõpuks Alice ja Claire vahetasid palle. Mängu lõpus on Claire'il ;oranžikuu ;must pall ;punane pall ;punane pall ;C
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on kollane pall, Bobil on lilleline pall ja Claire'il on sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Claire vahetasid palle. Siis Bob ja Claire vahetasid palle. Lõpuks Alice ja Claire vahetasid palle. Mängu lõpus on Alice'il ;sinine pall ;kollas pall ;purpurpurpurv ;purpurpurpurv ;C
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on kollane pall, Bobil on lilleline pall ja Claire'il on sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Claire vahetasid palle. Siis Bob ja Claire vahetasid palle. Lõpuks Alice ja Claire vahetasid palle. Mängu lõpus on Bobil ;sinine pall ;kollas pall ;purpurpurpurv ;kollas pall ;B
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on kollane pall, Bobil on lilleline pall ja Claire'il on sinine pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Alice ja Claire vahetasid palle. Siis Bob ja Claire vahetasid palle. Lõpuks Alice ja Claire vahetasid palle. Mängu lõpus on Claire'il ;sinine pall ;kollas pall ;purpurpurpurv ;sinine pall ;A
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on pruun pall, Bobil on punane pall ja Claire'il on valge pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Claire ja Bob vahetasid palle. Siis Bob ja Alice vahetasid palle. Lõpuks vahetasid Claire ja Alice pallid. Mängu lõpus on Alice'il ;valge pall ;pruun palli ;punane pall ;punane pall ;C
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on pruun pall, Bobil on punane pall ja Claire'il on valge pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Claire ja Bob vahetasid palle. Siis Bob ja Alice vahetasid palle. Lõpuks vahetasid Claire ja Alice pallid. Mängu lõpus on Bobil ;valge pall ;pruun palli ;punane pall ;pruun palli ;B
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on pruun pall, Bobil on punane pall ja Claire'il on valge pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Claire ja Bob vahetasid palle. Siis Bob ja Alice vahetasid palle. Lõpuks vahetasid Claire ja Alice pallid. Mängu lõpus on Claire'il ;valge pall ;pruun palli ;punane pall ;valge pall ;A
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on roosa pall, Bobil on pruun pall ja Claire'il on oranž pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Claire ja Alice vahetasid palle. Siis Alice ja Bob vahetasid palle. Lõpuks Bob ja Claire vahetasid palle. Mängu lõpus on Alice'il ;oranžikuu ;pruun palli ;roosa pall ;pruun palli ;B
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on roosa pall, Bobil on pruun pall ja Claire'il on oranž pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Claire ja Alice vahetasid palle. Siis Alice ja Bob vahetasid palle. Lõpuks Bob ja Claire vahetasid palle. Mängu lõpus on Bobil ;oranžikuu ;pruun palli ;roosa pall ;roosa pall ;C
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on roosa pall, Bobil on pruun pall ja Claire'il on oranž pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Claire ja Alice vahetasid palle. Siis Alice ja Bob vahetasid palle. Lõpuks Bob ja Claire vahetasid palle. Mängu lõpus on Claire'il ;oranžikuu ;pruun palli ;roosa pall ;oranžikuu ;A
Alice, Bob ja Claire mängivad mängu. Mängu alguses hoiab igaüks pall: Alice'il on sinine pall, Bobil on kollane pall ja Claire'il on roheline pall. Mängu käigus vahetatakse palle paaridena. Esiteks, Bob ja Claire vahetasid palle. Siis Bob ja Alice vahetasid palle. Lõpuks Bob ja Claire vahetasid palle. Mängu lõpus on Alice'il ;sinine pall ;kollas pall ;roheline pall ;roheline pall ;C
