question;A;B;C;answer;answer_abc
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une boule orange, Bob a une boule blanche et Claire a une boule bleue. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. Tout d'abord, Alice et Bob échangent des balles. Puis, Bob et Claire échangent leurs couilles. Finalement, Alice et Bob échangent leurs couilles. À la fin du jeu, Alice a le ;boule orange ;boule blanche ;boule bleue ;boule bleue ;C
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une boule orange, Bob a une boule blanche et Claire a une boule bleue. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. Tout d'abord, Alice et Bob échangent des balles. Puis, Bob et Claire échangent leurs couilles. Finalement, Alice et Bob échangent leurs couilles. À la fin de la partie, Bob a le ;boule orange ;boule blanche ;boule bleue ;boule blanche ;B
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une boule orange, Bob a une boule blanche et Claire a une boule bleue. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. Tout d'abord, Alice et Bob échangent des balles. Puis, Bob et Claire échangent leurs couilles. Finalement, Alice et Bob échangent leurs couilles. À la fin du jeu, Claire a le ;boule orange ;boule blanche ;boule bleue ;boule orange ;A
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une balle noire, Bob a une balle brune et Claire a une balle bleue. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. D'abord, Bob et Claire échangent leurs couilles. Puis, Alice et Bob échangent des couilles. Enfin, Claire et Bob ont échangé leurs couilles. À la fin du jeu, Alice a le ;boule bleue ;boule noire ;boule brune ;boule bleue ;A
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une balle noire, Bob a une balle brune et Claire a une balle bleue. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. D'abord, Bob et Claire échangent leurs couilles. Puis, Alice et Bob échangent des couilles. Enfin, Claire et Bob ont échangé leurs couilles. À la fin de la partie, Bob a le ;boule bleue ;boule noire ;boule brune ;boule brune ;C
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une balle noire, Bob a une balle brune et Claire a une balle bleue. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. D'abord, Bob et Claire échangent leurs couilles. Puis, Alice et Bob échangent des couilles. Enfin, Claire et Bob ont échangé leurs couilles. À la fin du jeu, Claire a le ;boule bleue ;boule noire ;boule brune ;boule noire ;B
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une boule orange, Bob a une boule rouge et Claire a une boule noire. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. Tout d'abord, Alice et Bob échangent des balles. Puis, Claire et Bob ont échangé leurs couilles. Enfin, Alice et Claire ont échangé leurs couilles. À la fin du jeu, Alice a le ;boule orange ;boule noire ;boule rouge ;boule orange ;A
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une boule orange, Bob a une boule rouge et Claire a une boule noire. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. Tout d'abord, Alice et Bob échangent des balles. Puis, Claire et Bob ont échangé leurs couilles. Enfin, Alice et Claire ont échangé leurs couilles. À la fin de la partie, Bob a le ;boule orange ;boule noire ;boule rouge ;boule noire ;B
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une boule orange, Bob a une boule rouge et Claire a une boule noire. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. Tout d'abord, Alice et Bob échangent des balles. Puis, Claire et Bob ont échangé leurs couilles. Enfin, Alice et Claire ont échangé leurs couilles. À la fin du jeu, Claire a le ;boule orange ;boule noire ;boule rouge ;boule rouge ;C
Alice, Bob et Claire jouent à un jeu. Au début du jeu, elles tiennent chacune une balle: Alice a une balle jaune, Bob une balle pourpre et Claire une balle bleue. Au fur et à mesure que le jeu progresse, les joueurs échangent des balles par paires. Tout d'abord, Alice et Claire échangent des couilles. Puis, Bob et Claire échangent leurs couilles. Enfin, Alice et Claire ont échangé leurs couilles. À la fin du jeu, Alice a le ;boule bleue ;boule jaune ;boule violette ;boule violette ;C
