,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,म सन् २०११ मा कानून र व्यवस्थाको प्रशंसक बनेँ।,म स्ट्रोकबाट निको हुँदै थिएँ।,घर पुगेपछि मैले हरेक एपिसोड हेर्ने प्रयास गरेँ।,२० वर्षसम्मको शो हेर्नका लागि ब्यङ गर्न कठिन थियो।,मलाई लाग्छ कि कानून र व्यवस्था अहिलेसम्म बनेका सबैभन्दा खराब शोहरू मध्ये एक हो।,[पृष्ठ २३-मा भएको चित्र],2
1,सबैजनाले बोबलाई मन पराए किनभने उनले चलचित्रमा लोकप्रिय पात्रको भूमिका निर्वाह गरे।,बबलाई यो कुरा मन पर्दैनथ्यो किनकि उनी त्यस पात्र जस्तो केही पनि थिएनन्।,जिमले बोबलाई आफ्नो पात्रको क्याच फ्रेज भन्न आग्रह गरे।,यो कुरा बोबलाई धेरै गाह्रो लाग्यो र उनी क्रोधले उफ्रिन्थे।,बोबले त्यो मानिसलाई उसलाई एक्लै छोड्न भने।,बोबले त्यस मानिसलाई चियाको लागि आग्रह गरे।,1
2,लिटाले टेलिभिजनमा आफ्नो मनपर्ने कार्यक्रम हेर्न चाहन्थिन्।,[पृष्ठ २३-मा भएको चित्र],लिटाले उनीहरूलाई केही कामहरू गर्नुपर्ने बताएकी थिइन्।,उनका छोराछोरीले उनको लुगाफाटाको टोकरीलाई लिभिङ रुममा तानेर लगे।,लिटाले खाजाको लागि पिज्जा अर्डर गरिन्।,लिटाले टिभी हेर्दै गर्दा लुगाहरू पङ्क्ति गरेकी थिइन्।,2
3,ठूलो आवाजले झस्काउँदा लिभले हाम फालिन्।,उनले महसुस गरिन् कि यो उनको भान्साको बल्ब थियो जुन जलेर नष्ट भएको थियो।,[पृष्ठ २३-मा भएको चित्र],यो उनको मुनिबाट झर्दै थियो र उनी झन्डै खसेकी थिइन्।,लिभले बाथरूममा बल्ब बदल्ने निर्णय गरिन्।,लिभले बल्ब परिवर्तन गरिन्।,2
4,आमाले आफ्ना बच्चाहरूलाई पन्ध्र मिनेटमा खाना खाने समय हुन्छ भन्नुभयो।,[पृष्ठ २३-मा भएको चित्र],"जब उनी कुरा गर्दै थिइन्, कुकुरले भान्साको सबै भागमा बालुवा तानेर लगेको थियो।","छोराछोरीले आमालाई सताउन थाले, जो अझै पनि फोनमा थिइन्।",आमा निराश भएकी थिइन्,छोराछोरीको व्यवहारले आमालाई शान्त बनायो।,1
5,हेक्टरले काम गर्नुअघि स्थानीय पसलबाट कफी किन्ने गरेको छ।,कफीको मूल्य कति छ भनेर सोध्दा,एक दिन हेक्टरले घरमा कफी बनाउने निर्णय गरे।,उनी घरमै बनाएको कफी यति राम्रो छ भनेर गर्व गर्छन्।,हेक्टरले आफ्नै कफी बनाउँदै पैसा बचत गरे।,हेक्टरले स्टारबक्सबाट कफी किन्न थाले।,1
6,केलीले स्कुलमा नयाँ केटी आएको थाहा पायो।,जब उनी स्कुलमा आएकी थिइन् उनी उनलाई खोज्दै गएकी थिइन्।,[पृष्ठ २३-मा भएको चित्र],खाना खाएपछि केटीहरू साथी भए।,केलीले फेरि उनीसँग कुरा गरेकी थिइनन्।,केली नयाँ साथी पाएकोमा खुसी थिइन्।,2
7,टमीले आफ्नो पहिलो ५ किलोमिटर दौडका लागि कडा प्रशिक्षण गरे।,[पृष्ठ २३-मा भएको चित्र],पुरस्कार वितरणको समयमा आफ्नो नाम बोलाइएपछि उनी स्तब्ध भए।,उनलाई थाहा थिएन कि उमेर समूह अनुसार पुरस्कार दिने गरिन्छ।,उनी कुनै पनि मान्यता नपाएकोमा लज्जित थिए।,उमेर समूहमा पहिलो भए पनि समग्रमा दशौं स्थानमा रहँदा उनी गर्व गर्थे।,2
8,लरी आज राति आफ्नो पहिलो औपचारिक नृत्यमा जाँदैछिन्।,उनको डेटले उनलाई उठाएर एउटा सुन्दर गुलाब दिए।,लोरीले लामो चम्किलो पोशाक लगाइन्।,उनीहरू नाच्थे र आफ्ना सबै साथीहरूसँग रमाइलो गर्थे।,लरी रोइरहेकी घर गइन्।,[पृष्ठ २३-मा भएको चित्र],2
9,नील ऐतिहासिक रेलमार्गको अन्वेषण गर्दै थिए।,उनी पेन्सिलभेनियाको स्क्रानटनमा गए।,उनले यो एउटा सुन्दर पुरानो रेल डिपो भएको महसुस गरे।,त्यहाँ हुँदा उनले धेरै फोटो खिचे।,नीलले आफ्ना सबै फोटोहरू मेटाए।,नीलले आफ्नो कम्प्युटरमा फोटोहरू सुरक्षित गरेका थिए।,2
10,बोबले फास्ट फूड माछाको पसलमा काम गर्ने पहिलो दिनदेखि डराएका थिए।,[पृष्ठ २३-मा भएको चित्र],बोबले युनिफर्म लगाइसकेपछि माछाको बर्गर बनाउने काममा लागे ।,उनी यति व्यस्त थिए कि उनले आफ्नो सडकको कपडामा फर्कन बिर्सिए,बोबलाई यो पोशाक यति मन पर्यो कि उनले आफ्ना साथीहरूलाई देखाए।,बोब काम पछि नाविकको पोशाक लगाएर बाहिर गए।,2
11,एकजना साथी भेट्न आए।,मैले उसलाई भनें कि मेरो कुकुरले टोक्छ।,उनले सुनेनन्।,उनले उसलाई गाली गर्ने र खेल्ने प्रयास गरिन्।,मेरो कुकुरले उसलाई टोकेको थियो।,मेरो कुकुर भाग्यो।,1
12,लेस्टर सधैं बढी कलात्मक हुन चाहन्थे।,एक दिन उनले फूलको चित्र बनाउने निर्णय गरे।,एउटा सुन्दर अर्किडको अगाडि बसेर चित्र बनाउन थाल्छ।,लेस्टरको चित्र निकै राम्रो देखिन्छ।,उनले आफ्नो कोठाको भित्तामा त्यो चित्र टाँसे।,उनले फेरि कहिल्यै पनि कुनै पनि चित्र नचित्र्ने निर्णय गरे।,1
13,पाब्लोलाई कीरा खान मन पर्छ।,उनले विद्यालयमा यो कसरी गर्ने भन्ने बारेमा एउटा पुस्तक पढेका थिए।,उनी तिनीहरूलाई जैतुनको तेलमा तान्दछन्।,उनी महिनामा कम्तीमा एक पटक यस्तो गर्न रुचाउँछन्।,[पृष्ठ २३-मा भएको चित्र],पाब्लोले कीराहरू खान मन पराउँदैनन्।,1
14,किरालाई जापानी संस्कृति मन पर्छ।,उनको धेरै मनपर्ने चलचित्रहरू जापानी भाषामा थिए।,उनले त्यहाँ यात्रा गर्ने निर्णय गरिन्।,यात्राको लागि वर्षौंदेखि उनले पैसा बचत गरिन्।,उनले सबै पैसा जुत्तामा खर्च गरिन्।,यो उनको जीवनको सबैभन्दा राम्रो यात्रा थियो।,2
15,ग्लेन हिँडडुल गर्ने मनस्थितिमा थिए।,उनले ज्याकेट लगाएर बाहिर गए।,[पृष्ठ २३-मा भएको चित्र],[पृष्ठ २३-मा भएको चित्र],ग्लेनले आफ्नो अहिलेसम्मकै सबैभन्दा राम्रो समय दौडे।,ग्लेनले कसम खाएका थिए कि उनी फेरि कहिल्यै हिँड्न सक्दैनन्।,2
16,येशूले दिनभरि फर्निचर पोलिश गर्दै बिताउनुभयो।,रात नजिकिंदै जाँदा उनले गरेको कामको समीक्षा गरे।,सबै कुरा नयाँ र चम्किलो देखिन्थ्यो।,येशूले आफ्ना सबै साथीहरूलाई त्यो साँझ भोजमा बोलाउनुभयो।,उनीहरूले भने कि उनको फर्निचर राम्रो देखिन्थ्यो।,उनका साथीहरूले उनको फर्निचरलाई पलिश गरे।,1
17,म हालै पसलमा हिँडिरहेको थिएँ।,"म एक निकासबाट गुज्रिरहेको थिएँ, मेरो हातमा कडा र चिसो फलामको महसुस भयो।",म चकित भएँ,ममाथि दुर्घटना भएको देखेर चालकले माफी मागे।,मैले तिनीहरूलाई ठीक छ भनेँ र पछि गएँ।,[पृष्ठ २३-मा भएको चित्र],1
