,input_sentence_1,input_sentence_2,input_sentence_3,input_sentence_4,sentence_quiz1,sentence_quiz2,answer_right_ending
0,"Ես ""Օրենք եւ կարգ"" ֆիլմի երկրպագու դարձա 2011 թվականին:",Ես վերականգնվում էի ինսուլտից:,"Երբ տուն հասա, փորձեցի դիտել յուրաքանչյուր դրվագը:",Դժվար էր փորձել 20 տարվա շոու դիտել:,"Կարծում եմ, որ ""Օրենք եւ կարգ""ը ամենավատ սերիալներից մեկն է, որ երբեւէ նկարահանվել է:",Վերջապես ես բոլորին էլ նայեցի։,2
1,"Բոլորը սիրում էին Բոբին, քանի որ նա ֆիլմում հայտնի կերպար էր խաղում:","Բոբը ատում էր այն, քանի որ նա նման չէր այդ կերպարին:",Ջիմը Բոբին խնդրեց ասել իր կերպարի գլխավոր արտահայտությունը:,"Բոբը չափից շատ էր զգում, եւ նա բարկությունից պայթեց:","Բոբը մարդուն ասաց, որ իրեն հանգիստ թողնի:",Բոբը թեյ է խնդրել այդ մարդուն։,1
2,Լիտան ուզում էր հեռուստացույցով դիտել իր սիրած շոուն:,"""Իմ երեխաները""","Լիտան ասաց, որ իր մոտ գործեր կան։",Նրա երեխաները լվացքի զամբյուղը քաշեցին սրահ։,Լիտան պեպերոնիով պիցցա է պատվիրել ճաշի համար:,Լիտան հեռուստացույց դիտելիս ծալեց լվացքը:,2
3,Կենդանի jumped քանի որ նա զարմացած էր բարձր pop.,"Նա հասկացավ, որ խոհանոցում լամպն է այրվում:",Նա ոտքի աթոռից դուրս եկավ եւ ոտքի վրա քայլեց։,Այն թափառեց նրա տակ եւ նա գրեթե ընկավ:,Լիվը որոշեց լույսը փոխել լոգարանում:,Այնուհետեւ Լիվը փոխեց լամպը:,2
4,"Մայրը իր երեխաներին ասաց, որ 15 րոպեից ճաշի ժամանակն է։",Բայց հետո նա կարեւոր հեռախոսազանգ ստացավ։,"Երբ նա խոսում էր, շունը բամբակեց խոհանոցը:","Երեխաները սկսեցին տանջել իրենց մորը, ով դեռ հեռախոսով էր խոսում:",Մայրը շատ հիասթափված էր։,Երեխաների վարքը հանգստացրեց մորը։,1
5,Հեկտորը միշտ աշխատանքից առաջ սուրճ է գնում տեղական խանութից:,"Նա գիտակցում է, որ իր սուրճի գնման սովորությունը շատ թանկ է:",Մի օր Հեկտորը որոշեց տանը սուրճ պատրաստել:,"Նա հպարտանում է, որ իր պատրաստած սուրճը շատ լավն է:",Հեկտորը շարունակում էր իր սուրճը պատրաստել եւ գումար խնայել:,Հեկտորը սկսեց սուրճ գնել Սթարբաքսից:,1
6,"Քելլին իմացավ, որ դպրոցում նոր աղջիկ է:","Երբ նա մտավ դպրոց, նա գնաց փնտրելու նրան:","Երբ հանդիպեց նրան, նա հրավիրեց նրան իր հետ ճաշելու:","Երբ նրանք ճաշեցին, աղջիկները ընկերացան:",Քելլին այլեւս երբեք չխոսեց նրա հետ:,Քելլին ուրախ էր նոր ընկեր ունենալով։,2
7,Թոմին շատ է մարզվել իր առաջին 5 կմ-ն վազելու համար:,"Մրցավազքի ժամանակ նա հիասթափված էր, երբ այդքան շատ մարդիկ անցնում էին իրենից։","Երբ նա լսեց, որ իր անունը կոչվում է մրցանակաբաշխության ժամանակ, նա ցնցվեց:","Նա չէր գիտակցում, որ նրանք մրցանակներ կշահեն տարիքային խմբերի համար:","Նա ամաչում էր, որ որեւէ ճանաչում չի ստացել:","Նա հպարտ էր, որ տարիքային խմբում առաջինն էր, բայց ընդհանուր առմամբ տասներորդն էր:",2
8,Լորին այսօր իր առաջին պարին է գնալու։,Նրա ընկերուհին վերցրեց նրան եւ տվեց գեղեցիկ վարդ:,Լորին երկար փայլուն զգեստ էր հագել:,Նրանք պարում էին եւ զվարճանում իրենց ընկերների հետ:,Լորին լացելով գնաց տուն։,Լորին ավարտեց երեկոն իր ընկերոջը համբուրելով։,2
9,Նիլը ուսումնասիրում էր պատմական երկաթուղիները:,"Նա մտավ Սքրենտոն, Փենսիլվանիա:","Նա հասկացավ, որ դա հին գեղեցիկ գնացքի կայարան է:",Նա շատ լուսանկարներ է արել այնտեղ գտնվելիս:,Նիլը ջնջել է իր բոլոր լուսանկարները։,Նիլը լուսանկարները պահել է իր համակարգչում։,2
10,Բոբը վախենում էր իր առաջին աշխատանքային օրից արագ սննդի ձկան խանութում:,"Նա ծրագրում էր սպասել, որպեսզի հագնի իր նյարդայնացնող նավային համազգեստը։",Բոբը միեւնույն համազգեստը կրելուց հետո սկսեց ձկան բուրգերներ պատրաստել:,"Նա այնքան զբաղված էր, որ մոռացավ վերադառնալ իր փողոցային հագուստը:","Բոբը այնքան սիրեց այդ հագուստը, որ ցույց տվեց իր ընկերներին։",Բոբը աշխատանքից հետո դուրս եկավ ծովային հագուստով:,2
11,Ընկերուհի է եկել այցելության:,"Ես նրան ասացի, որ իմ շունը կծում է:",Նա չլսեց:,Նա փորձում էր գրկել նրան եւ խաղալ նրա հետ:,Իմ շունը կծեց նրան:,Իմ շունը փախավ:,1
12,Լեսթերը միշտ ցանկացել է ավելի արվեստի լինել:,Նա որոշում է մի օր նկարել ծաղիկ:,Նա նստում է գեղեցիկ խոտաբուծության առջեւ եւ սկսում է նկարել:,Լեսթերի նկարը շատ լավ է ստացվում:,Նա այդ նկարը կախել է իր հյուրասենյակի պատին:,Նա որոշում է այլեւս ոչինչ չնկարել:,1
13,Պաբլոն սիրում է սողուններ ուտել։,"Նա դպրոցում գիրք էր կարդացել, թե ինչպես կարելի է դա անել:",Նա դրանք սառեցնում է ձիթապտղի յուղով:,Նա սիրում է դա անել առնվազն ամսական մեկ անգամ:,Պաբլոն սիրում է սարդերը եւ դրանք համարում է ճաշատեսակ։,Պաբլոն չի սիրում ուտել որդեր:,1
14,Կիրան միշտ սիրել է ճապոնական մշակույթը:,Նրա սիրած ֆիլմերից շատերը ճապոներեն էին։,"Նա որոշեց, որ այնտեղ է մեկնելու։",Տարիներ շարունակ նա գումար էր խնայում իր ճանապարհորդության համար։,Նա ամբողջ գումարը ծախսել է կոշիկների վրա։,Դա նրա կյանքի լավագույն ճամփորդությունն էր:,2
15,Գլենը քայլելու տրամադրություն ուներ:,Նա վերնաշապիկը հագավ եւ դուրս եկավ:,"""Ես շատ եմ սիրում քեզ""",Գլենը նորից ոտքի կանգնեց եւ հետամնաց գնաց իր տուն։,Գլենը վազեց իր լավագույն ժամանակով մարաթոնում:,"Գլենը երդվեց, որ այլեւս երբեք չի քայլի:",2
16,Հիսուսը օրը լվացքի համար է ծախսել:,"Երբ մոտեցավ գիշերը, նա վերանայեց իր կատարած աշխատանքը:",Ամեն ինչ փայլուն ու նոր էր թվում։,Հիսուսն իր բոլոր ընկերներին հրավիրեց երեկույթ կազմակերպելու:,"Նրանք ասում էին, որ նրա կահույքը լավն էր:",Նրա ընկերները փայլեցրել են նրա կահույքը:,1
17,Վերջերս գնում էի խանութ:,"Երբ անցնում էի ելքի մոտ, զգացի սառը, կոշտ երկաթ իմ ձեռքի վրա:","Ես ցնցվեցի, որ ինձ վրա մեքենա է հարվածել։","Վարորդը շատ էր ներողություն խնդրել, երբ տեսավ, որ ինձ վրա են հարվածել:","Ես ասացի, որ ամեն ինչ կարգին է, եւ հետո հեռացա:",Մեքենայի վարորդը շատ բարկացավ ինձ վրա։,1
18,Ջինայի քույրը կոտրված ապակու վրա կոտրել է իր կոկորդը:,Արյունը հոսում էր նրա ոտքից մինչեւ կոշիկը:,"Երբ նա արյուն տեսավ, նա վազեց տուն:","Ջինան վազում էր նրա ետեւից, բայց չէր կարողանում հետեւել:","Երբ նրանք տուն հասան, բոլորը սառույց էին ուտում:",Ջինայի քույրը գնացել է բժշկի:,2
19,Մի փոքրիկ տղա երրորդ դասարանում էր:,"Նա շատ խելացի էր, բայց դժվար էր կարդում:","Երբ նա բարձրաձայն կարդում էր, դասընկերները ծիծաղում էին նրա վրա։",Նա սկսեց ամեն օր կարդալու պրակտիկա անել:,"Փոքրիկ տղան ընդունեց, որ երբեք չի բարելավվի:",Տարվա վերջում նա լավ արդյունքներ է գրանցել ընթերցանության թեստի ժամանակ։,2
20,Ռոզիի դասարանը փոքրիկ երեկույթ էր կազմակերպում:,Նա որոշեց բոլորի համար մրգերի աղցան պատրաստել։,"""Ես շատ եմ սիրում քեզ""",Հանդիպման օրը նա վերցրեց մի մեծ բաժակ մրգերի աղցան:,Ռոզիի դասարանը կիսվեց մրգերի աղցանով:,Ռոզին տանը պահում էր մրգերի աղցան սառնարանում:,1
21,Քելլին ուրախ էր նոր հեռախոսը ստանալուց:,Նա ամեն տեղ իր հետ էր վերցնում այն:,"Ցավոք, նա կոտրել է այն:","Բարեբախտաբար, նա կարողացավ այն շտկել:",Խանութը նրան արդար գնով է փոխանցել այն վերանորոգելու համար:,Քելլին նոր հեռախոս է գնել։,1
22,"Երբ համալսարանում էի, հանդիպել էի տարեց մի տղամարդու:","Ես 22 տարեկան էի, իսկ նա 38 տարեկան:",Մենք լավ հասկացանք իրար եւ լավ ժամանակ անցկացրեցինք միասին:,"Մենք միասին էինք, երբ ես այնտեղ էի:",Ես շատ լավ հիշողություններ ունեմ այդ ժամանակներից։,Ես այդ ժամանակների մասին բացասական հիշողություններ ունեմ։,1
23,Բոբը ցանկանում էր մասնակցել դպրոցական թատրոնի ներկայացմանը:,Նա ուշադիր ուսումնասիրեց դերը։,Նա հաճախ էր վերապատրաստում իր տողերը։,Աուդիտորական օրը նա հիանալի աշխատանք է կատարել:,Բոբը շատ հպարտ էր:,Բոբը շատ էր ամաչում:,1
24,Ջեքին նշանակվել է 8-րդ դասարանի դահլիճի հսկող։,Նա նախանձելի է ամբողջ դասարանում:,Դասընկերները հաճախ վտանգում էին նրա աշխատանքը։,Նրանք գողանում էին Ջեքիի մուտքի քարտերը:,Դպրոցի տնօրենը դասից հեռացրել է նրա աղմկոտ դասընկերներին։,"""Միայն դու ես ինձ սիրում""",1
25,Իմ հայրը նոր մեքենա էր գնել:,Տոնելու համար մենք բոլորս գնացինք մեքենայով:,"Մյուս մեքենան անցավ ""Ստոպ"" նշանը եւ բախվեց մեզ։","Ես պատուհանը այնքան ուժեղ հարվածեցի, որ կոտրվեց:",Ես դուրս եկա եւ ես ու հայրս լավ էինք:,Մենք երկուսս էլ հարվածեցինք մեքենային:,1
26,"Իմ զարմուհին սիրում է ""Սառած"" ֆիլմը:","Նա միշտ ուզում է, որ այն դնել:",Նա երգելով շրջում է տան շուրջը:,Նա սիրում է լաց լինել:,Նա երգում է այն նորից ու նորից:,Նա սիրում է սպորտ եւ ատում է արքայադուստրերի գործերը:,1
27,"Ալեքսը դրիբլում էր դաշտում, իր թիմը երկու միավորով էր պարտված:","Նա նայում է ցուցանակին եւ տեսնում, որ մնացել է ընդամենը 5 վայրկյան:","Նրա միտքը վազում էր, երբ նա փորձում էր գտնել բաց մարդ:","Պաշտպանները կպչում էին նրա թիմակիցներին, ինչպես կպչիչը:",Բզզզը հնչեց եւ նրա թիմը հաղթեց խաղում:,Նա փորձեց երեք կետով գնդակահարել եւ բաց թողեց:,2
28,Ես մտա գրադարան եւ նստեցի:,"Երբ ես շրջվեցի, նկատեցի մի երեխա:",Նա մի պահ նայում էր ինձ:,Ես հիասթափվեցի եւ վեր կացա նստատեղից։,"Ինձ չէր հետաքրքրում, թե ինչ էր անում երեխան:","Ես հարցրեցի նրան, թե ինչ խնդիր ունի:",2
29,Իվան եւ Բրենթը փորձում էին երեխա ունենալ։,Նրանք վեց ամիս փորձել են առանց հաջողության:,"""Ես շատ եմ տխրում""","Բայց հետո նրանք տեսան, որ բժիշկը լայն ժպտում է։",Բրանտը չեղարկելու է երեխայի առեւանգման իր ծրագրերը:,"Զույգը ուրախ կլինի, երբ իմանա, որ երեխա է սպասում:",2
30,Քեթրինը միշտ հետաքրքրված է եղել կուրլինգով։,Քեթրինը սիրում է հեռուստատեսությամբ դիտել մարզիկների խաղերը։,Մի օր Քեթրինը որոշեց այցելել քերլինգի մարզման սեզոն:,Մարզարշավի ժամանակ մարզիկներից մեկը Քեթրինին հրավիրեց խաղալու:,Կատերինան սկսեց ամեն օր վարժություններ անել եւ լավ դարձավ։,"Քեթրինը կարծում էր, որ կռունկները ձանձրալի են:",1
31,Ֆրենսիսը միշտ անհամբերությամբ էր սպասում մեքենա վարել սովորելուն:,Վերջապես նա հասել է վարորդական իրավունք ստանալու տարիքի:,"Ֆրենսիսը շատ է աշխատում, որպեսզի լիցենզիա ստանա:",Նա հեշտությամբ է անցնում վարորդական քննությունը։,Ֆրանցիսը իր կատարածի համար շատ հպարտ է:,"Ֆրանցիսկոսը որոշում է, որ նախընտրում է հասարակական տրանսպորտով գնալ:",1
32,"Երեկ ես շատ լավ ժամանակ անցկացրի ""Աղի կոտրողը"" դիտելով:",Ես շատ եմ սիրում այն:,"Երբ պարողները պարում էին բեմի վրա, ամեն ինչ գեղեցիկ էր:",Ինձ համար պատիվ էր դիտել այդ ցուցահանդեսը:,"Ես երդվեցի, որ այլեւս երբեք չեմ տեսնի այն:",Ես ուզում էի նորից տեսնել այն:,2
33,Ես արթնացա առավոտյան 8:30-ին դասի համար:,Ես քնած դուրս եկա անկողնուց եւ լոգանք առա։,Ես արագ նախաճաշեցի եւ սկսեցի քայլել դեպի դասարան։,50 րոպե դասերից հետո ես սկսեցի քայլել դեպի իմ ննջասենյակ:,Ես որոշեցի վերադառնալ դասարան:,"Երբ հասա այնտեղ, քնել էի։",2
34,Գարիը ցանկանում էր Լիզայի ուշադրությունը գրավել:,Մի օր նա որոշում է Լիսային բանաստեղծություն գրել:,Հաջորդ օրը Գարիը դպրոցում Լիզային տեսնում է միջանցքում։,Գարիը լայն ժպիտով է դիմում Լիսային եւ հանձնում բանաստեղծությունը:,Գարին ուժեղ հարվածում է Լիսային եւ հեռանում:,"Լիզան խոստովանում է, որ նա նույնպես սիրահարված է Գարիին:",2
35,Կարլոսը միշտ ցանկացել է այցելել Ֆրանսիա:,"Նա որոշում է, որ նախքան մեկնելը պետք է սովորի ֆրանսերեն խոսել։",Նա հաճախում է գիշերային դասարան եւ շատ ջանասիրաբար է սովորում:,Վերջապես Կարլոսը բավականին լավ է խոսում ֆրանսերենով։,Կառլոսը թռիչք է գրանցում դեպի Ավստրալիա։,Կառլոսը իր ֆրանսերենի առավելագույնը օգտագործում է Փարիզ կատարած ճանապարհորդության ժամանակ:,2
36,Լարսը միշտ ցանկացել է փորձել լուսանկարչությունը:,"Նրա ընկերը հիանալի լուսանկարիչ էր, բայց նա երբեք չէր փորձել:","Մի օր նա գնել է մի պարզ, բայց բարձրորակ տեսախցիկ:",Այդ օրվանից սկսած Լարսը ամեն օր լուսանկարում էր բնությունը:,Լարսը սիրահարվեց լուսանկարչությանը։,Լարսը ատում էր լուսանկարչությունը:,1
37,Ես հեռուստացույց եմ գնել էլեկտրոնիկայի խանութից։,"Այն մեծ հարթ էկրան է, բարձր որակի նկարների հետ:","Աշխատակիցը համոզեց ինձ, որ գնել երաշխիք դրա համար, ամեն դեպքում:",Մի շաբաթ անց հեռուստացույցը պատից ընկավ եւ կոտրվեց։,Ես կարողացա այն շտկել երաշխիքային ժամկետով:,Աշխատողը ավելի ուշ մահացած է հայտնաբերվել:,1
38,Ռայանը այգում էր:,"Եվ նա տեսավ մի փոքրիկ աղջկա, որը բալոն էր պահում:","Երբ նա լքում էր այգին, նա նույն փուչիկը տեսավ ծառի մեջ խրված:","Նա բարձրանում էր ծառի վրա, որպեսզի բալոնը վերցնի:",Ռայանը միտումնավոր բացեց փուչիկը:,Ռայանը գտավ աղջկան եւ նրան տվեց կորցրած փուչիկը։,2
39,"Ջենի մենեջերը նրան ասաց, որ պետք է վերբեռնի իր ռեզյումեն:","Նա հասկացավ, որ իր ռեզյումեն պատշաճ ձեւաչափված չէ:",Նա ամբողջ բովանդակությունը փոխանցեց պատշաճ ձեւանմուշին:,Նա իր վերջին աշխատանքի մասին տեղեկություններ ավելացրեց եւ թարմացրեց ռեզյումեն։,Այնուհետեւ նա ուղարկեց այն իր մենեջերին:,Ջենը ատում էր ճաշացանկը լվանալը:,1
40,Նիլը շրջում էր Ֆեզ քաղաքով:,Նա համտեսեց նրանց ազգային խոհանոցը:,Հետո գնացել է հուշանվերներ գնելու։,"Նա նշեց, որ Ֆեզը նաեւ մեծ փողոցային կատարողներ ունի:",Նիլը շատ լավ ժամանակ անցկացրեց:,Նիլն ու Ֆեզը լավագույն ընկերներ դարձան:,1
41,Ես պետք է շունս զբոսանքի տանեի:,Իմ հարեւանությունը պահանջում է կապար:,"Ես փնտրեցի իմ տան մեջ, որ գտնեմ շղթան:",Ես չէի կարող գտնել այն:,Ես որոշեցի շունս հետս տանել բակում:,"Ես թույլ տվեցի, որ իմ շունը մտնի տուն:",1
42,"Այն պայծառ, տաք օր էր:","Ջոն մտածեց, որ լավ կլինի քայլել:",Նա որոշեց քայլել իր տեղական սրճարան:,Բայց կես ճանապարհին նա սկսեց հոգնել:,Նա վազեց սրճարան:,"Ջոն ափսոսում է, որ դուրս է եկել:",2
43,Ջենը ամբողջ օրը սպասել է փաթեթին:,"Վերջապես նա տեսավ UPS-ի աշխատակցին, որ մոտենում էր դռան մոտ:","Նա առաքեց փաթեթը, իսկ նա այն ներս բերեց:",Նա փաթեթը բացեց դանակով:,Տուփի մեջ նորածին երեխա էր:,Ջենը նոր վերնաշապիկը գտավ փաթեթի մեջ:,2
